diphenyl disulfide,,diphenyl disulfide diluted,,ACN,,TBADT,,TBADT-diluted,,TBADT-diluted2,,diphenyl disulfide,,diphenyl disulfide-diluted,,dibenzyl disulfide,,diphenyl disulfide,,diphenyl disulfide diluted,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.0320055671,800,0.03263109922,800,0.03317409754,800,0.1004438996,800,0.04668131843,800,0.04144896939,800,0.03268024325,800,0.03251859918,800,0.03272085264,800,0.0320055671,800,0.03263109922,
799,0.03200158104,799,0.03271820396,799,0.0333035104,799,0.1004740447,799,0.04681254178,799,0.04142897949,799,0.03274505213,799,0.03263173997,799,0.03278435767,799,0.03200158104,799,0.03271820396,
798,0.03201172501,798,0.03267675638,798,0.03319250792,798,0.1004087329,798,0.04684313387,798,0.04153956845,798,0.03275309131,798,0.03253383189,798,0.03279675171,798,0.03201172501,798,0.03267675638,
797,0.03200121969,797,0.03274469078,797,0.03326354548,797,0.1005166173,797,0.04698943347,797,0.04153768718,797,0.03278371692,797,0.03256976604,797,0.03286797181,797,0.03200121969,797,0.03274469078,
796,0.03201629221,796,0.03263626248,796,0.03331608698,796,0.1005664095,796,0.0469671376,796,0.04168788344,796,0.03279965371,796,0.03263659775,796,0.03284993768,796,0.03201629221,796,0.03263626248,
795,0.03205728903,795,0.03268077597,795,0.03320891038,795,0.1005430818,795,0.04708786309,795,0.04159192741,795,0.03282768652,795,0.03259066492,795,0.0328495726,795,0.03205728903,795,0.03268077597,
794,0.0320395641,794,0.03269584477,794,0.03320424631,794,0.1005558074,794,0.04706656933,794,0.0416151993,794,0.03277905285,794,0.03260777146,794,0.03275903687,794,0.0320395641,794,0.03269584477,
793,0.03201130405,793,0.03271856532,793,0.03320511058,793,0.1006362811,793,0.04705165699,793,0.0416446887,793,0.03282494843,793,0.03269900009,793,0.03277134895,793,0.03201130405,793,0.03271856532,
792,0.03191439807,792,0.0326830335,792,0.03316920623,792,0.1006129757,792,0.04716316611,792,0.04162568599,792,0.03280934319,792,0.03261441365,792,0.03279549628,792,0.03191439807,792,0.0326830335,
791,0.03180472925,791,0.03259571642,791,0.03319323435,791,0.1006098762,791,0.04706406221,791,0.04157728329,791,0.03270795941,791,0.0325203836,791,0.03272914514,791,0.03180472925,791,0.03259571642,
790,0.03182032704,790,0.03257950395,790,0.0331011191,790,0.1005101278,790,0.04700475186,790,0.04156548902,790,0.03264309838,790,0.03250383958,790,0.03260966763,790,0.03182032704,790,0.03257950395,
789,0.03186662123,789,0.03250076994,789,0.03300947323,789,0.1005676165,789,0.04693166539,789,0.04161443189,789,0.03265381604,789,0.03249750659,789,0.03263363987,789,0.03186662123,789,0.03250076994,
788,0.03182851523,788,0.03241474181,788,0.03293482214,788,0.1004951149,788,0.0469913967,788,0.04149923846,788,0.03258274123,788,0.03239549696,788,0.03253106773,788,0.03182851523,788,0.03241474181,
787,0.03176559508,787,0.03244082257,787,0.03293155506,787,0.1004715636,787,0.04702300951,787,0.04146460444,787,0.03250919655,787,0.03238685057,787,0.03244935721,787,0.03176559508,787,0.03244082257,
786,0.03161434084,786,0.03235508502,786,0.03293772414,786,0.1004439294,786,0.04682793841,786,0.04138828814,786,0.0324460119,786,0.03226337209,786,0.03238941729,786,0.03161434084,786,0.03235508502,
785,0.03151988611,785,0.0322836712,785,0.03275850788,785,0.100430198,785,0.04691718891,785,0.0413158536,785,0.03231328353,785,0.03223713487,785,0.0322852321,785,0.03151988611,785,0.0322836712,
784,0.03156929463,784,0.03217585757,784,0.03275325894,784,0.100291878,784,0.04685706273,784,0.04131929949,784,0.03226409853,784,0.03215589747,784,0.03225520253,784,0.03156929463,784,0.03217585757,
783,0.0314547047,783,0.03213733435,783,0.03265615925,783,0.1003028303,783,0.04673204944,783,0.04126253352,783,0.03228684887,783,0.03203688934,783,0.03213775158,783,0.0314547047,783,0.03213733435,
782,0.03139751777,782,0.03197770193,782,0.03258240595,782,0.1002895236,782,0.04678994045,782,0.04122541472,782,0.0321428813,782,0.0319191888,782,0.03201763332,782,0.03139751777,782,0.03197770193,
781,0.03122224286,781,0.03189709783,781,0.03249831498,781,0.1001885086,781,0.04670256376,781,0.04112008587,781,0.03210533783,781,0.03188303113,781,0.03208616003,781,0.03122224286,781,0.03189709783,
780,0.03121985123,780,0.0318697989,780,0.03242269158,780,0.1001920626,780,0.04665854946,780,0.04105984792,780,0.03193986416,780,0.03177718073,780,0.03194016963,780,0.03121985123,780,0.0318697989,
779,0.03110395931,779,0.03175351024,779,0.03229144961,779,0.1000881419,779,0.04656442627,779,0.04101810977,779,0.03188965842,779,0.03174178675,779,0.03181486577,779,0.03110395931,779,0.03175351024,
778,0.03097764775,778,0.03175557032,778,0.03218982369,778,0.1000335142,778,0.04649844393,778,0.04089661688,778,0.03182851523,778,0.03159195557,778,0.03174713254,778,0.03097764775,778,0.03175557032,
777,0.03094145283,777,0.03156473115,777,0.03213178739,777,0.1000768617,777,0.04642210156,777,0.04085989669,777,0.03166081011,777,0.03160147741,777,0.0316385068,777,0.03094145283,777,0.03156473115,
776,0.03077639453,776,0.0314431265,776,0.03208025172,776,0.09994246811,776,0.04634372517,776,0.04063755646,776,0.03152545542,776,0.03150101751,776,0.03147140145,776,0.03077639453,776,0.0314431265,
775,0.03068301268,775,0.03140555695,775,0.03190021962,775,0.09990417957,775,0.04629306868,775,0.04063067958,775,0.03146063164,775,0.03130575269,775,0.03137812018,775,0.03068301268,775,0.03140555695,
774,0.03051691502,774,0.03123086505,774,0.03182132915,774,0.09973671287,774,0.04617671296,774,0.04049088061,774,0.03143714368,774,0.03127428889,774,0.03126441315,774,0.03051691502,774,0.03123086505,
773,0.0304367207,773,0.03123481572,773,0.03165334836,773,0.0997145623,773,0.04605742171,773,0.04041799903,773,0.03118246794,773,0.03106497414,773,0.03114214167,773,0.0304367207,773,0.03123481572,
772,0.03033022769,772,0.03102235124,772,0.03165796772,772,0.09970733523,772,0.04601534456,772,0.04028983042,772,0.03112679161,772,0.03099482693,772,0.03098568134,772,0.03033022769,772,0.03102235124,
771,0.03022295423,771,0.03083844855,771,0.0314117074,771,0.09956949949,771,0.04590119421,771,0.04018767923,771,0.03099049069,771,0.03081810474,771,0.03084770218,771,0.03022295423,771,0.03083844855,
770,0.02998424508,770,0.03067754023,770,0.03126680478,770,0.09950078279,770,0.04576233402,770,0.04006235674,770,0.03083088808,770,0.03064606525,770,0.03062864952,770,0.02998424508,770,0.03067754023,
769,0.02993889898,769,0.03058509529,769,0.03112804145,769,0.09933131933,769,0.0457024537,769,0.03994723409,769,0.03074002266,769,0.03055215627,769,0.03063139878,769,0.02993889898,769,0.03058509529,
768,0.02985886671,768,0.03046890162,768,0.03099160269,768,0.09927971661,768,0.04553729668,768,0.03983937576,768,0.03056993149,768,0.03043252788,768,0.03042567149,768,0.02985886671,768,0.03046890162,
767,0.02969796211,767,0.03029758483,767,0.03083828092,767,0.09922216833,767,0.04548630118,767,0.03968321159,767,0.03044771589,767,0.03017991409,767,0.03030713275,767,0.02969796211,767,0.03029758483,
766,0.02949888073,766,0.0301216729,766,0.0307759773,766,0.09909616411,766,0.04530775174,766,0.03950790688,766,0.03027846105,766,0.03017683327,766,0.0300679896,766,0.02949888073,766,0.0301216729,
