0.01M_PBTS,,0.01M_DPDS,,0.01M_MK,,0.001M_PBTS,,0.001M_DPDS,,0.001M_MK,,0.0001M_PBTS,,0.0001M_DPDS,,0.0001M_MK,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,0.000944414,800,0.000989011,800,0.001776091,800,0.002297258,800,0.001702098,800,0.001683439,800,0.001336268,800,0.000140402,800,0.000738663
799,0.000909861,799,0.000928175,799,0.001832835,799,0.002288566,799,0.001639888,799,0.001622661,799,0.001337722,799,0.000122018,799,0.000705836
798,0.000894867,798,0.000933934,798,0.001818798,798,0.002342177,798,0.001611488,798,0.001649554,798,0.001363793,798,3.84E-05,798,0.000791252
797,0.000949888,797,0.000932922,797,0.001837956,797,0.002223644,797,0.001561943,797,0.001595068,797,0.001307058,797,8.32E-05,797,0.000647736
796,0.000935023,796,0.000946101,796,0.001934125,796,0.002331818,796,0.001627728,796,0.00177071,796,0.001354393,796,0.000111868,796,0.000855804
795,0.001022949,795,0.00094265,795,0.001936543,795,0.002386397,795,0.001644175,795,0.001726527,795,0.001416094,795,0.000138641,795,0.000781423
794,0.000846727,794,0.000886956,794,0.001959009,794,0.002275165,794,0.001625337,794,0.001613203,794,0.001297218,794,4.23E-05,794,0.000739467
793,0.000900444,793,0.000957334,793,0.001997886,793,0.002305612,793,0.001671849,793,0.001785968,793,0.001343539,793,9.92E-05,793,0.000840735
792,0.000921949,792,0.00095806,792,0.001987848,792,0.002348735,792,0.001636744,792,0.001759898,792,0.001367506,792,9.22E-05,792,0.00078412
791,0.000884985,791,0.000874739,791,0.001847939,791,0.002176579,791,0.001542823,791,0.001534328,791,0.001251343,791,1.29E-05,791,0.000704514
790,0.000927708,790,0.00107251,790,0.002084128,790,0.002314512,790,0.001683751,790,0.001773803,790,0.001416899,790,0.000130407,790,0.000795946
789,0.00096068,789,0.000969086,789,0.002001448,789,0.002313107,789,0.001592236,789,0.001683491,789,0.0013378,789,4.72E-05,789,0.00084377
788,0.000837571,788,0.000838168,788,0.001995441,788,0.002346991,788,0.001532328,788,0.001638147,788,0.001282263,788,2.02E-05,788,0.000720693
787,0.000911391,787,0.000917798,787,0.002008392,787,0.002236394,787,0.001629183,787,0.00170163,787,0.00137405,787,8.14E-05,787,0.000757488
786,0.000904802,786,0.000908927,786,0.002022383,786,0.002268529,786,0.001655478,786,0.001755116,786,0.001376621,786,3.30E-05,786,0.000757981
785,0.000981539,785,0.001012907,785,0.00212801,785,0.002324089,785,0.001663274,785,0.001756831,785,0.001399811,785,0.000174558,785,0.000833447
784,0.001000557,784,0.000975884,784,0.002142811,784,0.002226168,784,0.001584779,784,0.001776351,784,0.001290104,784,0.000116347,784,0.000788425
783,0.000954324,783,0.000962964,783,0.00208959,783,0.002314121,783,0.001595016,783,0.001719484,783,0.001419133,783,4.67E-05,783,0.000783317
782,0.000953131,782,0.000975131,782,0.002176319,782,0.002322866,782,0.001632924,782,0.001747682,782,0.001364546,782,8.64E-05,782,0.000765812
781,0.000863248,781,0.00085609,781,0.002137505,781,0.002292158,781,0.001619153,781,0.001714702,781,0.001286027,781,6.75E-05,781,0.000698629
780,0.000930976,780,0.000995083,780,0.002182719,780,0.002275763,780,0.001610501,780,0.001673512,780,0.001285326,780,9.60E-06,780,0.000695051
779,0.000946127,779,0.000939537,779,0.002233922,779,0.002333744,779,0.001661923,779,0.001774609,779,0.001341773,779,0.000109615,779,0.000769909
778,0.000783394,778,0.000901197,778,0.002149315,778,0.002253958,778,0.001558046,778,0.001690248,778,0.001277719,778,0.000114094,778,0.000740763
777,0.00093217,777,0.001005617,777,0.002306887,777,0.002351754,777,0.001647033,777,0.001745837,777,0.001477519,777,0.000199005,777,0.000848568
776,0.00087601,776,0.000989141,776,0.002166277,776,0.002267645,776,0.001683647,776,0.001762029,776,0.001315678,776,6.21E-06,776,0.000758992
775,0.000872404,775,0.000926774,775,0.002341344,775,0.002333848,775,0.001681178,775,0.001659662,775,0.001387528,775,4.87E-05,775,0.000787777
774,0.000858865,774,0.000916968,774,0.002195285,774,0.002214408,774,0.001589482,774,0.001658441,774,0.001388307,774,2.74E-05,774,0.000780568
773,0.000897565,773,0.000914556,773,0.002264652,773,0.002253645,773,0.00166686,773,0.001663664,773,0.001370752,773,6.35E-05,773,0.000709622
772,0.001003074,772,0.001059198,772,0.002406882,772,0.002406465,772,0.001704826,772,0.001793896,772,0.001435936,772,0.000172668,772,0.000876788
771,0.000842862,771,0.000872664,771,0.002361514,771,0.002292522,771,0.001615827,771,0.001589664,771,0.001319105,771,7.69E-06,771,0.000674361
770,0.000908097,770,0.001059899,770,0.002412504,770,0.002277039,770,0.001619465,770,0.0018084,770,0.00130994,770,0.000137036,770,0.000818509
769,0.000963794,769,0.000970228,769,0.002417216,769,0.002363961,769,0.001671615,769,0.001774531,769,0.001349381,769,7.62E-05,769,0.00075907
768,0.000898084,768,0.000938915,768,0.002416487,768,0.002308995,768,0.001638589,768,0.001708855,768,0.001352861,768,8.15E-05,768,0.000815189
767,0.000953235,767,0.000990828,767,0.002474252,767,0.002308865,767,0.001691729,767,0.001756285,767,0.001333438,767,0.000143432,767,0.000794494
766,0.000863586,766,0.000958994,766,0.002336633,766,0.002260333,766,0.001583039,766,0.001708153,766,0.001337177,766,7.06E-05,766,0.000785884
765,0.000841072,765,0.001003878,765,0.002470243,765,0.002294005,765,0.001687987,765,0.001741887,765,0.001340267,765,6.73E-05,765,0.00079981
764,0.000923765,764,0.000993734,764,0.002535671,764,0.002267671,764,0.001648852,764,0.001769983,764,0.001391033,764,9.38E-05,764,0.000794701
763,0.000937851,763,0.001040619,763,0.002505702,763,0.00236914,763,0.001685128,763,0.001768917,763,0.001368519,763,8.70E-05,763,0.00079133
