URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H3F_conc
Number	7
Position	5
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:47:11 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500490
Time Max. (min)	6.996633
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2696275.648772
Signal Max.	96889854.562278
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500490	n.a.	2696275.648772
2.503890	0.204	2700095.763065
2.507292	0.2041	2854693.760900
2.510692	0.204	2921667.432959
2.514093	0.2041	2840289.265017
2.517495	0.2041	2851524.725580
2.520895	0.204	2869580.547189
2.524297	0.2041	2836497.941082
2.527698	0.2041	2873195.813072
2.531098	0.204	2896407.527905
2.534500	0.2041	2947498.212646
2.537900	0.204	3005721.280720
2.541302	0.2041	2975812.121702
2.544703	0.2041	2950766.513030
2.548103	0.204	2971821.122580
2.551505	0.2041	2926455.281945
2.554905	0.204	2844357.416902
2.558307	0.2041	2849009.362548
2.561708	0.2041	2908814.061948
2.565108	0.204	2922000.080283
2.568510	0.2041	2835437.607040
2.571910	0.204	2736046.651058
2.575312	0.2041	2834971.402880
2.578713	0.2041	2976514.209112
2.582113	0.204	2955457.352300
2.585515	0.2041	2897378.524495
2.588917	0.2041	2800516.441614
2.592317	0.204	2860580.995893
2.595718	0.2041	2939372.320850
2.599118	0.204	2884474.263258
2.602520	0.2041	2853652.112389
2.605922	0.2041	2828782.107309
2.609322	0.204	2936158.183244
2.612723	0.2041	2988241.664376
2.616123	0.204	2790035.763980
2.619525	0.2041	2755439.248920
2.622927	0.2041	2863517.721723
2.626327	0.204	2908080.431981
2.629728	0.2041	2846862.986092
2.633128	0.204	2945210.433367
2.636530	0.2041	3003045.198003
2.639932	0.2041	2794280.052954
2.643332	0.204	2850845.311407
2.646733	0.2041	2875459.870684
2.650133	0.204	2821796.214504
2.653535	0.2041	2859784.215954
