URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/306.smp/MSDevice.xraw
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H3F_conc
Number	7
Position	5
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:47:11 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Data Points	270
Mass Min. (m/z)	150.000000
Mass Max. (m/z)	399.968075
Retention Time (min)	3.439170
Mass Resolution	0.500000
Tolerance Unit	Amu
Scan Number	277
Scan Type	+ c EI Full ms [150.00-400.00]
Is Centroid Scan	True
Base Peak Mass	159.023682
Base Peak Intensity	1282889.125000
Total Ion Count	7366842.224963

Raw Data:
Mass (m/z)	Value (counts)
150.2	2620.800293
151.0	35182.542969
152.1	23344.093750
153.1	69530.539063
154.0	13124.826172
154.9	6377.133789
155.7	10184.559570
156.6	16333.958008
157.5	13020.691406
158.1	2210.159424
159.0	1282889.125000
160.1	140771.265625
161.1	477368.218750
162.0	230240.765625
162.5	102671.500000
163.3	41447.398438
164.3	26559.529297
165.0	28691.968750
165.9	2950.703857
166.9	18284.322266
167.5	1432.149292
168.7	3724.741211
169.6	1793.533691
170.1	1201.262451
171.1	10669.754883
172.0	66170.179688
172.6	1388.489258
173.1	58758.800781
173.8	7671.589355
174.4	6590.826660
175.1	19471.183594
176.1	18186.044922
176.9	31609.132813
178.2	24281.582031
179.1	23316.408203
180.2	10670.524414
180.9	7325.454590
181.9	10709.739258
183.3	24367.244141
184.1	7906.964844
185.0	187339.718750
186.1	27719.425781
187.1	13503.442383
187.9	2088.306396
189.1	18695.095703
189.9	4096.684570
191.0	113123.554688
192.2	26812.781250
193.0	52445.300781
193.9	13904.427734
194.4	713.407227
195.0	13411.893555
196.0	13367.677734
196.9	16217.816406
197.4	724.684021
198.2	420.154144
199.1	4467.423340
199.8	3079.325439
200.6	9643.647461
201.3	785.301514
202.0	5791.130371
202.8	3428.267822
204.1	5710.883789
205.1	16058.970703
206.0	7751.857910
207.0	685729.312500
208.0	133832.546875
209.1	93637.554688
210.0	16591.681641
211.0	7729.244141
211.7	2182.328369
212.2	1074.814697
213.1	3259.950684
213.9	5642.079590
215.3	1646.752441
216.5	6430.630371
217.4	4706.864746
218.1	2935.743408
219.1	5934.962402
220.2	5244.936523
221.1	112991.304688
222.0	22388.748047
223.0	7676.317871
224.1	1330.740234
225.0	5013.277344
226.2	2853.524902
226.9	4571.299805
227.9	2084.114502
228.8	5405.004395
229.5	2906.446289
230.3	249.556595
231.3	3567.230469
232.0	462.683105
232.9	4245.581543
234.2	3854.866211
235.0	11956.419922
236.0	2566.187500
236.9	6471.091797
238.0	3422.775879
238.6	4662.600586
239.1	10191.674805
240.4	2782.430664
241.2	8644.690430
242.1	1757.780762
