URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1228461.495667
Signal Max.	32525129.015537
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500672	n.a.	1228461.495667
2.504073	0.2041	1354019.904598
2.507473	0.204	1568094.403885
2.510875	0.2041	1597059.728254
2.514275	0.204	1638135.131945
2.517677	0.2041	1740508.310508
2.521078	0.2041	1719140.702916
2.524478	0.204	1698157.903068
2.527880	0.2041	1794554.135339
2.531280	0.204	2350162.831314
2.534682	0.2041	3581850.803351
2.538083	0.2041	4939560.156041
2.541483	0.204	5726611.006948
2.544885	0.2041	5832365.354914
2.548287	0.2041	5816328.542218
2.551687	0.204	5828798.362946
2.555088	0.2041	5821144.661404
2.558488	0.204	5781742.761025
2.561890	0.2041	5748760.698095
2.565292	0.2041	5846026.748140
2.568692	0.204	5913770.317979
2.572093	0.2041	5920228.223438
2.575493	0.204	5833577.787718
2.578895	0.2041	5817046.417505
2.582297	0.2041	5825895.353045
2.585697	0.204	5882867.693117
2.589098	0.2041	5813933.428766
2.592498	0.204	5714867.522401
2.595900	0.2041	5866039.445591
2.599302	0.2041	5701712.188650
2.602702	0.204	5501646.268983
2.606103	0.2041	5737344.736821
2.609505	0.2041	5904698.573890
2.612905	0.204	5829906.481404
2.616307	0.2041	5813222.499279
2.619707	0.204	5799930.277046
2.623108	0.2041	5713470.007247
2.626510	0.2041	5693820.548473
2.629910	0.204	5570728.757176
2.633312	0.2041	5353882.446039
2.636712	0.204	5385042.505587
2.640113	0.2041	5562263.323019
2.643515	0.2041	5663966.071554
2.646915	0.204	5750300.283814
2.650317	0.2041	5746576.060843
2.653717	0.204	5651257.756450
2.657118	0.2041	5659673.741444
2.660520	0.2041	5699389.206312
2.663920	0.204	5614327.605362
2.667322	0.2041	5549268.534567
2.670722	0.204	5680828.682861
2.674123	0.2041	5826635.250212
2.677525	0.2041	5752748.193494
2.680925	0.204	5849469.132034
2.684327	0.2041	5814499.964528
2.687728	0.2041	5560630.951015
2.691128	0.204	5695669.531295
2.694530	0.2041	5749748.181463
2.697930	0.204	5564352.095920
2.701332	0.2041	5628104.515600
2.704733	0.2041	5716241.014353
2.708133	0.204	5643307.305891
2.711535	0.2041	5619549.335568
2.714935	0.204	5615630.677743
2.718337	0.2041	5580728.029290
2.721738	0.2041	5609525.490726
2.725138	0.204	5825329.712762
2.728540	0.2041	5821410.692864
2.731940	0.204	5763827.674524
2.735342	0.2041	5999373.807701
2.738743	0.2041	6033575.036518
2.742143	0.204	5929779.135439
2.745545	0.2041	5873555.627425
2.748947	0.2041	5880551.590112
2.752347	0.204	5872078.889224
2.755748	0.2041	5785334.521055
2.759148	0.204	5947994.581377
2.762550	0.2041	6074626.886603
2.765952	0.2041	5909522.977263
2.769352	0.204	5758020.922752
2.772753	0.2041	5755995.182203
2.776153	0.204	5905376.702642
2.779555	0.2041	5978268.756478
2.782957	0.2041	5779407.486685
2.786357	0.204	5606382.577998
2.789758	0.2041	5650023.100798
2.793158	0.204	5791046.653771
2.796560	0.2041	6035298.866080
2.799962	0.2041	6025044.217939
2.803362	0.204	5810768.847415
2.806763	0.2041	5698033.162124
2.810165	0.2041	5764600.108745
2.813565	0.204	5827774.755879
2.816967	0.2041	5708717.142931
2.820367	0.204	5804638.463824
2.823768	0.2041	5888860.662789
2.827170	0.2041	5793107.377386
2.830570	0.204	5725878.273912
2.833972	0.2041	5832079.936813
2.837372	0.204	5890390.370477
2.840773	0.2041	5813005.653968
2.844175	0.2041	5844596.990943
2.847575	0.204	5844885.356161
2.850977	0.2041	5774556.721959
2.854377	0.204	5724446.679762
2.857778	0.2041	5804122.932162
2.861180	0.2041	5868526.063174
2.864580	0.204	5897539.091783
2.867982	0.2041	5956537.358047
2.871382	0.204	5829033.766663
2.874783	0.2041	5798443.973762
2.878185	0.2041	5926698.228934
2.881585	0.204	6026588.637095
2.884987	0.2041	5824668.644800
2.888388	0.2041	5663668.315688
2.891788	0.204	5870922.221465
2.895190	0.2041	5801944.970632
2.898590	0.204	5849531.245166
2.901992	0.2041	6045644.347901
2.905393	0.2041	5856962.793582
2.908793	0.204	5949403.714823
2.912195	0.2041	5876876.404190
2.915595	0.204	5800609.251220
2.918997	0.2041	6014285.506662
2.922398	0.2041	5895597.330044
2.925798	0.204	6001523.570095
2.929200	0.2041	6082639.452146
2.932600	0.204	5796562.246641
