URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/177.smp/MSDevice.xraw
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Data Points	267
Mass Min. (m/z)	150.000000
Mass Max. (m/z)	399.968075
Retention Time (min)	3.782855
Mass Resolution	0.500000
Tolerance Unit	Amu
Scan Number	378
Scan Type	+ c EI Full ms [150.00-400.00]
Is Centroid Scan	True
Base Peak Mass	266.134674
Base Peak Intensity	7175986.500000
Total Ion Count	32525129.015537

Raw Data:
Mass (m/z)	Value (counts)
150.3	23720.449219
151.1	43265.187500
152.0	277954.812500
153.1	103608.218750
154.1	24269.935547
155.0	22804.882813
156.0	33116.050781
157.0	49032.136719
158.1	12950.358398
159.1	145865.187500
160.1	120518.593750
161.1	2671454.250000
162.1	6910131.000000
163.1	865570.812500
164.1	116776.195313
165.0	419281.750000
166.0	140113.140625
167.0	238083.812500
168.1	42924.140625
169.0	4526.911133
170.1	6796.841797
171.1	4838.149902
171.9	6678.296875
173.0	39803.339844
174.1	75379.156250
175.1	592574.250000
176.2	172892.265625
177.1	78426.468750
178.0	431738.031250
179.0	253066.890625
180.1	57780.906250
181.0	65464.222656
182.1	11825.537109
182.8	5349.177734
184.1	1895.984009
184.9	1656.873169
185.9	3692.409668
186.7	4088.924316
187.2	20266.000000
188.2	119863.890625
189.1	147957.453125
190.0	66092.945313
191.0	273357.656250
192.1	70147.328125
193.1	356293.218750
194.1	191353.703125
195.1	222274.437500
196.1	1554794.375000
197.1	304321.906250
198.1	23917.833984
199.0	6362.725098
200.1	7326.928711
200.9	3193.707275
201.8	6201.197266
203.1	30690.765625
204.1	3843.377930
205.0	44335.210938
205.9	10005.612305
207.0	1238405.750000
208.1	283597.843750
209.1	238281.625000
210.0	43392.933594
211.0	17252.447266
211.9	758.141418
212.4	5.097091
213.7	563.632874
214.9	3573.747314
216.4	3987.341064
217.1	673.579651
218.0	6545.190918
218.6	6140.735840
219.2	5412.716797
219.8	4528.581543
221.0	174088.609375
222.1	54199.878906
223.0	29867.199219
223.9	4835.408203
224.9	6824.300293
225.5	2952.621338
226.2	1015.214111
227.0	1489.387451
228.0	6679.146973
230.2	14.300842
231.1	724.903931
232.5	3083.949951
233.5	3538.647949
234.2	997.276978
235.0	13590.809570
235.9	6905.571777
236.6	9777.031250
237.6	15972.151367
238.3	1218.310425
238.9	11769.768555
240.1	803.986816
240.7	2717.269287
241.5	323.796478
242.6	876.252014
243.2	7.501945
244.2	3096.584473
246.0	510.343536
247.1	7360.478516
247.7	1161.683472
248.3	456.368713
248.9	58718.339844
