#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_06_17_PS2439_6_1K_350C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS2934_6.1K                                 
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,6/17/2024 6:49:02 PM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,                                            
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,PS2934_6.1K-high-vac                        
#SAMPLE MASS /mg:            ,5                                           
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.41000,  0.01338,9.589195e-12,1.068592e-09,1.273155e-10,4.660606e-10,1.902580e-12,5.802513e-10,2.293491e-13,3.664500e-13,8.368492e-14,5.311012e-14,1.446438e-13,5.932719e-13,2.827981e-12,3.391736e-08,2.589226e-10,3.363609e-12,8.883577e-13,7.532793e-09,6.640434e-12,3.028774e-11,1.479244e-13,2.581310e-11,9.997368e-14,5.556636e-12,1.213619e-12,8.570391e-09,1.091957e-12,4.642969e-13,2.802944e-13,4.517847e-11,6.391245e-13,3.162485e-13,5.175591e-14,2.795124e-13,3.624916e-14,6.489754e-14,4.975319e-14,4.290581e-14,6.234169e-14,9.261131e-14,3.832817e-14,8.120537e-14,6.777763e-14,3.106117e-14,3.506660e-14,7.321358e-14,5.661964e-14,5.072594e-14,4.441261e-14,2.121448e-13,4.700661e-14,6.955147e-14,3.706932e-14,3.388405e-14,4.412651e-14,3.832817e-14,4.870415e-14,3.701210e-14,4.775047e-14,5.154610e-14,4.029274e-14,4.105568e-14,4.160881e-14,3.546715e-14,4.490852e-14,3.108024e-14,3.859520e-14,4.343986e-14,3.415108e-14,6.949425e-14,2.343178e-14,3.790855e-14,2.549171e-14,2.747536e-14,4.055977e-14,3.642082e-14,4.321098e-14,1.814842e-14,2.772331e-14,4.059792e-14,4.687309e-14,2.512932e-14,5.679131e-14,1.046181e-14,1.698494e-14,3.146171e-14,4.134178e-14,3.197670e-14,3.668785e-14,1.578331e-14,4.984856e-14,5.362511e-14,4.929542e-14,2.142906e-14,1.461983e-14,3.111839e-14,2.459526e-14,2.427101e-14,3.075600e-14,3.066063e-14,3.376961e-14,3.924370e-14,8.287430e-15,4.338265e-14,9.546280e-15,4.830361e-14,2.810478e-14,2.673149e-14,2.043724e-14,2.333641e-14,2.032280e-14,2.631187e-14,3.266335e-14,1.284599e-14,2.387047e-14,1.292229e-14,4.391670e-14,3.575325e-14,1.511574e-14,1.038551e-14,1.143456e-14,2.635002e-14,1.940727e-14,5.032539e-14,3.470421e-14,3.428459e-14,1.240730e-14,3.409386e-14,2.610207e-14,1.473427e-14,3.535271e-14,2.739906e-14,3.933907e-14,5.707741e-14,1.868248e-14,2.682686e-14
 31.42000,  0.19029,9.665489e-12,1.064587e-09,1.271248e-10,4.704476e-10,2.129555e-12,6.007286e-10,2.675533e-13,3.937441e-13,8.267403e-14,9.863853e-14,1.573658e-13,6.290346e-13,2.935003e-12,3.390687e-08,2.575874e-10,3.306389e-12,8.551699e-13,7.508761e-09,6.655693e-12,2.954006e-11,1.281834e-13,2.628612e-11,5.959511e-14,5.579811e-12,1.159087e-12,8.871561e-09,1.051903e-12,3.946024e-13,2.771473e-13,4.554850e-11,6.101137e-13,2.461338e-13,3.685951e-14,2.653026e-13,4.530907e-14,4.292488e-14,4.412651e-14,5.311012e-14,4.363060e-14,7.857323e-14,5.518913e-14,3.779411e-14,3.466606e-14,1.883507e-14,4.036903e-14,4.717827e-14,5.707741e-14,2.371788e-14,3.983498e-14,1.803493e-13,4.975319e-14,3.550529e-14,4.797935e-14,4.031181e-14,5.431175e-14,2.476692e-14,3.367424e-14,3.758431e-14,2.022743e-14,5.690575e-14,2.562523e-14,1.997948e-14,3.285408e-14,3.901482e-14,2.621651e-14,5.705833e-14,4.200935e-14,3.941536e-14,3.230095e-14,6.529808e-14,2.131462e-14,5.059242e-14,3.680229e-14,3.912926e-14,2.322197e-14,8.115768e-15,3.256798e-14,3.230095e-14,2.930641e-14,3.680229e-14,2.875328e-14,2.602577e-14,2.078056e-14,1.554489e-15,3.170967e-14,5.507469e-14,3.359794e-14,4.273415e-14,1.370430e-14,2.305031e-14,3.573418e-14,3.968239e-14,2.088547e-15,1.584053e-14,2.535820e-14,3.508568e-14,1.038551e-14,1.286507e-14,1.797676e-14,1.557350e-14,3.083229e-14,4.223824e-14,2.533913e-14,1.265526e-14,3.506660e-14,1.000000e-17,2.900124e-14,1.790047e-14,1.000000e-17,4.399300e-14,2.305031e-14,2.741814e-14,3.237724e-14,1.358986e-14,4.073143e-14,1.000000e-17,2.367973e-14,2.604485e-14,1.248360e-14,2.703667e-14,2.775192e-15,2.430916e-14,1.547813e-14,2.146721e-14,2.575874e-14,3.005028e-14,2.768517e-14,1.473427e-14,2.470970e-14,3.586769e-14,3.922463e-14,1.446724e-14,1.107216e-14,2.266884e-14,3.237724e-14,9.469986e-15
 31.46400,  0.37256,9.589195e-12,1.054668e-09,1.288414e-10,4.681587e-10,2.074242e-12,6.223446e-10,2.773952e-13,3.853709e-13,1.058865e-13,9.366036e-14,1.782703e-13,5.791765e-13,2.797234e-12,3.361314e-08,2.564430e-10,3.329277e-12,8.947092e-13,7.442957e-09,6.506920e-12,2.980327e-11,1.239109e-13,2.722073e-11,7.004738e-14,5.826660e-12,1.243755e-12,9.130007e-09,1.049995e-12,4.389101e-13,2.366924e-13,4.485995e-11,5.793864e-13,2.478123e-13,5.331993e-14,2.299404e-13,4.746437e-14,5.957604e-14,4.221916e-14,5.280495e-14,6.924629e-14,5.761147e-14,3.901482e-14,6.325722e-14,2.165794e-14,3.279686e-14,1.599312e-14,5.560875e-14,2.484322e-14,4.263878e-14,3.455162e-14,2.177143e-13,4.244804e-14,3.447533e-14,5.164146e-14,4.319191e-14,3.167152e-14,2.870560e-15,3.270149e-14,2.263069e-14,5.688667e-14,1.467705e-14,4.876137e-14,2.884865e-14,2.331734e-14,5.219459e-14,2.093315e-14,2.070427e-14,2.737999e-14,4.088402e-14,2.722740e-14,3.806114e-14,1.000000e-17,3.960610e-14,1.742363e-14,2.469063e-14,2.593040e-14,1.645088e-14,1.000000e-17,3.926277e-14,1.870155e-14,1.856804e-14,1.482964e-14,3.279686e-14,1.000000e-17,3.405571e-14,1.469612e-14,2.642631e-14,3.678322e-14,3.437996e-14,4.363060e-14,1.322746e-14,3.924370e-14,3.952980e-14,1.839638e-14,7.467270e-15,4.193306e-14,1.790047e-14,6.990433e-15,3.516197e-14,2.371788e-14,3.327370e-14,2.736092e-14,4.330635e-14,3.333092e-14,1.103401e-14,1.263618e-14,3.499031e-14,5.025864e-15,5.036354e-14,3.373146e-14,1.000000e-17,2.879143e-14,9.393692e-15,1.931191e-14,4.240990e-14,7.390976e-15,2.619743e-14,1.492500e-14,3.649711e-14,2.709389e-14,4.214287e-14,8.096695e-15,1.286507e-14,3.642082e-14,2.336502e-15,1.000000e-17,1.936913e-14,3.167152e-14,3.581047e-14,1.629829e-14,1.370430e-14,4.103660e-14,2.919197e-14,1.944542e-14,4.128456e-14,1.183510e-14,1.849175e-14
 31.58400,  0.55053,9.371757e-12,1.044559e-09,1.271248e-10,4.652977e-10,2.120018e-12,6.380154e-10,2.503490e-13,3.988939e-13,7.550240e-14,9.064674e-14,1.339626e-13,6.481844e-13,2.930692e-12,3.345998e-08,2.535820e-10,3.331184e-12,9.003741e-13,7.379633e-09,6.440163e-12,2.962398e-11,1.404667e-13,2.855587e-11,8.605004e-14,6.147514e-12,1.255370e-12,9.435952e-09,1.086235e-12,4.375559e-13,2.520847e-13,4.446703e-11,6.543642e-13,2.368641e-13,5.141258e-14,2.595616e-13,2.467155e-14,6.373405e-14,2.846718e-14,3.680229e-14,2.343178e-14,7.018089e-14,3.827095e-14,4.124642e-14,5.406380e-14,3.636360e-14,4.532814e-14,5.755424e-14,3.596306e-14,4.641533e-14,4.183769e-14,1.772022e-13,4.773140e-14,4.809380e-14,2.930641e-14,3.108024e-14,2.938271e-14,3.108024e-14,2.591133e-14,3.062248e-14,3.502846e-14,3.237724e-14,5.381584e-14,4.866600e-14,4.458427e-14,3.746986e-14,3.239632e-14,2.438545e-14,2.091408e-14,3.821373e-14,5.963325e-14,6.783486e-14,3.926277e-14,1.763344e-14,6.178856e-14,4.828453e-14,1.328468e-14,1.652718e-14,3.596306e-14,2.818108e-14,3.590584e-14,9.527206e-15,2.757072e-14,2.856255e-14,4.380226e-14,3.701210e-14,1.463890e-14,3.163338e-14,2.985954e-14,1.866341e-14,3.100395e-14,4.625320e-15,2.406120e-14,1.000000e-17,1.570702e-14,7.696152e-15,3.605843e-14,1.704216e-14,1.847267e-14,4.902839e-14,4.320145e-15,1.708031e-14,1.996040e-14,3.975868e-14,3.647804e-14,1.538277e-14,1.158714e-14,2.660751e-15,2.530098e-14,3.367424e-14,2.186775e-14,1.467705e-14,8.554458e-15,1.488686e-14,2.882958e-14,2.514839e-14,3.371239e-14,4.572868e-14,3.369331e-14,4.551888e-14,9.393692e-15,2.461433e-14,3.237724e-14,2.390861e-14,3.142357e-14,1.315117e-14,2.800941e-14,3.108024e-14,1.683235e-14,3.138542e-14,2.362251e-14,3.872871e-14,1.736641e-14,3.264427e-14,3.046989e-14,3.611565e-14,1.000000e-17,2.352714e-14
 31.78600,  0.73063,9.472847e-12,1.031017e-09,1.276970e-10,4.662514e-10,2.064705e-12,6.543003e-10,2.562237e-13,4.401308e-13,1.225185e-13,9.013176e-14,1.402378e-13,5.740076e-13,3.089193e-12,3.311914e-08,2.528191e-10,3.294945e-12,8.892542e-13,7.341486e-09,6.598472e-12,2.888584e-11,9.657860e-14,2.921200e-11,7.941246e-14,6.245533e-12,1.250793e-12,9.750283e-09,1.120567e-12,4.313189e-13,2.938747e-13,4.460245e-11,6.027132e-13,2.541637e-13,3.903389e-14,2.320576e-13,5.791664e-14,7.426262e-14,4.693031e-14,2.839088e-14,4.672050e-14,7.512093e-14,6.047249e-14,3.489494e-14,2.909660e-14,2.726555e-14,3.109932e-14,4.582405e-14,1.191139e-14,1.395226e-14,4.649162e-14,2.091122e-13,4.996300e-14,5.770683e-14,3.226280e-14,2.926826e-14,4.761696e-14,2.781868e-14,1.357079e-14,3.954887e-14,3.252983e-14,5.140305e-15,3.947258e-14,1.950264e-14,3.840446e-14,4.664421e-14,2.343178e-14,4.092216e-14,1.000000e-17,3.386497e-14,3.115654e-14,7.529259e-14,2.129555e-14,3.390312e-14,1.215935e-14,2.140999e-14,4.803658e-14,4.237175e-14,4.118919e-14,1.000000e-17,2.858162e-14,4.172325e-14,2.955437e-14,1.887322e-14,2.892494e-14,2.640724e-14,2.102852e-14,2.392769e-14,3.359794e-14,6.551743e-15,3.247261e-14,4.389763e-14,2.148628e-14,2.404213e-14,2.745628e-14,3.119469e-14,4.006386e-14,3.951073e-14,3.640175e-14,3.595352e-15,1.341820e-14,2.800941e-14,2.478599e-14,2.417564e-14,1.730919e-14,4.954338e-14,2.444267e-14,2.968788e-14,1.532555e-14,1.935005e-14,1.299858e-14,2.152443e-14,1.000000e-17,4.317284e-14,4.620552e-14,3.884316e-14,3.449440e-14,4.132271e-14,2.408028e-14,2.764702e-14,1.044273e-14,4.181862e-14,3.033638e-14,1.584053e-14,2.102852e-14,2.490044e-14,2.985954e-14,1.080513e-14,2.390861e-14,7.085800e-15,3.270149e-14,3.672600e-14,5.693436e-15,2.970695e-14,4.494667e-14,1.990318e-14,2.696037e-14,1.307488e-14
 32.04300,  0.91283,9.198188e-12,1.023388e-09,1.259804e-10,4.683495e-10,2.127647e-12,6.740777e-10,2.710438e-13,3.670031e-13,8.315087e-14,7.670402e-14,1.659679e-13,5.933481e-13,3.025144e-12,3.270620e-08,2.503395e-10,3.323555e-12,8.095080e-13,7.253557e-09,6.337166e-12,2.904034e-11,1.230526e-13,2.958202e-11,7.021904e-14,6.463181e-12,1.312381e-12,9.993470e-09,1.095772e-12,4.062945e-13,2.768803e-13,4.479509e-11,6.269175e-13,2.638149e-13,5.700112e-14,2.878857e-13,4.118919e-14,6.524086e-14,6.941795e-14,5.702018e-14,3.811836e-14,7.653236e-14,2.154350e-14,2.251625e-14,4.353523e-14,5.768776e-14,3.287315e-14,4.488945e-14,2.282143e-14,3.232002e-14,3.865242e-14,1.757526e-13,1.652718e-14,5.915642e-14,2.339363e-14,4.920006e-14,2.945900e-14,5.730629e-14,3.821373e-14,3.655434e-14,2.669334e-14,2.657890e-14,2.058983e-14,6.058693e-14,6.031990e-14,1.601219e-14,2.755165e-14,2.751350e-14,2.421379e-14,1.536369e-14,2.795219e-14,3.867149e-14,2.421379e-14,4.555702e-14,1.748085e-14,3.399849e-14,1.603127e-14,2.947807e-14,3.769875e-14,6.144523e-14,2.810478e-14,1.543999e-14,1.802444e-15,2.829552e-14,8.249283e-15,3.916740e-14,3.184318e-14,6.017685e-15,4.513741e-14,4.700661e-14,3.480911e-15,3.611565e-14,3.771782e-14,4.893303e-14,2.911568e-14,3.239632e-14,1.233101e-14,4.445076e-14,2.560615e-14,3.071785e-14,1.802444e-15,3.842354e-14,2.863884e-14,1.990318e-14,3.201485e-14,3.436088e-14,2.837181e-14,5.761147e-14,1.170158e-14,2.091408e-14,4.663467e-15,2.476692e-14,2.018928e-14,1.553536e-14,2.133369e-14,1.311302e-14,1.427650e-14,1.841545e-14,1.206398e-14,4.664421e-14,1.826286e-14,8.649826e-15,7.219314e-15,3.796578e-14,1.859665e-15,3.333092e-14,2.291679e-14,1.812935e-14,2.615929e-14,1.437187e-14,2.573967e-14,1.366615e-14,2.432823e-14,4.820824e-14,1.700401e-14,2.989769e-14,1.929283e-14,3.418922e-14
 32.45700,  1.09515,9.194374e-12,1.007938e-09,1.259804e-10,4.626274e-10,2.175331e-12,6.912038e-10,2.648449e-13,3.883463e-13,7.590294e-14,8.509636e-14,1.582432e-13,5.545336e-13,2.875360e-12,3.250535e-08,2.472877e-10,3.315925e-12,8.336741e-13,7.252795e-09,6.136894e-12,2.835369e-11,1.297283e-13,3.053379e-11,9.163856e-14,6.779496e-12,1.263896e-12,1.028644e-08,1.107216e-12,4.546076e-13,2.967358e-13,4.429728e-11,6.774431e-13,2.657413e-13,3.647804e-14,2.374363e-13,3.010750e-14,6.085396e-14,6.144523e-14,5.017280e-14,3.182411e-14,9.133339e-14,1.612663e-14,1.660347e-14,3.493309e-14,3.510475e-14,2.825737e-14,4.015922e-14,4.818916e-14,3.117561e-14,6.005287e-14,2.197170e-13,4.124642e-14,5.305290e-14,3.561973e-14,2.953529e-14,2.301216e-14,1.564980e-14,1.925469e-14,2.226829e-14,4.645348e-14,4.519463e-14,2.768517e-14,3.302574e-14,2.993584e-14,3.851890e-14,2.020836e-14,1.606941e-14,2.549171e-14,2.758980e-14,4.202843e-14,5.433082e-14,2.875328e-14,2.209663e-14,1.908302e-14,3.603935e-14,4.454613e-14,1.454353e-14,2.140999e-14,8.039474e-15,2.991676e-14,3.535271e-14,2.921105e-14,2.074242e-14,2.987862e-14,4.426003e-14,4.233360e-14,1.141548e-14,2.758980e-14,4.067421e-14,2.993584e-14,2.930641e-14,2.148628e-14,1.524925e-14,1.442909e-14,3.806114e-14,1.185417e-14,1.477242e-14,1.786232e-14,1.341820e-14,1.996040e-14,1.532555e-14,1.946449e-14,2.873421e-14,1.538277e-14,2.167702e-14,2.440453e-14,3.338814e-14,1.000000e-17,1.139641e-14,4.597664e-14,2.463341e-14,1.000000e-17,1.000000e-17,2.509117e-14,3.567696e-14,9.717941e-15,2.038002e-14,2.484322e-14,1.952171e-14,5.063057e-14,2.705574e-14,1.141548e-14,2.164841e-15,1.580238e-14,1.395226e-14,2.280235e-14,1.215935e-14,7.848739e-15,3.413200e-14,2.943992e-14,2.013206e-14,3.642082e-14,1.782417e-14,9.441375e-16,1.469612e-14,4.063606e-14,1.000000e-17
 32.93400,  1.26960,9.102821e-12,9.997368e-10,1.252174e-10,4.616738e-10,2.076149e-12,7.119195e-10,2.875233e-13,3.720576e-13,1.076984e-13,8.698463e-14,1.295948e-13,5.829531e-13,2.890695e-12,3.227914e-08,2.467155e-10,3.199577e-12,8.226115e-13,7.169634e-09,6.167412e-12,2.848911e-11,1.168919e-13,3.129679e-11,8.233070e-14,6.771333e-12,1.437045e-12,1.055232e-08,1.112938e-12,4.044443e-13,2.990055e-13,4.450136e-11,5.838877e-13,2.170467e-13,3.893852e-14,1.994991e-13,4.733086e-14,5.843163e-14,5.509376e-14,5.143165e-14,1.973152e-14,8.143425e-14,4.731178e-14,3.870964e-14,2.301216e-14,5.166054e-14,3.508568e-14,5.473137e-14,2.829552e-14,2.562523e-14,3.746986e-14,1.788235e-13,4.330635e-14,4.740715e-14,2.451897e-14,2.720833e-14,3.281593e-14,3.447533e-14,3.862381e-15,2.472877e-14,1.347542e-14,3.121376e-14,3.308296e-14,2.596855e-14,2.213478e-14,3.693581e-14,2.772331e-14,3.251076e-14,2.936363e-14,2.953529e-14,2.728462e-14,3.321647e-14,2.879143e-14,4.729271e-14,1.341820e-14,6.513596e-15,4.044533e-14,3.729820e-14,2.478599e-14,5.064011e-15,4.057884e-14,2.396584e-14,1.765251e-14,2.200127e-14,2.121925e-14,9.164810e-15,2.202034e-14,4.586220e-14,1.786232e-14,3.690719e-15,3.676414e-14,3.275871e-14,8.535385e-15,1.301765e-14,1.000000e-17,4.099846e-14,3.806114e-14,1.315117e-14,8.287430e-15,6.361008e-15,2.980232e-14,1.859665e-15,2.076149e-14,8.955002e-15,3.169060e-14,1.713753e-14,2.383232e-14,2.221107e-14,4.092216e-14,2.367973e-14,7.886886e-15,3.581047e-14,4.237175e-14,7.724762e-16,1.862526e-14,2.879143e-14,1.717568e-14,1.959801e-14,2.263069e-14,2.892494e-14,2.982139e-14,1.938820e-14,3.043175e-14,2.270698e-14,3.404617e-15,2.488136e-14,3.684044e-14,3.121376e-14,1.929283e-14,2.730370e-14,1.866341e-14,1.980781e-14,3.188133e-14,2.514839e-14,9.641647e-15,1.301765e-14,1.000000e-17,2.614021e-14
 33.54000,  1.44512,8.854178e-12,9.865760e-10,1.252174e-10,4.624367e-10,2.215385e-12,7.261865e-10,2.765942e-13,3.956896e-13,8.551598e-14,1.040745e-13,1.552486e-13,5.458742e-13,2.998937e-12,3.187421e-08,2.440453e-10,3.247261e-12,8.578021e-13,7.099062e-09,6.100654e-12,2.824306e-11,1.292705e-13,3.189760e-11,7.496834e-14,6.843583e-12,1.472636e-12,1.078845e-08,1.132011e-12,3.913408e-13,2.562428e-13,4.354769e-11,6.228548e-13,2.660275e-13,4.605293e-14,2.030087e-13,1.910210e-14,6.424904e-14,7.266044e-14,5.036354e-14,4.933357e-14,5.234718e-14,3.989220e-14,5.003929e-14,4.281044e-14,2.844811e-14,1.622200e-14,3.844261e-14,7.164955e-14,2.676964e-14,3.178597e-14,2.208614e-13,4.063606e-14,4.071236e-14,2.861977e-14,3.430367e-14,2.547264e-14,3.790855e-14,3.712654e-14,2.303123e-14,1.299858e-14,3.132820e-14,3.216743e-14,4.323006e-14,3.596306e-14,1.885414e-14,3.560066e-14,3.731728e-14,3.062248e-14,2.938271e-14,4.061699e-14,5.850792e-14,1.325607e-15,4.786491e-14,1.332283e-14,1.652718e-14,2.955437e-14,4.273415e-14,5.655289e-15,1.593590e-14,3.264427e-14,3.008842e-14,2.551079e-14,3.048897e-14,1.435280e-14,2.049446e-14,9.050369e-15,2.709389e-14,1.202583e-14,5.074501e-14,1.912117e-14,2.989769e-14,3.085136e-14,3.031730e-14,1.952171e-14,4.776955e-14,2.329826e-14,1.608849e-14,2.606392e-14,3.844261e-14,3.911018e-14,1.057625e-14,2.514839e-14,1.000000e-17,1.000000e-17,1.448631e-14,2.698898e-15,7.390976e-15,2.335548e-14,2.802849e-14,2.112389e-14,1.938820e-14,3.094673e-14,1.821518e-15,2.417564e-14,6.628037e-15,1.715660e-14,3.138542e-14,2.398491e-14,7.314682e-15,1.000000e-17,3.216743e-14,2.768517e-14,2.324104e-14,2.856255e-14,1.192093e-15,1.311302e-14,2.593040e-14,1.172066e-14,3.230095e-14,3.061295e-15,1.211166e-15,3.060341e-14,3.271103e-15,9.374618e-15,6.341934e-15,1.000000e-17,3.909111e-14
 34.18900,  1.62722,8.988380e-12,9.814263e-10,1.238823e-10,4.597664e-10,2.268791e-12,7.440087e-10,2.864552e-13,3.966051e-13,9.354591e-14,9.072304e-14,1.415730e-13,5.875116e-13,2.875245e-12,3.169988e-08,2.429008e-10,3.031730e-12,8.634859e-13,7.056719e-09,6.066322e-12,2.806949e-11,9.116172e-14,3.262239e-11,8.515358e-14,7.243154e-12,1.487075e-12,1.107761e-08,1.137733e-12,3.809458e-13,2.805614e-13,4.376894e-11,6.496340e-13,2.443028e-13,4.023552e-14,2.504063e-13,4.134178e-14,3.064156e-14,2.760887e-14,5.661964e-14,2.036095e-14,6.859779e-14,2.093315e-14,7.468224e-14,3.806114e-14,3.643990e-14,2.457619e-14,5.284309e-14,2.968788e-14,2.566338e-14,3.014565e-14,2.127934e-13,3.890037e-14,4.155159e-14,1.914024e-14,2.463341e-14,4.017830e-14,2.232552e-14,4.132271e-14,3.018379e-14,1.738548e-14,1.687050e-14,2.018928e-14,3.207207e-14,4.450798e-14,2.266884e-14,2.833366e-14,2.268791e-14,3.624916e-14,5.427361e-14,4.454613e-14,5.274773e-14,6.685257e-15,4.382133e-14,1.534462e-14,3.415108e-14,1.824379e-14,2.354622e-14,4.582405e-14,1.534462e-14,2.511024e-14,1.929283e-14,1.486778e-14,3.129005e-14,3.453255e-14,2.200127e-14,4.292488e-14,2.146721e-14,5.707741e-14,2.381325e-14,2.928734e-14,1.000000e-17,2.850533e-14,3.275871e-14,2.924919e-14,1.732826e-14,1.091957e-14,1.767159e-14,3.291130e-14,2.713203e-14,2.263069e-14,1.584053e-14,1.526833e-14,2.768517e-14,2.898216e-14,2.490044e-14,1.000000e-17,5.700112e-14,6.341934e-15,2.026558e-14,2.261162e-14,2.737999e-14,1.000000e-17,3.746986e-14,5.858421e-14,4.132271e-14,2.547264e-14,3.352165e-14,2.154350e-14,2.491951e-14,1.465797e-14,1.379967e-14,3.766060e-14,3.315926e-14,4.487038e-14,1.299858e-14,3.794670e-14,3.167152e-14,2.730370e-14,4.973412e-14,1.630783e-15,1.244545e-14,1.000000e-17,5.903244e-15,2.190590e-14,4.873276e-15,2.907753e-14,2.142906e-14
