#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_06_17_PS2439_6_1K_350C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS2934_6.1K                                 
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,6/17/2024 6:49:02 PM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,                                            
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,PS2934_6.1K-high-vac                        
#SAMPLE MASS /mg:            ,5                                           
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....10.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/10.0(K/min)/350›C                     
#SEG. 4:                     ,350›C/04:00/350›C                           
#SEG. 5:                     ,350›C/10.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.41100,  0.00000,-7.052871e-02, 0.000000e+00,50.00000,20.00000,5.266368e-08,0.92381,1
 31.40700,  0.10000,-7.052876e-02,-1.470000e-03,50.00000,20.00000,5.284553e-08,0.92381,1
 31.42900,  0.20000,-6.986778e-02,-1.470000e-03,50.00000,20.00000,5.295154e-08,0.92381,1
 31.46500,  0.30000,-6.606837e-02,-2.830000e-03,50.00000,20.00000,5.290122e-08,0.92382,1
 31.48000,  0.40000,-5.632313e-02,-1.470000e-03,50.00000,20.00000,5.285853e-08,0.92382,1
 31.54200,  0.50000,-4.228314e-02, 1.240000e-03,50.00000,20.00000,5.291524e-08,0.92383,1
 31.62800,  0.60000,-2.295805e-02, 5.540000e-03,50.00000,20.00000,5.296126e-08,0.92385,1
 31.74900,  0.70000, 4.954862e-04, 1.267000e-02,50.00000,20.00000,5.292002e-08,0.92387,1
 31.88200,  0.80000, 3.204064e-02, 1.720000e-02,50.00000,20.00000,5.278125e-08,0.92389,1
 32.05900,  0.90000, 6.754736e-02, 2.602000e-02,50.00000,20.00000,5.264750e-08,0.92392,1
 32.25400,  1.00000,      0.10801, 3.462000e-02,50.00000,20.00000,5.265266e-08,0.92395,1
 32.49400,  1.10000,      0.15556, 4.152000e-02,50.00000,20.00000,5.272611e-08,0.92400,1
 32.77300,  1.20000,      0.20394, 4.910000e-02,50.00000,20.00000,5.274261e-08,0.92404,1
 33.08000,  1.30000,      0.25462, 5.883000e-02,50.00000,20.00000,5.264867e-08,0.92409,1
 33.43500,  1.40000,      0.30793, 6.844000e-02,50.00000,20.00000,5.249151e-08,0.92415,1
 33.79200,  1.50000,      0.36190, 7.682000e-02,50.00000,20.00000,5.245071e-08,0.92421,1
 34.18900,  1.60000,      0.41685, 8.406000e-02,50.00000,20.00000,5.251822e-08,0.92427,1
 34.63900,  1.70000,      0.46997, 9.062000e-02,50.00000,20.00000,5.252506e-08,0.92434,1
 35.08600,  1.80000,      0.52359,      0.10001,50.00000,20.00000,5.244918e-08,0.92441,1
 35.56300,  1.90000,      0.57471,      0.10702,50.00000,20.00000,5.235700e-08,0.92448,1
 36.06600,  2.00000,      0.62517,      0.11505,50.00000,20.00000,5.233687e-08,0.92456,1
 36.59100,  2.10000,      0.67446,      0.12433,50.00000,20.00000,5.242379e-08,0.92463,1
 37.14700,  2.20000,      0.72061,      0.12659,50.00000,20.00000,5.250946e-08,0.92471,1
 37.70900,  2.30000,      0.76559,      0.13349,50.00000,20.00000,5.250514e-08,0.92479,1
 38.30700,  2.40000,      0.81106,      0.14017,50.00000,20.00000,5.239183e-08,0.92487,1
 38.88800,  2.50000,      0.85306,      0.14741,50.00000,20.00000,5.224898e-08,0.92494,1
 39.51500,  2.60000,      0.89423,      0.15284,50.00000,20.00000,5.220116e-08,0.92502,1
 40.16900,  2.70000,      0.93555,      0.15872,50.00000,20.00000,5.218761e-08,0.92510,1
 40.81800,  2.80000,      0.97588,      0.16574,50.00000,20.00000,5.212282e-08,0.92518,1
 41.49600,  2.90000,      1.01555,      0.17139,50.00000,20.00000,5.212238e-08,0.92525,1
 42.20800,  3.00000,      1.05553,      0.17807,50.00000,20.00000,5.221607e-08,0.92533,1
 42.90600,  3.10000,      1.09651,      0.18191,50.00000,20.00000,5.219711e-08,0.92540,1
 43.64600,  3.20000,      1.13649,      0.18870,50.00000,20.00000,5.206415e-08,0.92547,1
 44.40800,  3.30000,      1.17893,      0.19368,50.00000,20.00000,5.204602e-08,0.92555,1
 45.19800,  3.40000,      1.22022,      0.19945,50.00000,20.00000,5.213676e-08,0.92562,1
 45.97700,  3.50000,      1.26530,      0.20556,50.00000,20.00000,5.219549e-08,0.92568,1
 46.80300,  3.60000,      1.30955,      0.21155,50.00000,20.00000,5.217060e-08,0.92575,1
 47.64000,  3.70000,      1.35380,      0.21630,50.00000,20.00000,5.206581e-08,0.92581,1
 48.50400,  3.80000,      1.39953,      0.22434,50.00000,20.00000,5.195365e-08,0.92587,1
 49.38500,  3.90000,      1.44658,      0.22818,50.00000,20.00000,5.189274e-08,0.92592,1
 50.28100,  4.00000,      1.49363,      0.23384,50.00000,20.00000,5.189391e-08,0.92597,1
 51.21300,  4.10000,      1.54084,      0.24029,50.00000,20.00000,5.191732e-08,0.92602,1
 52.15000,  4.20000,      1.58971,      0.24640,50.00000,20.00000,5.189435e-08,0.92606,1
 53.09600,  4.30000,      1.63710,      0.25171,50.00000,20.00000,5.184524e-08,0.92610,1
 54.08400,  4.40000,      1.68548,      0.25647,50.00000,20.00000,5.182524e-08,0.92613,1
 55.09400,  4.50000,      1.73206,      0.26246,50.00000,20.00000,5.186360e-08,0.92616,1
 56.09500,  4.60000,      1.78012,      0.26687,50.00000,20.00000,5.192569e-08,0.92618,1
 57.12200,  4.70000,      1.82623,      0.27208,50.00000,20.00000,5.185735e-08,0.92619,1
 58.18800,  4.80000,      1.87316,      0.27728,50.00000,20.00000,5.170491e-08,0.92620,1
 59.26100,  4.90000,      1.91781,      0.28147,50.00000,20.00000,5.174635e-08,0.92620,1
 60.33700,  5.00000,      1.96165,      0.28509,50.00000,20.00000,5.186226e-08,0.92619,1
 61.42700,  5.10000,      2.00451,      0.28916,50.00000,20.00000,5.171274e-08,0.92618,1
 62.53400,  5.20000,      2.04690,      0.29527,50.00000,20.00000,5.151426e-08,0.92616,1
 63.64300,  5.30000,      2.08799,      0.29855,50.00000,20.00000,5.157049e-08,0.92613,1
 64.77400,  5.40000,      2.12911,      0.30115,50.00000,20.00000,5.165111e-08,0.92609,1
 65.92000,  5.50000,      2.16728,      0.30579,50.00000,20.00000,5.158077e-08,0.92604,1
 67.06700,  5.60000,      2.20498,      0.31043,50.00000,20.00000,5.153119e-08,0.92599,1
 68.23500,  5.70000,      2.24402,      0.31360,50.00000,20.00000,5.156448e-08,0.92592,1
 69.40400,  5.80000,      2.28144,      0.31654,50.00000,20.00000,5.158362e-08,0.92585,1
 70.58500,  5.90000,      2.31642,      0.31948,50.00000,20.00000,5.155264e-08,0.92577,1
 71.77300,  6.00000,      2.35143,      0.32219,50.00000,20.00000,5.148973e-08,0.92568,1
 72.97400,  6.10000,      2.38598,      0.32559,50.00000,20.00000,5.148158e-08,0.92558,1
 74.17700,  6.20000,      2.41957,      0.32944,50.00000,20.00000,5.156999e-08,0.92547,1
 75.37100,  6.30000,      2.45335,      0.33238,50.00000,20.00000,5.159899e-08,0.92535,1
 76.59800,  6.40000,      2.48454,      0.33373,50.00000,20.00000,5.152196e-08,0.92522,1
 77.81800,  6.50000,      2.51823,      0.33645,50.00000,20.00000,5.149451e-08,0.92508,1
 79.04800,  6.60000,      2.54767,      0.33950,50.00000,20.00000,5.154799e-08,0.92493,1
 80.27900,  6.70000,      2.57995,      0.34199,50.00000,20.00000,5.159387e-08,0.92477,1
 81.51200,  6.80000,      2.61062,      0.34403,50.00000,20.00000,5.157656e-08,0.92461,1
 82.77700,  6.90000,      2.64067,      0.34607,50.00000,20.00000,5.148231e-08,0.92442,1
 84.04081,  7.00000,      2.67038,      0.34756,50.00000,20.00000,5.139271e-08,0.92423,2
 85.28825,  7.10000,      2.69721,      0.35172,50.00000,20.00000,5.135936e-08,0.92404,2
 86.51215,  7.20000,      2.70596,      0.35172,50.00000,20.00000,5.132222e-08,0.92383,2
 87.70966,  7.30000,      2.69465,      0.35309,50.00000,20.00000,5.127855e-08,0.92363,2
 88.86503,  7.40000,      2.66689,      0.35056,50.00000,20.00000,5.129729e-08,0.92342,2
 89.98564,  7.50000,      2.62706,      0.34878,50.00000,20.00000,5.130642e-08,0.92321,2
 91.05109,  7.60000,      2.57745,      0.34739,50.00000,20.00000,5.119153e-08,0.92301,2
 92.08197,  7.70000,      2.52294,      0.34162,50.00000,20.00000,5.109834e-08,0.92280,2
