#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2024_06_18_005c-B_350C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-SCF3                                
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,TIC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,                                       
#DATE/TIME:                  ,6/18/2024 4:48:32 PM (UTC-4)           
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,28-06-2023 13:26                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,                                       
#OPERATOR:                   ,Stanley                                
#REMARK:                     ,                                       
#SAMPLE:                     ,005c-B_PS_6_1K-SCF3                    
#SAMPLE MASS /mg:            ,5.02                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
                             ,                                       

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 33.34600,  0.01355,9.596824e-12,1.056004e-09,1.912117e-10,7.340431e-10,3.201485e-12,1.495457e-09,2.182293e-13,4.320818e-13,8.704186e-14,1.017857e-13,1.691914e-13,9.013659e-13,4.303984e-12,4.027857e-08,3.064156e-10,4.181862e-12,1.133919e-12,9.768784e-09,8.111000e-12,3.688150e-11,1.875400e-13,6.130320e-11,1.670360e-13,1.230526e-11,2.753258e-12,2.004787e-08,1.481056e-12,5.127245e-13,4.934221e-13,5.747133e-11,8.275134e-13,3.658587e-13,1.017666e-13,3.562838e-13,1.145649e-13,1.794338e-13,1.688099e-13,1.199818e-13,9.459495e-14,1.478863e-13,8.053780e-14,1.124096e-13,7.538795e-14,8.982658e-14,7.502556e-14,1.286602e-13,5.816459e-14,6.613732e-14,9.121895e-14,3.888041e-13,6.993294e-14,8.028984e-14,5.368233e-14,9.854317e-14,6.205559e-14,6.989479e-14,6.836891e-14,3.949165e-14,8.622169e-14,8.522987e-14,8.152962e-14,1.010609e-13,8.227348e-14,1.213551e-13,5.454063e-14,6.075859e-14,7.330895e-14,7.348060e-14,5.875588e-14,1.011562e-13,5.398750e-14,8.627892e-14,3.586769e-14,3.745079e-14,5.875588e-14,5.032539e-14,6.335258e-14,6.552696e-14,4.963875e-14,5.326271e-14,6.234169e-14,5.101204e-14,3.787041e-14,7.437706e-14,5.528450e-14,6.821633e-14,5.181312e-14,4.044533e-14,8.898735e-14,7.496834e-14,5.156517e-14,6.546974e-14,5.072594e-14,2.537727e-14,4.017830e-14,3.481865e-14,5.648613e-14,4.199028e-14,2.835274e-14,5.547523e-14,5.007744e-14,3.594399e-14,4.982948e-14,4.340172e-14,5.276680e-14,5.677223e-14,6.030082e-14,4.391670e-14,4.170418e-14,4.323006e-14,5.019188e-14,1.986504e-14,6.480217e-14,5.185127e-14,5.192756e-14,6.302834e-14,4.712105e-14,4.044533e-14,5.648613e-14,5.982399e-14,7.315636e-14,3.531456e-14,4.921913e-14,2.942085e-14,3.378868e-14,7.721901e-14,3.130913e-14,6.522179e-14,3.323555e-14,2.703667e-14,4.027367e-14,3.760338e-14,4.559517e-14,5.640984e-14,5.311012e-14,2.257347e-14
 33.34400,  0.18970,9.537696e-12,1.057911e-09,1.933098e-10,7.380486e-10,3.291130e-12,1.528835e-09,2.155018e-13,4.132563e-13,4.277229e-14,6.506920e-14,1.161099e-13,8.683115e-13,4.544558e-12,4.008115e-08,3.029823e-10,4.193306e-12,1.061439e-12,9.649956e-09,8.244514e-12,3.643518e-11,1.475620e-13,6.232935e-11,1.733875e-13,1.248455e-11,2.785682e-12,2.028114e-08,1.488686e-12,4.904276e-13,4.634768e-13,5.689150e-11,8.647066e-13,3.345781e-13,7.767677e-14,3.430849e-13,8.389473e-14,1.617527e-13,1.566029e-13,7.946968e-14,9.406089e-14,1.387119e-13,6.672859e-14,5.635261e-14,7.616997e-14,9.594917e-14,7.481575e-14,8.864402e-14,5.740165e-14,6.947517e-14,6.978035e-14,4.096895e-13,7.182121e-14,6.531716e-14,7.948876e-14,6.316185e-14,4.590035e-14,4.960060e-14,4.288674e-14,5.219459e-14,7.681847e-14,7.622719e-14,8.725166e-14,7.153511e-14,8.711815e-14,7.771492e-14,3.922463e-14,4.633903e-14,4.817009e-14,8.456230e-14,7.784843e-14,8.254051e-14,3.645897e-14,5.774498e-14,5.049705e-14,5.192756e-14,3.544807e-14,4.477501e-14,5.591393e-14,5.595207e-14,4.725456e-14,5.124092e-14,4.853249e-14,6.539345e-14,2.476692e-14,4.775047e-14,4.269600e-14,4.860878e-14,5.099297e-14,5.351067e-14,8.200646e-14,4.727364e-14,4.038811e-14,4.277229e-14,4.284859e-14,3.512382e-14,3.304482e-14,3.312111e-14,3.115654e-14,4.675865e-14,3.836632e-14,2.501488e-14,3.209114e-14,3.794670e-14,6.421089e-14,5.337715e-14,6.144523e-14,3.216743e-14,3.081322e-14,6.381035e-14,2.612114e-14,3.266335e-14,3.602028e-14,4.702568e-14,7.445336e-14,2.678871e-14,4.027367e-14,3.302574e-14,2.514839e-14,5.602837e-14,3.584862e-14,3.033638e-14,2.793312e-14,3.312111e-14,4.740715e-14,3.991127e-14,2.715111e-14,3.142357e-14,2.293587e-14,7.391930e-14,4.481316e-14,5.362511e-14,3.745079e-14,3.348350e-14,5.387306e-14,4.546165e-14,4.824638e-14,1.769066e-14
 33.38900,  0.36440,9.663582e-12,1.046658e-09,1.908302e-10,7.346153e-10,3.369331e-12,1.549625e-09,1.993084e-13,4.013735e-13,3.016472e-14,3.506660e-14,1.244259e-13,8.533197e-13,4.420962e-12,3.962854e-08,3.006935e-10,4.084587e-12,1.173973e-12,9.575379e-09,8.008003e-12,3.632265e-11,1.414585e-13,6.295687e-11,1.433659e-13,1.251507e-11,2.856255e-12,2.062656e-08,1.502037e-12,4.187495e-13,4.684550e-13,5.667597e-11,8.503824e-13,3.481203e-13,6.339073e-14,3.183848e-13,8.896828e-14,1.684856e-13,1.371288e-13,1.012707e-13,6.005287e-14,1.395512e-13,4.446983e-14,1.087666e-13,7.409095e-14,6.928444e-14,6.697655e-14,1.076412e-13,6.384850e-14,6.205559e-14,6.031990e-14,3.587633e-13,6.964684e-14,8.137703e-14,2.999306e-14,5.997658e-14,7.885933e-14,5.957604e-14,4.071236e-14,5.816459e-14,4.137993e-14,8.316993e-14,7.319450e-14,7.349968e-14,9.568214e-14,9.640694e-14,4.252434e-14,5.967140e-14,5.280495e-14,3.279686e-14,1.309395e-14,8.624077e-14,3.529549e-14,7.218361e-14,4.654884e-14,7.181167e-15,4.685402e-14,4.179954e-14,3.399849e-14,4.214287e-14,5.377769e-14,5.917549e-14,5.293846e-14,4.694939e-14,5.637169e-14,3.561973e-14,3.685951e-14,4.319191e-14,3.485679e-14,4.458427e-14,6.133080e-14,5.248070e-14,3.582954e-14,4.260063e-14,3.470421e-14,1.629829e-14,4.050255e-14,2.696037e-14,3.277779e-14,5.234718e-14,3.758431e-14,2.800941e-14,5.993843e-14,5.023003e-14,6.327629e-14,3.777504e-14,3.090858e-14,6.093025e-14,3.626823e-14,1.866341e-14,3.962517e-14,4.624367e-14,3.005028e-14,1.000000e-17,4.727364e-14,6.348610e-14,3.424644e-14,5.343437e-14,1.938820e-14,5.486488e-14,4.673958e-14,1.214027e-14,4.487038e-14,2.207756e-14,5.757332e-14,3.033638e-14,4.702568e-14,2.768517e-14,3.830910e-14,7.448196e-15,3.479958e-14,3.962517e-14,3.825188e-14,2.848625e-14,2.131462e-14,5.835533e-14,4.569054e-14,2.896309e-14
 33.46200,  0.54372,9.337425e-12,1.036167e-09,1.893043e-10,7.290840e-10,3.312111e-12,1.561832e-09,1.744938e-13,4.276568e-13,4.426003e-14,5.101204e-14,1.191235e-13,8.620935e-13,4.337267e-12,3.938097e-08,2.985954e-10,4.088401e-12,1.061439e-12,9.503854e-09,8.036613e-12,3.571421e-11,1.594639e-13,6.428057e-11,1.153088e-13,1.286221e-11,2.924919e-12,2.089187e-08,1.463890e-12,4.368693e-13,4.286867e-13,5.628687e-11,8.074671e-13,3.415209e-13,9.310722e-14,3.419596e-13,1.006031e-13,1.626492e-13,1.520443e-13,1.158237e-13,6.810188e-14,1.364231e-13,5.951882e-14,7.773400e-14,5.167961e-14,4.855156e-14,6.533623e-14,8.978843e-14,6.045341e-14,4.160881e-14,5.486488e-14,3.650766e-13,7.142067e-14,5.513191e-14,4.382133e-14,5.080223e-14,4.237175e-14,5.713463e-14,3.437996e-14,3.836632e-14,5.137444e-14,4.509926e-14,6.403923e-14,6.319999e-14,8.391381e-14,8.112907e-14,5.726814e-14,4.208565e-14,5.080223e-14,4.118919e-14,5.421638e-14,8.713722e-14,5.278587e-14,7.235527e-14,3.485679e-14,3.607750e-14,6.400108e-14,4.359245e-14,4.717827e-14,4.755974e-14,3.666878e-14,5.623817e-14,5.436897e-14,5.957604e-14,2.537727e-14,4.216194e-14,2.974510e-14,2.640724e-14,4.902839e-14,5.820274e-14,6.215095e-14,6.915092e-14,6.665230e-14,4.685402e-14,1.677513e-14,5.717277e-14,3.140450e-14,4.963875e-14,1.473427e-14,2.493858e-14,6.331444e-14,5.959511e-14,4.467964e-14,3.022194e-14,2.383232e-14,3.863335e-14,5.139351e-14,3.808022e-14,4.317284e-14,3.125191e-14,4.189491e-14,4.088402e-14,4.937172e-14,2.507210e-14,5.644798e-14,3.979683e-14,5.562782e-14,3.207207e-14,2.404213e-14,4.191399e-14,2.247810e-14,4.231453e-14,1.872063e-14,3.081322e-14,2.110481e-14,3.443718e-14,3.357887e-14,5.770683e-14,3.312111e-14,4.652977e-14,3.354073e-14,3.808022e-14,3.535271e-14,1.780510e-14,5.402565e-14,1.324654e-14,3.973961e-14,4.099846e-14
 33.60700,  0.72275,9.428978e-12,1.026630e-09,1.881599e-10,7.225990e-10,3.483772e-12,1.584530e-09,1.714039e-13,3.823763e-13,2.301216e-14,5.352974e-14,1.588345e-13,8.153635e-13,4.362540e-12,3.893370e-08,2.961159e-10,4.101753e-12,1.090050e-12,9.435762e-09,7.754326e-12,3.540903e-11,1.595783e-13,6.494433e-11,1.632404e-13,1.303577e-11,2.924919e-12,2.121479e-08,1.460075e-12,4.304606e-13,5.064112e-13,5.663973e-11,8.427912e-13,2.769184e-13,8.276940e-14,3.319460e-13,8.854866e-14,1.463604e-13,1.909351e-13,1.142597e-13,7.697106e-14,1.044369e-13,7.113457e-14,9.173393e-14,4.752159e-14,5.337715e-14,4.601479e-14,1.003551e-13,7.128715e-14,6.285668e-14,7.534981e-14,4.197603e-13,5.129814e-14,7.637977e-14,6.527901e-14,3.552437e-14,4.729271e-14,6.922722e-14,6.651878e-14,6.188393e-14,4.906654e-14,6.997108e-14,6.358146e-14,7.187843e-14,9.852409e-14,9.282112e-14,4.279137e-14,4.565239e-14,5.061150e-14,4.582405e-14,2.327919e-14,7.380485e-14,1.667976e-14,5.398750e-14,5.509376e-14,3.401756e-14,3.781319e-14,1.940727e-14,5.721092e-14,2.642631e-14,1.936913e-14,6.176948e-14,4.187584e-14,5.478859e-14,4.141807e-14,3.455162e-14,4.612923e-14,4.221916e-14,2.102852e-14,3.399849e-14,5.457878e-14,5.112648e-14,7.332801e-14,4.441261e-14,3.319740e-14,4.296303e-14,1.849175e-14,1.427650e-14,4.323006e-14,5.078316e-14,3.422737e-14,5.593300e-14,3.005028e-14,3.521919e-14,2.552986e-14,2.770424e-14,3.235817e-14,4.618645e-14,4.166603e-14,4.651070e-14,1.479149e-14,2.923012e-14,2.181053e-14,4.544258e-14,6.327629e-14,4.416466e-14,3.666878e-14,3.363609e-14,5.179405e-14,5.410194e-14,3.489494e-14,2.404213e-14,1.845360e-14,5.423546e-14,4.399300e-14,3.863335e-14,3.226280e-14,3.634453e-14,2.606392e-14,3.623009e-14,1.656532e-14,2.472877e-14,2.898216e-14,4.326820e-14,5.263329e-14,4.466057e-14,6.189346e-15,2.322197e-14
 33.87900,  0.90471,9.428978e-12,1.016712e-09,1.872063e-10,7.214546e-10,3.424644e-12,1.604939e-09,1.772213e-13,3.703219e-13,4.300118e-14,4.654884e-14,1.241398e-13,8.125216e-13,4.250445e-12,3.876776e-08,2.943993e-10,4.006386e-12,1.057625e-12,9.369379e-09,7.853508e-12,3.566653e-11,1.195431e-13,6.541925e-11,1.359463e-13,1.296711e-11,2.964973e-12,2.148525e-08,1.479149e-12,4.358965e-13,4.634958e-13,5.620485e-11,8.248049e-13,2.978039e-13,7.206917e-14,2.907658e-13,7.275581e-14,1.654911e-13,1.328564e-13,8.658409e-14,5.084038e-14,1.026821e-13,7.195472e-14,7.601738e-14,5.326271e-14,6.707192e-14,5.385399e-14,9.947777e-14,5.616188e-14,5.358696e-14,7.054329e-14,3.592402e-13,5.999565e-14,7.042884e-14,3.230095e-14,3.897667e-14,4.485130e-14,4.103660e-14,5.021095e-14,3.275871e-14,4.481316e-14,5.074501e-14,8.107185e-14,8.744240e-14,9.058952e-14,6.775856e-14,4.864693e-14,6.064415e-14,4.992485e-14,3.890037e-14,3.569603e-14,1.228428e-13,3.926277e-14,6.842613e-14,2.455711e-14,3.512382e-14,3.991127e-14,4.765511e-14,3.504753e-14,2.539635e-14,3.220558e-14,4.153252e-14,2.888679e-14,4.624367e-14,3.087044e-14,3.232002e-14,4.961967e-14,3.165245e-14,4.929542e-14,7.330895e-14,7.796288e-14,6.133080e-14,6.661415e-14,4.208565e-14,2.970695e-14,3.775597e-14,5.434990e-14,4.803658e-14,4.441261e-14,3.851890e-14,3.832817e-14,2.131462e-14,5.072594e-14,3.424644e-14,4.260063e-14,2.623558e-14,3.184318e-14,5.017280e-14,3.251076e-14,3.439903e-14,3.577232e-14,5.350113e-15,2.337456e-14,2.829552e-14,6.762504e-14,3.733635e-14,2.606392e-14,8.382797e-15,1.816750e-14,2.661705e-14,2.175331e-14,5.158424e-14,4.725456e-14,1.744270e-14,4.084587e-14,3.466606e-14,5.875588e-14,2.652168e-14,2.400398e-14,2.408028e-14,3.502846e-14,2.280235e-14,2.196312e-14,3.827095e-14,3.199577e-14,3.424644e-14,3.972054e-14,6.583214e-14
 34.27800,  1.08280,9.434700e-12,1.007366e-09,1.851082e-10,7.166863e-10,3.334999e-12,1.628399e-09,1.903629e-13,4.041964e-13,2.661705e-14,5.473137e-14,1.292324e-13,7.638079e-13,4.243845e-12,3.843092e-08,2.915382e-10,3.981590e-12,1.137733e-12,9.294993e-09,7.899285e-12,3.509241e-11,1.503086e-13,6.604296e-11,1.310253e-13,1.364613e-11,3.003120e-12,2.172291e-08,1.523018e-12,4.443842e-13,4.879671e-13,5.570894e-11,8.309847e-13,2.875614e-13,6.981849e-14,3.202158e-13,5.028724e-14,1.564312e-13,1.244831e-13,1.106739e-13,2.339363e-14,1.167393e-13,7.817268e-14,6.833076e-14,4.761696e-14,9.898186e-14,5.133629e-14,1.047420e-13,4.242897e-14,6.857872e-14,3.909111e-14,4.159457e-13,2.928734e-14,4.162788e-14,5.200386e-14,6.838798e-14,5.072594e-14,4.828453e-14,5.116463e-14,5.400658e-14,4.504204e-14,4.265785e-14,5.621910e-14,8.879661e-14,9.182930e-14,8.790016e-14,3.155708e-14,3.270149e-14,2.940178e-14,6.663322e-14,5.415916e-14,6.915092e-14,4.817009e-14,6.056786e-14,3.857613e-14,5.655289e-15,3.476143e-14,3.617287e-14,5.249977e-14,3.077507e-14,2.831459e-14,3.437996e-14,4.464150e-14,5.345344e-14,3.600120e-14,3.167152e-14,2.898216e-14,2.249718e-14,9.775162e-15,4.267692e-14,6.646157e-14,3.939629e-14,3.695488e-14,3.746986e-14,4.401207e-14,4.078865e-14,2.940178e-14,1.339912e-14,4.002571e-14,2.646446e-14,5.343437e-14,2.665520e-14,4.384041e-14,3.853798e-14,3.724098e-14,2.934456e-14,4.265785e-14,3.310203e-14,2.243996e-14,3.754616e-14,4.626274e-14,5.051613e-14,1.854897e-14,3.998756e-14,7.134437e-14,5.005836e-14,9.660721e-15,1.332283e-14,5.063057e-14,2.715111e-14,3.228188e-14,3.317833e-14,8.630752e-15,1.746178e-14,2.406120e-14,6.780625e-15,5.515099e-14,2.520561e-14,2.058983e-14,5.675316e-14,4.237175e-14,1.034737e-14,1.032829e-14,4.647255e-14,4.567146e-14,3.727913e-14,3.083229e-14,2.127647e-14
 34.66600,  1.25849,9.066582e-12,9.995461e-10,1.843452e-10,7.124901e-10,3.437996e-12,1.653385e-09,1.771450e-13,3.382593e-13,1.318932e-14,5.688667e-14,1.401615e-13,7.617670e-13,4.185652e-12,3.819231e-08,2.882957e-10,3.926277e-12,1.008034e-12,9.221750e-09,7.651329e-12,3.434473e-11,1.233768e-13,6.723505e-11,1.266956e-13,1.360607e-11,2.934456e-12,2.200711e-08,1.511574e-12,4.121691e-13,4.700190e-13,5.555254e-11,8.334452e-13,2.998066e-13,6.218910e-14,3.215891e-13,8.427620e-14,1.551914e-13,1.560688e-13,8.736610e-14,6.691933e-14,1.113796e-13,7.521630e-14,6.230354e-14,4.649162e-14,7.739067e-14,4.858971e-14,7.555961e-14,5.892753e-14,6.737709e-14,7.149696e-14,3.832537e-13,3.262520e-14,7.832527e-14,3.720284e-14,4.357338e-14,3.777504e-14,2.846718e-14,2.518654e-14,5.040169e-14,7.576942e-14,4.323006e-14,7.075310e-14,7.319450e-14,9.259224e-14,6.611824e-14,4.458427e-14,4.700661e-14,4.549980e-14,5.146980e-14,3.115654e-14,9.970665e-14,1.170158e-14,3.149986e-14,3.897667e-14,3.296852e-14,4.225731e-14,1.852989e-14,4.863739e-16,3.148079e-14,4.429817e-14,2.915382e-14,3.132820e-14,3.874779e-14,5.711555e-14,1.877785e-14,2.375603e-14,2.846718e-14,4.103660e-14,4.750252e-14,5.282402e-14,4.734993e-14,5.820274e-14,5.742073e-14,1.637459e-14,5.541801e-14,3.451347e-14,2.844811e-14,6.218910e-14,3.863335e-14,3.197670e-14,3.088951e-14,4.605293e-14,3.535271e-14,3.214836e-14,3.359794e-14,1.757622e-14,1.349449e-14,3.485679e-14,3.603935e-14,2.844811e-14,3.689766e-14,3.197670e-14,3.066063e-14,3.924370e-14,5.410194e-14,2.106666e-14,1.955986e-14,3.108024e-14,3.199577e-14,3.844261e-14,3.849983e-14,4.342079e-14,2.164841e-15,1.618385e-14,1.635552e-14,3.201485e-14,2.219200e-14,5.194664e-14,4.639626e-14,4.479408e-14,2.522469e-14,3.851890e-14,2.182960e-14,3.689766e-14,1.000000e-17,4.225731e-14,3.930092e-14
 35.25500,  1.43647,8.913191e-12,9.846688e-10,1.841545e-10,7.077217e-10,3.378868e-12,1.665020e-09,1.874828e-13,3.468043e-13,2.827644e-14,5.305290e-14,1.147366e-13,7.932383e-13,4.245714e-12,3.787931e-08,2.860069e-10,3.912926e-12,1.072884e-12,9.147937e-09,7.660866e-12,3.459459e-11,1.269817e-13,6.797129e-11,1.132870e-13,1.355457e-11,3.100395e-12,2.230694e-08,1.498222e-12,4.084688e-13,5.000597e-13,5.576616e-11,8.478457e-13,3.191858e-13,4.837990e-14,3.049755e-13,7.411003e-14,1.577473e-13,1.144505e-13,9.718895e-14,5.915642e-14,1.134396e-13,5.684853e-14,7.740974e-14,4.454613e-14,5.099297e-14,4.311562e-14,8.971214e-14,6.026268e-14,7.012367e-14,9.039878e-14,3.731066e-13,7.491112e-14,5.045891e-14,1.814842e-14,5.339623e-14,3.485679e-14,3.640175e-14,3.230095e-14,2.911568e-14,5.904198e-14,5.486488e-14,9.510994e-14,6.022453e-14,8.490563e-14,7.348060e-14,6.844520e-14,1.753807e-14,3.048897e-14,4.218101e-14,4.862785e-14,1.109791e-13,2.408028e-14,5.103111e-14,2.451897e-14,2.699852e-14,2.713203e-14,4.927635e-14,2.745628e-14,3.197670e-14,6.054878e-14,4.101753e-14,4.611015e-14,2.800941e-14,4.712105e-14,4.853249e-14,5.024910e-14,3.252983e-14,2.339363e-14,4.311562e-14,5.139351e-14,5.324364e-14,4.380226e-14,3.350258e-14,3.855705e-14,6.722451e-14,3.943443e-14,3.783226e-14,4.097939e-14,1.456261e-14,6.036758e-15,2.779961e-14,5.156517e-14,2.758980e-14,4.878044e-14,3.386497e-14,5.141258e-14,4.845619e-14,3.354073e-14,3.146171e-14,2.106666e-14,3.823280e-14,3.781319e-14,3.027916e-14,4.038811e-14,3.506660e-14,4.582405e-14,3.985405e-14,5.764961e-14,1.437187e-14,1.986504e-14,3.455162e-14,2.543449e-14,2.371788e-14,3.090858e-14,4.641533e-14,7.638931e-15,3.781319e-14,6.227493e-15,4.256248e-14,4.239082e-14,1.717568e-14,3.132820e-14,2.064705e-14,1.948357e-14,3.228188e-14,3.108024e-14,4.178047e-14
 35.84400,  1.61429,8.965701e-12,9.760857e-10,1.824379e-10,7.084847e-10,3.407478e-12,1.686382e-09,2.043819e-13,3.483874e-13,3.048897e-14,1.503944e-14,1.382732e-13,7.866961e-13,4.270910e-12,3.752607e-08,2.831459e-10,3.935814e-12,1.065254e-12,9.117037e-09,7.716178e-12,3.432757e-11,1.506329e-13,6.812769e-11,1.456165e-13,1.380825e-11,3.184318e-12,2.259400e-08,1.570702e-12,4.314905e-13,4.826838e-13,5.567461e-11,8.183772e-13,2.700520e-13,7.761955e-14,3.381830e-13,7.266044e-14,1.467991e-13,1.337528e-13,7.573128e-14,6.140709e-14,1.238346e-13,4.960060e-14,8.852959e-14,4.826546e-14,6.581306e-14,5.637169e-14,8.585930e-14,3.746986e-14,6.661415e-14,6.340981e-14,3.933245e-13,6.705284e-14,5.705833e-14,6.192207e-14,5.108833e-14,4.906654e-14,4.853249e-14,4.605293e-14,4.139900e-14,5.125999e-14,5.068779e-14,5.000114e-14,6.112099e-14,9.318352e-14,8.883476e-14,4.914284e-14,4.376412e-14,2.675056e-14,3.848076e-14,3.327370e-14,6.867408e-14,2.705574e-14,3.384590e-14,3.710747e-14,3.792763e-14,4.168510e-14,4.643440e-14,3.767967e-14,4.126549e-14,5.394935e-14,3.119469e-14,3.983498e-14,3.657341e-14,3.228188e-14,3.865242e-14,6.208420e-15,2.791405e-14,1.065254e-14,7.891655e-14,4.837990e-14,5.387306e-14,2.921105e-14,3.829002e-14,4.815102e-14,1.500130e-14,2.520561e-14,2.539635e-14,3.661156e-14,3.302574e-14,4.221916e-14,4.958153e-14,4.240990e-14,3.399849e-14,3.781319e-14,4.067421e-14,3.310203e-14,2.711296e-14,2.915382e-14,3.758431e-14,2.270698e-14,3.571510e-14,3.857613e-14,1.065254e-14,4.490852e-14,4.303932e-14,5.690575e-14,3.588676e-14,1.551628e-14,2.362251e-14,4.916191e-14,2.919197e-14,3.108024e-14,7.562637e-15,1.824379e-14,1.980781e-14,3.315926e-14,2.301216e-14,2.552986e-14,2.221107e-14,3.972054e-14,3.163338e-14,3.006935e-14,1.183510e-14,3.130913e-14,1.547813e-14,2.823830e-14,2.549171e-14
