#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2024_06_18_005c-B_350C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-SCF3                                
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,                                       
#DATE/TIME:                  ,6/18/2024 4:48:32 PM (UTC-4)           
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,28-06-2023 13:26                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,                                       
#OPERATOR:                   ,Stanley                                
#REMARK:                     ,                                       
#SAMPLE:                     ,005c-B_PS_6_1K-SCF3                    
#SAMPLE MASS /mg:            ,5.02                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,30›C....800›C/0.0....10.0K/min         
#SEGMENT:                    ,S1-5/5                                 
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:10/100›C                      
#SEG. 3:                     ,100›C/10.0(K/min)/350›C                
#SEG. 4:                     ,350›C/04:00/350›C                      
#SEG. 5:                     ,350›C/10.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.34600,  0.00000,-6.413788e-02, 0.000000e+00,50.00000,20.00000,7.409280e-08,0.92414,1
 33.33300,  0.10000,-6.380912e-02,-4.750000e-03,50.00000,20.00000,7.408883e-08,0.92414,1
 33.33100,  0.20000,-6.150675e-02,-4.750000e-03,50.00000,20.00000,7.403832e-08,0.92413,1
 33.36400,  0.30000,-5.542154e-02,-3.730000e-03,50.00000,20.00000,7.392600e-08,0.92414,1
 33.38000,  0.40000,-4.703416e-02,-2.030000e-03,50.00000,20.00000,7.385019e-08,0.92414,1
 33.42300,  0.50000,-3.108178e-02, 3.400000e-04,50.00000,20.00000,7.382934e-08,0.92415,1
 33.48900,  0.60000,-8.551502e-03, 4.530000e-03,50.00000,20.00000,7.374404e-08,0.92416,1
 33.59500,  0.70000, 1.693824e-02, 1.041000e-02,50.00000,20.00000,7.362904e-08,0.92418,1
 33.71400,  0.80000, 5.048477e-02, 1.890000e-02,50.00000,20.00000,7.363058e-08,0.92420,1
 33.87900,  0.90000, 8.929134e-02, 2.749000e-02,50.00000,20.00000,7.366240e-08,0.92422,1
 34.05900,  1.00000,      0.13204, 3.439000e-02,50.00000,20.00000,7.357822e-08,0.92425,1
 34.28700,  1.10000,      0.17923, 4.152000e-02,50.00000,20.00000,7.348241e-08,0.92429,1
 34.54300,  1.20000,      0.22986, 5.261000e-02,50.00000,20.00000,7.347306e-08,0.92433,1
 34.80400,  1.30000,      0.28000, 5.985000e-02,50.00000,20.00000,7.346027e-08,0.92437,1
 35.12300,  1.40000,      0.33440, 6.969000e-02,50.00000,20.00000,7.340060e-08,0.92442,1
 35.47400,  1.50000,      0.38831, 7.750000e-02,50.00000,20.00000,7.334077e-08,0.92447,1
 35.81300,  1.60000,      0.44138, 8.791000e-02,50.00000,20.00000,7.329492e-08,0.92452,1
 36.22600,  1.70000,      0.49675, 9.435000e-02,50.00000,20.00000,7.325288e-08,0.92458,1
