#EXPORTTYPE:                 ,DATA ALL                         
#FILE:                       ,2024_06_20_005c-B_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                         
#FTYPE:                      ,ASCII                            
#IDENTITY:                   ,PS-SCF3                          
#DECIMAL:                    ,POINT                            
#SEPARATOR:                  ,COMMA                            
#MTYPE:                      ,TIC                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                
#PROJECT:                    ,                                 
#DATE/TIME:                  ,6/20/2024 9:01:28 PM (UTC-4)     
#CORR. FILE:                 ,                                 
#TEMPCAL:                    ,28-06-2023 13:26                 
#SENSITIVITY:                ,28-06-2023 13:53                 
#LABORATORY:                 ,                                 
#OPERATOR:                   ,Stanley                          
#REMARK:                     ,                                 
#SAMPLE:                     ,005c-B-2                         
#SAMPLE MASS /mg:            ,5.05                             
#MATERIAL:                   ,                                 
#REFERENCE:                  ,-----                            
#REFERENCE MASS /mg:         ,0                                
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                
#SAMPLE CRUCIBLE MASS /mg:   ,0                                
#REFERENCE CRUCIBLE MASS /mg:,0                                
#DSC RANGE /‘V:              ,5000                             
#TG RANGE /mg:               ,35000                            
                             ,                                 

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.38400,  0.01323,3.797296e-12,3.845934e-10,7.948786e-11,3.257382e-10,3.998756e-12,3.221995e-09,2.127743e-13,2.813053e-13,4.361153e-14,2.591133e-14,8.582115e-14,4.786974e-13,2.329686e-12,1.559249e-08,1.175881e-10,1.900673e-12,5.968004e-13,4.011446e-09,3.756523e-12,1.531505e-11,1.261807e-13,1.318923e-10,1.409435e-13,2.497387e-11,8.351326e-12,4.003137e-08,1.555443e-12,2.790737e-13,4.037195e-13,3.436953e-11,5.586344e-13,2.415371e-13,8.246422e-14,2.597141e-13,7.964134e-14,2.331829e-13,2.796078e-13,1.399517e-13,7.121086e-14,1.070690e-13,7.861137e-14,6.205559e-14,4.246712e-14,8.088112e-14,7.014274e-14,1.039410e-13,6.495476e-14,6.627083e-14,8.145332e-14,3.990275e-13,8.168221e-14,7.782936e-14,3.500938e-14,3.685951e-14,4.494667e-14,4.576683e-14,5.133629e-14,4.126549e-14,5.490303e-14,8.580208e-14,8.994102e-14,7.832527e-14,2.221203e-13,2.291393e-13,5.690575e-14,4.954338e-14,4.761696e-14,3.476143e-14,2.720833e-14,5.414009e-14,6.707192e-14,4.109383e-14,2.518654e-14,2.366066e-14,2.703667e-14,3.428459e-14,1.651478e-13,6.693840e-14,3.012657e-14,1.107216e-14,3.539085e-14,4.736900e-14,2.890587e-14,1.250267e-14,3.853798e-14,6.060600e-14,3.544807e-14,4.187584e-14,8.170128e-14,1.307964e-13,1.177120e-13,7.243156e-14,3.260612e-14,1.549721e-14,2.894402e-14,3.848076e-14,2.018928e-14,9.527206e-15,2.247810e-14,5.251884e-14,5.602837e-14,3.890037e-14,4.912376e-14,4.504204e-14,1.008034e-14,3.632546e-14,3.546715e-14,1.942635e-14,2.137184e-14,2.852440e-14,4.134178e-14,3.443718e-14,4.145622e-14,2.736092e-14,3.277779e-14,4.527092e-14,5.196571e-14,2.661705e-14,1.238823e-14,3.067970e-14,3.361702e-14,3.521919e-14,1.126289e-14,3.088951e-14,2.737045e-15,1.723290e-14,1.278877e-14,3.418922e-14,1.946449e-14,1.802444e-15,4.422188e-14,3.630638e-14,3.487587e-14,2.177238e-14,3.678322e-14,3.298759e-14
 32.37700,  0.19022,3.581651e-12,3.861440e-10,7.979876e-11,3.267167e-10,4.139900e-12,3.221613e-09,1.893902e-13,2.358151e-13,2.633095e-14,4.853249e-14,6.993294e-14,4.921633e-13,2.348263e-12,1.551811e-08,1.162529e-10,1.980781e-12,5.851656e-13,4.000193e-09,3.745079e-12,1.494312e-11,1.324177e-13,1.331073e-10,1.366901e-13,2.531528e-11,8.223533e-12,4.003309e-08,1.555443e-12,2.573299e-13,4.118258e-13,3.416735e-11,5.959612e-13,2.563000e-13,6.665230e-14,2.853680e-13,9.255409e-14,1.968861e-13,2.280712e-13,1.258945e-13,2.497673e-14,6.970406e-14,6.455422e-14,6.112099e-14,5.551338e-14,7.542610e-14,5.085945e-14,5.377769e-14,5.467415e-14,4.113197e-14,8.687019e-14,3.722864e-13,7.494926e-14,4.097939e-14,3.125191e-14,3.922463e-14,3.960610e-14,3.323555e-14,3.630638e-14,1.215935e-14,3.596306e-14,8.591652e-14,7.153511e-14,9.493828e-14,2.558804e-13,2.183437e-13,4.727364e-14,3.712654e-14,2.167702e-14,3.115654e-14,3.134727e-14,4.822731e-14,3.067970e-14,3.430367e-14,2.228737e-14,1.585960e-14,4.235268e-14,1.877785e-14,1.582241e-13,8.986473e-14,2.991676e-14,4.439354e-14,2.108574e-14,1.500130e-14,5.121231e-15,3.495216e-14,1.595497e-14,3.466606e-14,2.989769e-14,4.170418e-14,1.117611e-13,1.682758e-13,1.113033e-13,3.956795e-14,3.506660e-14,3.605843e-14,3.216743e-14,2.303123e-14,6.666184e-15,1.000000e-17,1.902580e-14,4.415512e-15,3.285408e-14,1.301765e-14,5.076408e-14,2.287865e-14,2.427101e-14,1.477242e-14,2.215385e-14,5.350113e-15,1.841545e-14,4.239082e-14,2.980232e-14,3.039360e-14,5.204201e-14,4.925728e-14,4.172325e-14,3.861427e-14,2.297401e-14,4.320145e-15,6.284714e-15,2.018928e-14,3.680229e-14,6.914139e-15,1.856804e-14,4.242897e-14,1.887322e-14,6.246567e-15,3.968239e-14,3.628731e-14,3.619194e-14,2.058983e-14,9.441375e-16,1.233101e-14,1.435280e-14,1.677513e-14,3.563881e-14,2.156258e-14
 32.38900,  0.37280,3.695062e-12,3.852781e-10,8.006579e-11,3.260415e-10,3.989220e-12,3.235918e-09,1.886463e-13,2.061939e-13,1.000000e-17,3.552437e-14,5.707741e-14,4.905612e-13,2.486393e-12,1.544925e-08,1.164436e-10,1.864433e-12,5.616480e-13,3.990084e-09,3.666878e-12,1.495647e-11,1.076603e-13,1.328670e-10,1.350880e-13,2.516651e-11,8.358955e-12,4.018606e-08,1.549721e-12,2.669620e-13,3.913027e-13,3.427416e-11,5.643946e-13,1.817989e-13,2.476692e-14,2.854633e-13,4.023552e-14,2.151394e-13,2.858639e-13,1.067638e-13,5.818367e-14,8.957863e-14,7.727623e-14,6.592751e-14,4.063606e-14,7.250786e-14,1.000404e-14,8.280754e-14,3.073692e-14,4.187584e-14,9.844780e-14,3.343111e-13,6.360054e-14,6.154060e-14,2.261162e-14,4.761696e-14,3.649711e-14,2.991676e-14,1.573563e-15,4.912376e-14,3.060341e-14,8.191109e-14,7.063866e-14,6.318093e-14,2.153110e-13,1.825809e-13,6.026268e-14,4.948616e-14,2.940178e-14,6.623268e-14,2.047539e-14,7.281303e-14,2.171516e-14,4.424095e-14,5.862236e-14,3.195762e-14,4.309654e-14,6.551743e-15,1.466274e-13,8.433342e-14,4.174233e-14,4.862785e-14,3.348350e-14,2.097130e-14,1.152992e-14,1.315117e-14,7.734298e-15,3.420830e-14,3.067970e-14,4.672050e-14,1.023960e-13,1.639080e-13,9.047508e-14,5.934715e-14,1.610756e-14,1.473427e-14,3.514290e-14,3.188133e-14,6.771088e-16,2.291679e-14,4.892349e-15,1.971245e-14,4.870415e-14,2.358437e-14,3.460884e-14,2.327919e-14,3.632546e-14,6.036758e-15,2.694130e-14,3.817558e-14,1.149178e-14,1.465797e-14,3.022194e-14,2.165794e-14,3.539085e-14,2.381325e-14,4.685402e-14,2.989769e-14,3.937721e-14,4.100800e-16,1.189232e-14,2.316475e-14,1.072884e-14,1.000000e-17,3.186226e-14,2.713203e-14,3.872871e-14,7.791519e-15,4.527092e-14,3.417015e-14,4.166603e-14,2.509117e-14,2.383232e-14,4.529953e-15,2.947807e-14,2.949715e-14,1.000000e-17,2.069473e-15
 32.41400,  0.55041,3.740572e-12,3.843320e-10,7.956225e-11,3.245137e-10,3.985405e-12,3.235537e-09,1.690006e-13,2.285862e-13,3.876686e-14,1.486778e-14,3.048897e-14,4.402643e-13,2.296822e-12,1.537029e-08,1.154900e-10,1.841545e-12,5.559260e-13,3.960138e-09,3.663063e-12,1.469135e-11,1.153660e-13,1.325942e-10,1.398945e-13,2.530575e-11,8.307457e-12,4.034170e-08,1.570702e-12,2.937984e-13,3.871447e-13,3.406054e-11,5.950838e-13,2.391338e-13,5.934715e-14,2.932072e-13,5.774498e-14,2.107143e-13,3.091717e-13,1.153851e-13,6.758690e-14,5.677223e-14,4.996300e-14,7.355690e-14,3.409386e-14,3.087044e-14,5.629540e-14,9.102821e-14,4.040718e-14,6.245613e-14,8.755684e-14,3.901201e-13,7.618904e-14,4.870415e-14,2.869606e-14,4.801750e-14,2.915382e-14,2.861023e-17,4.446983e-14,2.154350e-14,2.816200e-14,7.170677e-14,8.795738e-14,8.397102e-14,2.233219e-13,2.191639e-13,3.794670e-14,4.677773e-14,8.745193e-15,2.570152e-14,3.706932e-14,6.161690e-14,1.809120e-14,4.685402e-14,1.509666e-14,1.078606e-14,4.937172e-14,4.683495e-14,1.814938e-13,7.576942e-14,7.829666e-15,5.238533e-14,3.357887e-14,1.211166e-15,2.339363e-14,1.975059e-14,3.144264e-14,4.652977e-14,3.333092e-14,5.475044e-14,9.289742e-14,1.276493e-13,9.287834e-14,3.096580e-14,1.439095e-14,1.118660e-14,1.000000e-17,2.888679e-14,3.464699e-14,6.096840e-14,2.095222e-14,2.017021e-14,3.415108e-14,2.642631e-14,3.722191e-14,2.514839e-14,1.381874e-14,5.559921e-15,2.470970e-14,2.469063e-14,1.936913e-14,6.589890e-15,2.253532e-14,3.329277e-14,6.928444e-14,3.626823e-14,2.785683e-14,4.513741e-14,2.678871e-14,7.143020e-15,6.074905e-15,2.993584e-14,1.008034e-14,3.998756e-14,8.745193e-15,1.656532e-14,8.535385e-15,4.067421e-14,1.790047e-14,4.319191e-14,7.915497e-16,7.524490e-15,4.415512e-15,2.949715e-14,1.124382e-14,1.172066e-14,3.127098e-14,1.624107e-14
 32.46500,  0.72904,3.664373e-12,3.816427e-10,7.885653e-11,3.226102e-10,4.092217e-12,3.247744e-09,1.778889e-13,2.045345e-13,8.306503e-15,1.852989e-14,6.196022e-14,4.135996e-13,2.348893e-12,1.529991e-08,1.158714e-10,1.843452e-12,5.727106e-13,3.942019e-09,3.794670e-12,1.472950e-11,1.184177e-13,1.330787e-10,1.173306e-13,2.538776e-11,8.315086e-12,4.047674e-08,1.582146e-12,2.471638e-13,4.415613e-13,3.425699e-11,6.004626e-13,2.069759e-13,7.964134e-14,2.774906e-13,6.508827e-14,1.850796e-13,2.701473e-13,9.428978e-14,5.784035e-14,7.515907e-14,4.366875e-14,4.717827e-14,5.547523e-14,6.918907e-14,1.805306e-14,8.288383e-14,3.413200e-14,2.491951e-14,1.083469e-13,3.697306e-13,6.888390e-14,2.583504e-14,5.328178e-14,1.904488e-14,2.850533e-14,4.092216e-14,3.550529e-14,1.910210e-14,3.846169e-14,7.205009e-14,8.179664e-14,8.503914e-14,2.437305e-13,1.515484e-13,4.918098e-14,2.549171e-14,1.423836e-14,3.594399e-14,3.348350e-14,5.808830e-14,4.761696e-14,3.325462e-14,3.722191e-14,2.442360e-14,5.488396e-14,2.232552e-14,1.360607e-13,4.954338e-14,4.038811e-14,4.002571e-14,1.307488e-14,2.909660e-14,3.088951e-14,2.223015e-14,1.791954e-14,4.347801e-14,9.822845e-16,3.479958e-14,1.002789e-13,9.251595e-14,1.018238e-13,2.657890e-14,3.830910e-14,2.655983e-14,3.693581e-14,2.038002e-14,7.848739e-15,8.955002e-15,1.006126e-14,3.609657e-14,5.215645e-14,3.605843e-14,3.602028e-14,3.039360e-14,2.423286e-14,7.562637e-15,1.667976e-14,2.259254e-14,8.192062e-15,3.617287e-14,2.079964e-14,3.064156e-14,6.033897e-14,4.122734e-14,2.676964e-14,4.246712e-14,3.689766e-14,2.686501e-14,7.352829e-15,6.933212e-15,7.200241e-15,1.639366e-14,7.314682e-15,1.641274e-14,2.039909e-14,2.562523e-14,2.660751e-15,1.200676e-14,9.355545e-15,9.832382e-15,2.358437e-14,1.851082e-14,5.099297e-14,9.145737e-15,1.000000e-17,2.783775e-14
 32.51900,  0.90711,3.684953e-12,3.806185e-10,7.878596e-11,3.229802e-10,3.802299e-12,3.263193e-09,1.633549e-13,1.974773e-13,1.000000e-17,1.000000e-17,6.924629e-14,4.356867e-13,2.449181e-12,1.524993e-08,1.143456e-10,1.828194e-12,5.587488e-13,3.927904e-09,3.617287e-12,1.513386e-11,9.358406e-14,1.334907e-10,1.405239e-13,2.544498e-11,8.202552e-12,4.047769e-08,1.566887e-12,2.835941e-13,3.821665e-13,3.408724e-11,5.723292e-13,2.096462e-13,5.335808e-14,2.447796e-13,7.504463e-14,2.103138e-13,2.619267e-13,1.085567e-13,5.669594e-14,8.276940e-14,7.021904e-14,5.436897e-14,3.376961e-14,3.710747e-14,3.859520e-14,6.846428e-14,3.386497e-14,6.964684e-14,9.026527e-14,3.653056e-13,1.151180e-13,5.063057e-14,4.965782e-14,4.355431e-14,3.006935e-14,2.329826e-14,4.134178e-14,2.644539e-14,2.230644e-14,7.887841e-14,6.079674e-14,8.889198e-14,1.834393e-13,2.197742e-13,4.548073e-14,4.218101e-14,3.077507e-14,2.625465e-14,4.620552e-14,5.440712e-14,2.251625e-14,2.762794e-14,1.330376e-14,4.496574e-14,5.112648e-14,1.433373e-14,1.296711e-13,7.061958e-14,4.271507e-14,4.834175e-14,3.258705e-14,5.559921e-15,3.042221e-15,2.875328e-14,3.056526e-14,1.414299e-14,3.483772e-14,4.445076e-14,7.382393e-14,1.216221e-13,1.110363e-13,1.984596e-14,3.237724e-14,3.357887e-14,6.513596e-15,2.230644e-14,3.550529e-14,1.662254e-14,2.238274e-14,5.116463e-14,5.934715e-14,4.300118e-14,4.767418e-14,3.613472e-14,5.196571e-14,1.704216e-14,2.312660e-14,1.313210e-14,3.184318e-14,3.869057e-14,3.405571e-14,1.162529e-14,3.935814e-14,5.648613e-14,3.367424e-14,4.454613e-14,3.029823e-14,2.579689e-14,1.709938e-14,2.631187e-14,2.476692e-14,2.123833e-14,1.839638e-14,3.521919e-14,2.603531e-15,1.736641e-14,9.794235e-15,1.587868e-14,2.457619e-14,3.327370e-14,2.743721e-14,1.376152e-14,2.741814e-14,8.916855e-15,1.540184e-14,4.822731e-14
 32.59800,  1.08712,3.663687e-12,3.785127e-10,7.886606e-11,3.218892e-10,3.973961e-12,3.258616e-09,1.835918e-13,2.167797e-13,1.795769e-14,2.297401e-14,7.872582e-14,4.612643e-13,2.312749e-12,1.515914e-08,1.143456e-10,1.873970e-12,5.855662e-13,3.923518e-09,3.737450e-12,1.480579e-11,1.234531e-13,1.335136e-10,1.734447e-13,2.533436e-11,8.156776e-12,4.046816e-08,1.513481e-12,2.734089e-13,3.811556e-13,3.410441e-11,5.348307e-13,2.121448e-13,5.364418e-14,2.835751e-13,5.484581e-14,2.294064e-13,3.162485e-13,1.226139e-13,4.878044e-14,6.297111e-14,3.918648e-14,4.679680e-14,5.314827e-14,5.274773e-14,3.554344e-14,6.999016e-14,4.618645e-14,1.746178e-14,6.968498e-14,3.388888e-13,1.001644e-13,7.323265e-14,3.855705e-14,2.028465e-14,4.176140e-14,6.497383e-14,3.548622e-14,2.409935e-14,4.691124e-14,8.488655e-14,6.089211e-14,9.203911e-14,2.044392e-13,1.893520e-13,5.364418e-14,4.599571e-14,3.182411e-14,4.277229e-14,4.212380e-14,4.981041e-14,1.076698e-14,1.172066e-14,3.029823e-14,2.955437e-14,5.230903e-14,3.783226e-14,1.233768e-13,8.217811e-14,2.856255e-14,3.092766e-14,1.622200e-14,5.693436e-15,2.463341e-14,1.679421e-14,1.696587e-14,5.713463e-14,2.486229e-14,2.400398e-14,1.088238e-13,1.332951e-13,5.488396e-14,4.473686e-14,1.563072e-14,1.927376e-14,3.403664e-14,3.233909e-14,3.728866e-15,4.110336e-15,2.224922e-14,2.638817e-14,2.837181e-14,1.072884e-14,3.695488e-14,1.139641e-14,3.191948e-14,3.199577e-14,2.491951e-14,1.214027e-14,3.056526e-14,2.837181e-14,9.965897e-15,4.336357e-14,6.272316e-14,5.702018e-14,3.577232e-14,1.774788e-14,4.698753e-14,4.040718e-14,2.472877e-14,2.694130e-14,1.000000e-17,1.030922e-14,3.083229e-14,2.657890e-14,4.742623e-14,1.902580e-14,1.734734e-14,1.168251e-14,2.240181e-14,1.366615e-14,2.909660e-14,3.194809e-15,3.087044e-14,1.412392e-14,2.146721e-14,3.843307e-15
 32.68500,  1.26250,3.581251e-12,3.754457e-10,7.808786e-11,3.200353e-10,3.981590e-12,3.266245e-09,1.814938e-13,2.325916e-13,1.641274e-14,1.783371e-15,5.179405e-14,3.957850e-13,2.337372e-12,1.512595e-08,1.139641e-10,1.835823e-12,5.685907e-13,3.887660e-09,3.621101e-12,1.472378e-11,1.136875e-13,1.340247e-10,1.264477e-13,2.551555e-11,8.494377e-12,4.050611e-08,1.517296e-12,2.689266e-13,3.773600e-13,3.407579e-11,5.381876e-13,2.307415e-13,6.960869e-14,2.756977e-13,4.427910e-14,2.063656e-13,2.782726e-13,9.844780e-14,5.902290e-14,1.023579e-13,2.926826e-14,7.458687e-14,4.523277e-14,5.362511e-14,3.651619e-14,6.762504e-14,1.978874e-14,6.543159e-14,7.136345e-14,3.466707e-13,6.558418e-14,5.112648e-14,3.102303e-14,4.973412e-14,4.338265e-14,2.957344e-14,2.507210e-14,2.930641e-14,3.697395e-14,8.383751e-14,7.052421e-14,7.359505e-14,2.114963e-13,1.918125e-13,5.166054e-14,2.936363e-14,1.269341e-14,3.798485e-14,4.351616e-14,4.460335e-14,3.037453e-14,4.117012e-14,4.158974e-14,4.822731e-14,8.933067e-14,3.529549e-14,1.684093e-13,7.082939e-14,3.182411e-14,4.021645e-14,2.530098e-14,2.762794e-14,1.410484e-14,4.054069e-14,1.875877e-14,1.500130e-14,1.788139e-14,4.748344e-14,9.413719e-14,1.303196e-13,8.708000e-14,2.852440e-14,3.390312e-14,2.829552e-14,4.137993e-14,3.220558e-14,1.915932e-14,1.482964e-14,5.640984e-14,1.000000e-17,4.479408e-14,4.876137e-14,3.661156e-14,3.405571e-14,1.315117e-14,1.725197e-14,2.377510e-14,5.478859e-14,1.000000e-17,1.433373e-14,2.293587e-14,1.000000e-17,4.000664e-14,2.121925e-14,4.675865e-14,3.399849e-14,1.513481e-14,2.554893e-14,2.680778e-14,1.816750e-14,2.608299e-14,3.018379e-14,9.355545e-15,3.041267e-14,3.462791e-14,1.135826e-14,1.105309e-14,5.379677e-14,9.412765e-15,2.442360e-14,1.153946e-15,2.470016e-15,2.188682e-14,1.189232e-14,1.440048e-15,1.183510e-14
 32.74800,  1.44134,3.548826e-12,3.756117e-10,7.817179e-11,3.209851e-10,4.265785e-12,3.266817e-09,2.032757e-13,2.039051e-13,1.963615e-14,3.415108e-14,4.927635e-14,4.211336e-13,2.216885e-12,1.507713e-08,1.137733e-10,1.828194e-12,5.645662e-13,3.873164e-09,3.668785e-12,1.464558e-11,1.336193e-13,1.339523e-10,1.316547e-13,2.521420e-11,8.454322e-12,4.038576e-08,1.549721e-12,2.658176e-13,3.971583e-13,3.403765e-11,5.522829e-13,2.422237e-13,4.099846e-14,2.587605e-13,5.173683e-14,2.265072e-13,3.158480e-13,1.072407e-13,6.457329e-14,8.578300e-14,3.684044e-14,3.586769e-14,3.842354e-14,7.367134e-14,3.046989e-14,6.073952e-14,2.625465e-14,4.178047e-14,6.329536e-14,3.571612e-13,8.105278e-14,5.440712e-14,2.055168e-14,5.253792e-14,4.750252e-14,2.818108e-14,1.444817e-14,2.518654e-14,2.154350e-14,7.431984e-14,8.126259e-14,6.718636e-14,2.077389e-13,2.627468e-13,5.787849e-14,4.284859e-14,3.020286e-14,3.947258e-14,3.191948e-14,5.635261e-14,3.291130e-14,8.802414e-15,2.808571e-14,3.638267e-14,5.959511e-14,3.409386e-14,1.406765e-13,4.319191e-14,1.868248e-14,1.915932e-14,1.734734e-14,3.552437e-14,2.850533e-14,2.585411e-14,9.603500e-15,1.830101e-14,4.923820e-14,5.053520e-14,8.936882e-14,1.601124e-13,8.868217e-14,5.946159e-14,1.496315e-14,3.468514e-14,1.627922e-14,1.103401e-14,1.994133e-14,2.587318e-14,1.517296e-14,7.944107e-15,8.820534e-14,2.753258e-14,2.285957e-14,2.787590e-14,3.441811e-14,2.659798e-14,2.982139e-14,2.118111e-14,1.803398e-14,3.075600e-14,2.297401e-14,9.584427e-15,3.478050e-14,4.721642e-14,5.637169e-14,4.364967e-14,5.057335e-14,1.000000e-17,2.743721e-14,2.757072e-14,1.000404e-14,1.536369e-14,1.395226e-14,1.217842e-14,2.055168e-14,3.771782e-14,2.890587e-14,9.336471e-15,3.926277e-14,1.467705e-14,4.267692e-14,2.472877e-14,2.528191e-14,3.067970e-14,2.856255e-14,1.629829e-14
 32.84500,  1.62072,3.633665e-12,3.729223e-10,7.743364e-11,3.184712e-10,4.132270e-12,3.265864e-09,1.828098e-13,2.283955e-13,1.976967e-14,1.374245e-14,6.430626e-14,3.843981e-13,2.299969e-12,1.501457e-08,1.126289e-10,1.809120e-12,6.098658e-13,3.863245e-09,3.643990e-12,1.460934e-11,1.270390e-13,1.348964e-10,1.617527e-13,2.570629e-11,8.303642e-12,4.037298e-08,1.543999e-12,2.763653e-13,3.876787e-13,3.377634e-11,5.616098e-13,2.272320e-13,3.970146e-14,2.760983e-13,4.784584e-14,1.938534e-13,2.753353e-13,1.154614e-13,5.295753e-14,9.076119e-14,2.707481e-14,6.581306e-14,6.968498e-14,6.052971e-14,2.358437e-14,6.262779e-14,4.960060e-14,8.269310e-14,8.906364e-14,3.003216e-13,7.569313e-14,5.715370e-14,3.233909e-14,1.770973e-14,1.942635e-14,4.696846e-14,5.309105e-14,4.595756e-14,4.822731e-14,4.900932e-14,6.730080e-14,9.032249e-14,2.303600e-13,2.187061e-13,2.272606e-14,5.532265e-14,3.474235e-14,1.513481e-14,3.903389e-14,6.855965e-14,1.793861e-14,3.811836e-14,5.522728e-14,2.596855e-14,3.119469e-14,9.183884e-15,1.420498e-13,6.026268e-14,1.906395e-14,5.692482e-14,2.039909e-14,7.104874e-15,4.010201e-14,3.455162e-14,1.122475e-14,1.925469e-14,2.980232e-14,4.803658e-14,1.109219e-13,1.249790e-13,1.046848e-13,4.124642e-14,1.751900e-14,2.894402e-14,2.917290e-14,3.041267e-14,1.122475e-14,3.919601e-15,2.789497e-14,1.866341e-14,2.549171e-14,2.324104e-14,2.320290e-14,3.811836e-14,3.539085e-14,1.000000e-17,1.793861e-14,3.195762e-14,2.099037e-14,3.077507e-14,2.926826e-14,1.517296e-14,6.516457e-14,3.314018e-14,1.473427e-14,1.879692e-14,2.556801e-14,1.749992e-14,2.625465e-14,3.786087e-15,1.290321e-14,1.000000e-17,1.431465e-14,2.697945e-14,2.785683e-14,2.249718e-14,1.554489e-15,3.031730e-14,8.678436e-16,2.511024e-14,1.292229e-14,3.137589e-15,3.008842e-14,2.280235e-14,1.252174e-14,1.961708e-14
