#EXPORTTYPE:                 ,DATA ALL                         
#FILE:                       ,2024_06_20_005c-B_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                         
#FTYPE:                      ,ASCII                            
#IDENTITY:                   ,PS-SCF3                          
#DECIMAL:                    ,POINT                            
#SEPARATOR:                  ,COMMA                            
#MTYPE:                      ,DSC                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                
#PROJECT:                    ,                                 
#DATE/TIME:                  ,6/20/2024 9:01:28 PM (UTC-4)     
#CORR. FILE:                 ,                                 
#TEMPCAL:                    ,28-06-2023 13:26                 
#SENSITIVITY:                ,28-06-2023 13:53                 
#LABORATORY:                 ,                                 
#OPERATOR:                   ,Stanley                          
#REMARK:                     ,                                 
#SAMPLE:                     ,005c-B-2                         
#SAMPLE MASS /mg:            ,5.05                             
#MATERIAL:                   ,                                 
#REFERENCE:                  ,-----                            
#REFERENCE MASS /mg:         ,0                                
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                
#SAMPLE CRUCIBLE MASS /mg:   ,0                                
#REFERENCE CRUCIBLE MASS /mg:,0                                
#DSC RANGE /‘V:              ,5000                             
#TG RANGE /mg:               ,35000                            
#TAU-R:                      ,---                              
#CORR. CODE:                 ,000                              
#EXO:                        ,-1                               
#RANGE:                      ,20›C....800›C/0.0....5.0K/min    
#SEGMENT:                    ,S1-4/4                           
#SEG. 1:                     ,20›C/5.0(K/min)/100›C            
#SEG. 2:                     ,100›C/00:05/100›C                
#SEG. 3:                     ,100›C/1.0(K/min)/400›C           
#SEG. 4:                     ,400›C/5.0(K/min)/800›C           

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.38400,  0.00000,-5.199538e-02, 0.000000e+00,50.00000,20.00000,6.400667e-08,0.92398,1
 32.39471,  0.10000,-5.193109e-02, 3.441137e-04,50.00000,20.00000,6.394835e-08,0.92398,1
 32.37700,  0.20000,-4.888880e-02, 6.800000e-04,50.00000,20.00000,6.392510e-08,0.92398,1
 32.38495,  0.30000,-4.774759e-02, 7.252001e-04,50.00000,20.00000,6.396981e-08,0.92398,1
 32.38900,  0.40000,-4.267541e-02, 6.800000e-04,50.00000,20.00000,6.402094e-08,0.92398,1
 32.39980,  0.50000,-3.802453e-02, 4.584231e-03,50.00000,20.00000,6.404181e-08,0.92398,1
 32.42200,  0.60000,-3.172023e-02, 5.770000e-03,50.00000,20.00000,6.406837e-08,0.92398,1
 32.45251,  0.70000,-2.468014e-02, 6.717266e-03,50.00000,20.00000,6.410177e-08,0.92399,1
 32.48000,  0.80000,-1.831252e-02, 1.030000e-02,50.00000,20.00000,6.410300e-08,0.92399,1
 32.53185,  0.90000,-1.001253e-02, 1.226169e-02,50.00000,20.00000,6.406172e-08,0.92400,1
 32.56700,  1.00000,-4.087550e-03, 1.437000e-02,50.00000,20.00000,6.399187e-08,0.92401,1
 32.60560,  1.10000, 3.584535e-03, 1.489994e-02,50.00000,20.00000,6.394116e-08,0.92401,1
 32.65800,  1.20000, 9.482960e-03, 1.720000e-02,50.00000,20.00000,6.393214e-08,0.92402,1
 32.71486,  1.30000, 1.517814e-02, 1.936894e-02,50.00000,20.00000,6.389171e-08,0.92403,1
 32.74800,  1.40000, 2.076407e-02, 1.991000e-02,50.00000,20.00000,6.378615e-08,0.92404,1
 32.79327,  1.50000, 2.429219e-02, 2.162776e-02,50.00000,20.00000,6.366239e-08,0.92405,1
