#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_06_20_PS2439_6_1K_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS                                    
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,TIC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,6/20/2024 12:36:34 PM (UTC-4)         
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,                                      
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,PS2439_6.1K                           
#SAMPLE MASS /mg:            ,5.02                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,-----                                 
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
                             ,                                      

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.75000,  0.01336,3.685564e-12,3.879102e-10,8.277231e-11,3.252328e-10,3.687859e-12,2.849293e-09,2.243328e-13,2.754688e-13,5.991935e-14,4.992485e-14,5.469322e-14,3.669840e-13,1.882431e-12,1.530315e-08,1.137733e-10,1.906395e-12,5.101496e-13,3.674227e-09,3.520012e-12,1.378918e-11,1.480770e-13,1.202403e-10,1.299763e-13,2.368450e-11,6.741524e-12,3.786310e-08,1.492500e-12,2.914905e-13,3.698260e-13,3.225618e-11,5.428606e-13,2.391338e-13,4.895210e-14,2.056217e-13,5.524635e-14,1.010036e-13,5.700112e-14,7.420540e-14,4.710197e-14,9.478569e-14,4.340172e-14,6.783486e-14,4.199028e-14,3.247261e-14,2.684593e-14,6.543159e-14,6.154060e-14,6.560326e-14,4.403114e-14,2.442646e-13,2.461433e-14,9.297371e-14,4.021645e-14,4.487038e-14,2.295494e-14,4.664421e-14,5.581856e-14,2.985954e-14,1.505852e-14,2.295494e-14,4.935265e-14,6.876945e-14,8.324623e-14,8.044243e-14,1.425743e-14,7.313728e-14,4.126549e-14,3.815651e-14,4.416466e-14,4.509926e-14,3.045082e-14,5.318642e-14,3.157615e-14,4.254341e-14,2.495766e-14,1.744270e-14,3.018379e-14,5.043983e-14,4.956245e-14,2.747536e-14,2.518654e-14,4.691124e-14,3.668785e-14,2.005577e-14,1.702309e-14,1.626015e-14,5.835533e-14,4.349709e-14,3.840446e-14,9.469986e-15,4.158974e-14,6.115913e-14,4.038811e-14,3.930092e-14,2.589226e-14,1.904488e-14,4.530907e-14,2.764702e-14,6.761551e-15,3.802299e-14,3.348350e-14,2.753258e-14,3.951073e-14,8.363724e-15,4.261971e-14,1.744270e-14,1.814842e-14,3.060341e-14,4.643440e-14,4.364967e-14,3.872871e-14,2.802849e-14,4.607201e-14,4.740715e-14,2.215385e-14,5.159378e-15,3.476143e-14,6.933212e-15,1.551628e-14,1.618385e-14,3.254890e-14,3.848076e-14,4.031181e-14,2.285957e-14,4.088402e-14,2.484322e-14,3.924370e-14,2.638817e-14,2.640724e-14,7.009506e-15,2.985954e-14,2.287865e-14,4.139900e-14,2.457619e-14,2.352714e-14,2.980232e-14
 31.74300,  0.18823,3.633741e-12,3.871492e-10,8.369165e-11,3.262456e-10,3.779411e-12,2.872753e-09,1.672268e-13,1.869106e-13,1.517296e-14,4.733086e-14,4.504204e-14,3.563982e-13,1.867687e-12,1.529991e-08,1.137733e-10,1.881599e-12,4.890162e-13,3.659731e-09,3.380775e-12,1.345730e-11,1.208782e-13,1.199142e-10,1.132679e-13,2.386570e-11,6.922722e-12,3.772901e-08,1.418114e-12,2.714252e-13,3.052235e-13,3.243547e-11,4.922205e-13,2.022839e-13,5.398750e-14,2.066135e-13,6.268501e-14,9.882927e-14,8.847237e-14,2.766609e-14,3.762245e-14,1.007175e-13,3.108024e-14,4.054069e-14,3.232002e-14,5.282402e-14,4.229546e-14,3.544807e-14,5.769730e-15,5.276680e-14,5.063057e-14,3.136164e-13,5.757332e-14,4.446983e-14,3.798485e-14,3.718376e-14,4.912376e-14,3.104210e-14,2.123833e-14,2.594948e-14,2.997398e-14,3.659248e-14,4.817009e-14,3.020286e-14,7.369042e-14,5.370140e-14,4.481316e-14,4.586220e-14,2.413750e-14,3.489494e-14,3.169060e-14,2.825737e-14,2.627373e-14,3.163338e-14,4.378319e-14,2.591133e-14,3.695488e-14,1.931191e-14,4.397392e-14,4.830361e-14,4.986763e-14,1.490593e-14,3.630638e-14,2.388954e-14,2.794266e-15,3.794670e-14,2.755165e-14,2.562523e-14,3.050804e-14,3.994942e-14,4.925728e-14,5.140305e-15,2.699852e-14,3.319740e-14,4.343986e-14,2.207756e-14,2.488136e-14,1.332283e-14,1.851082e-14,3.058433e-14,1.191139e-14,2.743721e-14,4.151344e-14,2.211571e-14,1.006126e-14,2.043724e-14,2.093315e-14,1.746178e-14,2.030373e-14,1.017570e-14,3.140450e-14,2.680778e-14,9.431839e-15,1.172066e-14,6.976127e-14,3.766060e-14,7.462501e-14,1.599312e-14,3.271103e-15,3.092766e-14,3.195762e-14,2.537727e-14,2.129555e-14,2.438545e-14,3.052711e-14,3.037453e-14,3.129005e-14,1.000000e-17,3.071785e-14,2.272606e-14,3.577232e-14,1.933098e-14,2.301216e-14,3.544807e-14,5.301476e-14,3.275871e-14,2.470970e-14,1.391411e-14
 31.77000,  0.36517,3.551382e-12,3.894990e-10,8.308512e-11,3.268006e-10,3.664970e-12,2.869701e-09,1.938534e-13,2.296543e-13,3.701210e-14,1.114845e-14,4.847527e-14,3.906924e-13,1.821072e-12,1.524307e-08,1.126289e-10,1.839638e-12,5.042940e-13,3.664690e-09,3.499031e-12,1.386547e-11,1.137447e-13,1.204711e-10,1.007557e-13,2.404499e-11,6.762504e-12,3.777059e-08,1.498222e-12,2.468014e-13,3.411394e-13,3.214365e-11,5.343729e-13,2.070904e-13,3.165245e-14,1.801777e-13,6.209374e-14,9.493828e-14,8.267403e-14,5.841255e-14,3.252983e-14,5.717277e-14,4.714012e-14,6.651878e-14,2.470970e-14,3.436088e-14,2.814293e-14,7.275581e-14,3.794670e-14,1.143456e-14,3.664970e-14,2.966976e-13,4.759788e-14,6.188393e-14,2.980232e-14,5.589485e-14,5.358696e-14,2.989769e-14,2.356529e-14,2.833366e-14,3.289223e-14,4.012108e-14,6.512642e-14,4.235268e-14,7.435799e-14,4.145622e-14,2.011299e-14,5.475044e-14,3.396034e-14,2.179146e-14,1.433373e-14,4.778862e-14,3.478050e-14,2.398491e-14,3.758431e-14,1.049995e-14,3.964424e-14,5.099297e-14,4.719734e-14,1.624107e-14,3.254890e-14,3.174782e-14,2.329826e-14,4.088402e-14,3.575325e-14,1.002312e-14,4.471779e-14,2.850533e-14,2.915382e-14,1.726151e-15,5.805016e-14,3.312111e-14,4.292488e-14,3.312111e-14,1.990318e-14,9.889603e-15,4.469871e-14,1.494408e-14,2.320290e-14,3.762245e-14,3.617287e-14,2.638817e-14,3.623009e-14,1.675606e-14,8.649826e-15,3.805160e-15,4.372597e-14,1.935005e-14,4.277229e-14,2.625465e-14,2.722740e-14,2.943992e-14,3.376961e-14,2.614021e-14,2.326012e-14,1.967430e-14,1.481056e-14,3.226280e-14,1.702309e-14,4.739761e-15,3.968239e-14,3.121376e-14,2.175331e-14,2.583504e-14,6.723404e-15,1.077652e-15,2.364159e-14,1.990318e-14,2.598762e-14,1.940727e-14,3.100395e-14,1.259804e-14,3.752708e-14,2.524376e-14,1.526833e-14,6.418228e-15,3.960610e-14,4.534721e-14
 31.80100,  0.54162,3.536886e-12,3.862051e-10,8.312517e-11,3.261235e-10,3.684044e-12,2.872753e-09,1.713657e-13,2.041340e-13,1.814842e-14,2.066612e-14,7.658959e-14,3.391749e-13,1.825840e-12,1.518337e-08,1.124382e-10,1.854896e-12,4.741770e-13,3.644473e-09,3.437996e-12,1.342678e-11,9.890556e-14,1.211101e-10,1.210690e-13,2.386951e-11,6.699562e-12,3.794931e-08,1.524925e-12,2.343273e-13,3.303248e-13,3.200251e-11,4.916293e-13,2.123928e-13,4.920006e-14,2.164745e-13,3.949165e-14,1.064205e-13,1.049519e-13,6.335258e-14,4.220009e-14,7.149696e-14,4.502297e-14,7.281303e-14,2.676964e-14,4.805565e-14,1.666069e-14,6.117821e-14,3.832817e-14,2.707481e-14,1.996040e-14,2.359867e-13,3.741264e-14,3.670692e-14,2.188682e-14,4.330635e-14,1.921654e-14,4.788399e-14,3.855705e-14,3.020286e-14,2.772331e-14,5.702018e-14,3.533363e-14,5.431175e-14,7.830620e-14,7.422447e-14,5.393028e-14,5.702018e-14,1.336098e-14,6.589890e-15,6.279946e-14,4.591942e-14,2.497673e-14,3.567696e-14,2.345085e-14,5.209923e-14,2.161980e-14,2.527237e-15,5.900383e-14,3.827095e-14,1.420021e-14,4.576683e-14,2.333641e-14,2.431869e-15,5.146980e-14,1.816750e-14,4.881859e-14,1.946449e-14,6.818772e-15,4.864693e-14,2.425194e-14,3.594399e-14,2.291679e-14,1.351357e-14,2.316475e-14,3.024101e-14,2.230644e-14,1.000000e-17,3.205299e-14,2.968788e-14,1.029015e-14,2.367973e-14,2.224922e-14,4.944801e-14,2.919197e-14,5.373955e-14,2.974510e-14,2.398491e-14,1.927376e-14,4.685402e-14,3.306389e-14,3.924370e-14,2.131462e-14,2.070427e-14,4.593849e-14,3.758431e-14,1.017570e-14,3.663063e-14,1.774788e-14,1.795769e-14,3.333092e-14,2.755165e-14,1.648903e-14,9.088516e-15,4.555702e-14,3.266335e-14,1.795769e-14,2.705574e-14,2.698898e-15,3.853798e-14,2.791405e-14,1.000000e-17,6.580353e-16,2.852440e-14,2.327919e-14,9.641647e-15,2.202034e-14,2.091408e-14
 31.85700,  0.71929,3.582376e-12,3.831819e-10,8.248049e-11,3.240292e-10,3.832817e-12,2.883244e-09,1.694202e-13,1.870632e-13,1.000000e-17,1.498222e-14,3.729820e-14,3.838641e-13,1.902916e-12,1.502486e-08,1.111031e-10,1.799583e-12,4.980570e-13,3.623301e-09,3.359794e-12,1.344585e-11,1.050854e-13,1.213256e-10,1.092243e-13,2.422810e-11,6.743431e-12,3.795599e-08,1.481056e-12,2.401447e-13,2.987766e-13,3.254419e-11,5.032831e-13,2.085209e-13,4.599571e-14,1.825428e-13,6.073952e-14,8.820534e-14,1.038647e-13,7.014274e-14,3.100395e-14,8.433342e-14,4.857063e-14,5.568504e-14,2.861977e-14,4.622459e-14,3.266335e-14,4.336357e-14,1.128197e-14,1.559258e-14,3.968239e-14,2.510548e-13,4.387856e-14,7.508278e-14,2.804756e-14,2.034187e-14,4.841805e-14,4.815102e-14,5.423546e-14,2.093315e-14,4.500389e-14,5.480766e-14,3.989220e-14,5.002022e-14,4.282951e-14,7.565498e-14,6.346703e-14,3.413200e-14,2.264976e-14,2.881050e-14,7.276535e-15,5.137444e-14,1.662254e-14,3.037453e-14,1.238823e-14,3.943443e-14,1.573563e-15,3.020286e-14,6.325722e-14,4.504204e-14,3.638267e-14,2.551079e-14,3.487587e-14,1.021385e-14,1.959801e-14,4.139900e-14,4.126549e-14,3.006935e-14,3.705025e-14,2.461433e-14,4.027367e-14,2.774239e-14,4.120827e-14,2.371788e-14,6.011009e-14,1.481056e-14,3.146171e-14,2.057075e-14,2.737999e-14,5.941391e-15,2.060890e-14,4.397392e-14,3.743172e-14,3.151894e-14,3.041267e-14,1.818657e-14,2.205849e-14,1.679421e-14,4.111290e-14,1.496315e-14,7.886886e-15,2.314568e-14,2.942085e-14,1.732826e-14,3.544807e-14,1.677513e-14,5.248070e-14,3.005028e-14,4.374504e-14,1.000000e-17,8.020401e-15,2.535820e-14,1.370430e-14,1.301765e-14,4.082680e-14,3.039360e-14,2.112389e-14,3.092766e-14,2.470970e-14,1.233101e-14,1.339912e-14,5.597114e-14,2.701759e-14,2.852440e-14,1.708031e-14,2.018928e-14,2.020836e-14,2.581596e-14
 31.91600,  0.89678,3.562902e-12,3.814500e-10,8.230692e-11,3.237374e-10,3.729820e-12,2.875996e-09,1.577663e-13,2.136135e-13,1.343727e-14,3.008842e-14,6.215095e-14,3.665072e-13,1.816627e-12,1.503345e-08,1.114845e-10,1.811027e-12,4.857546e-13,3.608805e-09,3.287315e-12,1.333332e-11,9.678841e-14,1.207324e-10,1.411533e-13,2.390385e-11,6.997108e-12,3.822988e-08,1.463890e-12,2.365780e-13,3.210932e-13,3.200060e-11,5.379587e-13,2.067661e-13,5.248070e-14,2.035236e-13,5.213737e-14,9.428978e-14,5.984306e-14,6.247521e-14,4.609108e-14,7.832527e-14,3.943443e-14,5.110741e-14,5.410194e-14,6.295204e-14,2.297401e-14,5.372047e-14,3.220558e-14,4.828453e-14,3.705025e-14,2.295780e-13,5.097389e-14,4.399300e-14,3.571510e-14,3.476143e-14,3.592491e-14,3.310203e-14,4.466057e-14,1.774788e-14,3.991127e-14,4.847527e-14,5.215645e-14,4.992485e-14,4.982948e-14,5.932808e-14,2.232552e-14,4.271507e-14,4.452705e-14,2.373695e-14,2.840996e-14,4.704476e-14,2.409935e-14,5.188942e-14,3.203392e-14,1.020431e-15,1.605034e-14,2.943992e-14,4.881859e-14,5.583763e-14,2.049446e-14,1.509666e-14,2.314568e-14,3.485679e-14,3.535271e-14,5.102158e-15,2.337456e-14,4.458427e-14,1.093864e-14,1.820564e-14,1.738548e-14,5.023003e-14,3.228188e-14,3.817558e-14,4.240990e-14,2.797127e-14,1.000000e-17,6.971359e-15,2.812386e-14,2.041817e-14,2.282143e-14,3.689766e-14,4.361153e-14,3.537178e-14,1.086235e-14,2.310753e-14,2.270698e-14,2.667427e-14,1.217842e-14,1.572609e-14,1.986504e-14,8.516312e-15,1.332283e-14,4.136086e-14,6.199837e-14,2.629280e-14,1.105309e-14,2.635002e-14,2.785683e-14,1.759529e-14,3.380775e-14,4.336357e-14,1.305580e-14,1.231194e-14,1.749992e-14,1.172066e-14,2.551079e-14,2.279282e-15,2.423286e-14,3.907204e-14,2.345085e-14,1.458168e-14,1.965523e-14,3.024101e-14,3.729820e-14,2.984047e-14,2.024650e-14,3.003120e-14
 31.99300,  1.07961,3.500704e-12,3.808263e-10,8.168894e-11,3.215135e-10,3.767967e-12,2.879620e-09,1.579571e-13,1.683521e-13,3.521919e-14,1.497269e-15,3.930092e-14,3.443247e-13,1.925957e-12,1.495715e-08,1.112938e-10,1.824379e-12,4.685122e-13,3.582102e-09,3.533363e-12,1.354122e-11,1.027584e-13,1.209804e-10,1.007557e-13,2.378559e-11,6.592750e-12,3.802256e-08,1.528740e-12,2.462864e-13,2.978420e-13,3.198153e-11,5.344111e-13,2.079105e-13,5.089760e-14,2.156734e-13,4.227638e-14,1.181889e-13,6.161690e-14,6.636620e-14,4.668236e-14,9.854317e-14,3.912926e-14,5.787849e-14,2.074242e-14,4.412651e-14,3.157615e-14,5.522728e-14,5.068779e-14,4.139900e-14,3.590584e-14,2.340031e-13,2.087593e-14,2.608299e-14,2.387047e-14,5.648613e-14,3.149986e-14,4.660606e-14,4.067421e-14,2.675056e-14,2.186775e-14,5.845070e-14,4.023552e-14,4.614830e-14,6.140709e-14,4.250527e-14,5.464554e-15,4.137993e-14,1.883507e-14,3.209114e-14,3.956795e-14,3.737450e-14,2.905846e-14,4.084587e-14,3.022194e-14,3.910065e-16,1.957893e-14,3.666878e-14,3.518105e-14,5.259514e-14,3.607750e-14,3.830910e-14,3.371239e-14,2.495766e-14,3.697395e-14,2.491951e-14,5.013466e-14,2.173424e-14,2.949715e-14,2.156258e-14,3.909111e-14,2.470970e-14,2.854347e-14,4.158974e-14,2.263069e-14,3.520012e-14,2.709389e-14,3.485679e-14,2.789497e-14,3.252983e-14,2.175331e-14,5.139351e-14,3.237724e-14,2.989769e-14,3.321647e-14,2.575874e-14,8.325577e-15,1.708031e-14,9.450912e-15,2.419472e-14,3.359794e-14,2.484322e-14,3.447533e-14,2.554893e-14,4.771233e-14,3.804207e-14,1.141548e-14,2.400398e-14,3.478050e-14,4.548073e-14,1.742363e-14,1.000000e-17,2.415657e-14,3.674507e-14,2.333641e-14,3.418922e-14,6.580353e-16,2.860069e-14,1.145363e-14,2.602577e-14,1.000000e-17,3.212929e-14,4.523277e-14,5.731583e-15,2.873421e-14,1.826286e-14,1.421928e-14,1.242638e-14
 32.11600,  1.25711,3.435491e-12,3.799776e-10,8.231836e-11,3.212407e-10,3.731728e-12,2.885723e-09,1.701641e-13,1.954365e-13,1.568794e-14,1.440048e-15,3.952980e-14,3.368098e-13,1.863930e-12,1.490699e-08,1.107216e-10,1.790047e-12,5.391413e-13,3.581148e-09,3.392219e-12,1.317120e-11,1.045513e-13,1.207458e-10,1.270962e-13,2.390194e-11,7.140160e-12,3.794512e-08,1.458168e-12,2.433682e-13,3.641421e-13,3.171831e-11,5.305201e-13,2.135181e-13,4.723549e-14,1.963711e-13,2.728462e-14,9.274483e-14,8.023262e-14,5.658150e-14,5.097389e-14,7.340431e-14,3.354073e-14,2.791405e-14,3.012657e-14,8.215904e-14,3.525734e-14,7.269859e-14,1.830101e-14,4.927635e-14,3.533363e-14,2.809620e-13,2.114296e-14,5.732536e-14,1.677513e-14,4.818916e-14,2.104759e-14,1.585960e-14,2.064705e-14,3.647804e-14,1.772881e-14,3.960610e-14,3.359794e-14,3.499031e-14,4.172325e-14,6.196022e-14,2.167702e-14,4.147530e-14,2.398491e-14,2.892494e-14,4.883766e-14,7.706642e-14,1.616478e-14,2.383232e-14,2.463341e-14,1.982689e-14,3.973961e-14,2.648354e-14,4.824638e-14,3.762245e-14,1.761437e-14,6.818772e-15,3.523826e-14,2.934456e-14,3.008842e-14,3.981590e-14,4.481316e-14,3.504753e-14,2.036095e-14,1.095772e-14,3.739357e-14,2.463341e-14,3.705025e-14,2.730370e-14,2.011299e-14,2.766609e-14,2.758980e-14,8.897781e-15,2.924919e-14,2.336502e-15,2.139091e-14,4.528999e-14,3.460884e-14,3.493309e-14,2.732277e-14,1.494408e-14,2.249718e-14,3.129005e-14,1.030922e-14,3.235817e-14,3.461838e-15,2.594948e-14,3.489494e-14,4.990578e-14,2.993584e-14,3.184318e-14,3.033638e-14,7.925033e-15,8.096695e-15,1.149178e-14,3.630638e-14,3.214836e-14,2.270698e-14,4.482269e-16,1.000000e-17,2.238274e-14,2.068520e-14,3.554344e-14,1.000000e-17,3.289223e-14,2.243996e-14,2.699852e-14,3.149986e-14,1.111031e-14,2.127647e-14,4.892349e-15,1.376152e-14,1.749992e-14
 32.22300,  1.43723,3.364633e-12,3.765043e-10,8.126932e-11,3.217652e-10,3.735542e-12,2.887249e-09,1.790524e-13,2.244091e-13,1.000000e-17,2.469063e-14,4.622459e-14,3.803927e-13,1.876175e-12,1.481334e-08,1.095772e-10,1.736641e-12,4.889590e-13,3.552157e-09,3.386497e-12,1.327610e-11,1.134586e-13,1.220370e-10,1.374721e-13,2.387333e-11,7.136345e-12,3.811125e-08,1.461983e-12,2.654552e-13,3.107166e-13,3.192049e-11,4.848963e-13,1.951885e-13,4.746437e-14,1.958752e-13,8.013725e-14,1.215076e-13,5.454063e-14,6.094933e-14,5.343437e-14,7.405281e-14,4.170418e-14,2.802849e-14,2.854347e-14,6.697655e-14,4.755974e-14,4.811287e-14,3.493309e-14,3.708839e-14,4.290581e-14,2.425480e-13,3.275871e-14,4.788399e-14,5.494118e-14,4.488945e-14,2.942085e-14,5.253792e-14,3.138542e-14,4.462242e-14,3.132820e-14,4.170418e-14,4.952431e-14,4.199028e-14,6.787300e-14,7.842064e-14,1.730919e-14,4.771233e-14,9.412765e-15,3.064156e-14,3.439903e-14,5.291939e-14,3.624916e-14,3.283501e-14,2.974510e-14,5.394935e-14,2.957344e-14,3.199577e-14,2.961159e-14,5.656242e-14,2.371788e-14,3.933907e-14,1.784325e-14,1.114845e-14,3.760338e-14,3.415108e-14,3.634453e-14,1.515389e-14,3.540993e-14,4.221916e-14,3.203392e-14,2.707481e-14,3.149986e-14,4.563332e-14,3.298759e-14,3.264427e-14,3.869057e-14,8.306503e-15,1.444817e-14,3.411293e-14,2.890587e-14,2.442360e-14,1.332283e-14,1.381874e-14,1.193047e-14,2.440453e-14,3.170967e-14,2.766609e-14,3.439903e-14,3.190041e-14,2.896309e-14,2.787590e-14,2.425194e-14,2.202034e-14,4.708290e-14,2.581596e-14,1.370430e-14,1.500130e-14,3.745079e-14,2.196312e-14,4.508018e-14,1.940727e-14,1.500130e-14,2.852440e-14,2.188682e-14,2.179146e-14,2.238274e-14,2.066612e-14,1.126289e-14,2.085686e-14,1.606941e-14,1.118660e-14,1.408577e-14,3.197670e-14,2.821922e-14,2.387047e-14,1.233101e-14,1.328468e-14
 32.28600,  1.61379,3.604082e-12,3.734029e-10,8.118349e-11,3.190873e-10,3.624916e-12,2.895832e-09,1.665211e-13,2.113628e-13,1.000000e-17,1.990318e-14,5.490303e-14,3.684145e-13,1.805221e-12,1.468440e-08,1.097679e-10,1.849174e-12,4.949480e-13,3.548151e-09,3.439903e-12,1.349926e-11,8.730888e-14,1.217605e-10,1.174831e-13,2.394390e-11,7.056236e-12,3.831877e-08,1.441002e-12,2.640819e-13,3.454310e-13,3.218943e-11,4.925257e-13,2.224445e-13,3.457069e-14,1.946354e-13,5.677223e-14,9.760857e-14,9.711265e-14,5.394935e-14,2.541542e-14,6.962776e-14,3.905296e-14,3.148079e-14,4.202843e-14,4.723549e-14,4.618645e-14,5.776406e-14,5.129814e-14,4.147530e-14,1.244545e-14,2.822208e-13,4.637718e-14,4.124642e-14,2.589226e-14,5.452156e-14,4.391670e-14,4.435539e-14,4.528999e-14,2.497673e-14,2.694130e-14,4.172325e-14,5.034447e-14,3.434181e-14,6.501198e-14,3.497124e-14,2.875328e-14,5.196571e-14,3.350258e-14,1.790047e-14,4.500389e-14,5.351067e-14,3.361702e-14,4.174233e-14,2.461433e-14,4.677773e-14,3.161430e-14,1.959801e-14,3.516197e-14,4.231453e-14,1.023293e-14,4.698753e-14,3.802299e-14,4.968643e-15,1.105309e-14,4.019737e-14,4.872322e-14,2.333641e-14,2.903938e-14,2.694130e-14,3.232002e-14,5.394935e-14,4.935265e-14,2.486229e-14,5.145073e-14,2.459526e-14,1.000000e-17,3.186226e-14,4.155159e-14,3.066063e-14,1.311302e-14,2.140999e-14,4.277229e-14,2.026558e-14,2.232552e-14,1.790047e-14,3.878593e-14,2.297401e-14,3.022194e-14,2.057075e-14,5.064964e-14,3.468514e-14,2.232552e-14,1.898766e-14,1.317024e-14,2.303123e-14,2.001762e-14,1.465797e-14,3.901482e-14,2.314568e-14,3.205299e-14,2.449989e-14,3.981590e-14,2.509117e-14,3.506660e-14,6.170273e-15,2.007484e-14,2.360344e-14,3.565788e-14,2.833366e-14,9.584427e-15,1.374245e-14,1.210213e-14,2.560615e-14,1.812935e-14,1.000000e-17,4.111290e-14,3.554344e-14
