#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_06_20_PS2439_6_1K_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS                                    
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,6/20/2024 12:36:34 PM (UTC-4)         
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,                                      
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,PS2439_6.1K                           
#SAMPLE MASS /mg:            ,5.02                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,-----                                 
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,20›C....800›C/0.0....5.0K/min         
#SEGMENT:                    ,S1-4/4                                
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:05/100›C                     
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                
#SEG. 4:                     ,400›C/5.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.75000,  0.00000,-6.547260e-02, 0.000000e+00,50.00000,20.00000,6.081995e-08,0.92387,1
 31.75209,  0.10000,-6.470104e-02,-1.714333e-03,50.00000,20.00000,6.075052e-08,0.92387,1
 31.74300,  0.20000,-6.316962e-02,-1.590000e-03,50.00000,20.00000,6.068521e-08,0.92387,1
 31.76810,  0.30000,-6.095959e-02,-1.083997e-03,50.00000,20.00000,6.065827e-08,0.92387,1
 31.77000,  0.40000,-5.691818e-02,-2.300000e-04,50.00000,20.00000,6.070764e-08,0.92387,1
 31.79297,  0.50000,-5.304303e-02, 1.887180e-03,50.00000,20.00000,6.078252e-08,0.92388,1
 31.81200,  0.60000,-4.803461e-02, 3.840000e-03,50.00000,20.00000,6.071358e-08,0.92388,1
 31.83833,  0.70000,-4.181281e-02, 6.830616e-03,50.00000,20.00000,6.060623e-08,0.92388,1
 31.89800,  0.80000,-3.487388e-02, 8.030000e-03,50.00000,20.00000,6.072812e-08,0.92389,1
 31.92758,  0.90000,-2.658471e-02, 9.203273e-03,50.00000,20.00000,6.086675e-08,0.92390,1
 31.96400,  1.00000,-2.220715e-02, 1.210000e-02,50.00000,20.00000,6.073143e-08,0.92391,1
 32.01721,  1.10000,-1.481636e-02, 1.270544e-02,50.00000,20.00000,6.052251e-08,0.92391,1
 32.07700,  1.20000,-8.224698e-03, 1.459000e-02,50.00000,20.00000,6.043957e-08,0.92392,1
 32.13925,  1.30000,-2.702225e-03, 1.634405e-02,50.00000,20.00000,6.043473e-08,0.92394,1
 32.18700,  1.40000, 2.467359e-03, 1.731000e-02,50.00000,20.00000,6.045921e-08,0.92394,1
 32.24682,  1.50000, 7.000892e-03, 1.823890e-02,50.00000,20.00000,6.050243e-08,0.92395,1
