#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2024_06_21_005c-B_300C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-SCF3                                
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,                                       
#DATE/TIME:                  ,6/21/2024 12:22:40 PM (UTC-4)          
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,28-06-2023 13:26                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,                                       
#OPERATOR:                   ,Stanley                                
#REMARK:                     ,                                       
#SAMPLE:                     ,005c-B-2                               
#SAMPLE MASS /mg:            ,5.0                                    
#MATERIAL:                   ,                                       
#REFERENCE:                  ,-----                                  
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,30›C....800›C/0.0....10.0K/min         
#SEGMENT:                    ,S4/5                                   
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:10/100›C                      
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                 
#SEG. 4:                     ,300›C/24:00/300›C                      
#SEG. 5:                     ,300›C/10.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
298.99500,  57.01083,      1.28031,-0.22829,50.00000,20.00000,6.666579e-08,0.78814
299.48199,  57.11083,      1.26923,-0.22965,50.00000,20.00000,6.666745e-08,0.78769
299.93301,  57.21083,      1.22378,-0.23101,50.00000,20.00000,6.674197e-08,0.78727
300.31900,  57.31083,      1.13397,-0.23101,50.00000,20.00000,6.674926e-08,0.78691
300.68100,  57.41083,      1.00798,-0.23372,50.00000,20.00000,6.669387e-08,0.78657
300.96899,  57.51083,      0.85347,-0.23813,50.00000,20.00000,6.671951e-08,0.78630
301.20300,  57.61083,      0.67803,-0.24108,50.00000,20.00000,6.682690e-08,0.78608
301.39899,  57.71083,      0.49355,-0.24390,50.00000,20.00000,6.684662e-08,0.78590
301.55499,  57.81083,      0.30411,-0.24696,50.00000,20.00000,6.678163e-08,0.78576
301.66901,  57.91083,      0.12372,-0.24967,50.00000,20.00000,6.672974e-08,0.78565
301.77200,  58.01083,-4.739524e-02,-0.25442,50.00000,20.00000,6.670975e-08,0.78555
301.84601,  58.11083,     -0.20203,-0.25714,50.00000,20.00000,6.671444e-08,0.78548
301.92599,  58.21083,     -0.33785,-0.26031,50.00000,20.00000,6.673459e-08,0.78541
301.96701,  58.31083,     -0.45424,-0.26393,50.00000,20.00000,6.676184e-08,0.78537
302.02899,  58.41083,     -0.55124,-0.26562,50.00000,20.00000,6.678999e-08,0.78531
302.07599,  58.51083,     -0.62705,-0.26800,50.00000,20.00000,6.682049e-08,0.78527
302.13199,  58.61083,     -0.68500,-0.27004,50.00000,20.00000,6.685921e-08,0.78522
302.18500,  58.71083,     -0.72624,-0.27388,50.00000,20.00000,6.690178e-08,0.78517
302.24100,  58.81083,     -0.75331,-0.27388,50.00000,20.00000,6.693588e-08,0.78511
302.31799,  58.91083,     -0.77242,-0.27524,50.00000,20.00000,6.693814e-08,0.78504
302.38800,  59.01083,     -0.78434,-0.27841,50.00000,20.00000,6.689974e-08,0.78498
302.46301,  59.11083,     -0.79161,-0.27943,50.00000,20.00000,6.683972e-08,0.78491
302.53201,  59.21083,     -0.79595,-0.28078,50.00000,20.00000,6.679482e-08,0.78484
302.60400,  59.31083,     -0.80185,-0.28350,50.00000,20.00000,6.680649e-08,0.78478
302.67001,  59.41083,     -0.81008,-0.28486,50.00000,20.00000,6.684411e-08,0.78471
302.74100,  59.51083,     -0.82007,-0.28621,50.00000,20.00000,6.685675e-08,0.78465
302.78900,  59.61083,     -0.83509,-0.28757,50.00000,20.00000,6.686536e-08,0.78460
302.84900,  59.71083,     -0.85324,-0.29029,50.00000,20.00000,6.689008e-08,0.78455
302.88300,  59.81083,     -0.87505,-0.29164,50.00000,20.00000,6.690316e-08,0.78451
302.93301,  59.91083,     -0.90059,-0.29459,50.00000,20.00000,6.691520e-08,0.78447
302.95401,  60.01083,     -0.93173,-0.29594,50.00000,20.00000,6.698138e-08,0.78445
302.97198,  60.11083,     -0.96346,-0.29866,50.00000,20.00000,6.705832e-08,0.78443
302.98300,  60.21083,     -0.99421,-0.29866,50.00000,20.00000,6.705663e-08,0.78442
302.98901,  60.31083,     -1.02845,-0.30296,50.00000,20.00000,6.701746e-08,0.78442
302.99701,  60.41083,     -1.06250,-0.30296,50.00000,20.00000,6.700648e-08,0.78441
