#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_06_21_PS2439_6_1K_300C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS_6_1K                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,6/22/2024 3:14:27 PM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,                                            
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,PS2439_6_1K                                 
#SAMPLE MASS /mg:            ,5.0                                         
#MATERIAL:                   ,                                            
#REFERENCE:                  ,-----                                       
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....10.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/24:00/300›C                           
#SEG. 5:                     ,300›C/10.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.95400,   0.00000,      0.58147, 0.000000e+00,50.00000,20.00000,6.826453e-08,0.92424,1
 34.23700,   0.10000,      0.53357,-6.340000e-03,50.00000,20.00000,6.863192e-08,0.92428,1
 34.51000,   0.20000,      0.49178,-1.064000e-02,50.00000,20.00000,6.902027e-08,0.92432,1
 34.80400,   0.30000,      0.45742,-1.312000e-02,50.00000,20.00000,6.935662e-08,0.92437,1
 35.07600,   0.40000,      0.43264,-1.516000e-02,50.00000,20.00000,6.970605e-08,0.92441,1
 35.34500,   0.50000,      0.41281,-1.584000e-02,50.00000,20.00000,7.008856e-08,0.92445,1
 35.63700,   0.60000,      0.40206,-1.584000e-02,50.00000,20.00000,7.043880e-08,0.92449,1
 35.92700,   0.70000,      0.39759,-1.584000e-02,50.00000,20.00000,7.078214e-08,0.92454,1
 36.23500,   0.80000,      0.39872,-1.267000e-02,50.00000,20.00000,7.120219e-08,0.92458,1
 36.54800,   0.90000,      0.40630,-1.018000e-02,50.00000,20.00000,7.167338e-08,0.92463,1
 36.90000,   1.00000,      0.41683,-5.880000e-03,50.00000,20.00000,7.213605e-08,0.92468,1
 37.25400,   1.10000,      0.43265,-2.720000e-03,50.00000,20.00000,7.256577e-08,0.92473,1
 37.61500,   1.20000,      0.45029, 1.240000e-03,50.00000,20.00000,7.298014e-08,0.92478,1
 37.99700,   1.30000,      0.46956, 5.990000e-03,50.00000,20.00000,7.345117e-08,0.92483,1
 38.39600,   1.40000,      0.49016, 1.052000e-02,50.00000,20.00000,7.399067e-08,0.92488,1
 38.80700,   1.50000,      0.51224, 1.527000e-02,50.00000,20.00000,7.455376e-08,0.92493,1
 39.22000,   1.60000,      0.53349,     -0.75435,50.00000,20.00000,7.510969e-08,0.92498,1
 39.63600,   1.70000,      0.55391,     -0.39143,50.00000,20.00000,7.564409e-08,0.92504,1
