#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2024_06_23_PS2439_6_1K_dynamic-slow.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS                                         
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,                                           
#DATE/TIME:                  ,6/23/2024 7:02:45 PM (UTC-4)               
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,28-06-2023 13:26                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,                                           
#OPERATOR:                   ,Stanley                                    
#REMARK:                     ,                                           
#SAMPLE:                     ,PS2439_6.1K                                
#SAMPLE MASS /mg:            ,5.0                                        
#MATERIAL:                   ,                                           
#REFERENCE:                  ,-----                                      
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,20›C....800›C/0.0....5.0K/min              
#SEGMENT:                    ,S1-5/5                                     
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:05/100›C                          
#SEG. 3:                     ,100›C/2.0(K/min)/225›C                     
#SEG. 4:                     ,225›C/0.1(K/min)/350›C                     
#SEG. 5:                     ,350›C/5.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.83600,   0.00000,-5.169488e-02, 0.000000e+00,50.00000,20.00000,6.527058e-08,0.92388,1
 31.83504,   0.10000,-5.214782e-02,-5.059243e-05,50.00000,20.00000,6.518473e-08,0.92388,1
 31.83500,   0.20000,-5.086909e-02, 6.700000e-04,50.00000,20.00000,6.512190e-08,0.92388,1
 31.86236,   0.30000,-4.876530e-02, 1.432714e-03,50.00000,20.00000,6.511835e-08,0.92389,1
 31.85600,   0.40000,-4.442770e-02, 1.350000e-03,50.00000,20.00000,6.513917e-08,0.92389,1
 31.88380,   0.50000,-3.886202e-02, 3.509464e-03,50.00000,20.00000,6.514819e-08,0.92389,1
 31.90900,   0.60000,-3.402236e-02, 5.540000e-03,50.00000,20.00000,6.512340e-08,0.92390,1
 31.94060,   0.70000,-2.675851e-02, 5.627659e-03,50.00000,20.00000,6.507084e-08,0.92390,1
 31.98600,   0.80000,-2.031403e-02, 8.480000e-03,50.00000,20.00000,6.501646e-08,0.92391,1
 32.01929,   0.90000,-1.346992e-02, 8.197260e-03,50.00000,20.00000,6.497447e-08,0.92391,1
 32.06700,   1.00000,-7.927307e-03, 1.086000e-02,50.00000,20.00000,6.494905e-08,0.92392,1
 32.10978,   1.10000, 1.499375e-06, 1.103481e-02,50.00000,20.00000,6.492871e-08,0.92393,1
 32.16200,   1.20000, 4.293882e-03, 1.255000e-02,50.00000,20.00000,6.490504e-08,0.92394,1
 32.22782,   1.30000, 1.002657e-02, 1.255009e-02,50.00000,20.00000,6.488314e-08,0.92395,1
 32.27600,   1.40000, 1.453283e-02, 1.255000e-02,50.00000,20.00000,6.487367e-08,0.92396,1
 32.33873,   1.50000, 1.943281e-02, 1.408526e-02,50.00000,20.00000,6.488787e-08,0.92397,1
 32.39800,   1.60000, 2.295476e-02, 1.391000e-02,50.00000,20.00000,6.487238e-08,0.92398,1
