#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_06_24_005c-B_dynamic-slow.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS-SCF3                               
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,6/24/2024 8:29:57 PM (UTC-4)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,                                      
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,005c-B-2                              
#SAMPLE MASS /mg:            ,5.0                                   
#MATERIAL:                   ,                                      
#REFERENCE:                  ,-----                                 
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,20›C....800›C/0.0....5.0K/min         
#SEGMENT:                    ,S1-5/5                                
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:05/100›C                     
#SEG. 3:                     ,100›C/2.0(K/min)/225›C                
#SEG. 4:                     ,225›C/0.1(K/min)/350›C                
#SEG. 5:                     ,350›C/5.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.13600,   0.00000,-5.301319e-02, 0.000000e+00,50.00000,20.00000,5.872216e-08,0.92393,1
 32.12991,   0.10000,-5.261429e-02, 6.861196e-04,50.00000,20.00000,5.877557e-08,0.92393,1
 32.14100,   0.20000,-5.070104e-02, 1.350000e-03,50.00000,20.00000,5.887834e-08,0.92394,1
 32.13247,   0.30000,-4.836064e-02, 2.266649e-03,50.00000,20.00000,5.902008e-08,0.92393,1
 32.14800,   0.40000,-4.343438e-02, 2.710000e-03,50.00000,20.00000,5.904217e-08,0.92394,1
 32.16062,   0.50000,-4.023049e-02, 5.178110e-03,50.00000,20.00000,5.892132e-08,0.92394,1
 32.18300,   0.60000,-3.402063e-02, 6.780000e-03,50.00000,20.00000,5.888679e-08,0.92394,1
 32.20717,   0.70000,-2.754907e-02, 9.577883e-03,50.00000,20.00000,5.895515e-08,0.92395,1
 32.24200,   0.80000,-2.163424e-02, 1.233000e-02,50.00000,20.00000,5.895191e-08,0.92395,1
 32.26834,   0.90000,-1.594426e-02, 1.433323e-02,50.00000,20.00000,5.885981e-08,0.92396,1
 32.30000,   1.00000,-8.752691e-03, 1.640000e-02,50.00000,20.00000,5.874919e-08,0.92396,1
 32.34211,   1.10000,-1.882129e-03, 1.690807e-02,50.00000,20.00000,5.871799e-08,0.92397,1
 32.41200,   1.20000, 4.623968e-03, 1.911000e-02,50.00000,20.00000,5.878075e-08,0.92398,1
 32.44895,   1.30000, 9.526205e-03, 1.962941e-02,50.00000,20.00000,5.877507e-08,0.92399,1
 32.50500,   1.40000, 1.469736e-02, 2.183000e-02,50.00000,20.00000,5.868870e-08,0.92400,1
 32.55278,   1.50000, 1.874389e-02, 2.267501e-02,50.00000,20.00000,5.867259e-08,0.92401,1
 32.60600,   1.60000, 2.410984e-02, 2.319000e-02,50.00000,20.00000,5.870741e-08,0.92401,1
