#EXPORTTYPE:                 ,DATA ALL                                       
#FILE:                       ,2024_06_28_PS2439_6_1K_dynamic-0_1K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                       
#FTYPE:                      ,ASCII                                          
#IDENTITY:                   ,PS                                             
#DECIMAL:                    ,POINT                                          
#SEPARATOR:                  ,COMMA                                          
#MTYPE:                      ,DSC                                            
#INSTRUMENT:                 ,NETZSCH STA 449F5                              
#PROJECT:                    ,                                               
#DATE/TIME:                  ,6/27/2024 3:39:51 PM (UTC-4)                   
#CORR. FILE:                 ,                                               
#TEMPCAL:                    ,28-06-2023 13:26                               
#SENSITIVITY:                ,28-06-2023 13:53                               
#LABORATORY:                 ,                                               
#OPERATOR:                   ,Stanley                                        
#REMARK:                     ,                                               
#SAMPLE:                     ,PS2439_6_1K                                    
#SAMPLE MASS /mg:            ,5.00                                           
#MATERIAL:                   ,                                               
#REFERENCE:                  ,-----                                          
#REFERENCE MASS /mg:         ,0                                              
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                              
#SAMPLE CRUCIBLE MASS /mg:   ,0                                              
#REFERENCE CRUCIBLE MASS /mg:,0                                              
#DSC RANGE /‘V:              ,5000                                           
#TG RANGE /mg:               ,35000                                          
#TAU-R:                      ,---                                            
#CORR. CODE:                 ,000                                            
#EXO:                        ,-1                                             
#RANGE:                      ,30›C....800›C/0.0....2.0K/min                  
#SEGMENT:                    ,S3/4                                           
#SEG. 1:                     ,30›C/1.0(K/min)/100›C                          
#SEG. 2:                     ,100›C/00:20/100›C                              
#SEG. 3:                     ,100›C/0.1(K/min)/400›C                         
#SEG. 4:                     ,400›C/2.0(K/min)/800›C                         

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
 99.94700,  90.10000, 6.958099e-03,-0.48239,50.00000,20.00000,5.533718e-08,0.92104
 99.94600,  90.20000, 7.620773e-03,-0.48137,50.00000,20.00000,5.533718e-08,0.92104
 99.93500,  90.30000, 7.455082e-03,-0.48103,50.00000,20.00000,5.533718e-08,0.92104
 99.94700,  90.40000, 8.449120e-03,-0.48103,50.00000,20.00000,5.538194e-08,0.92104
 99.94400,  90.50000, 7.786438e-03,-0.48103,50.00000,20.00000,5.544530e-08,0.92104
 99.94600,  90.60000, 8.946124e-03,-0.48239,50.00000,20.00000,5.547196e-08,0.92104
 99.93700,  90.70000, 9.774446e-03,-0.48239,50.00000,20.00000,5.544884e-08,0.92104
 99.94800,  90.80000, 1.060282e-02,-0.48205,50.00000,20.00000,5.539995e-08,0.92104
 99.95200,  90.90000, 1.043716e-02,-0.48092,50.00000,20.00000,5.535695e-08,0.92104
 99.95200,  91.00000, 1.275653e-02,-0.48160,50.00000,20.00000,5.532816e-08,0.92104
 99.95300,  91.10000, 1.358488e-02,-0.48160,50.00000,20.00000,5.529682e-08,0.92104
 99.95700,  91.20000, 1.325356e-02,-0.48160,50.00000,20.00000,5.525145e-08,0.92104
 99.95900,  91.30000, 1.441325e-02,-0.48160,50.00000,20.00000,5.521588e-08,0.92104
 99.97300,  91.40000, 1.540733e-02,-0.48160,50.00000,20.00000,5.522539e-08,0.92103
 99.98000,  91.50000, 1.623571e-02,-0.48024,50.00000,20.00000,5.528063e-08,0.92103
 99.98100,  91.60000, 1.772675e-02,-0.48092,50.00000,20.00000,5.532634e-08,0.92103
 99.98600,  91.70000, 1.805811e-02,-0.48228,50.00000,20.00000,5.531132e-08,0.92103
 99.99000,  91.80000, 1.855514e-02,-0.48329,50.00000,20.00000,5.525645e-08,0.92103
 99.99300,  91.90000, 1.971486e-02,-0.48047,50.00000,20.00000,5.521667e-08,0.92103
100.00400,  92.00000, 2.004626e-02,-0.48047,50.00000,20.00000,5.522326e-08,0.92103
100.00300,  92.10000, 2.104028e-02,-0.48047,50.00000,20.00000,5.525573e-08,0.92103
100.00300,  92.20000, 2.170297e-02,-0.48047,50.00000,20.00000,5.528806e-08,0.92103
100.01100,  92.30000, 2.170301e-02,-0.48047,50.00000,20.00000,5.531138e-08,0.92103
100.02200,  92.40000, 2.335980e-02,-0.48047,50.00000,20.00000,5.532922e-08,0.92102
100.02800,  92.50000, 2.302849e-02,-0.48182,50.00000,20.00000,5.534313e-08,0.92102
100.03900,  92.60000, 2.369125e-02,-0.48047,50.00000,20.00000,5.534676e-08,0.92102
100.06000,  92.70000, 2.435408e-02,-0.48047,50.00000,20.00000,5.533257e-08,0.92101
100.06000,  92.80000, 2.435408e-02,-0.48047,50.00000,20.00000,5.530794e-08,0.92101
100.05600,  92.90000, 2.518243e-02,-0.48047,50.00000,20.00000,5.529614e-08,0.92101
100.07500,  93.00000, 2.567958e-02,-0.48047,50.00000,20.00000,5.531445e-08,0.92101
100.07400,  93.10000, 2.567957e-02,-0.48182,50.00000,20.00000,5.534180e-08,0.92101
100.08900,  93.20000, 2.667373e-02,-0.48114,50.00000,20.00000,5.534404e-08,0.92101
100.09400,  93.30000, 2.617674e-02,-0.48250,50.00000,20.00000,5.531164e-08,0.92100
100.10400,  93.40000, 2.733654e-02,-0.48250,50.00000,20.00000,5.527637e-08,0.92100
100.11000,  93.50000, 2.766794e-02,-0.48114,50.00000,20.00000,5.526987e-08,0.92100
100.12600,  93.60000, 2.899347e-02,-0.48114,50.00000,20.00000,5.528443e-08,0.92100
100.13900,  93.70000, 2.882790e-02,-0.48216,50.00000,20.00000,5.529032e-08,0.92099
100.14800,  93.80000, 2.799958e-02,-0.48216,50.00000,20.00000,5.527108e-08,0.92099
100.15600,  93.90000, 2.932506e-02,-0.48216,50.00000,20.00000,5.524890e-08,0.92099
