#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2024_07_02_005c-B_260C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-SCF3                                
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,                                       
#DATE/TIME:                  ,7/2/2024 6:48:14 PM (UTC-4)            
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,28-06-2023 13:26                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,                                       
#OPERATOR:                   ,PL                                     
#REMARK:                     ,                                       
#SAMPLE:                     ,005c-B                                 
#SAMPLE MASS /mg:            ,4.39                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,-----                                  
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,30›C....800›C/0.0....10.0K/min         
#SEGMENT:                    ,S1-5/5                                 
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:25/100›C                      
#SEG. 3:                     ,100›C/1.0(K/min)/260›C                 
#SEG. 4:                     ,260›C/48:00/260›C                      
#SEG. 5:                     ,260›C/10.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.45200,   0.00000,      0.19930, 0.000000e+00,50.00000,20.00000,6.303949e-08,0.92345,1
 29.55400,   0.10000,      0.18631,-2.830000e-03,50.00000,20.00000,6.331597e-08,0.92347,1
 29.65500,   0.20000,      0.17464,-4.190000e-03,50.00000,20.00000,6.366785e-08,0.92349,1
 29.74600,   0.30000,      0.17050,-4.190000e-03,50.00000,20.00000,6.401555e-08,0.92351,1
 29.85100,   0.40000,      0.16899,-2.720000e-03,50.00000,20.00000,6.435671e-08,0.92353,1
 29.98700,   0.50000,      0.17519, 2.200000e-04,50.00000,20.00000,6.468899e-08,0.92355,1
 30.13300,   0.60000,      0.19043,     -0.92959,50.00000,20.00000,6.501003e-08,0.92358,1
 30.30400,   0.70000,      0.21131,     -0.40399,50.00000,20.00000,6.531750e-08,0.92361,1
 30.49400,   0.80000,      0.24216,     -0.26326,50.00000,20.00000,6.560904e-08,0.92364,1
 30.73600,   0.90000,      0.27921,     -0.23294,50.00000,20.00000,6.588229e-08,0.92369,1
 30.99100,   1.00000,      0.32303,     -0.22162,50.00000,20.00000,6.613492e-08,0.92373,1
 31.27500,   1.10000,      0.37325,     -0.21699,50.00000,20.00000,6.636491e-08,0.92378,1
 31.59700,   1.20000,      0.42646,     -0.21190,50.00000,20.00000,6.657245e-08,0.92384,1
 31.95300,   1.30000,      0.48644,     -0.20511,50.00000,20.00000,6.675868e-08,0.92390,1
 32.35400,   1.40000,      0.54716,     -0.19832,50.00000,20.00000,6.692471e-08,0.92397,1
 32.75000,   1.50000,      0.61275,     -0.19232,50.00000,20.00000,6.707166e-08,0.92404,1
 33.21300,   1.60000,      0.67627,     -0.18802,50.00000,20.00000,6.720067e-08,0.92412,1
 33.66700,   1.70000,      0.74015,     -0.18158,50.00000,20.00000,6.731285e-08,0.92419,1
 34.18000,   1.80000,      0.80495,     -0.17592,50.00000,20.00000,6.740933e-08,0.92427,1
 34.69900,   1.90000,      0.86787,     -0.17004,50.00000,20.00000,6.749124e-08,0.92435,1
