#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_07_02_PS2439_6_1K_260C_isotherm.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS                                          
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,7/5/2024 12:13:39 AM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,                                            
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,PS2439_6_1K                                 
#SAMPLE MASS /mg:            ,5.03                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,-----                                       
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....10.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:25/100›C                           
#SEG. 3:                     ,100›C/1.0(K/min)/260›C                      
#SEG. 4:                     ,260›C/48:00/260›C                           
#SEG. 5:                     ,260›C/10.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass loss/mg,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 34.85900,   0.00000,-8.877085e-02, 0.000000e+00,50.00000,20.00000,6.026056e-08,0.92438,1
 34.84000,   0.10000,-8.827887e-02,-2.940000e-03,50.00000,20.00000,6.021097e-08,0.92437,1
 34.80700,   0.20000,-8.713074e-02,-2.940000e-03,50.00000,20.00000,6.015361e-08,0.92437,1
 34.80200,   0.30000,-8.089546e-02,-1.590000e-03,50.00000,20.00000,6.009611e-08,0.92437,1
 34.79400,   0.40000,-6.990164e-02, 2.490000e-03,50.00000,20.00000,6.003839e-08,0.92437,1
 34.84100,   0.50000,-5.661005e-02, 6.560000e-03,50.00000,20.00000,5.998035e-08,0.92437,1
 34.87300,   0.60000,-3.856026e-02, 1.154000e-02,50.00000,20.00000,5.992192e-08,0.92438,1
 34.95000,   0.70000,-1.263448e-02, 1.674000e-02,50.00000,20.00000,5.986303e-08,0.92439,1
 35.06300,   0.80000, 1.525954e-02, 2.579000e-02,50.00000,20.00000,5.980359e-08,0.92441,1
 35.18300,   0.90000, 5.217675e-02, 3.552000e-02,50.00000,20.00000,5.974352e-08,0.92443,1
 35.35800,   1.00000, 9.106060e-02, 4.276000e-02,50.00000,20.00000,5.968274e-08,0.92445,1
 35.55000,   1.10000,      0.13388, 5.283000e-02,50.00000,20.00000,5.962121e-08,0.92448,1
 35.75900,   1.20000,      0.17768, 5.973000e-02,50.00000,20.00000,5.955909e-08,0.92451,1
 36.01800,   1.30000,      0.22689, 6.991000e-02,50.00000,20.00000,5.949657e-08,0.92455,1
 36.31200,   1.40000,      0.27412, 7.998000e-02,50.00000,20.00000,5.943387e-08,0.92459,1
 36.63200,   1.50000,      0.32447, 8.892000e-02,50.00000,20.00000,5.937120e-08,0.92464,1
 36.96400,   1.60000,      0.37317, 9.672000e-02,50.00000,20.00000,5.930875e-08,0.92469,1
 37.32100,   1.70000,      0.42236,      0.10589,50.00000,20.00000,5.924675e-08,0.92474,1
 37.71500,   1.80000,      0.47039,      0.11426,50.00000,20.00000,5.918539e-08,0.92479,1
 38.10900,   1.90000,      0.51825,      0.12173,50.00000,20.00000,5.912489e-08,0.92484,1
 38.55600,   2.00000,      0.56397,      0.13089,50.00000,20.00000,5.906545e-08,0.92490,1
 39.00000,   2.10000,      0.60936,      0.13768,50.00000,20.00000,5.900723e-08,0.92496,1
 39.46600,   2.20000,      0.65179,      0.14514,50.00000,20.00000,5.895024e-08,0.92501,1
 39.96100,   2.30000,      0.69487,      0.15148,50.00000,20.00000,5.889443e-08,0.92508,1
 40.45500,   2.40000,      0.73615,      0.15940,50.00000,20.00000,5.883976e-08,0.92513,1
 40.97900,   2.50000,      0.77659,      0.16664,50.00000,20.00000,5.878620e-08,0.92519,1
 41.51500,   2.60000,      0.81605,      0.17331,50.00000,20.00000,5.873372e-08,0.92525,1
 42.06800,   2.70000,      0.85616,      0.18021,50.00000,20.00000,5.868226e-08,0.92531,1
 42.66100,   2.80000,      0.89593,      0.18745,50.00000,20.00000,5.863180e-08,0.92538,1
 43.24300,   2.90000,      0.93570,      0.19402,50.00000,20.00000,5.858230e-08,0.92543,1
 43.86400,   3.00000,      0.97579,      0.20024,50.00000,20.00000,5.853372e-08,0.92550,1
 44.48800,   3.10000,      1.01735,      0.20748,50.00000,20.00000,5.848599e-08,0.92555,1
 45.15800,   3.20000,      1.05760,      0.21506,50.00000,20.00000,5.843897e-08,0.92561,1
 45.83900,   3.30000,      1.10112,      0.22173,50.00000,20.00000,5.839250e-08,0.92567,1
 46.55000,   3.40000,      1.14431,      0.22852,50.00000,20.00000,5.834644e-08,0.92573,1
 47.26100,   3.50000,      1.18881,      0.23553,50.00000,20.00000,5.830062e-08,0.92578,1
 48.00000,   3.60000,      1.23428,      0.24153,50.00000,20.00000,5.825489e-08,0.92583,1
 48.76300,   3.70000,      1.28222,      0.24900,50.00000,20.00000,5.820910e-08,0.92588,1
 49.55300,   3.80000,      1.32933,      0.25680,50.00000,20.00000,5.816308e-08,0.92593,1
 50.35800,   3.90000,      1.37726,      0.26336,50.00000,20.00000,5.811669e-08,0.92598,1
 51.18500,   4.00000,      1.42617,      0.26936,50.00000,20.00000,5.806976e-08,0.92602,1
 52.03200,   4.10000,      1.47541,      0.27841,50.00000,20.00000,5.802222e-08,0.92606,1
 52.91200,   4.20000,      1.52580,      0.28554,50.00000,20.00000,5.797412e-08,0.92609,1
 53.81000,   4.30000,      1.57455,      0.28995,50.00000,20.00000,5.792554e-08,0.92612,1
 54.71600,   4.40000,      1.62348,      0.29810,50.00000,20.00000,5.787657e-08,0.92615,1
 55.65300,   4.50000,      1.67405,      0.30522,50.00000,20.00000,5.782728e-08,0.92617,1
 56.59800,   4.60000,      1.72331,      0.30930,50.00000,20.00000,5.777776e-08,0.92619,1
 57.58500,   4.70000,      1.77144,      0.31665,50.00000,20.00000,5.772808e-08,0.92620,1
 58.57800,   4.80000,      1.81958,      0.32253,50.00000,20.00000,5.767833e-08,0.92620,1
 59.56600,   4.90000,      1.86756,      0.32864,50.00000,20.00000,5.762858e-08,0.92620,1
 60.58600,   5.00000,      1.91343,      0.33328,50.00000,20.00000,5.757891e-08,0.92619,1
 61.62600,   5.10000,      1.95932,      0.33837,50.00000,20.00000,5.752944e-08,0.92618,1
 62.68000,   5.20000,      2.00408,      0.34459,50.00000,20.00000,5.748034e-08,0.92615,1
 63.74100,   5.30000,      2.04738,      0.34900,50.00000,20.00000,5.743179e-08,0.92612,1
 64.81800,   5.40000,      2.09086,      0.35398,50.00000,20.00000,5.738397e-08,0.92609,1
 65.90900,   5.50000,      2.13158,      0.35794,50.00000,20.00000,5.733705e-08,0.92604,1
 67.01600,   5.60000,      2.17282,      0.36394,50.00000,20.00000,5.729121e-08,0.92599,1
 68.13100,   5.70000,      2.21277,      0.36801,50.00000,20.00000,5.724664e-08,0.92593,1
 69.27600,   5.80000,      2.25307,      0.37276,50.00000,20.00000,5.720351e-08,0.92586,1
 70.39700,   5.90000,      2.29143,      0.37763,50.00000,20.00000,5.716199e-08,0.92578,1
 71.54200,   6.00000,      2.32786,      0.38102,50.00000,20.00000,5.712228e-08,0.92569,1
 72.70000,   6.10000,      2.36677,      0.38487,50.00000,20.00000,5.708441e-08,0.92560,1
 73.85600,   6.20000,      2.40244,      0.38928,50.00000,20.00000,5.704828e-08,0.92550,1
 75.04000,   6.30000,      2.43978,      0.39188,50.00000,20.00000,5.701375e-08,0.92538,1
 76.23200,   6.40000,      2.47535,      0.39414,50.00000,20.00000,5.698068e-08,0.92526,1
 77.41200,   6.50000,      2.51194,      0.39980,50.00000,20.00000,5.694895e-08,0.92513,1
 78.59900,   6.60000,      2.54544,      0.40150,50.00000,20.00000,5.691843e-08,0.92499,1
 79.81900,   6.70000,      2.57981,      0.40466,50.00000,20.00000,5.688897e-08,0.92483,1
 81.02200,   6.80000,      2.61405,      0.40908,50.00000,20.00000,5.686046e-08,0.92467,1
 82.24700,   6.90000,      2.64685,      0.41224,50.00000,20.00000,5.683274e-08,0.92450,1
 83.45651,   7.00000,      2.67509,      0.41494,50.00000,20.00000,5.680571e-08,0.92432,2
 84.71050,   7.10000,      2.70754,      0.41705,50.00000,20.00000,5.677919e-08,0.92413,2
 85.90169,   7.20000,      2.71822,      0.42003,50.00000,20.00000,5.675305e-08,0.92394,2
 87.09313,   7.30000,      2.71518,      0.42047,50.00000,20.00000,5.672710e-08,0.92374,2
 88.24575,   7.40000,      2.69562,      0.41900,50.00000,20.00000,5.670118e-08,0.92353,2
 89.36919,   7.50000,      2.66363,      0.41752,50.00000,20.00000,5.667514e-08,0.92333,2
 90.43353,   7.60000,      2.62111,      0.41448,50.00000,20.00000,5.664880e-08,0.92313,2
 91.47037,   7.70000,      2.57146,      0.41047,50.00000,20.00000,5.662200e-08,0.92293,2
 92.46818,   7.80000,      2.51643,      0.40605,50.00000,20.00000,5.659459e-08,0.92272,2
 93.40999,   7.90000,      2.45269,      0.39990,50.00000,20.00000,5.656638e-08,0.92253,2
 94.30435,   8.00000,      2.38333,      0.39494,50.00000,20.00000,5.653723e-08,0.92234,2
 95.16471,   8.10000,      2.30410,      0.39155,50.00000,20.00000,5.650717e-08,0.92215,2
 95.97598,   8.20000,      2.21412,      0.38271,50.00000,20.00000,5.647641e-08,0.92198,2
 96.75213,   8.30000,      2.11933,      0.37469,50.00000,20.00000,5.644516e-08,0.92180,2
 97.47820,   8.40000,      2.02362,      0.36972,50.00000,20.00000,5.641365e-08,0.92163,2
 98.15867,   8.50000,      1.92952,      0.36359,50.00000,20.00000,5.638210e-08,0.92147,2
 98.80705,   8.60000,      1.83747,      0.35602,50.00000,20.00000,5.635072e-08,0.92132,2
 99.42801,   8.70000,      1.74873,      0.35125,50.00000,20.00000,5.631974e-08,0.92117,2
100.01784,   8.80000,      1.66207,      0.34443,50.00000,20.00000,5.628937e-08,0.92102,2
100.56954,   8.90000,      1.58466,      0.33847,50.00000,20.00000,5.625983e-08,0.92089,2
101.09626,   9.00000,      1.50892,      0.33509,50.00000,20.00000,5.623134e-08,0.92075,2
101.60099,   9.10000,      1.43988,      0.32988,50.00000,20.00000,5.620401e-08,0.92063,2
102.08579,   9.20000,      1.37586,      0.32585,50.00000,20.00000,5.617785e-08,0.92050,2
102.56083,   9.30000,      1.31753,      0.32282,50.00000,20.00000,5.615289e-08,0.92038,2
103.01959,   9.40000,      1.26241,      0.31795,50.00000,20.00000,5.612914e-08,0.92026,2
103.45186,   9.50000,      1.21332,      0.31539,50.00000,20.00000,5.610662e-08,0.92014,2
103.88542,   9.60000,      1.16682,      0.31257,50.00000,20.00000,5.608536e-08,0.92003,2
104.29202,   9.70000,      1.12547,      0.30908,50.00000,20.00000,5.606537e-08,0.91992,2
104.70073,   9.80000,      1.08635,      0.30519,50.00000,20.00000,5.604666e-08,0.91981,2
105.08976,   9.90000,      1.04965,      0.30250,50.00000,20.00000,5.602927e-08,0.91970,2
105.46396,  10.00000,      1.01368,      0.30013,50.00000,20.00000,5.601318e-08,0.91960,2
105.84368,  10.10000,      0.97928,      0.29828,50.00000,20.00000,5.599817e-08,0.91949,2
106.17346,  10.20000,      0.94586,      0.29410,50.00000,20.00000,5.598385e-08,0.91940,2
