#EXPORTTYPE:                 ,DATA ALL                                           
#FILE:                       ,2024_08_11_PS2439_6_1K_depoly_temp_analysis.ngb-ss5
#FORMAT:                     ,NETZSCH5                                           
#FTYPE:                      ,ASCII                                              
#IDENTITY:                   ,PS_6_1K                                            
#DECIMAL:                    ,POINT                                              
#SEPARATOR:                  ,COMMA                                              
#MTYPE:                      ,TIC                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                  
#PROJECT:                    ,PS-SCF3                                            
#DATE/TIME:                  ,8/11/2024 4:05:17 PM (UTC-4)                       
#CORR. FILE:                 ,                                                   
#TEMPCAL:                    ,28-06-2023 13:26                                   
#SENSITIVITY:                ,28-06-2023 13:53                                   
#LABORATORY:                 ,Seferos                                            
#OPERATOR:                   ,Stanley                                            
#REMARK:                     ,                                                   
#SAMPLE:                     ,PS_6_1K                                            
#SAMPLE MASS /mg:            ,5.02                                               
#MATERIAL:                   ,                                                   
#REFERENCE:                  ,                                                   
#REFERENCE MASS /mg:         ,0                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                  
#DSC RANGE /‘V:              ,5000                                               
#TG RANGE /mg:               ,35000                                              
                             ,                                                   

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 26.63800,   0.09677,7.410218e-12,7.708452e-10,6.760698e-11,2.494118e-10,1.677513e-12,1.047039e-09,3.821373e-14,2.874088e-13,2.652168e-14,3.787041e-14,1.370716e-13,7.726008e-13,4.172606e-12,3.372892e-08,2.755165e-10,3.649712e-12,1.118660e-12,8.310992e-09,6.709099e-12,3.449923e-11,9.224891e-14,1.422787e-11,6.571769e-14,2.865441e-12,7.912165e-13,3.640086e-09,2.093410e-13,5.968958e-13,2.652264e-13,4.625803e-11,6.126505e-13,2.463817e-13,4.405022e-14,2.803516e-13,3.972054e-14,5.181312e-14,4.750252e-14,4.555702e-14,3.527641e-14,6.070137e-14,3.390312e-14,3.949165e-14,2.943992e-14,3.567696e-14,2.566338e-14,3.605843e-14,2.528191e-14,2.478599e-14,2.659798e-14,1.306820e-13,2.539635e-14,2.795219e-14,2.196312e-14,2.779961e-14,2.053261e-14,2.030373e-14,1.799583e-14,1.812935e-14,1.818657e-14,1.950264e-14,2.350807e-14,2.053261e-14,2.341270e-14,2.602577e-14,1.570702e-14,1.704216e-14,1.452446e-14,2.310753e-14,2.182960e-14,5.261421e-14,1.223564e-14,2.238274e-14,1.105309e-14,1.030922e-14,1.198769e-14,1.116753e-14,3.422737e-14,2.369881e-14,1.025200e-14,8.668899e-15,8.955002e-15,8.783340e-15,8.058548e-15,7.753372e-15,7.486343e-15,7.028580e-15,6.589890e-15,7.352829e-15,9.126663e-15,7.085800e-15,7.772445e-15,7.791519e-15,6.132126e-15,5.540848e-15,4.720688e-15,5.578995e-15,5.102158e-15,4.930496e-15,4.301071e-15,4.301071e-15,4.148483e-15,3.252029e-15,3.404617e-15,5.044937e-15,3.690719e-15,3.862381e-15,2.946854e-15,1.955032e-15,2.412796e-15,2.031326e-15,2.069473e-15,1.325607e-15,3.010750e-14,7.200241e-15,2.870560e-15,8.678436e-16,1.535416e-15,2.965927e-15,1.000000e-17,7.724762e-16,8.583069e-17,5.626678e-16,1.000000e-17,1.000000e-17,8.869171e-16,3.910065e-16,2.164841e-15,2.272606e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
110.80800,  13.14163,1.346874e-11,1.086521e-09,1.074791e-10,3.937721e-10,1.488686e-12,8.289163e-10,6.215095e-14,2.638340e-13,3.956795e-14,4.971504e-14,1.478100e-13,8.289438e-13,4.369902e-12,3.029607e-08,2.388954e-10,3.170967e-12,9.233576e-13,6.786448e-09,5.248070e-12,2.620983e-11,8.511543e-14,4.590517e-11,1.052952e-13,1.051807e-11,3.720283e-12,1.486617e-08,5.425555e-13,3.357416e-13,3.537279e-13,4.028803e-11,6.112200e-13,2.455997e-13,3.500938e-14,1.683331e-13,4.694939e-14,1.601315e-13,2.015781e-13,7.813453e-14,4.799843e-14,8.711815e-14,4.197121e-14,5.429268e-14,5.129814e-14,3.933907e-14,2.736092e-14,3.941536e-14,5.311012e-14,9.636879e-14,1.907253e-13,1.978970e-13,2.912617e-13,5.331993e-14,2.099037e-14,3.188133e-14,2.249718e-14,2.253532e-14,2.499580e-14,1.551628e-14,1.952171e-14,3.479958e-14,3.180504e-14,2.652168e-14,4.908562e-14,3.251076e-14,1.862526e-14,1.900673e-14,1.391411e-14,2.070427e-14,2.232552e-14,5.228996e-14,2.045631e-14,3.232002e-14,1.551628e-14,9.584427e-15,5.793571e-14,2.491951e-14,9.710228e-13,5.610186e-13,4.574776e-14,9.527206e-15,8.001327e-15,7.429123e-15,7.524490e-15,6.666184e-15,7.677078e-15,6.113052e-15,5.655289e-15,6.170273e-15,9.355545e-15,6.399155e-15,1.284599e-14,1.074791e-14,6.017685e-15,4.625320e-15,4.281998e-15,3.747940e-15,3.461838e-15,4.167557e-15,2.946854e-15,2.336502e-15,4.377365e-15,3.519058e-15,4.796982e-15,5.025864e-15,2.546310e-15,3.499985e-15,2.527237e-15,1.211166e-15,1.535416e-15,1.382828e-15,1.554489e-15,1.821518e-15,2.276421e-14,5.826950e-15,1.897812e-15,5.626678e-16,1.764298e-15,1.878738e-15,1.000000e-17,1.000000e-17,1.000000e-17,5.245209e-16,1.000000e-17,1.000000e-17,1.000000e-17,2.574921e-16,1.935959e-15,1.845360e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,2.861023e-17,1.000000e-17,1.000000e-17,1.000000e-17
 99.72100,  26.27029,9.978294e-12,8.194924e-10,8.129221e-11,2.927869e-10,1.961708e-12,1.261234e-09,5.034447e-14,2.080822e-13,3.518105e-14,4.345894e-14,1.198864e-13,7.106692e-13,3.795332e-12,2.386677e-08,1.833916e-10,2.503395e-12,7.232577e-13,5.363184e-09,4.088401e-12,2.012539e-11,8.208275e-14,6.612307e-11,9.039878e-14,1.458073e-11,5.337715e-12,1.975491e-08,5.066973e-13,2.282238e-13,3.046131e-13,3.370195e-11,4.917819e-13,1.945400e-13,3.062248e-14,1.250553e-13,3.611565e-14,1.035404e-13,1.226330e-13,5.576134e-14,3.609657e-14,8.414269e-14,3.163338e-14,4.454613e-14,3.443718e-14,3.199577e-14,2.104759e-14,3.329277e-14,3.466606e-14,5.755424e-14,1.084805e-13,1.597691e-13,1.643658e-13,3.655434e-14,1.700401e-14,2.823830e-14,1.765251e-14,1.713753e-14,1.944542e-14,1.374245e-14,1.601219e-14,2.459526e-14,2.282143e-14,2.163887e-14,3.726005e-14,2.715111e-14,1.534462e-14,2.211571e-14,1.215935e-14,1.709938e-14,1.780510e-14,4.319191e-14,1.389504e-14,2.238274e-14,1.009941e-14,8.020401e-15,3.663063e-14,1.700401e-14,5.863291e-13,3.390032e-13,2.982139e-14,7.543564e-15,6.570816e-15,5.960465e-15,5.941391e-15,5.960465e-15,5.025864e-15,4.281998e-15,4.014969e-15,5.273819e-15,7.200241e-15,4.644394e-15,1.061440e-14,8.974075e-15,4.529953e-15,4.129410e-15,3.156662e-15,2.584457e-15,2.946854e-15,3.976822e-15,2.317429e-15,2.470016e-15,3.118515e-15,2.279282e-15,3.156662e-15,3.366470e-15,1.497269e-15,1.688004e-15,1.096725e-15,1.173019e-15,8.296967e-16,4.673004e-16,2.193451e-16,3.719330e-16,1.921654e-14,3.557205e-15,6.771088e-16,4.291535e-16,4.863739e-16,9.250641e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,8.869171e-16,1.433373e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
105.75900,  39.48354,8.449153e-12,7.061021e-10,7.034212e-11,2.538712e-10,2.179146e-12,1.436329e-09,5.307197e-14,1.813793e-13,3.516197e-14,4.185677e-14,1.068401e-13,6.455141e-13,3.454508e-12,2.069389e-08,1.572609e-10,2.202034e-12,6.318575e-13,4.682833e-09,3.558159e-12,1.742649e-11,8.152962e-14,7.392031e-11,8.442879e-14,1.605701e-11,6.011009e-12,2.127697e-08,4.856402e-13,1.957417e-13,2.764416e-13,3.039265e-11,4.391390e-13,1.735401e-13,2.808571e-14,1.093578e-13,3.232002e-14,8.130074e-14,9.385109e-14,4.696846e-14,3.054619e-14,7.849694e-14,2.963066e-14,4.002571e-14,3.054619e-14,2.942085e-14,1.921654e-14,3.155708e-14,2.829552e-14,4.399300e-14,7.994652e-14,1.425266e-13,1.209927e-13,3.188133e-14,1.566887e-14,2.758980e-14,1.486778e-14,1.599312e-14,1.584053e-14,1.233101e-14,1.492500e-14,2.057075e-14,2.121925e-14,1.944542e-14,3.281593e-14,2.549171e-14,1.355171e-14,2.179146e-14,1.053810e-14,1.412392e-14,1.479149e-14,3.592491e-14,1.248360e-14,1.912117e-14,8.916855e-15,6.837845e-15,2.751350e-14,1.301765e-14,4.474360e-13,2.604198e-13,2.381325e-14,6.875992e-15,4.968643e-15,7.047653e-15,5.617142e-15,5.064011e-15,3.824234e-15,3.252029e-15,4.014969e-15,4.110336e-15,7.448196e-15,4.777908e-15,9.775162e-15,7.581711e-15,4.987717e-15,3.480911e-15,2.470016e-15,2.412796e-15,2.794266e-15,1.916885e-15,2.775192e-15,1.516342e-15,3.080368e-15,1.153946e-15,2.985001e-15,2.717972e-15,1.344681e-15,7.724762e-16,9.822845e-16,7.152557e-16,1.401901e-15,1.420975e-15,1.000000e-17,2.956390e-16,1.616478e-14,3.423691e-15,2.002716e-16,1.000000e-17,4.100800e-16,8.296967e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.058578e-15,1.467705e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
120.42400,  52.61074,7.786367e-12,6.557766e-10,6.551271e-11,2.366002e-10,2.264976e-12,1.502895e-09,5.261421e-14,1.712132e-13,3.394127e-14,4.120827e-14,1.020145e-13,6.136805e-13,3.295129e-12,1.930687e-08,1.463890e-10,2.079964e-12,5.952555e-13,4.382426e-09,3.323555e-12,1.622867e-11,7.941246e-14,7.684427e-11,8.185387e-14,1.653576e-11,6.316185e-12,2.173988e-08,4.757982e-13,1.809406e-13,2.642536e-13,2.878666e-11,4.194933e-13,1.642132e-13,2.705574e-14,1.002789e-13,2.987862e-14,7.613182e-14,8.704186e-14,4.309654e-14,2.900124e-14,7.571220e-14,2.743721e-14,3.933907e-14,3.106117e-14,2.722740e-14,1.666069e-14,2.730370e-14,2.552986e-14,3.920555e-14,7.264137e-14,1.307964e-13,1.091480e-13,2.949715e-14,1.461983e-14,2.619743e-14,1.496315e-14,1.534462e-14,1.683235e-14,1.013756e-14,1.284599e-14,1.933098e-14,1.940727e-14,1.803398e-14,3.174782e-14,2.390861e-14,1.326561e-14,2.257347e-14,1.036644e-14,1.305580e-14,1.378059e-14,3.338814e-14,1.042366e-14,1.835823e-14,8.687973e-15,5.273819e-15,2.692223e-14,1.214027e-14,4.255015e-13,2.496242e-13,2.165794e-14,6.265640e-15,5.350113e-15,4.587173e-15,4.186630e-15,4.129410e-15,3.232956e-15,4.072189e-15,3.728866e-15,3.747940e-15,6.036758e-15,4.358292e-15,9.450912e-15,7.028580e-15,4.644394e-15,2.241135e-15,2.489090e-15,1.726151e-15,2.260208e-15,1.287460e-15,9.441375e-16,1.811981e-16,1.382828e-15,5.817413e-16,1.401901e-15,1.840591e-15,8.583069e-17,1.000000e-17,7.724762e-16,5.817413e-16,5.245209e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.515389e-14,2.641678e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.193047e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
133.51601,  65.73815,7.485883e-12,6.324459e-10,6.380754e-11,2.306454e-10,2.285957e-12,1.529789e-09,5.120277e-14,1.685619e-13,3.195762e-14,3.966331e-14,9.665489e-14,6.050783e-13,3.243726e-12,1.873505e-08,1.414299e-10,2.018928e-12,5.827242e-13,4.274470e-09,3.243446e-12,1.578045e-11,7.853508e-14,7.775598e-11,8.389473e-14,1.669407e-11,6.451607e-12,2.191308e-08,4.802614e-13,1.768589e-13,2.755833e-13,2.861309e-11,4.185969e-13,1.640606e-13,2.493858e-14,9.514809e-14,3.010750e-14,8.612633e-14,1.030636e-13,4.719734e-14,2.991676e-14,7.277489e-14,3.159523e-14,4.120827e-14,3.912926e-14,2.587318e-14,1.616478e-14,2.737999e-14,2.842903e-14,4.944801e-14,9.280205e-14,1.307392e-13,1.441669e-13,3.201485e-14,1.515389e-14,2.396584e-14,1.614571e-14,1.666069e-14,2.018928e-14,1.088142e-14,1.273155e-14,2.041817e-14,2.139091e-14,1.900673e-14,3.458977e-14,2.396584e-14,1.385689e-14,2.221107e-14,1.002312e-14,1.229286e-14,1.362801e-14,3.359794e-14,1.379967e-14,1.801491e-14,9.851456e-15,5.235672e-15,3.533363e-14,1.515389e-14,6.124025e-13,3.636652e-13,2.888679e-14,5.617142e-15,4.892349e-15,5.235672e-15,5.311966e-15,4.224777e-15,4.892349e-15,3.614426e-15,3.271103e-15,4.377365e-15,7.333755e-15,4.968643e-15,1.076698e-14,7.772445e-15,4.148483e-15,1.630783e-15,1.420975e-15,1.592636e-15,1.134872e-15,1.859665e-15,1.153946e-15,1.039505e-15,1.668930e-15,7.343292e-16,2.145767e-15,1.153946e-15,1.811981e-16,1.592636e-15,1.430511e-16,4.863739e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.416206e-14,2.965927e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,5.435944e-16,1.049995e-14,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
146.60400,  78.86665,7.380273e-12,6.222760e-10,6.192118e-11,2.245171e-10,2.284050e-12,1.543903e-09,5.192756e-14,1.637173e-13,3.180504e-14,3.886223e-14,9.823799e-14,6.068331e-13,3.257039e-12,1.855385e-08,1.400948e-10,1.994133e-12,5.802256e-13,4.252917e-09,3.212929e-12,1.565838e-11,7.901192e-14,7.807833e-11,8.856773e-14,1.671123e-11,6.560326e-12,2.196324e-08,4.971605e-13,1.805019e-13,2.963352e-13,2.810764e-11,4.360682e-13,1.706028e-13,2.615929e-14,9.385109e-14,3.333092e-14,1.096249e-13,1.359844e-13,5.503655e-14,3.491402e-14,7.498741e-14,4.120827e-14,5.145073e-14,6.054878e-14,2.703667e-14,1.503944e-14,2.804756e-14,3.535271e-14,6.363869e-14,1.286983e-13,1.326847e-13,2.029514e-13,3.865242e-14,1.763344e-14,2.537727e-14,2.156258e-14,2.213478e-14,2.888679e-14,1.103401e-14,1.360893e-14,2.512932e-14,2.379417e-14,2.072334e-14,4.321098e-14,2.678871e-14,1.645088e-14,2.192497e-14,1.194954e-14,1.358986e-14,1.662254e-14,3.703117e-14,2.030373e-14,2.190590e-14,1.006126e-14,6.361008e-15,4.652977e-14,1.856804e-14,8.646304e-13,5.052859e-13,4.036903e-14,6.208420e-15,4.816055e-15,6.551743e-15,6.456375e-15,6.418228e-15,5.960465e-15,4.339218e-15,2.050400e-15,4.472732e-15,6.475449e-15,5.655289e-15,1.416206e-14,9.202957e-15,4.587173e-15,1.382828e-15,1.878738e-15,8.296967e-16,2.775192e-15,3.023148e-15,1.344681e-15,5.245209e-16,2.698898e-15,1.000000e-17,3.347397e-15,1.592636e-15,6.008148e-16,1.230240e-15,2.861023e-17,4.291535e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.452446e-14,3.538132e-15,6.389618e-16,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,9.851456e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
159.73199,  91.99416,7.357785e-12,6.189323e-10,6.215578e-11,2.257435e-10,2.285957e-12,1.551342e-09,5.091667e-14,1.647091e-13,3.153801e-14,3.710747e-14,9.829521e-14,6.163699e-13,3.303807e-12,1.856281e-08,1.402855e-10,1.996040e-12,5.796152e-13,4.278856e-09,3.233909e-12,1.574421e-11,7.699012e-14,7.797152e-11,9.289742e-14,1.668453e-11,6.596565e-12,2.194798e-08,5.252558e-13,1.899052e-13,3.260904e-13,2.809620e-11,4.440027e-13,1.761150e-13,2.467155e-14,9.362221e-14,3.369331e-14,1.228809e-13,1.578236e-13,5.934715e-14,3.806114e-14,7.472038e-14,5.389214e-14,6.316185e-14,9.490013e-14,2.829552e-14,1.559258e-14,2.831459e-14,3.888130e-14,7.300377e-14,1.501369e-13,1.370335e-13,2.352810e-13,4.183769e-14,1.959801e-14,2.581596e-14,3.024101e-14,2.818108e-14,4.141807e-14,1.240730e-14,1.461983e-14,2.711296e-14,2.564430e-14,2.207756e-14,4.803658e-14,2.852440e-14,1.774788e-14,2.196312e-14,1.341820e-14,1.498222e-14,2.160072e-14,4.040718e-14,2.724647e-14,2.202034e-14,1.095772e-14,5.598068e-15,5.272865e-14,2.142906e-14,9.595024e-13,5.640703e-13,4.281044e-14,6.914139e-15,6.532669e-15,6.570816e-15,9.908676e-15,8.897781e-15,7.181167e-15,3.404617e-15,3.042221e-15,3.366470e-15,8.955002e-15,5.216599e-15,1.589775e-14,1.078606e-14,4.320145e-15,1.306534e-15,1.611710e-15,1.592636e-15,2.222061e-15,2.870560e-15,1.821518e-15,7.152557e-16,3.519058e-15,7.724762e-16,3.004074e-15,2.603531e-15,1.000000e-17,8.296967e-16,6.675720e-17,1.000000e-17,1.000000e-17,1.000000e-17,2.765655e-16,1.000000e-17,1.397133e-14,3.252029e-15,9.536743e-18,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,8.840561e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
172.93600, 105.11909,7.379071e-12,6.189228e-10,6.234079e-11,2.267086e-10,2.284050e-12,1.551914e-09,4.981041e-14,1.641941e-13,3.102303e-14,3.825188e-14,9.825706e-14,6.153017e-13,3.321565e-12,1.863682e-08,1.410484e-10,2.001762e-12,5.844408e-13,4.307848e-09,3.249168e-12,1.582432e-11,7.658959e-14,7.771593e-11,9.245872e-14,1.658153e-11,6.552696e-12,2.188256e-08,5.444628e-13,1.934147e-13,3.561884e-13,2.883243e-11,4.529101e-13,1.778317e-13,2.486229e-14,9.293556e-14,3.331184e-14,1.170254e-13,1.486683e-13,5.822182e-14,3.983498e-14,7.510185e-14,6.512642e-14,6.886482e-14,1.216984e-13,3.037453e-14,1.530647e-14,2.865791e-14,3.746986e-14,6.588936e-14,1.374912e-13,1.353168e-13,2.171612e-13,3.764152e-14,2.263069e-14,2.724647e-14,3.573418e-14,3.380775e-14,5.085945e-14,1.294136e-14,1.431465e-14,2.593040e-14,2.457619e-14,2.163887e-14,5.091667e-14,2.982139e-14,1.929283e-14,2.230644e-14,1.486778e-14,1.681328e-14,2.375603e-14,4.120827e-14,3.148079e-14,2.072334e-14,9.965897e-15,5.903244e-15,4.631996e-14,1.984596e-14,8.503062e-13,4.958445e-13,3.941536e-14,7.467270e-15,6.990433e-15,7.448196e-15,1.099586e-14,9.870529e-15,8.516312e-15,3.919601e-15,2.412796e-15,3.652573e-15,8.516312e-15,6.685257e-15,1.770973e-14,1.105309e-14,4.110336e-15,1.764298e-15,1.688004e-15,1.554489e-15,3.023148e-15,3.805160e-15,1.573563e-15,1.000000e-17,3.652573e-15,2.861023e-17,3.652573e-15,2.698898e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,4.482269e-16,1.265526e-14,3.252029e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,2.861023e-17,8.840561e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
199.13200, 131.37491,7.443692e-12,6.209084e-10,6.299501e-11,2.295525e-10,2.261162e-12,1.550198e-09,4.979133e-14,1.677227e-13,2.940178e-14,3.680229e-14,9.598732e-14,6.093889e-13,3.347066e-12,1.897156e-08,1.441002e-10,2.034187e-12,5.868822e-13,4.411799e-09,3.319740e-12,1.616573e-11,7.594108e-14,7.699495e-11,8.194923e-14,1.637363e-11,6.367683e-12,2.177479e-08,5.567270e-13,1.946545e-13,3.737170e-13,2.885532e-11,4.285151e-13,1.645184e-13,2.520561e-14,9.387016e-14,2.730370e-14,8.872032e-14,1.098537e-13,4.931450e-14,3.600120e-14,7.655144e-14,7.750511e-14,7.557869e-14,1.496792e-13,3.033638e-14,1.509666e-14,2.688408e-14,2.444267e-14,4.208565e-14,8.219719e-14,1.285648e-13,1.299381e-13,3.136635e-14,2.442360e-14,2.734184e-14,4.302025e-14,3.808022e-14,6.443977e-14,1.185417e-14,1.318932e-14,1.971245e-14,2.291679e-14,1.935005e-14,5.307197e-14,3.138542e-14,2.070427e-14,2.243996e-14,1.660347e-14,1.877785e-14,2.539635e-14,4.168510e-14,3.260612e-14,1.809120e-14,6.837845e-15,4.854202e-15,2.894402e-14,1.120567e-14,4.436594e-13,2.625942e-13,2.312660e-14,7.734298e-15,8.764267e-15,7.925033e-15,1.257896e-14,1.175880e-14,1.200676e-14,4.262924e-15,2.908707e-15,5.292892e-15,1.070976e-14,9.202957e-15,2.177238e-14,1.284599e-14,4.720688e-15,1.420975e-15,2.508163e-15,2.164841e-15,4.243851e-15,3.652573e-15,3.366470e-15,1.000000e-17,5.655289e-15,1.039505e-15,4.930496e-15,2.260208e-15,1.000000e-17,1.497269e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,2.861023e-17,7.915497e-16,1.498222e-14,4.625320e-15,6.675720e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.192093e-15,7.257461e-15,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17,1.000000e-17
