Filename	005dB1-rGPC
Instrument name	
Operator	Gwenael
rundate	2025-01-13
Sample name	005dB1-rGPC
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	24.75	3.958	99.981	2.03500e-3
0.08	24.84	3.966	100.185	1.95077e-3
0.23	24.92	3.971	100.308	1.86491e-3
0.38	25.00	3.974	100.380	1.77952e-3
0.52	25.08	3.976	100.419	1.69214e-3
0.68	25.17	3.977	100.444	1.60192e-3
0.83	25.29	3.978	100.470	1.51355e-3
0.98	25.43	3.978	100.489	1.42678e-3
1.13	25.60	3.979	100.510	1.33829e-3
1.28	25.81	3.980	100.521	1.24670e-3
1.43	26.05	3.980	100.533	1.15760e-3
1.58	26.33	3.980	100.540	1.06068e-3
1.73	26.65	3.981	100.549	9.62519e-4
1.88	27.01	3.981	100.553	8.61119e-4
2.03	27.41	3.982	100.572	7.57664e-4
2.18	27.85	3.982	100.576	6.55246e-4
2.33	28.33	3.982	100.580	5.50333e-4
2.48	28.85	3.982	100.590	4.47362e-4
2.63	29.39	3.982	100.586	3.45532e-4
2.78	29.98	3.983	100.594	2.40740e-4
2.93	30.59	3.983	100.598	1.39820e-4
3.08	31.23	3.983	100.595	3.63505e-5
3.23	31.89	3.983	100.601	-6.72551e-5
3.38	32.58	3.983	100.601	-1.68446e-4
3.53	33.28	3.983	100.608	-2.66365e-4
3.68	34.00	3.984	100.620	-3.63271e-4
3.83	34.74	3.984	100.621	-4.57332e-4
3.98	35.49	3.983	100.614	-5.51778e-4
4.13	36.25	3.983	100.615	-6.50276e-4
4.28	37.02	3.983	100.616	-7.42784e-4
4.43	37.79	3.984	100.620	-8.32863e-4
4.58	38.57	3.984	100.623	-9.21297e-4
4.73	39.35	3.984	100.624	-1.00973e-3
4.88	40.12	3.984	100.623	-1.09386e-3
5.03	40.90	3.984	100.628	-1.17646e-3
5.18	41.68	3.984	100.628	-1.25831e-3
5.33	42.45	3.984	100.627	-1.33926e-3
5.48	43.22	3.984	100.629	-1.41852e-3
5.63	43.99	3.984	100.627	-1.49500e-3
5.78	44.75	3.984	100.629	-1.57202e-3
5.93	45.51	3.984	100.628	-1.64617e-3
6.08	46.26	3.984	100.624	-1.71882e-3
6.23	47.01	3.984	100.629	-1.78718e-3
6.38	47.75	3.984	100.629	-1.85554e-3
6.53	48.48	3.984	100.629	-1.92202e-3
6.68	49.21	3.984	100.629	-1.98768e-3
6.83	49.94	3.984	100.631	-2.05247e-3
6.98	50.66	3.984	100.632	-2.11817e-3
7.13	51.38	3.984	100.632	-2.18007e-3
7.28	52.09	3.984	100.635	-2.24121e-3
7.43	52.80	3.984	100.635	-2.30153e-3
7.58	53.50	3.984	100.626	-2.35977e-3
7.73	54.21	3.984	100.628	-2.41642e-3
7.88	54.91	3.984	100.630	-2.47270e-3
8.02	55.61	3.984	100.635	-2.52809e-3
8.18	56.30	3.984	100.634	-2.58331e-3
8.33	57.00	3.984	100.638	-2.63634e-3
8.48	57.70	3.984	100.639	-2.68830e-3
8.63	58.39	3.984	100.636	-2.73967e-3
8.78	59.09	3.984	100.636	-2.79075e-3
8.93	59.78	3.984	100.638	-2.84043e-3
9.08	60.48	3.984	100.638	-2.88897e-3
9.23	61.18	3.984	100.638	-2.93657e-3
9.38	61.88	3.984	100.638	-2.98346e-3
9.53	62.58	3.984	100.640	-3.02990e-3
9.68	63.28	3.984	100.643	-3.07549e-3
9.83	63.99	3.984	100.644	-3.11987e-3
9.98	64.70	3.985	100.644	-3.16428e-3
10.13	65.41	3.985	100.646	-3.20726e-3
10.28	66.12	3.984	100.643	-3.24801e-3
10.43	66.84	3.985	100.645	-3.28716e-3
10.58	67.56	3.984	100.644	-3.32505e-3
10.73	68.28	3.984	100.644	-3.36181e-3
10.88	69.01	3.984	100.643	-3.39731e-3
11.03	69.74	3.984	100.644	-3.43226e-3
11.18	70.47	3.984	100.640	-3.46667e-3
11.33	71.20	3.985	100.644	-3.49930e-3
11.48	71.94	3.984	100.640	-3.52900e-3
11.63	72.67	3.984	100.641	-3.55931e-3
11.78	73.41	3.984	100.637	-3.58713e-3
11.93	74.16	3.984	100.639	-3.61338e-3
12.08	74.91	3.984	100.638	-3.64003e-3
12.23	75.65	3.984	100.629	-3.66615e-3
12.38	76.40	3.984	100.634	-3.69246e-3
12.53	77.16	3.984	100.628	-3.71658e-3
12.68	77.91	3.984	100.628	-3.74052e-3
12.83	78.67	3.984	100.628	-3.76222e-3
12.98	79.42	3.984	100.625	-3.78282e-3
13.13	80.18	3.984	100.625	-3.80263e-3
13.28	80.94	3.983	100.614	-3.82403e-3
13.43	81.70	3.983	100.611	-3.84462e-3
13.58	82.46	3.983	100.607	-3.86456e-3
13.73	83.22	3.983	100.605	-3.88369e-3
13.88	83.98	3.983	100.603	-3.90266e-3
14.03	84.75	3.983	100.600	-3.92065e-3
14.18	85.51	3.983	100.598	-3.93913e-3
14.33	86.27	3.983	100.594	-3.95759e-3
14.48	87.03	3.982	100.589	-3.97534e-3
14.63	87.80	3.982	100.585	-3.99354e-3
14.78	88.56	3.982	100.579	-4.01245e-3
14.93	89.32	3.982	100.573	-4.03098e-3
15.08	90.09	3.982	100.571	-4.27206e-3
15.23	90.85	3.981	100.564	-4.45227e-3
15.38	91.62	3.981	100.560	-4.59597e-3
15.53	92.39	3.981	100.553	-4.71964e-3
15.68	93.16	3.981	100.544	-4.83306e-3
15.83	93.93	3.980	100.541	-4.94125e-3
15.98	94.69	3.980	100.537	-5.04136e-3
16.13	95.43	3.980	100.529	-5.13690e-3
16.28	96.15	3.980	100.519	-5.22746e-3
16.42	96.85	3.979	100.516	-5.31622e-3
16.58	97.51	3.979	100.498	-5.40282e-3
16.73	98.14	3.978	100.488	-5.48818e-3
16.88	98.73	3.978	100.476	-5.57119e-3
17.03	99.28	3.977	100.464	-5.65353e-3
17.18	99.78	3.977	100.457	-5.72908e-3
17.33	100.25	3.977	100.443	-5.80433e-3
17.48	100.67	3.976	100.437	-5.87820e-3
17.63	101.05	3.976	100.429	-5.94772e-3
17.78	101.39	3.975	100.414	-6.01853e-3
17.93	101.70	3.975	100.411	-6.08526e-3
18.08	101.96	3.975	100.396	-6.14957e-3
18.23	102.20	3.974	100.385	-6.21173e-3
18.38	102.39	3.974	100.379	-6.27140e-3
18.53	102.56	3.974	100.375	-6.32972e-3
18.68	102.70	3.974	100.366	-6.38292e-3
18.83	102.82	3.973	100.362	-6.42994e-3
18.98	102.91	3.973	100.351	-6.47492e-3
19.13	102.97	3.972	100.332	-6.51994e-3
19.28	103.02	3.972	100.334	-6.56295e-3
19.43	103.05	3.972	100.329	-6.60268e-3
19.58	103.06	3.972	100.323	-6.63805e-3
19.73	103.05	3.971	100.313	-6.66794e-3
19.88	103.03	3.971	100.313	-6.69424e-3
20.03	103.00	3.971	100.307	-6.71779e-3
20.18	102.96	3.971	100.300	-6.73631e-3
20.33	102.91	3.971	100.292	-6.75157e-3
20.48	102.85	3.970	100.287	-6.76438e-3
20.63	102.78	3.970	100.286	-6.77350e-3
20.78	102.71	3.970	100.275	-6.77816e-3
20.93	102.63	3.970	100.275	-6.77820e-3
21.08	102.54	3.970	100.270	-6.77638e-3
21.23	102.45	3.970	100.274	-6.77241e-3
21.38	102.36	3.970	100.266	-6.76142e-3
21.53	102.27	3.969	100.264	-6.75012e-3
21.68	102.17	3.969	100.259	-6.73722e-3
21.83	102.07	3.969	100.254	-6.72221e-3
21.98	101.97	3.969	100.243	-6.70243e-3
22.13	101.87	3.969	100.248	-6.68102e-3
22.28	101.77	3.969	100.243	-6.65541e-3
22.43	101.67	3.968	100.239	-6.62284e-3
22.58	101.57	3.968	100.239	-6.59065e-3
22.73	101.47	3.968	100.238	-6.55699e-3
22.88	101.37	3.968	100.233	-6.51983e-3
23.03	101.27	3.968	100.229	-6.48255e-3
23.18	101.18	3.968	100.223	-6.44266e-3
23.33	101.08	3.968	100.225	-6.40186e-3
23.48	100.99	3.968	100.223	-6.35834e-3
23.63	100.89	3.968	100.220	-6.31299e-3
23.78	100.81	3.968	100.215	-6.26672e-3
23.93	100.72	3.967	100.214	-6.22199e-3
24.08	100.63	3.967	100.213	-6.17286e-3
24.23	100.55	3.967	100.212	-6.12289e-3
24.38	100.47	3.967	100.209	-6.07350e-3
24.53	100.39	3.967	100.206	-6.02362e-3
24.68	100.32	3.967	100.204	-5.97278e-3
24.83	100.25	3.967	100.204	-5.92130e-3
24.98	100.18	3.967	100.199	-5.87011e-3
25.13	100.12	3.967	100.200	-5.82048e-3
25.28	100.07	3.967	100.206	-5.77144e-3
25.43	100.04	3.967	100.209	-5.72475e-3
25.58	100.04	3.967	100.211	-5.67790e-3
25.73	100.08	3.967	100.212	-5.62959e-3
25.88	100.16	3.968	100.215	-5.58737e-3
26.03	100.29	3.967	100.214	-5.52768e-3
26.18	100.47	3.967	100.214	-5.46239e-3
26.33	100.71	3.968	100.219	-5.40027e-3
26.48	100.99	3.968	100.231	-5.34087e-3
26.63	101.33	3.968	100.226	-5.28579e-3
26.78	101.71	3.968	100.236	-5.23296e-3
26.93	102.14	3.969	100.241	-5.18773e-3
27.08	102.62	3.968	100.236	-5.14136e-3
27.23	103.13	3.968	100.237	-5.09647e-3
27.38	103.69	3.968	100.233	-5.05849e-3
27.53	104.27	3.969	100.241	-5.02074e-3
27.68	104.88	3.968	100.240	-4.98678e-3
27.83	105.52	3.969	100.248	-4.95419e-3
27.98	106.18	3.969	100.250	-4.92528e-3
28.13	106.86	3.969	100.251	-4.89622e-3
28.28	107.55	3.969	100.241	-4.86965e-3
28.43	108.26	3.969	100.242	-4.85022e-3
28.58	108.97	3.969	100.242	-4.83225e-3
28.73	109.68	3.969	100.242	-4.82022e-3
28.88	110.41	3.968	100.240	-4.80973e-3
29.03	111.13	3.969	100.241	-4.80020e-3
29.18	111.86	3.968	100.236	-4.79256e-3
29.33	112.59	3.968	100.232	-4.78885e-3
29.48	113.31	3.968	100.232	-4.78840e-3
29.63	114.04	3.968	100.227	-4.78952e-3
29.78	114.76	3.968	100.220	-4.79505e-3
29.93	115.48	3.968	100.218	-4.80377e-3
