Filename	005dB1-rGPC+flash
Instrument name	
Operator	Gwenael
rundate	2025-01-13
Sample name	005dB1-rGPC+flash
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	26.44	5.058	99.981	-2.77558e-3
0.08	26.66	5.065	100.123	-2.90644e-3
0.23	26.85	5.069	100.199	-3.04166e-3
0.38	27.03	5.071	100.231	-3.17477e-3
0.52	27.19	5.071	100.240	-3.30932e-3
0.68	27.34	5.071	100.242	-3.44194e-3
0.83	27.51	5.072	100.263	-3.57627e-3
0.98	27.68	5.073	100.271	-3.71056e-3
1.13	27.88	5.073	100.272	-3.84310e-3
1.28	28.09	5.073	100.271	-3.97198e-3
1.43	28.33	5.073	100.278	-4.09736e-3
1.58	28.61	5.074	100.292	-4.21907e-3
1.73	28.91	5.074	100.288	-4.33672e-3
1.88	29.25	5.074	100.288	-4.45219e-3
2.03	29.62	5.075	100.311	-4.56477e-3
2.18	30.03	5.075	100.307	-4.67349e-3
2.33	30.48	5.074	100.305	-4.77992e-3
2.48	30.95	5.074	100.305	-4.88333e-3
2.63	31.47	5.074	100.303	-4.98426e-3
2.78	32.01	5.074	100.302	-5.08330e-3
2.93	32.59	5.075	100.310	-5.18043e-3
3.08	33.19	5.075	100.311	-5.27475e-3
3.23	33.82	5.075	100.309	-5.36674e-3
3.38	34.47	5.075	100.315	-5.45692e-3
3.53	35.15	5.075	100.318	-5.54511e-3
3.68	35.84	5.075	100.316	-5.62979e-3
3.83	36.55	5.075	100.312	-5.71343e-3
3.98	37.28	5.075	100.319	-5.79413e-3
4.13	38.01	5.075	100.319	-5.87269e-3
4.28	38.76	5.075	100.315	-5.94999e-3
4.43	39.52	5.075	100.313	-6.02741e-3
4.58	40.28	5.075	100.316	-6.10206e-3
4.73	41.04	5.074	100.306	-6.17514e-3
4.88	41.81	5.075	100.313	-6.24709e-3
5.03	42.58	5.075	100.311	-6.31872e-3
5.18	43.35	5.075	100.308	-6.38882e-3
5.33	44.12	5.074	100.302	-6.45797e-3
5.48	44.89	5.075	100.307	-6.52598e-3
5.63	45.65	5.074	100.306	-6.59110e-3
5.78	46.41	5.074	100.297	-6.65477e-3
5.93	47.17	5.074	100.296	-6.71775e-3
6.08	47.92	5.074	100.297	-6.78046e-3
6.23	48.67	5.074	100.302	-6.84214e-3
6.38	49.41	5.074	100.292	-6.90311e-3
6.53	50.15	5.074	100.291	-6.96475e-3
6.68	50.89	5.074	100.297	-7.02512e-3
6.83	51.62	5.074	100.297	-7.08340e-3
6.98	52.35	5.074	100.291	-7.14063e-3
7.13	53.07	5.073	100.286	-7.19658e-3
7.28	53.79	5.073	100.286	-7.25156e-3
7.43	54.50	5.073	100.283	-7.30681e-3
7.58	55.22	5.073	100.281	-7.36006e-3
7.73	55.93	5.073	100.283	-7.41351e-3
7.88	56.64	5.074	100.289	-7.46618e-3
8.02	57.34	5.073	100.279	-7.51783e-3
8.18	58.04	5.073	100.272	-7.57007e-3
8.33	58.75	5.073	100.275	-7.61888e-3
8.48	59.45	5.073	100.271	-7.66802e-3
8.63	60.15	5.073	100.268	-7.71762e-3
8.78	60.85	5.072	100.266	-7.76671e-3
8.93	61.56	5.073	100.270	-7.81538e-3
9.08	62.26	5.073	100.267	-7.86215e-3
9.23	62.96	5.073	100.269	-7.90873e-3
9.38	63.67	5.072	100.259	-7.95445e-3
9.53	64.37	5.072	100.260	-8.00040e-3
9.68	65.08	5.072	100.257	-8.04437e-3
9.83	65.79	5.072	100.261	-8.08785e-3
9.98	66.50	5.072	100.253	-8.13074e-3
10.13	67.22	5.071	100.244	-8.17368e-3
10.28	67.93	5.072	100.251	-8.21426e-3
10.43	68.65	5.071	100.247	-8.25399e-3
10.58	69.37	5.071	100.243	-8.29279e-3
10.73	70.10	5.071	100.237	-8.33053e-3
10.88	70.82	5.071	100.235	-8.36586e-3
11.03	71.55	5.071	100.231	-8.40111e-3
11.18	72.28	5.071	100.233	-8.43585e-3
11.33	73.02	5.070	100.226	-8.46918e-3
11.48	73.75	5.070	100.218	-8.50075e-3
11.63	74.49	5.070	100.215	-8.53082e-3
11.78	75.24	5.070	100.208	-8.55986e-3
11.93	75.98	5.069	100.202	-8.58896e-3
12.08	76.73	5.069	100.196	-8.61651e-3
12.23	77.47	5.069	100.188	-8.64207e-3
12.38	78.22	5.068	100.181	-8.66805e-3
12.53	78.97	5.068	100.176	-8.69397e-3
12.68	79.73	5.067	100.165	-8.71679e-3
12.83	80.48	5.067	100.163	-8.73867e-3
12.98	81.23	5.066	100.147	-8.75979e-3
13.13	81.99	5.066	100.137	-8.78001e-3
13.28	82.75	5.065	100.121	-8.79820e-3
13.43	83.51	5.065	100.124	-8.81905e-3
13.58	84.26	5.064	100.101	-8.83704e-3
13.73	85.02	5.064	100.103	-8.85282e-3
13.88	85.78	5.063	100.072	-8.86640e-3
14.03	86.55	5.062	100.065	-8.88083e-3
14.18	87.31	5.062	100.057	-8.89527e-3
14.33	88.07	5.061	100.047	-8.90924e-3
14.48	88.83	5.062	100.052	-8.92179e-3
14.63	89.59	5.060	100.027	-8.93171e-3
14.78	90.35	5.059	100.001	-8.94311e-3
14.93	91.12	5.059	99.991	-8.95356e-3
15.08	91.89	5.058	99.985	-9.11895e-3
15.23	92.66	5.057	99.968	-9.23919e-3
15.38	93.43	5.057	99.959	-9.33509e-3
15.53	94.20	5.056	99.945	-9.42113e-3
15.68	94.95	5.056	99.934	-9.50400e-3
15.83	95.68	5.055	99.920	-9.58998e-3
15.98	96.39	5.054	99.907	-9.67045e-3
16.13	97.08	5.054	99.896	-9.74924e-3
16.28	97.73	5.053	99.887	-9.82813e-3
16.42	98.35	5.053	99.879	-9.90867e-3
16.58	98.92	5.052	99.871	-9.98641e-3
16.73	99.46	5.052	99.865	-0.0100591
16.88	99.95	5.052	99.855	-0.0101348
17.03	100.40	5.051	99.847	-0.0102083
17.18	100.81	5.051	99.841	-0.0102719
17.33	101.17	5.051	99.833	-0.0103365
17.48	101.50	5.050	99.826	-0.0104003
17.63	101.79	5.050	99.819	-0.0104654
17.78	102.05	5.049	99.811	-0.0105306
17.93	102.27	5.049	99.804	-0.0105953
18.08	102.45	5.049	99.798	-0.0106535
18.23	102.61	5.048	99.792	-0.0107078
18.38	102.74	5.048	99.785	-0.0107630
18.53	102.85	5.048	99.779	-0.0108118
18.68	102.93	5.048	99.776	-0.0108606
18.83	102.99	5.047	99.769	-0.0109052
18.98	103.02	5.047	99.766	-0.0109500
19.13	103.04	5.047	99.762	-0.0109877
19.28	103.05	5.047	99.756	-0.0110213
19.43	103.04	5.046	99.747	-0.0110533
19.58	103.02	5.046	99.745	-0.0110851
