Filename	005dB1-toyopearls
Instrument name	
Operator	Gwenael
rundate	2025-01-13
Sample name	005dB1-toyopearls
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	26.66	4.224	99.944	-2.07129e-3
0.08	26.88	4.229	100.081	-2.14975e-3
0.23	27.07	4.234	100.190	-2.22074e-3
0.38	27.24	4.236	100.227	-2.30464e-3
0.52	27.40	4.236	100.232	-2.38632e-3
0.68	27.55	4.235	100.222	-2.46466e-3
0.83	27.71	4.237	100.252	-2.54166e-3
0.98	27.89	4.238	100.287	-2.62622e-3
1.13	28.08	4.239	100.310	-2.70975e-3
1.28	28.29	4.238	100.282	-2.79470e-3
1.43	28.53	4.238	100.292	-2.87922e-3
1.58	28.80	4.239	100.309	-2.96445e-3
1.73	29.11	4.240	100.323	-3.05130e-3
1.88	29.45	4.239	100.310	-3.13370e-3
2.03	29.82	4.239	100.313	-3.21805e-3
2.18	30.22	4.239	100.312	-3.30417e-3
2.33	30.67	4.239	100.317	-3.38881e-3
2.48	31.15	4.240	100.328	-3.47510e-3
2.63	31.66	4.240	100.325	-3.56256e-3
2.78	32.20	4.239	100.310	-3.64714e-3
2.93	32.78	4.240	100.323	-3.73230e-3
3.08	33.38	4.240	100.324	-3.81550e-3
3.23	34.01	4.239	100.316	-3.89806e-3
3.38	34.66	4.240	100.320	-3.97780e-3
3.53	35.33	4.240	100.321	-4.05717e-3
3.68	36.03	4.240	100.326	-4.14394e-3
3.83	36.74	4.240	100.326	-4.22448e-3
3.98	37.46	4.240	100.323	-4.30275e-3
4.13	38.20	4.240	100.323	-4.37792e-3
4.28	38.94	4.239	100.319	-4.45498e-3
4.43	39.70	4.240	100.320	-4.52467e-3
4.58	40.46	4.240	100.320	-4.60091e-3
4.73	41.22	4.240	100.320	-4.67533e-3
4.88	41.99	4.240	100.320	-4.74383e-3
5.03	42.76	4.239	100.313	-4.82288e-3
5.18	43.53	4.240	100.324	-4.89410e-3
5.33	44.29	4.240	100.319	-4.96415e-3
5.48	45.06	4.239	100.312	-5.03065e-3
5.63	45.83	4.239	100.316	-5.09734e-3
5.78	46.59	4.239	100.311	-5.16744e-3
5.93	47.34	4.239	100.305	-5.23374e-3
6.08	48.10	4.240	100.322	-5.29843e-3
6.23	48.84	4.239	100.304	-5.36378e-3
6.38	49.59	4.239	100.302	-5.42777e-3
6.53	50.33	4.239	100.304	-5.49025e-3
6.68	51.06	4.238	100.292	-5.55195e-3
6.83	51.80	4.239	100.306	-5.61329e-3
6.98	52.52	4.239	100.307	-5.67342e-3
7.13	53.25	4.239	100.304	-5.73308e-3
7.28	53.97	4.239	100.306	-5.79198e-3
7.43	54.68	4.238	100.295	-5.85029e-3
7.58	55.40	4.238	100.285	-5.90838e-3
7.73	56.11	4.238	100.278	-5.96453e-3
7.88	56.81	4.238	100.280	-6.02026e-3
8.02	57.52	4.238	100.282	-6.07530e-3
8.18	58.23	4.238	100.286	-6.13066e-3
8.33	58.93	4.238	100.283	-6.18517e-3
8.48	59.63	4.238	100.280	-6.23897e-3
8.63	60.34	4.238	100.284	-6.29166e-3
8.78	61.04	4.238	100.285	-6.34412e-3
8.93	61.74	4.238	100.291	-6.39562e-3
9.08	62.45	4.238	100.283	-6.44691e-3
9.23	63.15	4.237	100.270	-6.49777e-3
9.38	63.85	4.238	100.277	-6.54825e-3
9.53	64.56	4.237	100.263	-6.59821e-3
9.68	65.27	4.237	100.262	-6.64719e-3
9.83	65.98	4.237	100.266	-6.69528e-3
9.98	66.69	4.237	100.265	-6.74238e-3
10.13	67.41	4.237	100.266	-6.78810e-3
10.28	68.12	4.237	100.255	-6.83257e-3
10.43	68.84	4.237	100.270	-6.87552e-3
10.58	69.57	4.237	100.256	-6.91755e-3
10.73	70.29	4.236	100.246	-6.95859e-3
10.88	71.02	4.236	100.248	-6.99765e-3
11.03	71.75	4.237	100.249	-7.03563e-3
11.18	72.48	4.236	100.238	-7.07253e-3
11.33	73.21	4.236	100.246	-7.10856e-3
11.48	73.95	4.236	100.236	-7.14318e-3
11.63	74.69	4.236	100.230	-7.17690e-3
11.78	75.43	4.236	100.226	-7.21052e-3
11.93	76.17	4.235	100.221	-7.24252e-3
12.08	76.92	4.235	100.213	-7.27395e-3
12.23	77.66	4.235	100.212	-7.30420e-3
12.38	78.41	4.235	100.215	-7.33370e-3
12.53	79.16	4.234	100.201	-7.36235e-3
12.68	79.92	4.234	100.188	-7.39023e-3
12.83	80.67	4.234	100.178	-7.41682e-3
12.98	81.42	4.234	100.178	-7.44268e-3
13.13	82.18	4.234	100.181	-7.46883e-3
13.28	82.94	4.233	100.176	-7.49551e-3
13.43	83.69	4.233	100.160	-7.51855e-3
13.58	84.45	4.232	100.148	-7.53984e-3
13.73	85.21	4.232	100.140	-7.56214e-3
13.88	85.97	4.232	100.136	-7.58345e-3
14.03	86.73	4.231	100.126	-7.60327e-3
14.18	87.49	4.231	100.117	-7.62329e-3
14.33	88.25	4.231	100.112	-7.64382e-3
