Filename	P2934-S
Instrument name	
Operator	Gwenael
rundate	2025-01-13
Sample name	P2934-S
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	26.44	8.860	99.987	-6.78317e-5
0.08	26.67	8.867	100.071	-8.37324e-5
0.23	26.87	8.871	100.116	-9.92171e-5
0.38	27.05	8.873	100.137	-1.15858e-4
0.52	27.22	8.874	100.143	-1.33923e-4
0.68	27.38	8.874	100.150	-1.54923e-4
0.83	27.54	8.875	100.153	-1.76748e-4
0.98	27.72	8.875	100.160	-2.00600e-4
1.13	27.91	8.876	100.169	-2.26366e-4
1.28	28.12	8.876	100.171	-2.56074e-4
1.43	28.36	8.876	100.172	-2.84842e-4
1.58	28.63	8.877	100.182	-3.14202e-4
1.73	28.93	8.877	100.183	-3.46237e-4
1.88	29.27	8.877	100.179	-3.80825e-4
2.03	29.64	8.877	100.178	-4.15483e-4
2.18	30.05	8.878	100.186	-4.51647e-4
2.33	30.49	8.878	100.189	-4.87367e-4
2.48	30.96	8.878	100.189	-5.24498e-4
2.63	31.47	8.878	100.188	-5.61308e-4
2.78	32.01	8.878	100.194	-5.95690e-4
2.93	32.58	8.878	100.192	-6.32990e-4
3.08	33.18	8.878	100.193	-6.68741e-4
3.23	33.81	8.879	100.199	-7.05725e-4
3.38	34.45	8.878	100.196	-7.44886e-4
3.53	35.13	8.878	100.197	-7.82170e-4
3.68	35.82	8.878	100.190	-8.20583e-4
3.83	36.52	8.879	100.200	-8.55065e-4
3.98	37.25	8.879	100.199	-8.89903e-4
4.13	37.98	8.878	100.193	-9.25499e-4
4.28	38.73	8.878	100.194	-9.61546e-4
4.43	39.48	8.879	100.198	-9.97407e-4
4.58	40.24	8.878	100.197	-1.03244e-3
4.73	41.00	8.879	100.201	-1.06666e-3
4.88	41.77	8.878	100.192	-1.10102e-3
5.03	42.54	8.878	100.196	-1.13537e-3
5.18	43.31	8.878	100.195	-1.16955e-3
5.33	44.08	8.878	100.188	-1.20317e-3
5.48	44.84	8.878	100.192	-1.23671e-3
5.63	45.61	8.878	100.188	-1.26916e-3
5.78	46.37	8.878	100.193	-1.30106e-3
5.93	47.13	8.878	100.193	-1.33220e-3
6.08	47.88	8.878	100.189	-1.36281e-3
6.23	48.63	8.878	100.188	-1.39310e-3
6.38	49.37	8.878	100.187	-1.42271e-3
6.53	50.12	8.878	100.188	-1.45293e-3
6.68	50.85	8.877	100.183	-1.48281e-3
6.83	51.58	8.878	100.189	-1.51137e-3
6.98	52.31	8.878	100.188	-1.53900e-3
7.13	53.03	8.877	100.182	-1.56729e-3
7.28	53.75	8.877	100.184	-1.59584e-3
7.43	54.47	8.877	100.184	-1.62277e-3
7.58	55.18	8.877	100.179	-1.65083e-3
7.73	55.90	8.878	100.187	-1.67723e-3
7.88	56.60	8.877	100.183	-1.70213e-3
8.02	57.31	8.877	100.183	-1.72912e-3
8.18	58.01	8.877	100.183	-1.75489e-3
8.33	58.72	8.877	100.185	-1.78035e-3
8.48	59.42	8.876	100.172	-1.80610e-3
8.63	60.12	8.877	100.178	-1.83201e-3
8.78	60.82	8.878	100.188	-1.85615e-3
8.93	61.53	8.877	100.175	-1.88095e-3
9.08	62.23	8.877	100.179	-1.90538e-3
9.23	62.93	8.877	100.185	-1.92902e-3
9.38	63.64	8.877	100.180	-1.95138e-3
9.53	64.34	8.877	100.176	-1.97439e-3
9.68	65.05	8.877	100.178	-1.99615e-3
9.83	65.76	8.877	100.177	-2.01749e-3
9.98	66.47	8.877	100.176	-2.03965e-3
10.13	67.19	8.877	100.177	-2.06092e-3
10.28	67.90	8.876	100.174	-2.07992e-3
10.43	68.62	8.877	100.175	-2.09994e-3
10.58	69.34	8.876	100.174	-2.11834e-3
10.73	70.07	8.876	100.173	-2.13674e-3
10.88	70.80	8.876	100.172	-2.15463e-3
11.03	71.52	8.876	100.173	-2.17190e-3
11.18	72.26	8.876	100.173	-2.18863e-3
11.33	72.99	8.876	100.171	-2.20539e-3
11.48	73.73	8.876	100.170	-2.22142e-3
11.63	74.47	8.876	100.170	-2.23584e-3
11.78	75.21	8.876	100.170	-2.25080e-3
11.93	75.95	8.876	100.168	-2.26370e-3
12.08	76.69	8.876	100.167	-2.27812e-3
12.23	77.44	8.876	100.167	-2.29340e-3
12.38	78.19	8.876	100.167	-2.30934e-3
12.53	78.94	8.876	100.166	-2.32319e-3
12.68	79.69	8.876	100.167	-2.33567e-3
12.83	80.45	8.876	100.167	-2.34935e-3
12.98	81.20	8.876	100.168	-2.36219e-3
13.13	81.96	8.876	100.167	-2.37609e-3
13.28	82.72	8.876	100.166	-2.38940e-3
13.43	83.47	8.875	100.163	-2.40207e-3
13.58	84.23	8.875	100.162	-2.41498e-3
13.73	84.99	8.875	100.161	-2.42656e-3
13.88	85.75	8.875	100.161	-2.43857e-3
14.03	86.51	8.875	100.160	-2.45057e-3
14.18	87.27	8.875	100.162	-2.46331e-3
14.33	88.03	8.875	100.159	-2.47590e-3
14.48	88.80	8.875	100.158	-2.48856e-3
14.63	89.56	8.875	100.157	-2.50116e-3
14.78	90.32	8.875	100.155	-2.51284e-3
14.93	91.08	8.875	100.156	-2.52514e-3
15.08	91.85	8.875	100.153	-2.61803e-3
15.23	92.62	8.875	100.153	-2.68492e-3
15.38	93.39	8.874	100.150	-2.73673e-3
15.53	94.16	8.874	100.147	-2.78265e-3
15.68	94.91	8.874	100.142	-2.82707e-3
15.83	95.65	8.873	100.139	-2.86989e-3
15.98	96.36	8.873	100.135	-2.91223e-3
16.13	97.05	8.873	100.130	-2.95264e-3
16.28	97.70	8.872	100.122	-2.98951e-3
16.42	98.32	8.872	100.121	-3.02743e-3
16.58	98.90	8.871	100.118	-3.06402e-3
16.73	99.43	8.871	100.111	-3.09799e-3
16.88	99.93	8.870	100.104	-3.13191e-3
