Filename	A3
Instrument name	
Operator	Gwenael
rundate	2025-02-24
Sample name	A3
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	26.51	2.223	100.023	-1.39564e-3
0.04	26.64	2.225	100.119	-1.44563e-3
0.13	26.75	2.226	100.201	-1.49435e-3
0.21	26.86	2.227	100.207	-1.52828e-3
0.29	26.95	2.227	100.228	-1.57419e-3
0.38	27.03	2.227	100.205	-1.60505e-3
0.46	27.12	2.227	100.210	-1.67217e-3
0.54	27.20	2.227	100.235	-1.66268e-3
0.63	27.29	2.227	100.234	-1.70320e-3
0.71	27.37	2.227	100.239	-1.73680e-3
0.79	27.45	2.228	100.250	-1.77383e-3
0.88	27.54	2.228	100.261	-1.78547e-3
0.96	27.63	2.227	100.240	-1.80234e-3
1.04	27.73	2.227	100.240	-1.82220e-3
1.13	27.84	2.228	100.270	-1.86212e-3
1.21	27.95	2.227	100.239	-1.89242e-3
1.29	28.07	2.227	100.241	-2.00405e-3
1.38	28.20	2.228	100.270	-2.03076e-3
1.46	28.34	2.228	100.255	-2.04593e-3
1.54	28.49	2.228	100.252	-2.05169e-3
1.63	28.64	2.228	100.250	-2.11663e-3
1.71	28.81	2.228	100.257	-2.17024e-3
1.79	29.00	2.228	100.248	-2.20636e-3
1.88	29.19	2.228	100.284	-2.24646e-3
1.96	29.39	2.228	100.257	-2.28283e-3
2.04	29.60	2.228	100.254	-2.27933e-3
2.13	29.83	2.227	100.244	-2.27911e-3
2.21	30.07	2.227	100.245	-2.31757e-3
2.29	30.32	2.228	100.269	-2.35614e-3
2.38	30.58	2.230	100.343	-2.39671e-3
2.46	30.85	2.230	100.338	-2.43805e-3
2.54	31.13	2.227	100.247	-2.48667e-3
2.63	31.42	2.228	100.280	-2.53947e-3
2.71	31.72	2.228	100.267	-2.57447e-3
2.79	32.03	2.228	100.255	-2.60892e-3
2.88	32.35	2.229	100.298	-2.62988e-3
2.96	32.68	2.228	100.273	-2.64703e-3
3.04	33.02	2.228	100.255	-2.67656e-3
3.13	33.36	2.228	100.268	-2.71297e-3
3.21	33.72	2.228	100.269	-2.75548e-3
3.29	34.08	2.228	100.286	-2.80110e-3
3.38	34.45	2.228	100.284	-2.83893e-3
3.46	34.83	2.228	100.273	-2.87949e-3
3.54	35.21	2.228	100.272	-2.92717e-3
3.63	35.60	2.228	100.255	-2.97559e-3
3.71	35.99	2.228	100.250	-3.02460e-3
3.79	36.39	2.228	100.287	-3.07625e-3
3.88	36.79	2.228	100.282	-3.12566e-3
3.96	37.19	2.228	100.273	-3.17446e-3
4.04	37.60	2.228	100.274	-3.22834e-3
4.13	38.02	2.228	100.275	-3.28717e-3
4.21	38.43	2.228	100.280	-3.34398e-3
4.29	38.85	2.228	100.270	-3.40231e-3
4.38	39.27	2.228	100.257	-3.46479e-3
4.46	39.69	2.228	100.259	-3.53488e-3
4.54	40.12	2.227	100.243	-3.60521e-3
4.63	40.54	2.228	100.256	-3.67772e-3
4.71	40.97	2.228	100.252	-3.75116e-3
4.79	41.40	2.228	100.265	-3.83010e-3
4.88	41.83	2.228	100.253	-3.91173e-3
4.96	42.25	2.228	100.253	-4.00080e-3
5.04	42.68	2.227	100.247	-4.09285e-3
5.13	43.11	2.228	100.267	-4.18658e-3
5.21	43.54	2.228	100.266	-4.28666e-3
5.29	43.97	2.228	100.253	-4.38964e-3
5.38	44.39	2.227	100.245	-4.50533e-3
5.46	44.82	2.227	100.230	-4.62194e-3
5.54	45.25	2.227	100.225	-4.73580e-3
5.63	45.67	2.228	100.256	-4.85667e-3
5.71	46.09	2.228	100.254	-4.99428e-3
5.79	46.51	2.228	100.257	-5.13497e-3
5.88	46.93	2.227	100.234	-5.28099e-3
5.96	47.35	2.227	100.217	-5.42165e-3
6.04	47.77	2.227	100.226	-5.57363e-3
6.13	48.19	2.227	100.235	-5.73806e-3
6.21	48.60	2.227	100.228	-5.91285e-3
6.29	49.01	2.227	100.233	-6.10185e-3
6.38	49.43	2.227	100.231	-6.29687e-3
6.46	49.84	2.227	100.237	-6.49397e-3
6.54	50.25	2.227	100.228	-6.69534e-3
6.63	50.66	2.227	100.218	-6.91070e-3
6.71	51.06	2.227	100.207	-7.14766e-3
6.79	51.47	2.227	100.221	-7.38188e-3
6.88	51.87	2.227	100.228	-7.63230e-3
6.96	52.28	2.227	100.226	-7.89090e-3
7.04	52.68	2.227	100.208	-8.16200e-3
7.13	53.08	2.226	100.202	-8.43650e-3
7.21	53.48	2.227	100.204	-8.71726e-3
7.29	53.87	2.227	100.206	-9.01293e-3
7.38	54.27	2.227	100.215	-9.31886e-3
7.46	54.67	2.227	100.203	-9.63835e-3
7.54	55.06	2.227	100.203	-9.96541e-3
7.63	55.46	2.226	100.200	-0.0103114
7.71	55.85	2.226	100.188	-0.0106669
7.79	56.25	2.226	100.195	-0.0110217
7.88	56.64	2.226	100.184	-0.0113899
7.96	57.03	2.226	100.167	-0.0117689
8.04	57.42	2.226	100.179	-0.0121572
8.13	57.81	2.226	100.193	-0.0125528
8.21	58.20	2.226	100.179	-0.0129558
8.29	58.59	2.226	100.186	-0.0133679
8.38	58.98	2.226	100.184	-0.0139276
8.46	59.37	2.226	100.182	-0.0144676
8.54	59.76	2.226	100.189	-0.0149910
8.63	60.15	2.226	100.179	-0.0155205
8.71	60.54	2.226	100.186	-0.0160550
8.79	60.93	2.226	100.161	-0.0166073
8.88	61.32	2.227	100.208	-0.0171668
8.96	61.71	2.226	100.174	-0.0177276
9.04	62.10	2.226	100.177	-0.0182949
9.13	62.49	2.226	100.172	-0.0188717
9.21	62.89	2.226	100.188	-0.0194540
9.29	63.28	2.226	100.183	-0.0200417
9.38	63.67	2.226	100.179	-0.0206440
9.46	64.06	2.226	100.163	-0.0212522
9.54	64.46	2.226	100.168	-0.0218583
9.63	64.85	2.224	100.101	-0.0224815
9.71	65.24	2.226	100.164	-0.0231090
9.79	65.64	2.226	100.171	-0.0237326
9.88	66.03	2.226	100.178	-0.0243687
9.96	66.43	2.225	100.126	-0.0250104
10.04	66.83	2.225	100.132	-0.0256581
10.13	67.22	2.225	100.144	-0.0263105
10.21	67.62	2.225	100.138	-0.0269732
10.29	68.02	2.225	100.139	-0.0276309
10.38	68.42	2.226	100.173	-0.0283038
10.46	68.82	2.226	100.170	-0.0289829
10.54	69.22	2.225	100.131	-0.0296697
10.63	69.62	2.225	100.128	-0.0303634
10.71	70.02	2.225	100.124	-0.0310565
10.79	70.43	2.225	100.120	-0.0317283
10.88	70.83	2.224	100.109	-0.0324089
10.96	71.24	2.224	100.101	-0.0331278
11.04	71.64	2.225	100.117	-0.0338411
11.13	72.05	2.225	100.114	-0.0345646
11.21	72.46	2.225	100.126	-0.0353003
11.29	72.87	2.225	100.129	-0.0360246
11.38	73.27	2.225	100.113	-0.0367649
11.46	73.68	2.224	100.102	-0.0375195
11.54	74.09	2.224	100.092	-0.0382707
11.63	74.50	2.224	100.085	-0.0390297
11.71	74.91	2.224	100.090	-0.0397859
11.79	75.33	2.224	100.084	-0.0405488
11.88	75.74	2.224	100.072	-0.0413227
11.96	76.15	2.223	100.067	-0.0421023
12.04	76.57	2.223	100.062	-0.0428940
12.13	76.98	2.223	100.055	-0.0436952
12.21	77.40	2.223	100.053	-0.0444862
12.29	77.81	2.223	100.050	-0.0452839
12.38	78.23	2.223	100.039	-0.0460914
12.46	78.65	2.223	100.028	-0.0469054
12.54	79.07	2.223	100.026	-0.0477256
12.63	79.48	2.222	100.019	-0.0485487
12.71	79.90	2.222	100.008	-0.0493816
12.79	80.32	2.222	99.992	-0.0502256
12.88	80.74	2.222	99.986	-0.0510771
12.96	81.16	2.221	99.977	-0.0519425
13.04	81.58	2.221	99.969	-0.0528063
13.13	82.00	2.221	99.955	-0.0536795
13.21	82.42	2.221	99.944	-0.0545527
13.29	82.84	2.220	99.926	-0.0554375
13.38	83.26	2.220	99.914	-0.0563281
13.46	83.68	2.220	99.903	-0.0572291
13.54	84.10	2.219	99.885	-0.0581252
13.63	84.52	2.219	99.872	-0.0590270
13.71	84.95	2.218	99.842	-0.0599410
13.79	85.37	2.218	99.831	-0.0608654
13.88	85.79	2.218	99.827	-0.0618054
13.96	86.21	2.218	99.805	-0.0627547
14.04	86.63	2.217	99.765	-0.0636945
14.13	87.05	2.216	99.748	-0.0646422
14.21	87.48	2.216	99.727	-0.0655939
14.29	87.90	2.216	99.725	-0.0665649
14.38	88.32	2.215	99.692	-0.0675536
14.46	88.74	2.214	99.656	-0.0685425
14.54	89.16	2.214	99.622	-0.0695357
14.63	89.59	2.213	99.580	-0.0705384
14.71	90.01	2.212	99.552	-0.0715487
14.79	90.43	2.212	99.532	-0.0725689
14.88	90.86	2.211	99.507	-0.0735927
14.96	91.28	2.210	99.461	-0.0746296
15.04	91.71	2.209	99.399	-0.0756816
15.13	92.14	2.208	99.384	-0.0767516
15.21	92.57	2.207	99.330	-0.0778206
15.29	93.00	2.206	99.291	-0.0788921
15.38	93.42	2.205	99.242	-0.0799746
15.46	93.85	2.204	99.211	-0.0810831
15.54	94.27	2.204	99.174	-0.0822000
15.63	94.69	2.202	99.116	-0.0833283
15.71	95.11	2.201	99.066	-0.0844641
15.79	95.52	2.200	99.008	-0.0856051
15.88	95.92	2.199	98.962	-0.0867669
15.96	96.31	2.197	98.889	-0.0879408
16.04	96.70	2.196	98.835	-0.0891242
16.13	97.07	2.195	98.804	-0.0903357
16.21	97.44	2.194	98.739	-0.0915538
16.29	97.79	2.193	98.679	-0.0927937
16.38	98.14	2.191	98.620	-0.0940540
16.46	98.47	2.190	98.565	-0.0953262
16.54	98.79	2.189	98.509	-0.0965968
16.63	99.09	2.187	98.447	-0.0978961
16.71	99.38	2.186	98.392	-0.0992053
16.79	99.67	2.185	98.338	-0.100531
16.88	99.93	2.184	98.287	-0.101874
16.96	100.19	2.183	98.239	-0.103228
17.04	100.43	2.182	98.183	-0.104607
17.13	100.65	2.180	98.128	-0.105998
17.21	100.87	2.179	98.079	-0.107426
17.29	101.07	2.178	98.028	-0.108837
17.38	101.26	2.177	97.985	-0.110293
17.46	101.44	2.176	97.930	-0.111768
17.54	101.61	2.175	97.879	-0.113273
17.63	101.76	2.174	97.829	-0.114779
17.71	101.91	2.173	97.784	-0.116314
17.79	102.04	2.172	97.744	-0.117874
17.88	102.17	2.171	97.698	-0.119477
17.96	102.28	2.170	97.657	-0.121099
18.04	102.39	2.169	97.621	-0.122819
18.13	102.48	2.168	97.582	-0.124503
18.21	102.57	2.167	97.540	-0.126206
18.29	102.65	2.167	97.507	-0.127925
18.38	102.71	2.166	97.472	-0.129731
18.46	102.77	2.165	97.432	-0.131562
18.54	102.83	2.164	97.392	-0.133410
18.63	102.88	2.163	97.351	-0.135292
18.71	102.92	2.162	97.318	-0.137205
18.79	102.95	2.162	97.286	-0.139103
18.88	102.98	2.161	97.259	-0.141022
18.96	103.00	2.160	97.222	-0.143012
19.04	103.01	2.159	97.182	-0.145029
19.13	103.02	2.159	97.146	-0.147070
19.21	103.03	2.158	97.108	-0.149133
19.29	103.03	2.157	97.084	-0.151227
19.38	103.03	2.156	97.049	-0.153337
19.46	103.02	2.156	97.020	-0.155428
19.54	103.01	2.155	96.986	-0.157521
19.63	102.99	2.154	96.956	-0.159586
19.71	102.97	2.154	96.926	-0.161634
19.79	102.95	2.153	96.892	-0.163685
19.88	102.92	2.153	96.877	-0.165727
19.96	102.89	2.152	96.841	-0.167738
20.04	102.86	2.151	96.818	-0.169702
20.13	102.83	2.151	96.790	-0.171599
20.21	102.79	2.150	96.760	-0.173430
20.29	102.76	2.149	96.734	-0.175189
20.38	102.72	2.149	96.711	-0.176846
20.46	102.67	2.148	96.680	-0.178390
20.54	102.63	2.148	96.655	-0.179825
20.63	102.59	2.147	96.634	-0.181120
20.71	102.54	2.147	96.607	-0.182261
20.79	102.49	2.146	96.578	-0.183235
20.88	102.44	2.145	96.550	-0.184032
20.96	102.39	2.145	96.527	-0.184611
21.04	102.34	2.144	96.505	-0.184977
21.13	102.29	2.144	96.483	-0.185110
21.21	102.24	2.143	96.452	-0.185029
21.29	102.18	2.143	96.427	-0.184692
21.38	102.13	2.142	96.409	-0.184089
21.46	102.08	2.142	96.382	-0.183221
21.54	102.02	2.141	96.361	-0.182079
21.63	101.97	2.141	96.339	-0.180645
21.71	101.91	2.140	96.319	-0.178950
21.79	101.85	2.140	96.293	-0.177000
21.88	101.80	2.139	96.277	-0.174791
21.96	101.74	2.139	96.261	-0.172322
22.04	101.69	2.139	96.242	-0.169596
22.13	101.63	2.138	96.223	-0.166680
22.21	101.57	2.138	96.199	-0.163579
22.29	101.52	2.137	96.182	-0.160248
22.38	101.46	2.137	96.166	-0.156814
22.46	101.41	2.136	96.147	-0.153235
22.54	101.35	2.136	96.134	-0.149588
22.63	101.30	2.136	96.118	-0.145860
22.71	101.25	2.135	96.097	-0.142018
22.79	101.19	2.135	96.090	-0.138117
22.88	101.14	2.135	96.068	-0.134276
22.96	101.09	2.134	96.062	-0.130430
23.04	101.04	2.134	96.035	-0.126630
23.13	100.98	2.134	96.018	-0.122880
23.21	100.93	2.133	96.009	-0.119148
23.29	100.88	2.133	95.997	-0.115502
23.38	100.83	2.133	95.979	-0.111936
23.46	100.78	2.132	95.958	-0.108525
23.54	100.74	2.132	95.952	-0.105173
23.63	100.69	2.132	95.948	-0.101940
23.71	100.64	2.132	95.936	-0.0988417
23.79	100.60	2.131	95.905	-0.0958686
23.88	100.55	2.131	95.914	-0.0930027
23.96	100.50	2.131	95.896	-0.0902754
24.04	100.46	2.131	95.893	-0.0876315
24.13	100.42	2.130	95.882	-0.0851584
24.21	100.38	2.130	95.864	-0.0827950
24.29	100.34	2.130	95.854	-0.0805339
