#EXPORTTYPE:                 ,DATA ALL                             
#FILE:                       ,2025_02_20_005d-L1-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                             
#FTYPE:                      ,ASCII                                
#IDENTITY:                   ,005d-L1                              
#DECIMAL:                    ,POINT                                
#SEPARATOR:                  ,COMMA                                
#MTYPE:                      ,DSC                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                    
#PROJECT:                    ,PS                                   
#DATE/TIME:                  ,2/21/2025 9:00:33 AM (UTC-5)         
#CORR. FILE:                 ,                                     
#TEMPCAL:                    ,13-11-2024 10:37                     
#SENSITIVITY:                ,28-06-2023 13:53                     
#LABORATORY:                 ,Tran/Aspuru                          
#OPERATOR:                   ,Stanley                              
#REMARK:                     ,                                     
#SAMPLE:                     ,005d-L1                              
#SAMPLE MASS /mg:            ,5.31                                 
#MATERIAL:                   ,                                     
#REFERENCE:                  ,                                     
#REFERENCE MASS /mg:         ,0                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                    
#DSC RANGE /‘V:              ,5000                                 
#TG RANGE /mg:               ,35000                                
#TAU-R:                      ,---                                  
#CORR. CODE:                 ,000                                  
#EXO:                        ,-1                                   
#RANGE:                      ,20›C....800›C/0.0....20.0K/min       
#SEGMENT:                    ,S1-4/4                               
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:05/100›C                    
#SEG. 3:                     ,100›C/1.0(K/min)/400›C               
#SEG. 4:                     ,400›C/20.0(K/min)/800›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.81400,  0.00000,      0.34312,    100.00000,50.00000,35.00000,            ,0.92333,1
 28.86600,  0.06667,      0.30655,     99.95537,50.00000,35.00000,1.882362e-10,0.92333,1
 28.94400,  0.13333,      0.27527,     99.92768,50.00000,35.00000,1.878491e-10,0.92334,1
 28.99000,  0.20000,      0.24741,     99.90847,50.00000,35.00000,1.878491e-10,0.92334,1
 29.07500,  0.26667,      0.22267,     99.87853,50.00000,35.00000,1.875972e-10,0.92335,1
 29.14100,  0.33333,      0.20119,     99.87853,50.00000,35.00000,1.875972e-10,0.92335,1
 29.21000,  0.40000,      0.18283,     99.85311,50.00000,35.00000,1.875972e-10,0.92335,1
 29.27000,  0.46667,      0.16804,     99.82750,50.00000,35.00000,1.876431e-10,0.92336,1
 29.34300,  0.53333,      0.15326,     99.82750,50.00000,35.00000,1.876431e-10,0.92336,1
 29.41600,  0.60000,      0.14174,     99.85311,50.00000,35.00000,1.876431e-10,0.92336,1
 29.47000,  0.66667,      0.13287,     99.85311,50.00000,34.00000,1.876431e-10,0.92336,1
 29.55200,  0.73333,      0.12354,     99.84670,50.00000,34.00000,1.882706e-10,0.92338,1
 29.63800,  0.80000,      0.11684,     99.85311,50.00000,34.00000,1.882706e-10,0.92338,1
 29.71000,  0.86667,      0.11280,     99.85311,50.00000,34.00000,1.882706e-10,0.92338,1
 29.77100,  0.93333,      0.10704,     99.87853,50.00000,34.00000,1.878738e-10,0.92339,1
 29.86200,  1.00000,      0.10330,     99.87853,50.00000,34.00000,1.878738e-10,0.92339,1
 29.93700,  1.06667,      0.10035,     99.87853,50.00000,34.00000,1.878738e-10,0.92339,1
 29.99100,  1.13333, 9.723313e-02,     99.90414,50.00000,34.00000,1.878986e-10,0.92341,1
