#EXPORTTYPE:                 ,DATA ALL                             
#FILE:                       ,2025_02_20_005d-M1-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                             
#FTYPE:                      ,ASCII                                
#IDENTITY:                   ,005d-M1                              
#DECIMAL:                    ,POINT                                
#SEPARATOR:                  ,COMMA                                
#MTYPE:                      ,DSC                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                    
#PROJECT:                    ,PS                                   
#DATE/TIME:                  ,2/20/2025 10:18:49 AM (UTC-5)        
#CORR. FILE:                 ,                                     
#TEMPCAL:                    ,13-11-2024 10:37                     
#SENSITIVITY:                ,28-06-2023 13:53                     
#LABORATORY:                 ,Tran/Aspuru                          
#OPERATOR:                   ,Stanley                              
#REMARK:                     ,                                     
#SAMPLE:                     ,005d-M1                              
#SAMPLE MASS /mg:            ,4.70                                 
#MATERIAL:                   ,                                     
#REFERENCE:                  ,                                     
#REFERENCE MASS /mg:         ,0                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                    
#DSC RANGE /‘V:              ,5000                                 
#TG RANGE /mg:               ,35000                                
#TAU-R:                      ,---                                  
#CORR. CODE:                 ,000                                  
#EXO:                        ,-1                                   
#RANGE:                      ,20›C....800›C/0.0....20.0K/min       
#SEGMENT:                    ,S1-4/4                               
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:05/100›C                    
#SEG. 3:                     ,100›C/1.0(K/min)/400›C               
#SEG. 4:                     ,400›C/20.0(K/min)/800›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.93300,  0.00000,      0.68247,100.00000,50.00000,35.00000,            ,0.92335,1
 29.00900,  0.06667,      0.61143, 99.92532,50.00000,34.00000,1.833725e-10,0.92335,1
 29.05300,  0.13333,      0.54814, 99.86021,50.00000,34.00000,1.837521e-10,0.92337,1
 29.15100,  0.20000,      0.49275, 99.83149,50.00000,34.00000,1.837521e-10,0.92337,1
 29.20500,  0.26667,      0.44194, 99.80255,50.00000,34.00000,1.836529e-10,0.92338,1
 29.26000,  0.33333,      0.39817, 99.80255,50.00000,34.00000,1.836529e-10,0.92338,1
 29.33500,  0.40000,      0.36089, 99.77362,50.00000,34.00000,1.836529e-10,0.92338,1
 29.41600,  0.46667,      0.32749, 99.75191,50.00000,34.00000,1.832619e-10,0.92339,1
 29.49000,  0.53333,      0.29865, 99.75191,50.00000,34.00000,1.832619e-10,0.92339,1
 29.56500,  0.60000,      0.27351, 99.75191,50.00000,34.00000,1.834697e-10,0.92340,1
 29.64100,  0.66667,      0.25189, 99.75915,50.00000,34.00000,1.834697e-10,0.92340,1
 29.68500,  0.73333,      0.23325, 99.75447,50.00000,34.00000,1.834697e-10,0.92340,1
 29.77000,  0.80000,      0.21831, 99.77362,50.00000,34.00000,1.831722e-10,0.92341,1
 29.84700,  0.86667,      0.20284, 99.77362,50.00000,34.00000,1.831722e-10,0.92341,1
 29.91600,  0.93333,      0.19176, 99.77362,50.00000,34.00000,1.830692e-10,0.92343,1
 29.99000,  1.00000,      0.18069, 99.79532,50.00000,34.00000,1.830692e-10,0.92343,1
 30.06900,  1.06667,      0.17049, 99.77362,50.00000,34.00000,1.830692e-10,0.92343,1
 30.14100,  1.13333,      0.16363, 99.79532,50.00000,34.00000,1.833705e-10,0.92344,1
 30.21300,  1.20000,      0.15976, 99.80255,50.00000,34.00000,1.833705e-10,0.92344,1
