#EXPORTTYPE:                 ,DATA ALL                           
#FILE:                       ,2025_02_21_PS-F2-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                           
#FTYPE:                      ,ASCII                              
#IDENTITY:                   ,PS-F2                              
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                  
#PROJECT:                    ,PS                                 
#DATE/TIME:                  ,2/21/2025 4:40:02 PM (UTC-5)       
#CORR. FILE:                 ,                                   
#TEMPCAL:                    ,13-11-2024 10:37                   
#SENSITIVITY:                ,28-06-2023 13:53                   
#LABORATORY:                 ,Tran/Aspuru                        
#OPERATOR:                   ,Stanley                            
#REMARK:                     ,                                   
#SAMPLE:                     ,PS-F2                              
#SAMPLE MASS /mg:            ,5.39                               
#MATERIAL:                   ,                                   
#REFERENCE:                  ,                                   
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#DSC RANGE /‘V:              ,5000                               
#TG RANGE /mg:               ,35000                              
#TAU-R:                      ,---                                
#CORR. CODE:                 ,000                                
#EXO:                        ,-1                                 
#RANGE:                      ,20›C....800›C/0.0....20.0K/min     
#SEGMENT:                    ,S1-4/4                             
#SEG. 1:                     ,20›C/5.0(K/min)/100›C              
#SEG. 2:                     ,100›C/00:05/100›C                  
#SEG. 3:                     ,100›C/1.0(K/min)/400›C             
#SEG. 4:                     ,400›C/20.0(K/min)/800›C            

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 30.22100,  0.00000,      0.59479,100.00000,50.00000,37.00000,            ,0.92359,1
 30.32100,  0.06667,      0.53654, 99.94323,50.00000,37.00000,2.027626e-10,0.92359,1
 30.37600,  0.13333,      0.48366, 99.90965,50.00000,37.00000,2.017574e-10,0.92361,1
 30.46600,  0.20000,      0.43645, 99.85714,50.00000,37.00000,2.017574e-10,0.92361,1
 30.54300,  0.26667,      0.39476, 99.80056,50.00000,37.00000,2.023067e-10,0.92362,1
 30.62300,  0.33333,      0.35905, 99.80056,50.00000,37.00000,2.023067e-10,0.92362,1
 30.69400,  0.40000,      0.32641, 99.77532,50.00000,37.00000,2.023067e-10,0.92362,1
 30.78100,  0.46667,      0.29759, 99.77532,50.00000,37.00000,2.023983e-10,0.92364,1
 30.90200,  0.53333,      0.27276, 99.77532,50.00000,37.00000,2.023983e-10,0.92364,1
 30.93300,  0.60000,      0.24947, 99.75009,50.00000,37.00000,2.028561e-10,0.92365,1
 31.01000,  0.66667,      0.23154, 99.75009,50.00000,37.00000,2.028561e-10,0.92365,1
 31.07500,  0.73333,      0.21422, 99.75009,50.00000,37.00000,2.028561e-10,0.92365,1
 31.16100,  0.80000,      0.19828, 99.75009,50.00000,37.00000,2.028561e-10,0.92365,1
 31.22600,  0.86667,      0.18786, 99.75009,50.00000,37.00000,2.022801e-10,0.92367,1
 31.29700,  0.93333,      0.17514, 99.75009,50.00000,36.00000,2.022801e-10,0.92367,1
 31.38800,  1.00000,      0.16533, 99.75009,50.00000,36.00000,2.022801e-10,0.92367,1
 31.46500,  1.06667,      0.15536, 99.75009,50.00000,36.00000,2.022801e-10,0.92367,1
 31.54100,  1.13333,      0.14755, 99.75009,50.00000,36.00000,2.022743e-10,0.92368,1
