#EXPORTTYPE:                 ,DATA ALL                             
#FILE:                       ,2025_02_22_005d-L2-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                             
#FTYPE:                      ,ASCII                                
#IDENTITY:                   ,005d-L2                              
#DECIMAL:                    ,POINT                                
#SEPARATOR:                  ,COMMA                                
#MTYPE:                      ,DSC                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                    
#PROJECT:                    ,PS                                   
#DATE/TIME:                  ,2/22/2025 6:43:46 PM (UTC-5)         
#CORR. FILE:                 ,                                     
#TEMPCAL:                    ,13-11-2024 10:37                     
#SENSITIVITY:                ,28-06-2023 13:53                     
#LABORATORY:                 ,Tran/Aspuru                          
#OPERATOR:                   ,Stanley                              
#REMARK:                     ,                                     
#SAMPLE:                     ,005d-L2                              
#SAMPLE MASS /mg:            ,5.19                                 
#MATERIAL:                   ,                                     
#REFERENCE:                  ,                                     
#REFERENCE MASS /mg:         ,0                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                    
#DSC RANGE /‘V:              ,5000                                 
#TG RANGE /mg:               ,35000                                
#TAU-R:                      ,---                                  
#CORR. CODE:                 ,000                                  
#EXO:                        ,-1                                   
#RANGE:                      ,20›C....800›C/0.0....20.0K/min       
#SEGMENT:                    ,S1-4/4                               
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:05/100›C                    
#SEG. 3:                     ,100›C/1.0(K/min)/400›C               
#SEG. 4:                     ,400›C/20.0(K/min)/800›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 42.28000,  0.00000,      1.50634,   100.00000,50.00000,37.00000,            ,0.92534,1
 42.45200,  0.06667,      1.35174,    99.88439,50.00000,37.00000,1.899719e-10,0.92534,1
 42.59900,  0.13333,      1.21224,    99.80597,50.00000,37.00000,1.902218e-10,0.92535,1
 42.73900,  0.20000,      1.09038,    99.72524,50.00000,37.00000,1.902218e-10,0.92535,1
 42.89300,  0.26667,      0.97869,    99.68382,50.00000,37.00000,1.899090e-10,0.92537,1
 43.01100,  0.33333,      0.88067,    99.59672,50.00000,37.00000,1.899090e-10,0.92537,1
 43.13000,  0.40000,      0.79281,    99.54432,50.00000,37.00000,1.899090e-10,0.92537,1
 43.25000,  0.46667,      0.71497,    99.48767,50.00000,37.00000,1.903515e-10,0.92538,1
 43.35100,  0.53333,      0.64364,    99.42447,50.00000,37.00000,1.903515e-10,0.92538,1
 43.47000,  0.60000,      0.58248,    99.39827,50.00000,37.00000,1.896057e-10,0.92540,1
 43.57600,  0.66667,      0.52703,    99.37225,50.00000,37.00000,1.896057e-10,0.92540,1
 43.66000,  0.73333,      0.47525,    99.33083,50.00000,37.00000,1.896057e-10,0.92540,1
 43.74300,  0.80000,      0.42902,    99.28940,50.00000,37.00000,1.895084e-10,0.92541,1
 43.81700,  0.86667,      0.38836,    99.23044,50.00000,37.00000,1.895084e-10,0.92541,1
 43.90900,  0.93333,      0.35087,    99.20424,50.00000,37.00000,1.895084e-10,0.92541,1
 43.99100,  1.00000,      0.31671,    99.17823,50.00000,37.00000,1.892280e-10,0.92542,1
 44.06000,  1.06667,      0.28590,    99.12582,50.00000,37.00000,1.892280e-10,0.92542,1
 44.12600,  1.13333,      0.26033,    99.12582,50.00000,37.00000,1.892280e-10,0.92542,1
 44.21600,  1.20000,      0.23412,    99.07360,50.00000,37.00000,1.892280e-10,0.92542,1
 44.24400,  1.26667,      0.21204,    99.04740,50.00000,37.00000,1.896229e-10,0.92544,1
 44.31000,  1.33333,      0.19028,    99.02119,50.00000,37.00000,1.896229e-10,0.92544,1
 44.41600,  1.40000,      0.17026,    99.00809,50.00000,37.00000,1.896229e-10,0.92544,1
 44.40900,  1.46667,      0.15311,    98.96455,50.00000,37.00000,1.893081e-10,0.92545,1
 44.46100,  1.53333,      0.13611,    71.56166,50.00000,37.00000,1.893081e-10,0.92545,1
