#EXPORTTYPE:                 ,DATA ALL                           
#FILE:                       ,2025_02_22_PS-F4-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                           
#FTYPE:                      ,ASCII                              
#IDENTITY:                   ,PS-F4                              
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                  
#PROJECT:                    ,PS                                 
#DATE/TIME:                  ,2/22/2025 12:04:15 PM (UTC-5)      
#CORR. FILE:                 ,                                   
#TEMPCAL:                    ,13-11-2024 10:37                   
#SENSITIVITY:                ,28-06-2023 13:53                   
#LABORATORY:                 ,Tran/Aspuru                        
#OPERATOR:                   ,Stanley                            
#REMARK:                     ,                                   
#SAMPLE:                     ,PS-F4                              
#SAMPLE MASS /mg:            ,5.35                               
#MATERIAL:                   ,                                   
#REFERENCE:                  ,                                   
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#DSC RANGE /‘V:              ,5000                               
#TG RANGE /mg:               ,35000                              
#TAU-R:                      ,---                                
#CORR. CODE:                 ,000                                
#EXO:                        ,-1                                 
#RANGE:                      ,20›C....800›C/0.0....20.0K/min     
#SEGMENT:                    ,S1-4/4                             
#SEG. 1:                     ,20›C/5.0(K/min)/100›C              
#SEG. 2:                     ,100›C/00:05/100›C                  
#SEG. 3:                     ,100›C/1.0(K/min)/400›C             
#SEG. 4:                     ,400›C/20.0(K/min)/800›C            

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 37.03700,  0.00000,      0.97914,    100.00000,50.00000,35.00000,            ,0.92470,1
 37.09800,  0.06667,      0.90248,     99.97028,50.00000,35.00000,1.917057e-10,0.92470,1
 37.23200,  0.13333,      0.83137,     99.91533,50.00000,35.00000,1.907863e-10,0.92470,1
 37.32000,  0.20000,      0.76628,     99.88150,50.00000,35.00000,1.907863e-10,0.92470,1
 37.42300,  0.26667,      0.70628,     99.81813,50.00000,35.00000,1.906242e-10,0.92472,1
 37.54300,  0.33333,      0.65507,     99.79271,50.00000,35.00000,1.906242e-10,0.92472,1
 37.65100,  0.40000,      0.60495,     99.76729,50.00000,35.00000,1.906242e-10,0.92472,1
 37.75100,  0.46667,      0.56130,     99.74187,50.00000,35.00000,1.908073e-10,0.92473,1
 37.84500,  0.53333,      0.52089,     99.71664,50.00000,35.00000,1.908073e-10,0.92473,1
 37.92000,  0.60000,      0.48511,     99.71028,50.00000,35.00000,1.909790e-10,0.92475,1
 38.00900,  0.66667,      0.45133,     99.69121,50.00000,34.00000,1.909790e-10,0.92475,1
 38.12300,  0.73333,      0.42234,     99.68486,50.00000,34.00000,1.909790e-10,0.92475,1
 38.19600,  0.80000,      0.39335,     99.65308,50.00000,34.00000,1.904850e-10,0.92477,1
 38.28400,  0.86667,      0.36852,     99.64037,50.00000,34.00000,1.904850e-10,0.92477,1
 38.38100,  0.93333,      0.34415,     99.61514,50.00000,34.00000,1.900997e-10,0.92478,1
 38.43300,  1.00000,      0.32271,     99.61514,50.00000,34.00000,1.900997e-10,0.92478,1
 38.52000,  1.06667,      0.30190,     99.58972,50.00000,34.00000,1.900997e-10,0.92478,1
 38.60300,  1.13333,      0.28385,     99.58972,50.00000,34.00000,1.911373e-10,0.92479,1
