#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_02_25_005d-L3-isothermal-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,005d-L3                                 
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,2/25/2025 4:41:59 PM (UTC-5)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,                                        
#SAMPLE:                     ,005d-L3                                 
#SAMPLE MASS /mg:            ,5.17                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,30›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:10/100›C                       
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                  
#SEG. 4:                     ,300›C/20:00/300›C                       
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 30.46600,   0.00000,      0.74533,    100.00000,50.00000,50.00000,            ,0.92364,1
 30.61400,   0.04000,      0.72630,     99.97369,50.00000,50.00000,1.981735e-10,0.92364,1
 30.75000,   0.08000,      0.70838,     99.89052,50.00000,50.00000,1.981735e-10,0.92364,1
 30.87200,   0.12000,      0.69111,     99.84894,50.00000,50.00000,1.984272e-10,0.92367,1
 31.01000,   0.16000,      0.67512,     99.77679,50.00000,50.00000,1.984272e-10,0.92367,1
 31.14300,   0.20000,      0.66168,     99.74836,50.00000,50.00000,1.984272e-10,0.92367,1
 31.27000,   0.24000,      0.64585,     99.71760,50.00000,50.00000,1.984272e-10,0.92367,1
 31.38900,   0.28000,      0.63354,     99.71760,50.00000,50.00000,1.987190e-10,0.92369,1
 31.51500,   0.32000,      0.61931,     99.71760,50.00000,50.00000,1.987190e-10,0.92369,1
 31.64000,   0.36000,      0.60859,     99.71760,50.00000,50.00000,1.987190e-10,0.92369,1
 31.77600,   0.40000,      0.59691,     99.71760,50.00000,50.00000,1.987190e-10,0.92369,1
 31.90300,   0.44000,      0.58556,     99.71760,50.00000,50.00000,1.979789e-10,0.92371,1
 32.02400,   0.48000,      0.57884,     99.71103,50.00000,50.00000,1.979789e-10,0.92371,1
 32.17800,   0.52000,      0.57099,     99.71103,50.00000,50.00000,1.979789e-10,0.92371,1
 32.28800,   0.56000,      0.56555,     99.69149,50.00000,50.00000,1.979789e-10,0.92371,1
 32.42300,   0.60000,      0.55899,     99.72205,50.00000,50.00000,1.985874e-10,0.92374,1
 32.56400,   0.64000,      0.55482,     99.72205,50.00000,50.00000,1.985874e-10,0.92374,1
 32.71300,   0.68000,      0.55257,     99.72205,50.00000,50.00000,1.985874e-10,0.92374,1
 32.84000,   0.72000,      0.54921,     99.74836,50.00000,50.00000,1.985874e-10,0.92374,1
 32.98200,   0.76000,      0.54823,     99.76809,50.00000,50.00000,1.985874e-10,0.92374,1
 33.11600,   0.80000,      0.55077,     99.80522,50.00000,50.00000,1.985874e-10,0.92374,1
 33.27600,   0.84000,      0.55204,     99.83153,50.00000,50.00000,1.981831e-10,0.92376,1
 33.41300,   0.88000,      0.55426,     99.85764,50.00000,50.00000,1.981831e-10,0.92376,1
 33.55800,   0.92000,      0.55744,     99.87969,50.00000,50.00000,1.981831e-10,0.92376,1
 33.69700,   0.96000,      0.56014,     99.91896,50.00000,50.00000,1.981831e-10,0.92376,1
 33.85700,   1.00000,      0.56428,     99.94971,50.00000,50.00000,1.981831e-10,0.92376,1
 34.00500,   1.04000,      0.56937,     99.98685,50.00000,50.00000,1.981831e-10,0.92376,1
 34.16300,   1.08000,      0.57526,    100.04584,50.00000,50.00000,1.987323e-10,0.92378,1
 34.34000,   1.12000,      0.58387,    100.04584,50.00000,50.00000,1.987323e-10,0.92378,1
 34.50400,   1.16000,      0.59008,    100.09632,50.00000,50.00000,1.987323e-10,0.92378,1
 34.66100,   1.20000,      0.59693,    100.13791,50.00000,50.00000,1.987323e-10,0.92378,1
 34.82100,   1.24000,      0.60298,     70.52379,50.00000,50.00000,1.982365e-10,0.92381,1
 34.99600,   1.28000,      0.61126,     76.20251,50.00000,50.00000,1.982365e-10,0.92381,1
 35.15600,   1.32000,      0.61763,     82.61857,50.00000,50.00000,1.982365e-10,0.92381,1
 35.33800,   1.36000,      0.62799,     86.00600,50.00000,50.00000,1.982365e-10,0.92381,1
 35.51100,   1.40000,      0.63499,     87.37582,50.00000,50.00000,1.982365e-10,0.92381,1
 35.68000,   1.44000,      0.64519,     88.27950,50.00000,50.00000,1.980896e-10,0.92383,1
 35.86300,   1.48000,      0.65315,     89.31238,50.00000,50.00000,1.980896e-10,0.92383,1
 36.03100,   1.52000,      0.66271,     90.22708,50.00000,50.00000,1.980896e-10,0.92383,1
 36.21700,   1.56000,      0.67259,     90.95145,50.00000,50.00000,1.980896e-10,0.92383,1
 36.39900,   1.60000,      0.68007,     91.54874,50.00000,50.00000,1.982460e-10,0.92385,1
 36.58700,   1.64000,      0.68995,     91.98646,50.00000,50.00000,1.982460e-10,0.92385,1
 36.77900,   1.68000,      0.69902,     92.37389,50.00000,50.00000,1.982460e-10,0.92385,1
 36.95600,   1.72000,      0.70587,     92.64739,50.00000,50.00000,1.982460e-10,0.92385,1
 37.15300,   1.76000,      0.71510,     93.24700,50.00000,50.00000,1.984176e-10,0.92387,1
 37.34600,   1.80000,      0.72434,     93.50735,50.00000,50.00000,1.984176e-10,0.92387,1
 37.52300,   1.84000,      0.73405,     93.41103,50.00000,50.00000,1.984176e-10,0.92387,1
 37.71800,   1.88000,      0.74217,     93.33675,50.00000,50.00000,1.984176e-10,0.92387,1
 37.91700,   1.92000,      0.75268,     93.26654,50.00000,50.00000,1.986943e-10,0.92389,1
 38.12500,   1.96000,      0.76048,     93.24043,50.00000,50.00000,1.986943e-10,0.92389,1
 38.31500,   2.00000,      0.77115,     93.21412,50.00000,50.00000,1.986943e-10,0.92389,1
 38.49900,   2.04000,      0.78006,     93.18356,50.00000,50.00000,1.986943e-10,0.92389,1
 38.71500,   2.08000,      0.78977,     93.15725,50.00000,50.00000,1.980762e-10,0.92392,1
 38.92400,   2.12000,      0.79693,     93.15725,50.00000,50.00000,1.980762e-10,0.92392,1
 39.11600,   2.16000,      0.80632,     93.13095,50.00000,50.00000,1.980762e-10,0.92392,1
 39.33500,   2.20000,      0.81587,     93.10464,50.00000,50.00000,1.980762e-10,0.92392,1
 39.53400,   2.24000,      0.82510,     93.07408,50.00000,50.00000,1.977272e-10,0.92394,1
 39.74900,   2.28000,      0.83369,     93.01934,50.00000,50.00000,1.977272e-10,0.92394,1
 39.95800,   2.32000,      0.84340,     93.01277,50.00000,50.00000,1.977272e-10,0.92394,1
 40.17500,   2.36000,      0.85087,     93.03250,50.00000,50.00000,1.977272e-10,0.92394,1
 40.38200,   2.40000,      0.86026,     93.03907,50.00000,50.00000,1.984844e-10,0.92396,1
 40.60000,   2.44000,      0.87124,     93.06538,50.00000,50.00000,1.984844e-10,0.92396,1
 40.82400,   2.48000,      0.88015,     93.09149,50.00000,50.00000,1.984844e-10,0.92396,1
 41.04300,   2.52000,      0.89002,     93.11779,50.00000,50.00000,1.984844e-10,0.92396,1
 41.26200,   2.56000,      0.89797,     93.11779,50.00000,50.00000,1.977214e-10,0.92398,1
 41.49400,   2.60000,      0.90927,     93.11779,50.00000,50.00000,1.977214e-10,0.92398,1
 41.71000,   2.64000,      0.91929,     93.14410,50.00000,50.00000,1.977214e-10,0.92398,1
 41.94400,   2.68000,      0.92867,     93.15725,50.00000,50.00000,1.977214e-10,0.92398,1
 42.16300,   2.72000,      0.93950,     93.19226,50.00000,50.00000,1.980743e-10,0.92401,1
 42.40800,   2.76000,      0.94952,     93.23153,50.00000,50.00000,1.980743e-10,0.92401,1
 42.63000,   2.80000,      0.96129,     93.26015,50.00000,50.00000,1.980743e-10,0.92401,1
 42.87900,   2.84000,      0.97163,     93.28627,50.00000,50.00000,1.980743e-10,0.92401,1
 43.10800,   2.88000,      0.98277,     93.31257,50.00000,50.00000,1.980743e-10,0.92401,1
 43.35900,   2.92000,      0.99502,     93.31915,50.00000,50.00000,1.983471e-10,0.92403,1
 43.58800,   2.96000,      1.00536,     93.33888,50.00000,50.00000,1.983471e-10,0.92403,1
 43.84100,   3.00000,      1.01825,     93.36731,50.00000,50.00000,1.983471e-10,0.92403,1
 44.10000,   3.04000,      1.02987,     93.39787,50.00000,50.00000,1.983471e-10,0.92403,1
 44.33400,   3.08000,      1.04276,     93.42631,50.00000,50.00000,1.989841e-10,0.92405,1
