#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2025_02_26_PS-F4-isothermal-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS-F4                                 
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,PS                                    
#DATE/TIME:                  ,2/26/2025 5:36:53 PM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,13-11-2024 10:37                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/Aspuru                           
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,PS-F4                                 
#SAMPLE MASS /mg:            ,5.24                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,                                      
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,30›C....800›C/0.0....20.0K/min        
#SEGMENT:                    ,S1-5/5                                
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:10/100›C                     
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                
#SEG. 4:                     ,300›C/20:00/300›C                     
#SEG. 5:                     ,300›C/20.0(K/min)/800›C               

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.70400,   0.00000,      0.37641,    100.00000,50.00000,50.00000,            ,0.92331,1
 28.77400,   0.04000,      0.36442,     99.98053,50.00000,50.00000,2.062168e-10,0.92331,1
 28.87000,   0.08000,      0.35196,     99.98053,50.00000,50.00000,2.062168e-10,0.92331,1
 28.92700,   0.12000,      0.34360,     99.97405,50.00000,50.00000,2.064781e-10,0.92332,1
 29.02000,   0.16000,      0.33413,     99.94389,50.00000,50.00000,2.064781e-10,0.92332,1
 29.11200,   0.20000,      0.32561,     99.89198,50.00000,50.00000,2.064781e-10,0.92332,1
 29.16700,   0.24000,      0.31614,     99.92233,50.00000,50.00000,2.064781e-10,0.92332,1
 29.25700,   0.28000,      0.31062,     99.85973,50.00000,50.00000,2.057095e-10,0.92334,1
 29.32800,   0.32000,      0.30383,     99.89427,50.00000,50.00000,2.057095e-10,0.92334,1
 29.40300,   0.36000,      0.29800,     99.86183,50.00000,50.00000,2.057095e-10,0.92334,1
 29.49400,   0.40000,      0.29531,     99.86183,50.00000,50.00000,2.057095e-10,0.92334,1
 29.57000,   0.44000,      0.29215,     99.93302,50.00000,50.00000,2.065601e-10,0.92335,1
 29.65800,   0.48000,      0.28947,     99.95897,50.00000,50.00000,2.065601e-10,0.92335,1
 29.74800,   0.52000,      0.28993,     99.95897,50.00000,50.00000,2.065601e-10,0.92335,1
 29.83600,   0.56000,      0.29151,     99.98931,50.00000,50.00000,2.065601e-10,0.92335,1
 29.93300,   0.60000,      0.29276,    100.01737,50.00000,50.00000,2.065677e-10,0.92337,1
 30.02000,   0.64000,      0.29591,    100.04542,50.00000,50.00000,2.065677e-10,0.92337,1
 30.13200,   0.68000,      0.30174,    100.09714,50.00000,50.00000,2.065677e-10,0.92337,1
 30.22900,   0.72000,      0.30788,    100.13168,50.00000,50.00000,2.065677e-10,0.92337,1
 30.35300,   0.76000,      0.31528,    100.16202,50.00000,50.00000,2.061730e-10,0.92339,1
 30.45500,   0.80000,      0.32331,    100.23531,50.00000,50.00000,2.061730e-10,0.92339,1
 30.57100,   0.84000,      0.33134,     71.48550,50.00000,50.00000,2.061730e-10,0.92339,1
 30.68200,   0.88000,      0.34158,     79.15439,50.00000,50.00000,2.061730e-10,0.92339,1
 30.79000,   0.92000,      0.35419,     84.53702,50.00000,50.00000,2.070236e-10,0.92340,1
 30.92900,   0.96000,      0.36442,     86.68740,50.00000,50.00000,2.070236e-10,0.92340,1
 31.05000,   1.00000,      0.37718,     87.91584,50.00000,50.00000,2.070236e-10,0.92340,1
 31.17600,   1.04000,      0.39151,     89.21985,50.00000,50.00000,2.070236e-10,0.92340,1
 31.31700,   1.08000,      0.40585,     90.88244,50.00000,50.00000,2.070236e-10,0.92340,1
 31.46000,   1.12000,      0.42049,     91.42653,50.00000,50.00000,2.062149e-10,0.92341,1
 31.58800,   1.16000,      0.43498,     91.78492,50.00000,50.00000,2.062149e-10,0.92341,1
 31.75800,   1.20000,      0.45230,     92.23187,50.00000,50.00000,2.062149e-10,0.92341,1
 31.88100,   1.24000,      0.46805,     92.67443,50.00000,50.00000,2.062149e-10,0.92341,1
 32.06600,   1.28000,      0.48474,     93.00897,50.00000,50.00000,2.062244e-10,0.92343,1
 32.22700,   1.32000,      0.50080,     93.25954,50.00000,50.00000,2.062244e-10,0.92343,1
 32.37000,   1.36000,      0.51907,     93.41489,50.00000,50.00000,2.062244e-10,0.92343,1
 32.54700,   1.40000,      0.53670,     93.54447,50.00000,50.00000,2.062244e-10,0.92343,1
 32.71100,   1.44000,      0.55433,     93.61355,50.00000,50.00000,2.057362e-10,0.92344,1
 32.89000,   1.48000,      0.57164,     93.69122,50.00000,50.00000,2.057362e-10,0.92344,1
 33.07300,   1.52000,      0.58959,     93.72366,50.00000,50.00000,2.057362e-10,0.92344,1
 33.23400,   1.56000,      0.60722,     93.75382,50.00000,50.00000,2.057362e-10,0.92344,1
 33.44300,   1.60000,      0.62279,     93.78416,50.00000,50.00000,2.064228e-10,0.92346,1
 33.61300,   1.64000,      0.64152,     93.81011,50.00000,50.00000,2.064228e-10,0.92346,1
 33.82200,   1.68000,      0.66056,     93.84027,50.00000,50.00000,2.064228e-10,0.92346,1
 34.00600,   1.72000,      0.67850,     93.89218,50.00000,50.00000,2.064228e-10,0.92346,1
 34.21000,   1.76000,      0.69486,     93.92882,50.00000,50.00000,2.069626e-10,0.92347,1
 34.40200,   1.80000,      0.71248,     93.95687,50.00000,50.00000,2.069626e-10,0.92347,1
 34.60200,   1.84000,      0.73057,     93.98282,50.00000,50.00000,2.069626e-10,0.92347,1
 34.85500,   1.88000,      0.74660,     93.98282,50.00000,50.00000,2.069626e-10,0.92347,1
 35.03500,   1.92000,      0.76438,     94.00859,50.00000,50.00000,2.061252e-10,0.92349,1
 35.23300,   1.96000,      0.78089,     94.00859,50.00000,50.00000,2.061252e-10,0.92349,1
 35.45500,   2.00000,      0.79567,     94.00859,50.00000,50.00000,2.061252e-10,0.92349,1
 35.66900,   2.04000,      0.81217,     94.01508,50.00000,50.00000,2.061252e-10,0.92349,1
 35.88300,   2.08000,      0.82884,     94.03454,50.00000,50.00000,2.060051e-10,0.92351,1
 36.10900,   2.12000,      0.84487,     94.06260,50.00000,50.00000,2.060051e-10,0.92351,1
 36.35200,   2.16000,      0.85996,     94.08855,50.00000,50.00000,2.060051e-10,0.92351,1
 36.57700,   2.20000,      0.87489,     94.10802,50.00000,50.00000,2.060051e-10,0.92351,1
 36.79100,   2.24000,      0.89045,     94.11450,50.00000,50.00000,2.059060e-10,0.92352,1
 37.03700,   2.28000,      0.90569,     94.14046,50.00000,50.00000,2.059060e-10,0.92352,1
 37.26600,   2.32000,      0.91936,     94.16622,50.00000,50.00000,2.059060e-10,0.92352,1
 37.50500,   2.36000,      0.93397,     94.19656,50.00000,50.00000,2.059060e-10,0.92352,1
 37.74000,   2.40000,      0.94858,     94.22252,50.00000,50.00000,2.059060e-10,0.92352,1
 37.96600,   2.44000,      0.96350,     94.25267,50.00000,50.00000,2.064876e-10,0.92354,1
 38.22900,   2.48000,      0.97574,     94.27863,50.00000,50.00000,2.064876e-10,0.92354,1
 38.47100,   2.52000,      0.98909,     94.30439,50.00000,50.00000,2.064876e-10,0.92354,1
 38.72500,   2.56000,      1.00527,     94.30439,50.00000,50.00000,2.064876e-10,0.92354,1
 38.95600,   2.60000,      1.01846,     94.30439,50.00000,50.00000,2.062912e-10,0.92356,1
 39.23300,   2.64000,      1.03306,     94.30439,50.00000,50.00000,2.062912e-10,0.92356,1
 39.47700,   2.68000,      1.04751,     94.33034,50.00000,50.00000,2.062912e-10,0.92356,1
 39.72500,   2.72000,      1.06117,     94.37347,50.00000,50.00000,2.062912e-10,0.92356,1
 39.99100,   2.76000,      1.07498,     94.39294,50.00000,50.00000,2.060490e-10,0.92358,1
 40.23900,   2.80000,      1.08880,     94.43187,50.00000,50.00000,2.060490e-10,0.92358,1
 40.51000,   2.84000,      1.10308,     94.46641,50.00000,50.00000,2.060490e-10,0.92358,1
 40.78200,   2.88000,      1.11658,     94.49447,50.00000,50.00000,2.060490e-10,0.92358,1
 41.04400,   2.92000,      1.13133,     94.52462,50.00000,50.00000,2.068024e-10,0.92360,1
 41.32100,   2.96000,      1.14562,     94.54408,50.00000,50.00000,2.068024e-10,0.92360,1
 41.59600,   3.00000,      1.16053,     94.56355,50.00000,50.00000,2.068024e-10,0.92360,1
 41.87000,   3.04000,      1.17402,     94.60897,50.00000,50.00000,2.068024e-10,0.92360,1
 42.16500,   3.08000,      1.18909,     94.63912,50.00000,50.00000,2.061958e-10,0.92362,1
 42.43600,   3.12000,      1.20431,     94.66718,50.00000,50.00000,2.061958e-10,0.92362,1
 42.73200,   3.16000,      1.22032,     94.69523,50.00000,50.00000,2.061958e-10,0.92362,1
 42.99400,   3.20000,      1.23476,     94.72118,50.00000,50.00000,2.061958e-10,0.92362,1
 43.31400,   3.24000,      1.24951,     94.75782,50.00000,50.00000,2.053661e-10,0.92364,1
 43.60600,   3.28000,      1.26536,     94.78817,50.00000,50.00000,2.053661e-10,0.92364,1
 43.90200,   3.32000,      1.28042,     94.80744,50.00000,50.00000,2.053661e-10,0.92364,1
 44.19200,   3.36000,      1.29738,     94.83340,50.00000,50.00000,2.053661e-10,0.92364,1
 44.50100,   3.40000,      1.31275,     94.85935,50.00000,50.00000,2.061882e-10,0.92366,1
 44.81800,   3.44000,      1.32923,     94.88531,50.00000,50.00000,2.061882e-10,0.92366,1
 45.12800,   3.48000,      1.34602,     94.91107,50.00000,50.00000,2.061882e-10,0.92366,1
 45.41800,   3.52000,      1.36297,     94.94141,50.00000,50.00000,2.061882e-10,0.92366,1
 45.74300,   3.56000,      1.37803,     94.96947,50.00000,50.00000,2.063217e-10,0.92368,1
 46.05800,   3.60000,      1.39687,     95.03645,50.00000,50.00000,2.063217e-10,0.92368,1
 46.39200,   3.64000,      1.41382,     95.06450,50.00000,50.00000,2.063217e-10,0.92368,1
 46.71600,   3.68000,      1.43155,     95.09027,50.00000,50.00000,2.063217e-10,0.92368,1
 47.03800,   3.72000,      1.44928,     95.11622,50.00000,50.00000,2.063217e-10,0.92368,1
 47.37700,   3.76000,      1.46686,     95.14427,50.00000,50.00000,2.057799e-10,0.92370,1
 47.70600,   3.80000,      1.48444,     95.17462,50.00000,50.00000,2.057799e-10,0.92370,1
 48.03000,   3.84000,      1.50374,     95.20038,50.00000,50.00000,2.057799e-10,0.92370,1
 48.39200,   3.88000,      1.52085,     95.24370,50.00000,50.00000,2.057799e-10,0.92370,1
 48.73300,   3.92000,      1.54015,     95.28893,50.00000,50.00000,2.058239e-10,0.92372,1
 49.07000,   3.96000,      1.55930,     95.31698,50.00000,50.00000,2.058239e-10,0.92372,1
 49.42100,   4.00000,      1.57703,     95.34294,50.00000,50.00000,2.058239e-10,0.92372,1
 49.78200,   4.04000,      1.59540,     95.34943,50.00000,50.00000,2.058239e-10,0.92372,1
 50.15000,   4.08000,      1.61580,     95.40344,50.00000,50.00000,2.068691e-10,0.92374,1
 50.49300,   4.12000,      1.63275,     95.43359,50.00000,50.00000,2.068691e-10,0.92374,1
 50.85500,   4.16000,      1.65316,     95.47462,50.00000,50.00000,2.068691e-10,0.92374,1
 51.22700,   4.20000,      1.67215,     95.52214,50.00000,50.00000,2.068691e-10,0.92374,1
 51.59600,   4.24000,      1.69130,     95.55668,50.00000,50.00000,2.066803e-10,0.92377,1
 51.96900,   4.28000,      1.70935,     95.58263,50.00000,50.00000,2.066803e-10,0.92377,1
 52.34400,   4.32000,      1.72803,     95.61279,50.00000,50.00000,2.066803e-10,0.92377,1
 52.70000,   4.36000,      1.74782,     95.65382,50.00000,50.00000,2.066803e-10,0.92377,1
 53.09500,   4.40000,      1.76744,     95.69924,50.00000,50.00000,2.062415e-10,0.92379,1
 53.48100,   4.44000,      1.78644,     95.72939,50.00000,50.00000,2.062415e-10,0.92379,1
 53.87500,   4.48000,      1.80387,     95.76622,50.00000,50.00000,2.062415e-10,0.92379,1
 54.25400,   4.52000,      1.82475,     95.79847,50.00000,50.00000,2.062415e-10,0.92379,1
 54.63300,   4.56000,      1.84391,     95.81584,50.00000,50.00000,2.063141e-10,0.92382,1
 55.02900,   4.60000,      1.86213,     95.84809,50.00000,50.00000,2.063141e-10,0.92382,1
 55.44500,   4.64000,      1.88082,     95.89351,50.00000,50.00000,2.063141e-10,0.92382,1
 55.84200,   4.68000,      1.90029,     95.90859,50.00000,50.00000,2.063141e-10,0.92382,1
 56.24000,   4.72000,      1.91836,     95.95191,50.00000,50.00000,2.062206e-10,0.92384,1
 56.64900,   4.76000,      1.93784,     95.98645,50.00000,50.00000,2.062206e-10,0.92384,1
 57.05000,   4.80000,      1.95575,     95.99924,50.00000,50.00000,2.062206e-10,0.92384,1
 57.47100,   4.84000,      1.97382,     96.01221,50.00000,50.00000,2.062206e-10,0.92384,1
 57.87800,   4.88000,      1.99315,     96.03817,50.00000,50.00000,2.066021e-10,0.92387,1
 58.29300,   4.92000,      2.01075,     96.06622,50.00000,50.00000,2.066021e-10,0.92387,1
 58.69900,   4.96000,      2.02899,     96.09656,50.00000,50.00000,2.066021e-10,0.92387,1
 59.12700,   5.00000,      2.04691,     96.12462,50.00000,50.00000,2.066021e-10,0.92387,1
 59.55700,   5.04000,      2.06436,     96.15038,50.00000,50.00000,2.059154e-10,0.92389,1
 59.96400,   5.08000,      2.08244,     96.18073,50.00000,50.00000,2.059154e-10,0.92389,1
 60.39300,   5.12000,      2.10022,     96.24122,50.00000,50.00000,2.059154e-10,0.92389,1
 60.85100,   5.16000,      2.11799,     96.27137,50.00000,50.00000,2.059154e-10,0.92389,1
 61.25400,   5.20000,      2.13482,     96.29733,50.00000,50.00000,2.061519e-10,0.92392,1
 61.68500,   5.24000,      2.15119,     96.29733,50.00000,50.00000,2.061519e-10,0.92392,1
 62.12300,   5.28000,      2.16835,     96.29733,50.00000,50.00000,2.061519e-10,0.92392,1
 62.56800,   5.32000,      2.18661,     96.34256,50.00000,50.00000,2.061519e-10,0.92392,1
 63.01000,   5.36000,      2.20267,     96.37710,50.00000,50.00000,2.061519e-10,0.92392,1
 63.43600,   5.40000,      2.21889,     96.40515,50.00000,50.00000,2.061691e-10,0.92395,1
 63.88900,   5.44000,      2.23637,     96.43550,50.00000,50.00000,2.061691e-10,0.92395,1
 64.33000,   5.48000,      2.25244,     96.46565,50.00000,50.00000,2.061691e-10,0.92395,1
 64.78000,   5.52000,      2.26993,     96.49160,50.00000,50.00000,2.061691e-10,0.92395,1
 65.21800,   5.56000,      2.28711,     96.50458,50.00000,50.00000,2.067299e-10,0.92397,1
 65.66100,   5.60000,      2.30209,     96.51756,50.00000,50.00000,2.067299e-10,0.92397,1
 66.11600,   5.64000,      2.31724,     96.53053,50.00000,50.00000,2.067299e-10,0.92397,1
 66.57300,   5.68000,      2.33302,     96.54332,50.00000,50.00000,2.067299e-10,0.92397,1
 67.00500,   5.72000,      2.34864,     96.54981,50.00000,50.00000,2.063789e-10,0.92400,1
