#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_02_27_005d-L4-isothermal-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,005d-L4                                 
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,2/27/2025 4:02:02 PM (UTC-5)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,                                        
#SAMPLE:                     ,005d-L4                                 
#SAMPLE MASS /mg:            ,5.06                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-4/4                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                  
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.25900,  0.00000,      0.99113,    100.00000,50.00000,43.00000,            ,0.92341,1
 29.76100,  0.06667,      0.97291,     99.74071,50.00000,43.00000,2.155685e-10,0.92341,1
 30.23600,  0.13333,      0.94735,     99.52609,50.00000,42.00000,2.156696e-10,0.92351,1
 30.66400,  0.20000,      0.91429,     99.35395,50.00000,42.00000,2.156696e-10,0.92351,1
 31.06000,  0.26667,      0.87782,     99.17727,50.00000,42.00000,2.156715e-10,0.92360,1
 31.44600,  0.33333,      0.83663,     99.03874,50.00000,42.00000,2.156715e-10,0.92360,1
 31.79300,  0.40000,      0.79610,     98.88656,50.00000,42.00000,2.156715e-10,0.92360,1
 32.15900,  0.46667,      0.75786,     98.76581,50.00000,42.00000,2.151127e-10,0.92368,1
 32.46900,  0.53333,      0.71816,     98.64071,50.00000,42.00000,2.151127e-10,0.92368,1
 32.80200,  0.60000,      0.67831,     98.53557,50.00000,42.00000,2.155380e-10,0.92375,1
 33.08900,  0.66667,      0.64091,     98.41028,50.00000,42.00000,2.155380e-10,0.92375,1
 33.38000,  0.73333,      0.60563,     98.34328,50.00000,42.00000,2.155380e-10,0.92375,1
 33.64500,  0.80000,      0.57379,     98.26957,50.00000,42.00000,2.154903e-10,0.92382,1
 33.91600,  0.86667,      0.54162,     98.17787,50.00000,42.00000,2.154903e-10,0.92382,1
 34.17600,  0.93333,      0.51028,     98.09071,50.00000,42.00000,2.157058e-10,0.92388,1
 34.42900,  1.00000,      0.48155,     98.01462,50.00000,42.00000,2.157058e-10,0.92388,1
 34.67600,  1.06667,      0.45526,     97.94763,50.00000,42.00000,2.157058e-10,0.92388,1
 34.89300,  1.13333,      0.42948,     97.87154,50.00000,42.00000,2.157345e-10,0.92394,1
 35.11200,  1.20000,      0.40516,     97.80217,50.00000,42.00000,2.157345e-10,0.92394,1
 35.34600,  1.26667,      0.38166,     97.75079,50.00000,42.00000,2.155304e-10,0.92399,1
 35.51900,  1.33333,      0.36044,     97.70375,50.00000,42.00000,2.155304e-10,0.92399,1
 35.73800,  1.40000,      0.33939,     97.61897,50.00000,42.00000,2.155304e-10,0.92399,1
