#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_03_08_SL_005F_J3_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,2025_03_08_SL_005F_J3_i                 
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,3/8/2025 5:04:34 PM (UTC-5)             
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_08_SL_005F_J3_isothermal        
#SAMPLE:                     ,2025_03_08_SL_005F_J3_i                 
#SAMPLE MASS /mg:            ,5.02                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,30›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:10/100›C                       
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                  
#SEG. 4:                     ,300›C/20:00/300›C                       
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.74000,   0.00000,      0.13273,100.00000,50.00000,50.00000,            ,0.92404,1
 32.79900,   0.04000,      0.13043, 99.97988,50.00000,50.00000,2.045269e-10,0.92404,1
 32.83100,   0.08000,      0.12631, 99.97311,50.00000,50.00000,2.045269e-10,0.92404,1
 32.87500,   0.12000,      0.12385, 99.95279,50.00000,50.00000,2.045593e-10,0.92405,1
 32.94900,   0.16000,      0.12105, 99.94382,50.00000,50.00000,2.045593e-10,0.92405,1
 32.98000,   0.20000,      0.11940, 99.91454,50.00000,50.00000,2.045593e-10,0.92405,1
 33.01900,   0.24000,      0.11611, 99.88745,50.00000,50.00000,2.045593e-10,0.92405,1
 33.06900,   0.28000,      0.11529, 99.88745,50.00000,50.00000,2.039013e-10,0.92405,1
 33.11500,   0.32000,      0.11447, 99.85817,50.00000,50.00000,2.039013e-10,0.92405,1
 33.17100,   0.36000,      0.11381, 99.83108,50.00000,50.00000,2.039013e-10,0.92405,1
 33.23000,   0.40000,      0.11463, 99.83108,50.00000,50.00000,2.039013e-10,0.92405,1
 33.28300,   0.44000,      0.11677, 99.86713,50.00000,50.00000,2.040596e-10,0.92406,1
 33.34100,   0.48000,      0.11874, 99.89422,50.00000,50.00000,2.040596e-10,0.92406,1
 33.39700,   0.52000,      0.12170, 99.89422,50.00000,50.00000,2.040596e-10,0.92406,1
 33.46900,   0.56000,      0.12564, 99.89422,50.00000,50.00000,2.040596e-10,0.92406,1
 33.53400,   0.60000,      0.12926, 99.89422,50.00000,50.00000,2.044429e-10,0.92407,1
 33.60100,   0.64000,      0.13452, 99.91454,50.00000,50.00000,2.044429e-10,0.92407,1
 33.68200,   0.68000,      0.14011, 99.93466,50.00000,50.00000,2.044429e-10,0.92407,1
 33.74800,   0.72000,      0.14603, 99.97988,50.00000,50.00000,2.044429e-10,0.92407,1
 33.83000,   0.76000,      0.15211,100.00677,50.00000,50.00000,2.045288e-10,0.92408,1
