#EXPORTTYPE:                 ,DATA ALL                             
#FILE:                       ,2025_03_10_SL_005F_J1_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                             
#FTYPE:                      ,ASCII                                
#IDENTITY:                   ,2025_03_10_SL_005F_J1                
#DECIMAL:                    ,POINT                                
#SEPARATOR:                  ,COMMA                                
#MTYPE:                      ,DSC                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                    
#PROJECT:                    ,PS                                   
#DATE/TIME:                  ,3/10/2025 11:24:03 AM (UTC-4)        
#CORR. FILE:                 ,                                     
#TEMPCAL:                    ,13-11-2024 10:37                     
#SENSITIVITY:                ,28-06-2023 13:53                     
#LABORATORY:                 ,Tran/Aspuru                          
#OPERATOR:                   ,Stanley                              
#REMARK:                     ,                                     
#SAMPLE:                     ,2025_03_10_SL_005F_J1                
#SAMPLE MASS /mg:            ,5.05                                 
#MATERIAL:                   ,                                     
#REFERENCE:                  ,                                     
#REFERENCE MASS /mg:         ,0                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                    
#DSC RANGE /‘V:              ,5000                                 
#TG RANGE /mg:               ,35000                                
#TAU-R:                      ,---                                  
#CORR. CODE:                 ,000                                  
#EXO:                        ,-1                                   
#RANGE:                      ,20›C....800›C/0.0....20.0K/min       
#SEGMENT:                    ,S1-4/4                               
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:05/100›C                    
#SEG. 3:                     ,100›C/1.0(K/min)/400›C               
#SEG. 4:                     ,400›C/20.0(K/min)/800›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.91300,  0.00000, 3.270435e-02,100.00000,50.00000,48.00000,            ,0.92390,1
 31.95400,  0.06667, 3.074186e-02, 99.97307,50.00000,48.00000,2.034816e-10,0.92390,1
 31.97400,  0.13333, 2.747134e-02, 99.97307,50.00000,48.00000,2.034912e-10,0.92390,1
 32.02000,  0.20000, 2.698055e-02, 99.95960,50.00000,48.00000,2.034912e-10,0.92390,1
 32.04500,  0.26667, 2.469118e-02, 99.94634,50.00000,48.00000,2.040424e-10,0.92391,1
 32.07000,  0.33333, 2.534513e-02, 99.92614,50.00000,48.00000,2.040424e-10,0.92391,1
 32.11200,  0.40000, 2.567196e-02, 99.95743,50.00000,48.00000,2.040424e-10,0.92391,1
 32.14200,  0.46667, 2.714346e-02,100.08733,50.00000,48.00000,2.042904e-10,0.92391,1
 32.17900,  0.53333, 2.730678e-02,100.11426,50.00000,48.00000,2.042904e-10,0.92391,1
 32.24100,  0.60000, 2.975915e-02,100.15010,50.00000,48.00000,2.040673e-10,0.92392,1
 32.25900,  0.66667, 3.270225e-02,100.11881,50.00000,48.00000,2.040673e-10,0.92392,1
 32.29700,  0.73333, 3.433712e-02,100.04257,50.00000,48.00000,2.040673e-10,0.92392,1
 32.33300,  0.80000, 3.809760e-02, 99.97762,50.00000,48.00000,2.034664e-10,0.92392,1
 32.38600,  0.86667, 4.136738e-02, 99.95069,50.00000,48.00000,2.034664e-10,0.92392,1
 32.42900,  0.93333, 4.300211e-02, 99.92376,50.00000,48.00000,2.037659e-10,0.92393,1
 32.48300,  1.00000, 4.627178e-02, 99.89248,50.00000,48.00000,2.037659e-10,0.92393,1
 32.52600,  1.06667, 4.954148e-02, 99.84535,50.00000,48.00000,2.037659e-10,0.92393,1
 32.59000,  1.13333, 5.101241e-02, 99.81188,50.00000,48.00000,2.040940e-10,0.92394,1
 32.63500,  1.20000, 5.313750e-02, 99.78495,50.00000,48.00000,2.040940e-10,0.92394,1
 32.69000,  1.26667, 5.428146e-02, 99.75802,50.00000,48.00000,1.972237e-10,0.92394,1
 32.73100,  1.33333, 5.624302e-02, 99.69525,50.00000,48.00000,1.972237e-10,0.92394,1
 32.77700,  1.40000, 5.755052e-02, 99.59901,50.00000,48.00000,1.972237e-10,0.92394,1
 32.82200,  1.46667, 5.869451e-02, 99.59901,50.00000,48.00000,1.973572e-10,0.92395,1
 32.87300,  1.53333, 5.902095e-02, 99.59901,50.00000,48.00000,1.973572e-10,0.92395,1
 32.91900,  1.60000, 6.032840e-02, 99.59228,50.00000,48.00000,1.967373e-10,0.92396,1
 32.95000,  1.66667, 5.967410e-02, 99.56535,50.00000,48.00000,1.967373e-10,0.92396,1
 32.99900,  1.73333, 6.032753e-02, 99.56535,50.00000,48.00000,1.967373e-10,0.92396,1
 33.07000,  1.80000, 5.983630e-02, 99.53861,50.00000,48.00000,1.973419e-10,0.92396,1
 33.08600,  1.86667, 5.967265e-02, 99.51168,50.00000,48.00000,1.973419e-10,0.92396,1
 33.14700,  1.93333, 5.950851e-02, 99.51168,50.00000,48.00000,1.969223e-10,0.92397,1
 33.19200,  2.00000, 5.869062e-02, 99.48475,50.00000,48.00000,1.969223e-10,0.92397,1
 33.22200,  2.06667, 5.836334e-02, 99.45782,50.00000,48.00000,1.969223e-10,0.92397,1
 33.26600,  2.13333, 5.770896e-02, 99.40178,50.00000,48.00000,1.970958e-10,0.92398,1
 33.30000,  2.20000, 5.705469e-02, 99.39505,50.00000,48.00000,1.970958e-10,0.92398,1
 33.35100,  2.26667, 5.623678e-02, 99.39505,50.00000,48.00000,1.974907e-10,0.92398,1
 33.38700,  2.33333, 5.639990e-02, 99.37505,50.00000,48.00000,1.974907e-10,0.92398,1
 33.44300,  2.40000, 5.656282e-02, 99.37505,50.00000,48.00000,1.972237e-10,0.92399,1
 33.48400,  2.46667, 5.754326e-02, 99.34812,50.00000,48.00000,1.972237e-10,0.92399,1
 33.52500,  2.53333, 5.672548e-02, 99.34812,50.00000,48.00000,1.972237e-10,0.92399,1
 33.56900,  2.60000, 5.803282e-02, 99.32119,50.00000,48.00000,1.966724e-10,0.92400,1
 33.62000,  2.66667, 5.884966e-02, 99.32119,50.00000,48.00000,1.966724e-10,0.92400,1
 33.66400,  2.73333, 6.048391e-02, 99.29208,50.00000,48.00000,1.977310e-10,0.92401,1
 33.73800,  2.80000, 6.326208e-02, 99.29208,50.00000,48.00000,1.977310e-10,0.92401,1
 33.77900,  2.86667, 6.489629e-02, 99.26515,50.00000,48.00000,1.977310e-10,0.92401,1
