#EXPORTTYPE:                 ,DATA ALL                             
#FILE:                       ,2025_03_11_SL_005F_J3_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                             
#FTYPE:                      ,ASCII                                
#IDENTITY:                   ,2025_03_11_SL_005F_J3                
#DECIMAL:                    ,POINT                                
#SEPARATOR:                  ,COMMA                                
#MTYPE:                      ,DSC                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                    
#PROJECT:                    ,PS                                   
#DATE/TIME:                  ,3/11/2025 2:28:48 PM (UTC-4)         
#CORR. FILE:                 ,                                     
#TEMPCAL:                    ,13-11-2024 10:37                     
#SENSITIVITY:                ,28-06-2023 13:53                     
#LABORATORY:                 ,Tran/Aspuru                          
#OPERATOR:                   ,Stanley                              
#REMARK:                     ,2025_03_11_SL_005F_J3_dynamic        
#SAMPLE:                     ,2025_03_11_SL_005F_J3                
#SAMPLE MASS /mg:            ,5.02                                 
#MATERIAL:                   ,Polystyrene                          
#REFERENCE:                  ,                                     
#REFERENCE MASS /mg:         ,0                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                    
#DSC RANGE /‘V:              ,5000                                 
#TG RANGE /mg:               ,35000                                
#TAU-R:                      ,---                                  
#CORR. CODE:                 ,000                                  
#EXO:                        ,-1                                   
#RANGE:                      ,20›C....800›C/0.0....20.0K/min       
#SEGMENT:                    ,S1-4/4                               
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                
#SEG. 2:                     ,100›C/00:05/100›C                    
#SEG. 3:                     ,100›C/1.0(K/min)/400›C               
#SEG. 4:                     ,400›C/20.0(K/min)/800›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 34.41600,  0.00000,      0.11822,100.00000,50.00000,51.00000,            ,0.92431,1
 34.46400,  0.06667,      0.11214, 99.94602,50.00000,51.00000,2.090187e-10,0.92431,1
 34.50700,  0.13333,      0.10556, 99.83108,50.00000,51.00000,2.087268e-10,0.92432,1
 34.55400,  0.20000,      0.10079, 99.72052,50.00000,51.00000,2.087268e-10,0.92432,1
 34.63000,  0.26667, 9.569230e-02, 99.63944,50.00000,51.00000,2.091103e-10,0.92432,1
 34.66800,  0.33333, 9.256773e-02, 99.59442,50.00000,51.00000,2.091103e-10,0.92432,1
 34.72600,  0.40000, 8.927849e-02, 99.56514,50.00000,51.00000,2.091103e-10,0.92432,1
 34.78000,  0.46667, 8.549612e-02, 99.53805,50.00000,51.00000,2.094517e-10,0.92433,1
 34.82100,  0.53333, 8.483788e-02, 99.60797,50.00000,51.00000,2.094517e-10,0.92433,1
 34.88700,  0.60000, 8.286400e-02, 99.54482,50.00000,51.00000,2.097110e-10,0.92434,1
 34.93400,  0.66667, 8.171248e-02, 99.51335,50.00000,51.00000,2.097110e-10,0.92434,1
 34.98300,  0.73333, 8.006771e-02, 99.48625,50.00000,51.00000,2.097110e-10,0.92434,1
 35.03700,  0.80000, 7.908055e-02, 99.45916,50.00000,51.00000,2.098960e-10,0.92435,1
 35.09100,  0.86667, 7.825781e-02, 99.43207,50.00000,51.00000,2.098960e-10,0.92435,1
 35.14900,  0.93333, 7.809266e-02, 99.37570,50.00000,51.00000,2.092762e-10,0.92436,1
 35.18100,  1.00000, 7.628380e-02, 99.34880,50.00000,51.00000,2.092762e-10,0.92436,1
 35.24800,  1.06667, 7.546095e-02, 99.30598,50.00000,51.00000,2.092762e-10,0.92436,1
 35.30200,  1.13333, 7.332306e-02, 99.29243,50.00000,51.00000,2.094421e-10,0.92436,1
 35.33000,  1.20000, 7.266512e-02, 99.23825,50.00000,51.00000,2.094421e-10,0.92436,1
 35.38600,  1.26667, 7.069167e-02, 99.22470,50.00000,51.00000,2.097873e-10,0.92437,1
 35.43000,  1.33333, 6.855399e-02, 99.18426,50.00000,51.00000,2.097873e-10,0.92437,1
 35.47800,  1.40000, 6.658070e-02, 99.15717,50.00000,51.00000,2.097873e-10,0.92437,1
 35.51200,  1.46667, 6.411440e-02, 99.13008,50.00000,51.00000,2.097778e-10,0.92438,1
 35.55100,  1.53333, 6.263444e-02, 99.07151,50.00000,51.00000,2.097778e-10,0.92438,1
 35.58900,  1.60000, 6.000376e-02, 99.01753,50.00000,51.00000,2.091561e-10,0.92439,1
 35.64100,  1.66667, 5.803055e-02, 98.98147,50.00000,51.00000,2.091561e-10,0.92439,1
 35.67200,  1.73333, 5.572877e-02, 98.95438,50.00000,51.00000,2.091561e-10,0.92439,1
 35.70700,  1.80000, 5.342699e-02, 98.92510,50.00000,51.00000,2.090263e-10,0.92440,1
 35.75300,  1.86667, 5.063198e-02, 98.89801,50.00000,51.00000,2.090263e-10,0.92440,1
 35.75900,  1.93333, 4.833048e-02, 98.86195,50.00000,51.00000,2.098847e-10,0.92440,1
 35.82200,  2.00000, 4.586417e-02, 98.83486,50.00000,51.00000,2.098847e-10,0.92440,1
 35.84700,  2.06667, 4.257625e-02, 98.78765,50.00000,51.00000,2.098847e-10,0.92440,1
 35.88300,  2.13333, 4.043899e-02, 98.76056,50.00000,51.00000,2.091998e-10,0.92441,1
 35.91700,  2.20000, 3.731545e-02, 98.73127,50.00000,51.00000,2.091998e-10,0.92441,1
 35.95300,  2.26667, 3.402755e-02, 98.70418,50.00000,51.00000,2.088986e-10,0.92442,1
 35.99000,  2.33333, 3.221913e-02, 98.67709,50.00000,51.00000,2.088986e-10,0.92442,1
 36.00800,  2.40000, 2.860262e-02, 98.63665,50.00000,51.00000,2.087345e-10,0.92443,1
 36.04600,  2.46667, 2.695863e-02, 98.55319,50.00000,51.00000,2.087345e-10,0.92443,1
 36.07000,  2.53333, 2.399967e-02, 98.52610,50.00000,51.00000,2.087345e-10,0.92443,1
 36.09600,  2.60000, 2.268452e-02, 98.50578,50.00000,51.00000,2.089958e-10,0.92444,1
 36.13100,  2.66667, 1.956118e-02, 98.47211,50.00000,51.00000,2.089958e-10,0.92444,1
 36.14400,  2.73333, 1.709545e-02, 98.44502,50.00000,51.00000,2.091598e-10,0.92444,1
 36.16000,  2.80000, 1.446535e-02, 98.41116,50.00000,51.00000,2.091598e-10,0.92444,1
 36.20200,  2.86667, 1.265710e-02, 98.36155,50.00000,51.00000,2.091598e-10,0.92444,1
 36.22000,  2.93333, 1.183517e-02, 98.36155,50.00000,51.00000,2.092895e-10,0.92445,1
 36.23700,  3.00000, 9.698241e-03, 98.33466,50.00000,51.00000,2.092895e-10,0.92445,1
 36.25900,  3.06667, 8.547572e-03, 98.30757,50.00000,51.00000,2.088356e-10,0.92446,1
 36.29400,  3.13333, 8.054399e-03, 98.25339,50.00000,51.00000,2.088356e-10,0.92446,1
 36.31300,  3.20000, 9.040625e-03, 98.24442,50.00000,51.00000,2.088356e-10,0.92446,1
 36.34200,  3.26667, 8.383087e-03, 98.24442,50.00000,51.00000,2.094631e-10,0.92446,1
 36.37700,  3.33333, 1.035552e-02, 98.24442,50.00000,51.00000,2.094631e-10,0.92446,1
 36.40200,  3.40000, 1.199921e-02, 98.24442,50.00000,51.00000,2.102279e-10,0.92447,1
