#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_03_14_SL_005D_L1_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,2025_03_14_SL_005D_L1                   
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,3/14/2025 2:00:32 PM (UTC-4)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_14_SL_005D_L1_isothermal        
#SAMPLE:                     ,2025_03_14_SL_005D_L1                   
#SAMPLE MASS /mg:            ,5.01                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,30›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:10/100›C                       
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                  
#SEG. 4:                     ,300›C/20:00/300›C                       
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.49700,   0.00000,-9.262295e-02,100.00000,50.00000,52.00000,            ,0.92400,1
 32.52600,   0.04000,-9.245765e-02, 99.91637,50.00000,52.00000,2.293625e-10,0.92400,1
 32.57100,   0.08000,-9.278651e-02, 99.85768,50.00000,52.00000,2.293625e-10,0.92400,1
 32.58900,   0.12000,-9.278620e-02, 99.88024,50.00000,52.00000,2.296048e-10,0.92400,1
 32.61600,   0.16000,-9.196172e-02, 99.81936,50.00000,52.00000,2.296048e-10,0.92400,1
 32.64100,   0.20000,-9.113727e-02, 99.83273,50.00000,52.00000,2.296048e-10,0.92400,1
 32.67100,   0.24000,-9.047756e-02, 99.83952,50.00000,52.00000,2.296048e-10,0.92400,1
 32.71400,   0.28000,-9.130087e-02, 99.83952,50.00000,52.00000,2.301292e-10,0.92401,1
 32.73300,   0.32000,-9.195976e-02, 99.81257,50.00000,52.00000,2.301292e-10,0.92401,1
 32.77500,   0.36000,-8.998145e-02, 99.93673,50.00000,52.00000,2.301292e-10,0.92401,1
 32.81900,   0.40000,-9.047513e-02,100.04291,50.00000,52.00000,2.301292e-10,0.92401,1
 32.85700,   0.44000,-8.965052e-02,100.03613,50.00000,52.00000,2.300091e-10,0.92401,1
 32.89200,   0.48000,-8.948516e-02,100.01577,50.00000,52.00000,2.300091e-10,0.92401,1
 32.93600,   0.52000,-8.964924e-02, 99.99541,50.00000,52.00000,2.300091e-10,0.92401,1
 32.98600,   0.56000,-8.816529e-02, 99.98862,50.00000,52.00000,2.300091e-10,0.92401,1
 33.03200,   0.60000,-8.832935e-02, 99.98862,50.00000,52.00000,2.299194e-10,0.92402,1
 33.07700,   0.64000,-8.783427e-02,100.01577,50.00000,52.00000,2.299194e-10,0.92402,1
 33.14200,   0.68000,-8.832762e-02,100.04291,50.00000,52.00000,2.299194e-10,0.92402,1
 33.20000,   0.72000,-8.783234e-02,100.04950,50.00000,52.00000,2.299194e-10,0.92402,1
 33.27200,   0.76000,-8.733686e-02,100.06986,50.00000,52.00000,2.299194e-10,0.92402,1
 33.32300,   0.80000,-8.684171e-02,100.10160,50.00000,52.00000,2.304478e-10,0.92402,1
 33.40500,   0.84000,-8.651089e-02,100.10160,50.00000,52.00000,2.304478e-10,0.92402,1
 33.48100,   0.88000,-8.634495e-02,100.10160,50.00000,52.00000,2.304478e-10,0.92402,1
 33.54700,   0.92000,-8.766218e-02,100.13094,50.00000,52.00000,2.304478e-10,0.92402,1
 33.63500,   0.96000,-8.617785e-02,100.22794,50.00000,52.00000,2.292575e-10,0.92403,1
 33.72300,   1.00000,-8.667084e-02,100.38164,50.00000,52.00000,2.292575e-10,0.92403,1
 33.81300,   1.04000,-8.535132e-02,100.39501,50.00000,52.00000,2.292575e-10,0.92403,1
 33.89400,   1.08000,-8.567966e-02,100.39501,50.00000,52.00000,2.292575e-10,0.92403,1
 33.99100,   1.12000,-8.485440e-02,100.42216,50.00000,52.00000,2.299213e-10,0.92403,1
 34.11700,   1.16000,-8.402875e-02,100.42216,50.00000,52.00000,2.299213e-10,0.92403,1
 34.21100,   1.20000,-8.402740e-02,100.45150,50.00000,52.00000,2.299213e-10,0.92403,1
 34.32400,   1.24000,-8.336676e-02,100.50339,50.00000,52.00000,2.299213e-10,0.92403,1
 34.44800,   1.28000,-8.320025e-02,100.54411,50.00000,52.00000,2.294255e-10,0.92404,1
 34.56200,   1.32000,-8.122166e-02,100.61417,50.00000,52.00000,2.294255e-10,0.92404,1
 34.67600,   1.36000,-8.171434e-02,100.64132,50.00000,52.00000,2.294255e-10,0.92404,1
 34.80000,   1.40000,-8.055945e-02,100.64132,50.00000,52.00000,2.294255e-10,0.92404,1
 34.94400,   1.44000,-8.022805e-02,100.67285,50.00000,52.00000,2.302418e-10,0.92404,1
 35.08400,   1.48000,-7.742569e-02,100.73832,50.00000,52.00000,2.302418e-10,0.92404,1
 35.22100,   1.52000,-7.956547e-02,100.76766,50.00000,52.00000,2.302418e-10,0.92404,1
 35.35800,   1.56000,-7.906951e-02,100.80599,50.00000,52.00000,2.302418e-10,0.92404,1
 35.49500,   1.60000,-7.923247e-02,100.86707,50.00000,52.00000,2.298850e-10,0.92405,1
 35.66100,   1.64000,-7.692428e-02,100.91896,50.00000,52.00000,2.298850e-10,0.92405,1
 35.81500,   1.68000,-7.692238e-02,100.97764,50.00000,52.00000,2.298850e-10,0.92405,1
 35.97100,   1.72000,-7.823818e-02,101.03413,50.00000,52.00000,2.298850e-10,0.92405,1
 36.12500,   1.76000,-7.691861e-02,101.10858,50.00000,52.00000,2.303238e-10,0.92406,1
 36.28300,   1.80000,-7.543438e-02,101.23054,50.00000,52.00000,2.303238e-10,0.92406,1
 36.44900,   1.84000,-7.395014e-02,101.19681,50.00000,52.00000,2.303238e-10,0.92406,1
 36.61600,   1.88000,-7.444232e-02,101.19681,50.00000,52.00000,2.303238e-10,0.92406,1
 36.77900,   1.92000,-7.213478e-02,101.23054,50.00000,52.00000,2.295551e-10,0.92406,1
 36.96200,   1.96000,-7.262683e-02,101.30519,50.00000,52.00000,2.295551e-10,0.92406,1
 37.14500,   2.00000,-7.196610e-02,101.33673,50.00000,52.00000,2.295551e-10,0.92406,1
 37.32600,   2.04000,-7.130545e-02,101.37066,50.00000,52.00000,2.295551e-10,0.92406,1
 37.50500,   2.08000,-7.031552e-02,101.46766,50.00000,52.00000,2.296257e-10,0.92407,1
 37.67400,   2.12000,-6.916109e-02,101.50160,50.00000,52.00000,2.296257e-10,0.92407,1
 37.87300,   2.16000,-6.915909e-02,101.50160,50.00000,52.00000,2.296257e-10,0.92407,1
 38.05900,   2.20000,-6.800462e-02,101.50160,50.00000,52.00000,2.296257e-10,0.92407,1
 38.26600,   2.24000,-6.734399e-02,101.52874,50.00000,52.00000,2.303562e-10,0.92408,1
 38.48000,   2.28000,-6.651870e-02,101.56028,50.00000,52.00000,2.303562e-10,0.92408,1
 38.66600,   2.32000,-6.618768e-02,101.58743,50.00000,52.00000,2.303562e-10,0.92408,1
 38.84300,   2.36000,-6.552749e-02,101.61457,50.00000,52.00000,2.303562e-10,0.92408,1
 39.06700,   2.40000,-6.420839e-02,101.64152,50.00000,52.00000,2.305202e-10,0.92409,1
 39.27300,   2.44000,-6.371270e-02,101.66188,50.00000,52.00000,2.305202e-10,0.92409,1
 39.48500,   2.48000,-6.305238e-02,101.70259,50.00000,52.00000,2.305202e-10,0.92409,1
 39.70800,   2.52000,-6.173353e-02,101.73413,50.00000,52.00000,2.305202e-10,0.92409,1
 39.91100,   2.56000,-6.156727e-02,101.77944,50.00000,52.00000,2.296829e-10,0.92409,1
 40.12300,   2.60000,-6.074251e-02,101.82894,50.00000,52.00000,2.296829e-10,0.92409,1
 40.34900,   2.64000,-5.827161e-02,101.85828,50.00000,52.00000,2.296829e-10,0.92409,1
 40.57800,   2.68000,-5.761151e-02,101.89002,50.00000,52.00000,2.296829e-10,0.92409,1
 40.80200,   2.72000,-5.678690e-02,101.91717,50.00000,52.00000,2.296829e-10,0.92409,1
 41.02600,   2.76000,-5.662074e-02,101.98024,50.00000,52.00000,2.296887e-10,0.92410,1
 41.25900,   2.80000,-5.513782e-02,102.00739,50.00000,52.00000,2.296887e-10,0.92410,1
 41.47100,   2.84000,-5.398431e-02,102.00739,50.00000,52.00000,2.296887e-10,0.92410,1
 41.74100,   2.88000,-5.250135e-02,102.03453,50.00000,52.00000,2.296887e-10,0.92410,1
 41.97200,   2.92000,-5.101875e-02,102.06387,50.00000,52.00000,2.309380e-10,0.92411,1
 42.20800,   2.96000,-5.068822e-02,102.09541,50.00000,52.00000,2.309380e-10,0.92411,1
 42.46200,   3.00000,-4.904108e-02,102.16547,50.00000,52.00000,2.309380e-10,0.92411,1
 42.71900,   3.04000,-4.805230e-02,102.16547,50.00000,52.00000,2.309380e-10,0.92411,1
 42.95300,   3.08000,-4.624092e-02,102.19481,50.00000,52.00000,2.302323e-10,0.92413,1
 43.21300,   3.12000,-4.525230e-02,102.22655,50.00000,52.00000,2.302323e-10,0.92413,1
 43.46000,   3.16000,-4.459291e-02,102.27385,50.00000,52.00000,2.302323e-10,0.92413,1
 43.71900,   3.20000,-4.212353e-02,102.32136,50.00000,52.00000,2.302323e-10,0.92413,1
 43.98300,   3.24000,-4.113514e-02,102.35070,50.00000,52.00000,2.293968e-10,0.92413,1
 44.25500,   3.28000,-3.981773e-02,102.42735,50.00000,52.00000,2.293968e-10,0.92413,1
 44.51200,   3.32000,-3.817139e-02,102.45908,50.00000,52.00000,2.293968e-10,0.92413,1
 44.79200,   3.36000,-3.636055e-02,102.52675,50.00000,52.00000,2.293968e-10,0.92413,1
 45.06600,   3.40000,-3.520794e-02,102.56527,50.00000,52.00000,2.293759e-10,0.92415,1
 45.39800,   3.44000,-3.306812e-02,102.62156,50.00000,52.00000,2.293759e-10,0.92415,1
 45.61900,   3.48000,-3.191585e-02,102.65090,50.00000,52.00000,2.293759e-10,0.92415,1
 45.91100,   3.52000,-2.994089e-02,102.70060,50.00000,52.00000,2.293759e-10,0.92415,1
 46.20000,   3.56000,-2.829507e-02,102.76387,50.00000,52.00000,2.296486e-10,0.92416,1
 46.48900,   3.60000,-2.664935e-02,102.80459,50.00000,52.00000,2.296486e-10,0.92416,1
 46.79600,   3.64000,-2.385221e-02,102.84750,50.00000,52.00000,2.296486e-10,0.92416,1
 47.09400,   3.68000,-2.154871e-02,102.89261,50.00000,52.00000,2.296486e-10,0.92416,1
 47.40200,   3.72000,-2.006778e-02,102.94691,50.00000,52.00000,2.296448e-10,0.92417,1
 47.67700,   3.76000,-1.809351e-02,102.99880,50.00000,52.00000,2.296448e-10,0.92417,1
 48.00700,   3.80000,-1.595479e-02,103.04172,50.00000,52.00000,2.296448e-10,0.92417,1
 48.31400,   3.84000,-1.447413e-02,103.06208,50.00000,52.00000,2.296448e-10,0.92417,1
 48.66500,   3.88000,-1.167770e-02,103.06866,50.00000,52.00000,2.301940e-10,0.92418,1
 48.95600,   3.92000,-1.085511e-02,103.12515,50.00000,52.00000,2.301940e-10,0.92418,1
 49.27700,   3.96000,-8.058927e-03,103.16128,50.00000,52.00000,2.301940e-10,0.92418,1
 49.58200,   4.00000,-5.756264e-03,103.18842,50.00000,52.00000,2.301940e-10,0.92418,1
 49.91900,   4.04000,-4.111532e-03,103.22455,50.00000,52.00000,2.302913e-10,0.92420,1
 50.25300,   4.08000,-1.809038e-03,103.28104,50.00000,52.00000,2.302913e-10,0.92420,1
 50.60200,   4.12000,-3.289094e-04,103.33972,50.00000,52.00000,2.302913e-10,0.92420,1
 50.92900,   4.16000, 3.289035e-03,103.39401,50.00000,52.00000,2.302913e-10,0.92420,1
 51.28000,   4.20000, 5.262360e-03,103.42555,50.00000,52.00000,2.302913e-10,0.92420,1
 51.64700,   4.24000, 7.071166e-03,103.47066,50.00000,52.00000,2.300586e-10,0.92421,1
 51.97200,   4.28000, 1.035992e-02,103.51597,50.00000,52.00000,2.300586e-10,0.92421,1
 52.32000,   4.32000, 1.183972e-02,103.54750,50.00000,52.00000,2.300586e-10,0.92421,1
 52.67700,   4.36000, 1.512830e-02,103.57904,50.00000,52.00000,2.300586e-10,0.92421,1
 53.03900,   4.40000, 1.743018e-02,103.60619,50.00000,52.00000,2.297668e-10,0.92423,1
 53.38800,   4.44000, 1.792325e-02,103.63333,50.00000,52.00000,2.297668e-10,0.92423,1
 53.75400,   4.48000, 2.055392e-02,103.67166,50.00000,52.00000,2.297668e-10,0.92423,1
 54.13500,   4.52000, 2.236238e-02,103.73952,50.00000,52.00000,2.297668e-10,0.92423,1
 54.48900,   4.56000, 2.581512e-02,103.76647,50.00000,52.00000,2.297974e-10,0.92424,1
 54.85600,   4.60000, 2.828124e-02,103.79581,50.00000,52.00000,2.297974e-10,0.92424,1
 55.24000,   4.64000, 3.074732e-02,103.79581,50.00000,52.00000,2.297974e-10,0.92424,1
 55.61900,   4.68000, 3.255571e-02,103.83194,50.00000,52.00000,2.297974e-10,0.92424,1
 56.00600,   4.72000, 3.551504e-02,103.90200,50.00000,52.00000,2.296829e-10,0.92426,1
 56.38300,   4.76000, 3.748785e-02,103.93134,50.00000,52.00000,2.296829e-10,0.92426,1
 56.76500,   4.80000, 4.011835e-02,103.96068,50.00000,52.00000,2.296829e-10,0.92426,1
