#EXPORTTYPE:                 ,DATA ALL                                      
#FILE:                       ,2025_03_19_SL_005F_J1_isothermal_run_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                      
#FTYPE:                      ,ASCII                                         
#IDENTITY:                   ,2025_03_19_SL_005F_J1_i                       
#DECIMAL:                    ,POINT                                         
#SEPARATOR:                  ,COMMA                                         
#MTYPE:                      ,DSC                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                             
#PROJECT:                    ,PS                                            
#DATE/TIME:                  ,3/19/2025 2:59:33 PM (UTC-4)                  
#CORR. FILE:                 ,                                              
#TEMPCAL:                    ,13-11-2024 10:37                              
#SENSITIVITY:                ,28-06-2023 13:53                              
#LABORATORY:                 ,Tran/Aspuru                                   
#OPERATOR:                   ,Stanley                                       
#REMARK:                     ,2025_03_19_SL_005F_J1_isothermal_run_2        
#SAMPLE:                     ,2025_03_19_SL_005F_J1_i                       
#SAMPLE MASS /mg:            ,5.01                                          
#MATERIAL:                   ,Polystyrene                                   
#REFERENCE:                  ,                                              
#REFERENCE MASS /mg:         ,0                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                             
#DSC RANGE /‘V:              ,5000                                          
#TG RANGE /mg:               ,35000                                         
#TAU-R:                      ,---                                           
#CORR. CODE:                 ,000                                           
#EXO:                        ,-1                                            
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                
#SEGMENT:                    ,S1-5/5                                        
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                        
#SEG. 2:                     ,100›C/00:10/100›C                             
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                        
#SEG. 4:                     ,300›C/20:00/300›C                             
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.14600,   0.00000,-2.455374e-02,100.00000,50.00000,43.00000,            ,0.92410,1
 33.17500,   0.04000,-2.686067e-02,101.28263,50.00000,50.00000,2.739086e-10,0.92410,1
 33.18900,   0.08000,-2.653102e-02,101.43613,50.00000,50.00000,2.739086e-10,0.92410,1
 33.23200,   0.12000,-2.850827e-02,101.43613,50.00000,50.00000,2.736016e-10,0.92411,1
 33.25900,   0.16000,-2.949686e-02,101.19222,50.00000,50.00000,2.736016e-10,0.92411,1
 33.27700,   0.20000,-2.883762e-02,100.73832,50.00000,50.00000,2.736016e-10,0.92411,1
 33.32600,   0.24000,-2.900215e-02,100.04731,50.00000,50.00000,2.736016e-10,0.92411,1
 33.34200,   0.28000,-3.048513e-02, 99.18244,50.00000,50.00000,2.734947e-10,0.92411,1
 33.38700,   0.32000,-3.032010e-02, 98.62914,50.00000,50.00000,2.734947e-10,0.92411,1
 33.39300,   0.36000,-3.048485e-02, 98.23413,50.00000,50.00000,2.734947e-10,0.92411,1
 33.43600,   0.40000,-3.015506e-02, 97.69880,50.00000,50.00000,2.734947e-10,0.92411,1
 33.48900,   0.44000,-2.982522e-02, 97.44830,50.00000,50.00000,2.733059e-10,0.92412,1
 33.52400,   0.48000,-2.900114e-02, 97.41437,50.00000,50.00000,2.733059e-10,0.92412,1
 33.56200,   0.52000,-2.801228e-02, 97.48882,50.00000,50.00000,2.733059e-10,0.92412,1
 33.62200,   0.56000,-2.735288e-02, 97.54750,50.00000,50.00000,2.733059e-10,0.92412,1
 33.66400,   0.60000,-2.619925e-02, 97.62435,50.00000,50.00000,2.733670e-10,0.92412,1
 33.72300,   0.64000,-2.405693e-02, 97.75090,50.00000,50.00000,2.733670e-10,0.92412,1
 33.76300,   0.68000,-2.273858e-02, 97.87944,50.00000,50.00000,2.733670e-10,0.92412,1
 33.81800,   0.72000,-2.043157e-02, 98.01277,50.00000,50.00000,2.733670e-10,0.92412,1
 33.88800,   0.76000,-1.795979e-02, 98.11657,50.00000,50.00000,2.733440e-10,0.92413,1
 33.93600,   0.80000,-1.515860e-02, 98.27924,50.00000,50.00000,2.733440e-10,0.92413,1
 34.01100,   0.84000,-1.252216e-02, 98.37625,50.00000,50.00000,2.733440e-10,0.92413,1
 34.08100,   0.88000,-8.567690e-03, 98.47126,50.00000,50.00000,2.733440e-10,0.92413,1
 34.15200,   0.92000,-5.931406e-03, 98.57285,50.00000,50.00000,2.733307e-10,0.92413,1
 34.23900,   0.96000,-2.636141e-03, 98.61796,50.00000,50.00000,2.733307e-10,0.92413,1
 34.30900,   1.00000, 1.812325e-03, 98.66088,50.00000,50.00000,2.733307e-10,0.92413,1
 34.41600,   1.04000, 5.272124e-03, 98.73992,50.00000,50.00000,2.733307e-10,0.92413,1
 34.51700,   1.08000, 1.054407e-02, 98.77824,50.00000,50.00000,2.739067e-10,0.92414,1
 34.60800,   1.12000, 1.449787e-02, 98.86188,50.00000,50.00000,2.739067e-10,0.92414,1
 34.70100,   1.16000, 2.075799e-02, 98.92056,50.00000,50.00000,2.739067e-10,0.92414,1
