#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_03_22_SL_005d_L4_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,2025_03_22_SL_005d_L4_i                 
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,3/22/2025 4:30:26 PM (UTC-4)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_22_SL_005d_L4_isothermal        
#SAMPLE:                     ,2025_03_22_SL_005d_L4_i                 
#SAMPLE MASS /mg:            ,4.98                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,30›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:10/100›C                       
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                  
#SEG. 4:                     ,300›C/20:00/300›C                       
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.67500,   0.00000,-2.887128e-02,100.00000,50.00000,42.00000,            ,0.92330,1
 28.82400,   0.04000,-3.019775e-02, 99.89096,50.00000,50.00000,2.811852e-10,0.92330,1
 28.99800,   0.08000,-3.086032e-02, 99.64096,50.00000,50.00000,2.811852e-10,0.92330,1
 29.15900,   0.12000,-3.218657e-02, 99.56145,50.00000,50.00000,2.805576e-10,0.92333,1
 29.27600,   0.16000,-3.450848e-02, 99.54096,50.00000,50.00000,2.805576e-10,0.92333,1
 29.43000,   0.20000,-3.483919e-02, 99.54096,50.00000,50.00000,2.805576e-10,0.92333,1
 29.56300,   0.24000,-3.583362e-02, 99.53414,50.00000,50.00000,2.805576e-10,0.92333,1
 29.70000,   0.28000,-3.566673e-02, 99.50462,50.00000,50.00000,2.805576e-10,0.92333,1
 29.83500,   0.32000,-3.715875e-02, 99.47510,50.00000,50.00000,2.805576e-10,0.92333,1
 29.96800,   0.36000,-3.964600e-02, 99.44799,50.00000,50.00000,2.812461e-10,0.92336,1
 30.10900,   0.40000,-3.914724e-02, 99.41827,50.00000,50.00000,2.812461e-10,0.92336,1
 30.25400,   0.44000,-3.997548e-02, 99.41827,50.00000,50.00000,2.812461e-10,0.92336,1
 30.37800,   0.48000,-3.997449e-02, 99.41827,50.00000,50.00000,2.812461e-10,0.92336,1
 30.52500,   0.52000,-4.030506e-02, 99.39116,50.00000,50.00000,2.812461e-10,0.92336,1
 30.64800,   0.56000,-3.997237e-02, 99.39116,50.00000,50.00000,2.812461e-10,0.92336,1
 30.78100,   0.60000,-4.113232e-02, 99.39116,50.00000,50.00000,2.815418e-10,0.92340,1
 30.91300,   0.64000,-4.063371e-02, 99.41827,50.00000,50.00000,2.815418e-10,0.92340,1
 31.06300,   0.68000,-4.146176e-02, 99.41827,50.00000,50.00000,2.815418e-10,0.92340,1
 31.19400,   0.72000,-4.046566e-02, 99.44558,50.00000,50.00000,2.815418e-10,0.92340,1
 31.32900,   0.76000,-3.980126e-02, 99.47289,50.00000,50.00000,2.809123e-10,0.92342,1
 31.46600,   0.80000,-3.963438e-02, 99.48655,50.00000,50.00000,2.809123e-10,0.92342,1
 31.63200,   0.84000,-3.946731e-02, 99.52510,50.00000,50.00000,2.809123e-10,0.92342,1
 31.76300,   0.88000,-3.863721e-02, 99.53414,50.00000,50.00000,2.809123e-10,0.92342,1
 31.92500,   0.92000,-3.780694e-02, 99.56386,50.00000,50.00000,2.809925e-10,0.92345,1
