#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_03_29_SL_005d_M1_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,2025_03_29_SL_005d_M1                   
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,3/29/2025 5:33:52 PM (UTC-4)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,13-11-2024 10:37                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/Aspuru                             
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal        
#SAMPLE:                     ,2025_03_29_SL_005d_M1                   
#SAMPLE MASS /mg:            ,5.00                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,30›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:10/100›C                       
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                  
#SEG. 4:                     ,300›C/20:00/300›C                       
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.63900,   0.00000,     -0.24575,100.00000,50.00000,50.00000,            ,0.92330,1
 28.70000,   0.04000,     -0.24822, 99.97300,50.00000,50.00000,3.070145e-10,0.92330,1
 28.75500,   0.08000,     -0.25087, 99.92320,50.00000,50.00000,3.070145e-10,0.92330,1
 28.79700,   0.12000,     -0.25334, 99.82140,50.00000,50.00000,3.068924e-10,0.92331,1
 28.84800,   0.16000,     -0.25450, 99.83940,50.00000,50.00000,3.068924e-10,0.92331,1
 28.89300,   0.20000,     -0.25565, 99.83940,50.00000,50.00000,3.068924e-10,0.92331,1
 28.93400,   0.24000,     -0.25697, 99.86660,50.00000,50.00000,3.068924e-10,0.92331,1
 28.98700,   0.28000,     -0.25829, 99.86660,50.00000,50.00000,3.072892e-10,0.92332,1
 29.05600,   0.32000,     -0.25845, 99.86660,50.00000,50.00000,3.072892e-10,0.92332,1
 29.08200,   0.36000,     -0.25614, 99.88700,50.00000,50.00000,3.072892e-10,0.92332,1
 29.16400,   0.40000,     -0.25514, 99.89380,50.00000,50.00000,3.072892e-10,0.92332,1
 29.22600,   0.44000,     -0.25398, 99.92320,50.00000,50.00000,3.069114e-10,0.92333,1
 29.29000,   0.48000,     -0.25034, 99.95260,50.00000,50.00000,3.069114e-10,0.92333,1
 29.33900,   0.52000,     -0.24423, 99.98200,50.00000,50.00000,3.069114e-10,0.92333,1
 29.41400,   0.56000,     -0.24125,100.01820,50.00000,50.00000,3.069114e-10,0.92333,1
 29.47600,   0.60000,     -0.23546,100.04080,50.00000,50.00000,3.060417e-10,0.92334,1
 29.57400,   0.64000,     -0.22885,100.07240,50.00000,50.00000,3.060417e-10,0.92334,1
 29.64400,   0.68000,     -0.22256,100.07920,50.00000,50.00000,3.060417e-10,0.92334,1
 29.74200,   0.72000,     -0.21380,100.02940,50.00000,50.00000,3.060417e-10,0.92334,1
 29.81400,   0.76000,     -0.20587, 99.59280,50.00000,50.00000,3.070850e-10,0.92334,1
 29.89100,   0.80000,     -0.19909, 29.70540,50.00000,50.00000,3.070850e-10,0.92334,1
 30.00400,   0.84000,     -0.19446, 41.41940,50.00000,50.00000,3.070850e-10,0.92334,1
 30.06300,   0.88000,     -0.18653, 67.32240,50.00000,50.00000,3.070850e-10,0.92334,1
 30.17000,   0.92000,     -0.17562, 76.73300,50.00000,50.00000,3.065415e-10,0.92335,1
 30.28700,   0.96000,     -0.16521, 82.82180,50.00000,50.00000,3.065415e-10,0.92335,1
 30.37700,   1.00000,     -0.15348, 87.11420,50.00000,50.00000,3.065415e-10,0.92335,1
 30.50300,   1.04000,     -0.13976, 90.06700,50.00000,50.00000,3.065415e-10,0.92335,1
 30.61300,   1.08000,     -0.12687, 91.30920,50.00000,50.00000,3.059291e-10,0.92336,1
 30.74500,   1.12000,     -0.11497, 92.23680,50.00000,50.00000,3.059291e-10,0.92336,1
 30.88300,   1.16000,     -0.10126, 92.76180,50.00000,50.00000,3.059291e-10,0.92336,1
 31.00300,   1.20000,-9.035651e-02, 93.12840,50.00000,50.00000,3.059291e-10,0.92336,1
 31.14500,   1.24000,-7.499220e-02, 93.39080,50.00000,50.00000,3.059291e-10,0.92336,1
 31.28600,   1.28000,-6.210639e-02, 93.53100,50.00000,50.00000,3.070030e-10,0.92338,1
 31.42000,   1.32000,-4.938653e-02, 93.62840,50.00000,50.00000,3.070030e-10,0.92338,1
 31.58000,   1.36000,-3.551097e-02, 93.69620,50.00000,50.00000,3.070030e-10,0.92338,1
 31.73900,   1.40000,-2.114078e-02, 93.72800,50.00000,50.00000,3.070030e-10,0.92338,1
 31.89300,   1.44000,-9.248826e-03, 93.75960,50.00000,50.00000,3.063679e-10,0.92338,1
 32.05600,   1.48000, 3.303051e-03, 93.78680,50.00000,50.00000,3.063679e-10,0.92338,1
 32.23500,   1.52000, 1.552383e-02, 93.78680,50.00000,50.00000,3.063679e-10,0.92338,1
 32.40600,   1.56000, 2.823927e-02, 93.78680,50.00000,50.00000,3.063679e-10,0.92338,1
 32.56900,   1.60000, 4.062370e-02, 93.81400,50.00000,50.00000,3.058796e-10,0.92340,1
 32.76600,   1.64000, 5.251168e-02, 93.84100,50.00000,50.00000,3.058796e-10,0.92340,1
 32.95100,   1.68000, 6.538972e-02, 93.84100,50.00000,50.00000,3.058796e-10,0.92340,1
 33.13300,   1.72000, 7.694601e-02, 93.84100,50.00000,50.00000,3.058796e-10,0.92340,1
 33.33700,   1.76000, 8.883144e-02, 93.84100,50.00000,50.00000,3.062134e-10,0.92341,1
 33.51500,   1.80000, 9.890030e-02, 93.84100,50.00000,50.00000,3.062134e-10,0.92341,1
 33.72400,   1.84000,      0.11161, 93.84100,50.00000,50.00000,3.062134e-10,0.92341,1
 33.93200,   1.88000,      0.12118, 93.86820,50.00000,50.00000,3.062134e-10,0.92341,1
 34.13600,   1.92000,      0.13306, 93.86820,50.00000,50.00000,3.065815e-10,0.92342,1
 34.33000,   1.96000,      0.14263, 93.86820,50.00000,50.00000,3.065815e-10,0.92342,1
 34.54800,   2.00000,      0.15187, 93.89540,50.00000,50.00000,3.065815e-10,0.92342,1
 34.77200,   2.04000,      0.16260, 93.92260,50.00000,50.00000,3.065815e-10,0.92342,1
 34.99100,   2.08000,      0.17184, 93.94960,50.00000,50.00000,3.073978e-10,0.92343,1
 35.21900,   2.12000,      0.17992, 93.97900,50.00000,50.00000,3.073978e-10,0.92343,1
 35.43000,   2.16000,      0.19014, 94.01080,50.00000,50.00000,3.073978e-10,0.92343,1
 35.66000,   2.20000,      0.19921, 94.03800,50.00000,50.00000,3.073978e-10,0.92343,1
 35.88900,   2.24000,      0.20680, 94.06740,50.00000,50.00000,3.072890e-10,0.92344,1
 36.12400,   2.28000,      0.21471, 94.09440,50.00000,50.00000,3.072890e-10,0.92344,1
 36.37300,   2.32000,      0.22279, 94.12620,50.00000,50.00000,3.072890e-10,0.92344,1
 36.60400,   2.36000,      0.22856, 94.15560,50.00000,50.00000,3.072890e-10,0.92344,1
 36.84900,   2.40000,      0.23565, 94.19860,50.00000,50.00000,3.067608e-10,0.92346,1
 37.08800,   2.44000,      0.24471, 94.23020,50.00000,50.00000,3.067608e-10,0.92346,1
 37.32600,   2.48000,      0.25065, 94.24380,50.00000,50.00000,3.067608e-10,0.92346,1
 37.59100,   2.52000,      0.25856, 94.27100,50.00000,50.00000,3.067608e-10,0.92346,1
 37.83800,   2.56000,      0.26416, 94.30720,50.00000,50.00000,3.079071e-10,0.92347,1
 38.08800,   2.60000,      0.27124, 94.34120,50.00000,50.00000,3.079071e-10,0.92347,1
 38.34800,   2.64000,      0.27717, 94.36820,50.00000,50.00000,3.079071e-10,0.92347,1
 38.60300,   2.68000,      0.28359, 94.39540,50.00000,50.00000,3.079071e-10,0.92347,1
 38.87400,   2.72000,      0.29051, 94.42700,50.00000,50.00000,3.059311e-10,0.92349,1
 39.14400,   2.76000,      0.29628, 94.45420,50.00000,50.00000,3.059311e-10,0.92349,1
 39.39700,   2.80000,      0.30171, 94.48360,50.00000,50.00000,3.059311e-10,0.92349,1
 39.66200,   2.84000,      0.30896, 94.51080,50.00000,50.00000,3.059311e-10,0.92349,1
 39.92900,   2.88000,      0.31389, 94.54920,50.00000,50.00000,3.065968e-10,0.92351,1
 40.21000,   2.92000,      0.32098, 94.60580,50.00000,50.00000,3.065968e-10,0.92351,1
 40.50000,   2.96000,      0.32674, 94.63760,50.00000,50.00000,3.065968e-10,0.92351,1
 40.78300,   3.00000,      0.33283, 94.66920,50.00000,50.00000,3.065968e-10,0.92351,1
 41.05900,   3.04000,      0.33892, 94.69860,50.00000,50.00000,3.072204e-10,0.92352,1
 41.34600,   3.08000,      0.34567, 94.72800,50.00000,50.00000,3.072204e-10,0.92352,1
 41.64500,   3.12000,      0.35093, 94.77780,50.00000,50.00000,3.072204e-10,0.92352,1
 41.92800,   3.16000,      0.35785, 94.82980,50.00000,50.00000,3.072204e-10,0.92352,1
 42.21700,   3.20000,      0.36311, 94.85920,50.00000,50.00000,3.064708e-10,0.92353,1
 42.52200,   3.24000,      0.36970, 94.92480,50.00000,50.00000,3.064708e-10,0.92353,1
 42.81400,   3.28000,      0.37727, 94.95660,50.00000,50.00000,3.064708e-10,0.92353,1
 43.11800,   3.32000,      0.38171, 94.98380,50.00000,50.00000,3.064708e-10,0.92353,1
 43.44300,   3.36000,      0.38911, 95.01540,50.00000,50.00000,3.070145e-10,0.92355,1
 43.72900,   3.40000,      0.39570, 95.07420,50.00000,50.00000,3.070145e-10,0.92355,1
 44.06000,   3.44000,      0.40228, 95.11940,50.00000,50.00000,3.070145e-10,0.92355,1
 44.36400,   3.48000,      0.40903, 95.17380,50.00000,50.00000,3.070145e-10,0.92355,1
 44.69200,   3.52000,      0.41610, 95.21460,50.00000,50.00000,3.070145e-10,0.92355,1
 45.01600,   3.56000,      0.42169, 95.24620,50.00000,50.00000,3.066387e-10,0.92357,1
 45.32100,   3.60000,      0.42992, 95.27780,50.00000,50.00000,3.066387e-10,0.92357,1
 45.64600,   3.64000,      0.43651, 95.30500,50.00000,50.00000,3.066387e-10,0.92357,1
 45.98900,   3.68000,      0.44325, 95.33660,50.00000,50.00000,3.066387e-10,0.92357,1
 46.32400,   3.72000,      0.45164, 95.37520,50.00000,50.00000,3.067742e-10,0.92359,1
 46.66900,   3.76000,      0.45789, 95.43180,50.00000,50.00000,3.067742e-10,0.92359,1
 46.99600,   3.80000,      0.46546, 95.46340,50.00000,50.00000,3.067742e-10,0.92359,1
 47.33500,   3.84000,      0.47270, 95.51100,50.00000,50.00000,3.067742e-10,0.92359,1
 47.67400,   3.88000,      0.48027, 95.55840,50.00000,50.00000,3.066634e-10,0.92361,1
 48.03700,   3.92000,      0.48702, 95.57880,50.00000,50.00000,3.066634e-10,0.92361,1
 48.39100,   3.96000,      0.49277, 95.61960,50.00000,50.00000,3.066634e-10,0.92361,1
 48.73900,   4.00000,      0.50001, 95.67380,50.00000,50.00000,3.066634e-10,0.92361,1
 49.09300,   4.04000,      0.50758, 95.68740,50.00000,50.00000,3.067933e-10,0.92362,1
 49.45000,   4.08000,      0.51433, 95.72140,50.00000,50.00000,3.067933e-10,0.92362,1
 49.83100,   4.12000,      0.52288, 95.77120,50.00000,50.00000,3.067933e-10,0.92362,1
 50.20500,   4.16000,      0.52897, 95.80500,50.00000,50.00000,3.067933e-10,0.92362,1
 50.56500,   4.20000,      0.53588, 95.85720,50.00000,50.00000,3.064289e-10,0.92365,1
 50.94700,   4.24000,      0.54411, 95.86380,50.00000,50.00000,3.064289e-10,0.92365,1
 51.31200,   4.28000,      0.55036, 95.90460,50.00000,50.00000,3.064289e-10,0.92365,1
 51.70100,   4.32000,      0.55677, 95.95440,50.00000,50.00000,3.064289e-10,0.92365,1
 52.08100,   4.36000,      0.56286, 95.98160,50.00000,50.00000,3.065052e-10,0.92367,1
 52.45600,   4.40000,      0.57026, 95.99520,50.00000,50.00000,3.065052e-10,0.92367,1
 52.85700,   4.44000,      0.57487, 96.04040,50.00000,50.00000,3.065052e-10,0.92367,1
 53.24700,   4.48000,      0.58211, 96.07200,50.00000,50.00000,3.065052e-10,0.92367,1
 53.63400,   4.52000,      0.58655, 96.09920,50.00000,50.00000,3.068104e-10,0.92369,1
 54.04000,   4.56000,      0.59412, 96.11280,50.00000,50.00000,3.068104e-10,0.92369,1
 54.41800,   4.60000,      0.59823, 96.16260,50.00000,50.00000,3.068104e-10,0.92369,1
 54.82700,   4.64000,      0.60366, 96.19420,50.00000,50.00000,3.068104e-10,0.92369,1
 55.22600,   4.68000,      0.60926, 96.22600,50.00000,50.00000,3.065071e-10,0.92372,1
 55.65400,   4.72000,      0.61518, 96.25540,50.00000,50.00000,3.065071e-10,0.92372,1
 56.06000,   4.76000,      0.62127, 96.29380,50.00000,50.00000,3.065071e-10,0.92372,1
 56.46000,   4.80000,      0.62555, 96.33680,50.00000,50.00000,3.065071e-10,0.92372,1
 56.88100,   4.84000,      0.63164, 96.36620,50.00000,50.00000,3.063125e-10,0.92374,1
 57.29800,   4.88000,      0.63658, 96.40700,50.00000,50.00000,3.063125e-10,0.92374,1
 57.71800,   4.92000,      0.63971, 96.42720,50.00000,50.00000,3.063125e-10,0.92374,1
 58.14000,   4.96000,      0.64646, 96.46580,50.00000,50.00000,3.063125e-10,0.92374,1
 58.55600,   5.00000,      0.65223, 96.47260,50.00000,50.00000,3.072033e-10,0.92376,1
 58.98900,   5.04000,      0.65503, 96.52680,50.00000,50.00000,3.072033e-10,0.92376,1
 59.40500,   5.08000,      0.66047, 96.52680,50.00000,50.00000,3.072033e-10,0.92376,1
 59.85600,   5.12000,      0.66409, 96.55400,50.00000,50.00000,3.072033e-10,0.92376,1
 60.29400,   5.16000,      0.66838, 96.58120,50.00000,50.00000,3.062324e-10,0.92379,1
 60.71200,   5.20000,      0.67250, 96.58800,50.00000,50.00000,3.062324e-10,0.92379,1
 61.15700,   5.24000,      0.67531, 96.60840,50.00000,50.00000,3.062324e-10,0.92379,1
 61.60700,   5.28000,      0.68042, 96.63540,50.00000,50.00000,3.062324e-10,0.92379,1
 62.03300,   5.32000,      0.68290, 96.66260,50.00000,50.00000,3.064995e-10,0.92381,1
 62.48200,   5.36000,      0.68719, 96.68980,50.00000,50.00000,3.064995e-10,0.92381,1
 62.92200,   5.40000,      0.69131, 96.71240,50.00000,50.00000,3.064995e-10,0.92381,1
 63.36300,   5.44000,      0.69462, 96.75080,50.00000,50.00000,3.064995e-10,0.92381,1
 63.81800,   5.48000,      0.69759, 96.77120,50.00000,50.00000,3.064995e-10,0.92381,1
 64.26500,   5.52000,      0.70074, 96.78480,50.00000,50.00000,3.067894e-10,0.92384,1
 64.72600,   5.56000,      0.70305, 96.80520,50.00000,50.00000,3.067894e-10,0.92384,1
 65.17500,   5.60000,      0.70620, 96.83240,50.00000,50.00000,3.067894e-10,0.92384,1
 65.63400,   5.64000,      0.70967, 96.84580,50.00000,50.00000,3.067894e-10,0.92384,1
