#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_07_04_SL_PS_Tosoh_F1_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-F1                                       
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,7/4/2025 6:12:43 PM (UTC-4)                 
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal            
#SAMPLE:                     ,PS-F1                                       
#SAMPLE MASS /mg:            ,5.00                                        
#MATERIAL:                   ,Polystyrene                                 
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/20:00/300›C                           
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.63000,   0.00000,     -0.13852,   100.00000,50.00000,50.00000,            ,0.92418,1
 33.64000,   0.04000,     -0.13786,   100.00000,50.00000,50.00000,2.978327e-09,0.92418,1
 33.63600,   0.08000,     -0.13869,   100.00000,50.00000,50.00000,2.978327e-09,0.92418,1
 33.63200,   0.12000,     -0.13935,   100.00000,50.00000,50.00000,2.984884e-09,0.92418,1
 33.63300,   0.16000,     -0.14034,    99.98640,50.00000,50.00000,2.984884e-09,0.92418,1
 33.63600,   0.20000,     -0.13819,    99.96820,50.00000,50.00000,2.984884e-09,0.92418,1
 33.64400,   0.24000,     -0.13720,    99.96820,50.00000,50.00000,2.984884e-09,0.92418,1
 33.65300,   0.28000,     -0.13456,    99.96820,50.00000,50.00000,2.980796e-09,0.92418,1
 33.66200,   0.32000,     -0.13175,    99.96820,50.00000,50.00000,2.980796e-09,0.92418,1
 33.65900,   0.36000,     -0.12994,    99.96820,50.00000,50.00000,2.980796e-09,0.92418,1
 33.66800,   0.40000,     -0.12416,    99.96820,50.00000,50.00000,2.980796e-09,0.92418,1
 33.68600,   0.44000,     -0.11937,   100.00000,50.00000,50.00000,2.984024e-09,0.92418,1
 33.71000,   0.48000,     -0.11260,   100.02940,50.00000,50.00000,2.984024e-09,0.92418,1
 33.74700,   0.52000,     -0.10583,   100.05880,50.00000,50.00000,2.984024e-09,0.92418,1
 33.74900,   0.56000,-9.906136e-02,   100.10180,50.00000,50.00000,2.984024e-09,0.92418,1
 33.78100,   0.60000,-8.915473e-02,   100.14920,50.00000,50.00000,2.980783e-09,0.92418,1
 33.81000,   0.64000,-7.924825e-02,   100.18100,50.00000,50.00000,2.980783e-09,0.92418,1
 33.85600,   0.68000,-6.736047e-02,   100.21940,50.00000,50.00000,2.980783e-09,0.92418,1
 33.88700,   0.72000,-5.613343e-02,   100.30080,50.00000,50.00000,2.980783e-09,0.92418,1
