#EXPORTTYPE:                 ,DATA ALL                                       
#FILE:                       ,2025_07_05_SL_PS_Tosoh_A1000_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                       
#FTYPE:                      ,ASCII                                          
#IDENTITY:                   ,PS-A1000                                       
#DECIMAL:                    ,POINT                                          
#SEPARATOR:                  ,COMMA                                          
#MTYPE:                      ,DSC                                            
#INSTRUMENT:                 ,NETZSCH STA 449F5                              
#PROJECT:                    ,PS                                             
#DATE/TIME:                  ,7/5/2025 5:40:11 PM (UTC-4)                    
#CORR. FILE:                 ,                                               
#TEMPCAL:                    ,05-05-2025 14:38                               
#SENSITIVITY:                ,28-06-2023 13:53                               
#LABORATORY:                 ,Tran/AAG                                       
#OPERATOR:                   ,Stanley                                        
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal               
#SAMPLE:                     ,PS-A1000                                       
#SAMPLE MASS /mg:            ,5.16                                           
#MATERIAL:                   ,Polystyrene                                    
#REFERENCE:                  ,                                               
#REFERENCE MASS /mg:         ,0                                              
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                              
#SAMPLE CRUCIBLE MASS /mg:   ,0                                              
#REFERENCE CRUCIBLE MASS /mg:,0                                              
#DSC RANGE /‘V:              ,5000                                           
#TG RANGE /mg:               ,35000                                          
#TAU-R:                      ,---                                            
#CORR. CODE:                 ,000                                            
#EXO:                        ,-1                                             
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                 
#SEGMENT:                    ,S4/5                                           
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                         
#SEG. 2:                     ,100›C/00:10/100›C                              
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                         
#SEG. 4:                     ,300›C/20:00/300›C                              
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                        

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
299.00101,  57.10000,      2.04881,78.02229,50.00000,46.00000,2.894506e-09,0.78814
299.47400,  57.20000,      2.03043,77.97616,50.00000,46.00000,2.894506e-09,0.78814
299.93600,  57.30000,      2.00037,77.94322,50.00000,46.00000,2.894506e-09,0.78814
300.33401,  57.40000,      1.92841,77.88837,50.00000,46.00000,2.888894e-09,0.78770
300.70200,  57.50000,      1.83338,77.80504,50.00000,46.00000,2.892370e-09,0.78727
301.02802,  57.60000,      1.71787,77.72616,50.00000,46.00000,2.892370e-09,0.78727
301.29001,  57.70000,      1.58560,77.69109,50.00000,46.00000,2.887226e-09,0.78689
301.52200,  57.80000,      1.44228,77.65814,50.00000,46.00000,2.887226e-09,0.78689
301.70801,  57.90000,      1.29655,77.61008,50.00000,46.00000,2.886632e-09,0.78655
301.85699,  58.00000,      1.15277,77.58372,50.00000,46.00000,2.887130e-09,0.78625
301.97800,  58.10000,      1.01362,77.49593,50.00000,46.00000,2.887130e-09,0.78625
302.07501,  58.20000,      0.88796,77.44109,50.00000,46.00000,2.892697e-09,0.78600
302.15500,  58.30000,      0.77299,77.35795,50.00000,46.00000,2.892697e-09,0.78600
302.23199,  58.40000,      0.67363,77.29651,50.00000,46.00000,2.889597e-09,0.78579
302.30200,  58.50000,      0.58950,77.17810,50.00000,46.00000,2.889586e-09,0.78561
302.35901,  58.60000,      0.52041,77.12539,50.00000,46.00000,2.889586e-09,0.78561
302.42200,  58.70000,      0.46715,77.07287,50.00000,46.00000,2.888194e-09,0.78547
302.47501,  58.80000,      0.42799,76.99399,50.00000,46.00000,2.890630e-09,0.78536
302.55200,  58.90000,      0.39883,76.94787,50.00000,46.00000,2.890630e-09,0.78536
302.63000,  59.00000,      0.37890,76.91492,50.00000,46.00000,2.889809e-09,0.78527
302.69299,  59.10000,      0.36555,76.84050,50.00000,46.00000,2.889809e-09,0.78527
302.77499,  59.20000,      0.35654,76.79225,50.00000,46.00000,2.884179e-09,0.78519
302.83801,  59.30000,      0.35016,76.72422,50.00000,46.00000,2.886186e-09,0.78512
302.91299,  59.40000,      0.34340,76.69574,50.00000,46.00000,2.886186e-09,0.78512
302.98001,  59.50000,      0.33570,76.62771,50.00000,46.00000,2.888001e-09,0.78506
303.05701,  59.60000,      0.32687,76.58391,50.00000,46.00000,2.888001e-09,0.78506
303.13199,  59.70000,      0.31352,76.52694,50.00000,46.00000,2.887016e-09,0.78500
303.18799,  59.80000,      0.29883,76.47209,50.00000,46.00000,2.884801e-09,0.78495
303.23999,  59.90000,      0.27811,76.43256,50.00000,46.00000,2.884801e-09,0.78495
303.28299,  60.00000,      0.25531,76.36473,50.00000,46.00000,2.888162e-09,0.78490
303.31400,  60.10000,      0.22986,76.32519,50.00000,46.00000,2.888162e-09,0.78490
303.34601,  60.20000,      0.20196,76.28566,50.00000,46.00000,2.885801e-09,0.78482
303.36499,  60.30000,      0.17293,76.20019,50.00000,46.00000,2.886222e-09,0.78475
303.35901,  60.40000,      0.14219,76.14535,50.00000,46.00000,2.886222e-09,0.78475
303.37201,  60.50000,      0.11145,76.06647,50.00000,46.00000,2.880631e-09,0.78469
303.36401,  60.60000, 8.316244e-02,76.01822,50.00000,46.00000,2.880631e-09,0.78469
303.34698,  60.70000, 5.412049e-02,75.98527,50.00000,46.00000,2.887886e-09,0.78462
303.34201,  60.80000, 2.715437e-02,75.92403,50.00000,46.00000,2.885705e-09,0.78456
303.31500,  60.90000, 3.959885e-03,75.87132,50.00000,46.00000,2.885705e-09,0.78456
303.30801,  61.00000,-1.866787e-02,75.81647,50.00000,46.00000,2.890711e-09,0.78449
303.27701,  61.10000,-3.752292e-02,75.77481,50.00000,46.00000,2.885092e-09,0.78442
303.24799,  61.20000,-5.392555e-02,75.71783,50.00000,46.00000,2.885092e-09,0.78442
303.21600,  61.30000,-6.693301e-02,75.70465,50.00000,46.00000,2.890841e-09,0.78435
303.18201,  61.40000,-7.937367e-02,75.65213,50.00000,46.00000,2.890841e-09,0.78435
303.16501,  61.50000,-9.143812e-02,75.62578,50.00000,46.00000,2.892622e-09,0.78428
303.13000,  61.60000,-9.972938e-02,75.56880,50.00000,46.00000,2.889927e-09,0.78423
303.11600,  61.70000,     -0.10689,75.48547,50.00000,46.00000,2.889927e-09,0.78423
303.07300,  61.80000,     -0.11367,75.45911,50.00000,46.00000,2.883313e-09,0.78418
303.04300,  61.90000,     -0.12027,75.40659,50.00000,46.00000,2.883313e-09,0.78418
303.01801,  62.00000,     -0.12441,75.38023,50.00000,46.00000,2.885479e-09,0.78414
302.98300,  62.10000,     -0.13006,75.32752,50.00000,46.00000,2.885199e-09,0.78411
302.95099,  62.20000,     -0.13533,75.30136,50.00000,46.00000,2.885199e-09,0.78411
302.91699,  62.30000,     -0.13966,75.23779,50.00000,46.00000,2.876692e-09,0.78408
302.88000,  62.40000,     -0.14361,75.21802,50.00000,46.00000,2.876692e-09,0.78408
302.85501,  62.50000,     -0.14794,75.15213,50.00000,46.00000,2.887567e-09,0.78406
302.82401,  62.60000,     -0.15246,75.13895,50.00000,46.00000,2.884794e-09,0.78407
302.78000,  62.70000,     -0.15679,75.05795,50.00000,46.00000,2.884794e-09,0.78407
302.74500,  62.80000,     -0.16149,75.00523,50.00000,46.00000,2.880354e-09,0.78406
302.69800,  62.90000,     -0.16355,74.98547,50.00000,46.00000,2.883570e-09,0.78406
302.67200,  63.00000,     -0.16864,74.95271,50.00000,46.00000,2.883570e-09,0.78406
