#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_07_10_SL_PS_005d-L2_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS-005d-L2                                 
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,                                           
#DATE/TIME:                  ,7/10/2025 10:57:38 AM (UTC-4)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stanley                                    
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal           
#SAMPLE:                     ,PS-005d-L2                                 
#SAMPLE MASS /mg:            ,5.10                                       
#MATERIAL:                   ,Polystyrene                                
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,30›C....800›C/0.0....20.0K/min             
#SEGMENT:                    ,S1-5/5                                     
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                     
#SEG. 2:                     ,100›C/00:10/100›C                          
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                     
#SEG. 4:                     ,300›C/20:00/300›C                          
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                    

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 30.56100,   0.00000,      0.29704,100.00000,50.00000,51.00000,            ,0.92366,1
 30.63400,   0.04000,      0.28974, 99.92902,50.00000,52.00000,2.876284e-09,0.92366,1
 30.65700,   0.08000,      0.28051, 99.86706,50.00000,52.00000,2.876284e-09,0.92366,1
 30.70400,   0.12000,      0.27452, 99.80490,50.00000,52.00000,2.875050e-09,0.92367,1
 30.75800,   0.16000,      0.26787, 99.78275,50.00000,52.00000,2.875050e-09,0.92367,1
 30.80100,   0.20000,      0.26074, 99.78275,50.00000,52.00000,2.875050e-09,0.92367,1
 30.86900,   0.24000,      0.25685, 99.78275,50.00000,52.00000,2.875050e-09,0.92367,1
 30.89600,   0.28000,      0.25345, 99.81157,50.00000,52.00000,2.880261e-09,0.92367,1
 30.93700,   0.32000,      0.25248, 99.84039,50.00000,52.00000,2.880261e-09,0.92367,1
 30.98700,   0.36000,      0.25183, 99.88686,50.00000,52.00000,2.880261e-09,0.92367,1
 31.05000,   0.40000,      0.24956, 99.95353,50.00000,52.00000,2.880261e-09,0.92367,1
 31.09700,   0.44000,      0.24842,100.02216,50.00000,52.00000,2.882394e-09,0.92368,1
 31.16200,   0.48000,      0.25036,100.12647,50.00000,52.00000,2.882394e-09,0.92368,1
 31.21400,   0.52000,      0.25311,100.22627,50.00000,52.00000,2.882394e-09,0.92368,1
 31.28800,   0.56000,      0.25732,100.27078,50.00000,52.00000,2.882394e-09,0.92368,1
 31.35700,   0.60000,      0.26460,100.34608,50.00000,52.00000,2.880607e-09,0.92369,1
 31.42200,   0.64000,      0.27253,100.43490,50.00000,52.00000,2.880607e-09,0.92369,1
 31.49000,   0.68000,      0.27949,100.52137,50.00000,52.00000,2.880607e-09,0.92369,1
 31.58500,   0.72000,      0.28872,100.58353,50.00000,52.00000,2.880607e-09,0.92369,1
 31.66800,   0.76000,      0.29908,100.67000,50.00000,52.00000,2.874972e-09,0.92370,1
 31.75500,   0.80000,      0.31154,100.74314,50.00000,52.00000,2.874972e-09,0.92370,1
 31.83800,   0.84000,      0.32287,100.78314,50.00000,52.00000,2.874972e-09,0.92370,1
 31.94900,   0.88000,      0.33792,100.83647,50.00000,52.00000,2.874972e-09,0.92370,1
 32.06000,   0.92000,      0.35346,100.91843,50.00000,52.00000,2.877278e-09,0.92371,1
 32.15400,   0.96000,      0.36948,100.99824,50.00000,52.00000,2.877278e-09,0.92371,1
 32.26600,   1.00000,      0.38842,101.04039,50.00000,52.00000,2.877278e-09,0.92371,1
 32.38600,   1.04000,      0.40411,101.09804,50.00000,52.00000,2.877278e-09,0.92371,1
 32.50500,   1.08000,      0.42402,101.17137,50.00000,52.00000,2.882174e-09,0.92372,1
 32.62100,   1.12000,      0.44328,101.21353,50.00000,52.00000,2.882174e-09,0.92372,1
 32.76000,   1.16000,      0.46480,101.27118,50.00000,52.00000,2.882174e-09,0.92372,1
 32.89200,   1.20000,      0.48551,101.31118,50.00000,52.00000,2.882174e-09,0.92372,1
 33.01900,   1.24000,      0.50881,101.35333,50.00000,52.00000,2.882174e-09,0.92372,1
 33.16800,   1.28000,      0.53032,101.43745,50.00000,52.00000,2.871662e-09,0.92372,1
 33.31500,   1.32000,      0.55233,101.49961,50.00000,52.00000,2.871662e-09,0.92372,1
 33.47100,   1.36000,      0.57594,101.53745,50.00000,52.00000,2.871662e-09,0.92372,1
 33.61700,   1.40000,      0.59875,101.56176,50.00000,52.00000,2.871662e-09,0.92372,1
 33.77400,   1.44000,      0.62334,101.60392,50.00000,52.00000,2.880008e-09,0.92373,1
 33.94500,   1.48000,      0.64809,101.66608,50.00000,52.00000,2.880008e-09,0.92373,1
 34.11700,   1.52000,      0.67202,101.73471,50.00000,52.00000,2.880008e-09,0.92373,1
 34.27500,   1.56000,      0.69531,101.76588,50.00000,52.00000,2.880008e-09,0.92373,1
 34.43700,   1.60000,      0.71973,101.79471,50.00000,52.00000,2.877692e-09,0.92374,1
 34.63100,   1.64000,      0.74204,101.82569,50.00000,52.00000,2.877692e-09,0.92374,1
 34.81400,   1.68000,      0.76645,101.85235,50.00000,52.00000,2.877692e-09,0.92374,1
 34.98700,   1.72000,      0.79071,101.87902,50.00000,52.00000,2.877692e-09,0.92374,1
 35.19000,   1.76000,      0.81560,101.92333,50.00000,52.00000,2.880353e-09,0.92375,1
 35.35100,   1.80000,      0.83743,101.97431,50.00000,52.00000,2.880353e-09,0.92375,1
 35.55300,   1.84000,      0.86005,102.00098,50.00000,52.00000,2.880353e-09,0.92375,1
 35.76300,   1.88000,      0.88332,102.02980,50.00000,52.00000,2.880353e-09,0.92375,1
 35.94500,   1.92000,      0.90579,102.06078,50.00000,52.00000,2.883047e-09,0.92376,1
 36.16600,   1.96000,      0.92970,102.08980,50.00000,52.00000,2.883047e-09,0.92376,1
 36.35100,   2.00000,      0.95427,102.14745,50.00000,52.00000,2.883047e-09,0.92376,1
 36.56200,   2.04000,      0.97204,102.18294,50.00000,52.00000,2.883047e-09,0.92376,1
 36.79400,   2.08000,      0.99708,102.20941,50.00000,52.00000,2.878479e-09,0.92377,1
 37.00700,   2.12000,      1.01824,102.24059,50.00000,52.00000,2.878479e-09,0.92377,1
 37.21600,   2.16000,      1.03843,102.26725,50.00000,52.00000,2.878479e-09,0.92377,1
