#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_07_15_SL_PS_Tosoh_F2_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-Tosoh-F2                                 
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,7/15/2025 9:28:45 AM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal            
#SAMPLE:                     ,PS-Tosoh-F2                                 
#SAMPLE MASS /mg:            ,4.75                                        
#MATERIAL:                   ,Polystyrene                                 
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/20:00/300›C                           
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.07300,   0.00000,      0.17659,    100.00000,50.00000,57.00000,            ,0.92409,1
 33.09200,   0.04000,      0.15695,     99.98800,50.00000,57.00000,1.866418e-08,0.92409,1
 33.11600,   0.08000,      0.14044,     99.98084,50.00000,57.00000,1.866418e-08,0.92409,1
 33.15600,   0.12000,      0.12254,     99.92126,50.00000,57.00000,1.863767e-08,0.92410,1
 33.18000,   0.16000,      0.10741,     99.91411,50.00000,57.00000,1.863767e-08,0.92410,1
 33.21300,   0.20000, 9.524691e-02,     99.91411,50.00000,57.00000,1.863767e-08,0.92410,1
 33.23800,   0.24000, 8.325378e-02,     99.94274,50.00000,57.00000,1.863767e-08,0.92410,1
 33.26200,   0.28000, 7.282502e-02,     99.94274,50.00000,57.00000,1.866095e-08,0.92410,1
 33.29900,   0.32000, 6.587232e-02,     99.52842,50.00000,57.00000,1.866095e-08,0.92410,1
 33.34000,   0.36000, 5.735543e-02,     95.57221,50.00000,57.00000,1.866095e-08,0.92410,1
 33.36700,   0.40000, 5.335767e-02,     91.10884,50.00000,57.00000,1.866095e-08,0.92410,1
 33.41000,   0.44000, 4.935982e-02,     90.53242,50.00000,57.00000,1.864867e-08,0.92411,1
 33.46100,   0.48000, 5.005458e-02,     90.27053,50.00000,57.00000,1.864867e-08,0.92411,1
 33.50100,   0.52000, 5.196602e-02,     90.15853,50.00000,57.00000,1.864867e-08,0.92411,1
 33.56100,   0.56000, 5.752700e-02,     90.09663,50.00000,57.00000,1.864867e-08,0.92411,1
 33.61500,   0.60000, 6.517347e-02,     90.13937,50.00000,57.00000,1.864867e-08,0.92411,1
 33.67700,   0.64000, 7.056038e-02,     90.19432,50.00000,57.00000,1.868240e-08,0.92411,1
 33.72900,   0.68000, 7.855420e-02,     90.23705,50.00000,57.00000,1.868240e-08,0.92411,1
 33.79300,   0.72000, 9.158761e-02,     90.36337,50.00000,57.00000,1.868240e-08,0.92411,1
 33.85200,   0.76000,      0.10479,     90.51811,50.00000,57.00000,1.868240e-08,0.92411,1
 33.93100,   0.80000,      0.11887,     90.53958,50.00000,57.00000,1.868240e-08,0.92411,1
 34.00900,   0.84000,      0.13399,     90.60632,50.00000,57.00000,1.868240e-08,0.92411,1
 34.08600,   0.88000,      0.15189,     90.71579,50.00000,57.00000,1.865059e-08,0.92412,1
 34.18300,   0.92000,      0.16804,     90.84926,50.00000,57.00000,1.865059e-08,0.92412,1
 34.26300,   0.96000,      0.18924,     90.94442,50.00000,57.00000,1.865059e-08,0.92412,1
 34.37300,   1.00000,      0.20957,     91.08021,50.00000,57.00000,1.865059e-08,0.92412,1
 34.47100,   1.04000,      0.23025,     91.25895,50.00000,57.00000,1.865059e-08,0.92412,1
 34.56600,   1.08000,      0.25144,     91.36611,50.00000,57.00000,1.865059e-08,0.92412,1
 34.68700,   1.12000,      0.27681,     91.49474,50.00000,57.00000,1.866504e-08,0.92412,1
 34.79400,   1.16000,      0.29991,     91.62337,50.00000,57.00000,1.866504e-08,0.92412,1
 34.91000,   1.20000,      0.32388,     91.72568,50.00000,57.00000,1.866504e-08,0.92412,1
 35.03100,   1.24000,      0.34872,     91.85916,50.00000,57.00000,1.866504e-08,0.92412,1
 35.16500,   1.28000,      0.37217,     91.97347,50.00000,57.00000,1.864882e-08,0.92412,1
 35.29300,   1.32000,      0.39875,     92.07579,50.00000,57.00000,1.864882e-08,0.92412,1
 35.42000,   1.36000,      0.42306,     92.18063,50.00000,57.00000,1.864882e-08,0.92412,1
 35.56600,   1.40000,      0.44929,     92.29979,50.00000,57.00000,1.864882e-08,0.92412,1
 35.69100,   1.44000,      0.47482,     92.40926,50.00000,57.00000,1.868640e-08,0.92413,1
 35.83200,   1.48000,      0.50017,     92.49495,50.00000,57.00000,1.868640e-08,0.92413,1
 36.01200,   1.52000,      0.52535,     92.56168,50.00000,57.00000,1.868640e-08,0.92413,1
 36.14400,   1.56000,      0.54983,     92.64505,50.00000,57.00000,1.868640e-08,0.92413,1
 36.30100,   1.60000,      0.57397,     92.72842,50.00000,57.00000,1.868640e-08,0.92413,1
 36.45300,   1.64000,      0.59932,     92.82611,50.00000,57.00000,1.866122e-08,0.92414,1
 36.62300,   1.68000,      0.62292,     92.87368,50.00000,57.00000,1.866122e-08,0.92414,1
 36.78200,   1.72000,      0.64740,     92.94989,50.00000,57.00000,1.866122e-08,0.92414,1
 36.95800,   1.76000,      0.67170,     93.02611,50.00000,57.00000,1.866122e-08,0.92414,1
 37.11500,   1.80000,      0.69340,     93.06653,50.00000,57.00000,1.866058e-08,0.92414,1
 37.29100,   1.84000,      0.71822,     93.13326,50.00000,57.00000,1.866058e-08,0.92414,1
 37.47200,   1.88000,      0.74130,     93.16189,50.00000,57.00000,1.866058e-08,0.92414,1
 37.64600,   1.92000,      0.76247,     93.19516,50.00000,57.00000,1.866058e-08,0.92414,1
 37.84100,   1.96000,      0.78468,     93.25011,50.00000,57.00000,1.866652e-08,0.92415,1
 38.02600,   2.00000,      0.80533,     93.28337,50.00000,57.00000,1.866652e-08,0.92415,1
 38.19300,   2.04000,      0.82736,     93.29768,50.00000,57.00000,1.866652e-08,0.92415,1
 38.39900,   2.08000,      0.84835,     93.32863,50.00000,57.00000,1.866652e-08,0.92415,1
 38.58500,   2.12000,      0.86778,     93.36189,50.00000,57.00000,1.866494e-08,0.92416,1
 38.78000,   2.16000,      0.88859,     93.39053,50.00000,57.00000,1.866494e-08,0.92416,1
 38.98300,   2.20000,      0.90837,     93.41432,50.00000,57.00000,1.866494e-08,0.92416,1
 39.17100,   2.24000,      0.92779,     93.46189,50.00000,57.00000,1.866494e-08,0.92416,1
 39.38900,   2.28000,      0.94600,     93.49537,50.00000,57.00000,1.866494e-08,0.92416,1
 39.59500,   2.32000,      0.96472,     93.52400,50.00000,57.00000,1.869568e-08,0.92416,1
 39.77400,   2.36000,      0.98380,     93.55242,50.00000,57.00000,1.869568e-08,0.92416,1
 39.99400,   2.40000,      1.00252,     93.59053,50.00000,57.00000,1.869568e-08,0.92416,1
 40.21100,   2.44000,      1.02038,     93.64779,50.00000,57.00000,1.869568e-08,0.92416,1
 40.42700,   2.48000,      1.03910,     93.68105,50.00000,57.00000,1.868174e-08,0.92417,1
 40.64500,   2.52000,      1.05609,     93.70968,50.00000,57.00000,1.868174e-08,0.92417,1
 40.85300,   2.56000,      1.07550,     93.74063,50.00000,57.00000,1.868174e-08,0.92417,1
 41.07700,   2.60000,      1.09231,     93.77411,50.00000,57.00000,1.868174e-08,0.92417,1
 41.29200,   2.64000,      1.10964,     93.80505,50.00000,57.00000,1.868561e-08,0.92418,1
 41.52900,   2.68000,      1.12784,     93.83347,50.00000,57.00000,1.868561e-08,0.92418,1
 41.76100,   2.72000,      1.14447,     93.85495,50.00000,57.00000,1.868561e-08,0.92418,1
 41.98900,   2.76000,      1.16319,     93.89558,50.00000,57.00000,1.868561e-08,0.92418,1
 42.22600,   2.80000,      1.18017,     93.92884,50.00000,57.00000,1.868166e-08,0.92419,1
 42.46100,   2.84000,      1.19941,     93.95747,50.00000,57.00000,1.868166e-08,0.92419,1
 42.70100,   2.88000,      1.21499,     93.99074,50.00000,57.00000,1.868166e-08,0.92419,1
 42.94800,   2.92000,      1.23475,     94.01937,50.00000,57.00000,1.868166e-08,0.92419,1
 43.19500,   2.96000,      1.25207,     94.05263,50.00000,57.00000,1.868166e-08,0.92419,1
 43.43400,   3.00000,      1.27078,     94.10737,50.00000,57.00000,1.871475e-08,0.92420,1
 43.67600,   3.04000,      1.29019,     94.14800,50.00000,57.00000,1.871475e-08,0.92420,1
 43.93400,   3.08000,      1.30872,     94.18842,50.00000,57.00000,1.871475e-08,0.92420,1
 44.20900,   3.12000,      1.32760,     94.21937,50.00000,57.00000,1.871475e-08,0.92420,1
 44.46100,   3.16000,      1.34527,     94.24084,50.00000,57.00000,1.870507e-08,0.92421,1
 44.74000,   3.20000,      1.36727,     94.28379,50.00000,57.00000,1.870507e-08,0.92421,1
 44.99800,   3.24000,      1.38338,     94.32189,50.00000,57.00000,1.870507e-08,0.92421,1
 45.25500,   3.28000,      1.40434,     94.35032,50.00000,57.00000,1.870507e-08,0.92421,1
 45.53300,   3.32000,      1.42426,     94.38379,50.00000,57.00000,1.865500e-08,0.92422,1
 45.79800,   3.36000,      1.44418,     94.42189,50.00000,57.00000,1.865500e-08,0.92422,1
 46.07600,   3.40000,      1.46427,     94.48379,50.00000,57.00000,1.865500e-08,0.92422,1
 46.35100,   3.44000,      1.48679,     94.51705,50.00000,57.00000,1.865500e-08,0.92422,1
 46.64400,   3.48000,      1.50706,     94.58379,50.00000,57.00000,1.869459e-08,0.92423,1
 46.93300,   3.52000,      1.52645,     94.61242,50.00000,57.00000,1.869459e-08,0.92423,1
 47.20300,   3.56000,      1.54811,     94.61242,50.00000,57.00000,1.869459e-08,0.92423,1
 47.50400,   3.60000,      1.56958,     94.64337,50.00000,57.00000,1.869459e-08,0.92423,1
 47.80900,   3.64000,      1.59123,     94.68632,50.00000,57.00000,1.869459e-08,0.92423,1
 48.10800,   3.68000,      1.61393,     94.74821,50.00000,57.00000,1.871807e-08,0.92424,1
 48.41600,   3.72000,      1.63644,     94.80779,50.00000,57.00000,1.871807e-08,0.92424,1
 48.72700,   3.76000,      1.65948,     94.85537,50.00000,57.00000,1.871807e-08,0.92424,1
 49.03500,   3.80000,      1.68113,     94.88632,50.00000,57.00000,1.871807e-08,0.92424,1
 49.34600,   3.84000,      1.70451,     94.92674,50.00000,57.00000,1.869821e-08,0.92426,1
 49.64600,   3.88000,      1.72738,     94.98632,50.00000,57.00000,1.869821e-08,0.92426,1
 49.96000,   3.92000,      1.75024,     95.02211,50.00000,57.00000,1.869821e-08,0.92426,1
 50.29100,   3.96000,      1.77449,     95.08168,50.00000,57.00000,1.869821e-08,0.92426,1
 50.62400,   4.00000,      1.79787,     95.12211,50.00000,57.00000,1.870076e-08,0.92427,1
 50.95300,   4.04000,      1.82056,     95.16737,50.00000,57.00000,1.870076e-08,0.92427,1
 51.29100,   4.08000,      1.84429,     95.19347,50.00000,57.00000,1.870076e-08,0.92427,1
 51.62100,   4.12000,      1.86855,     95.22442,50.00000,57.00000,1.870076e-08,0.92427,1
 51.97200,   4.16000,      1.89176,     95.26021,50.00000,57.00000,1.870909e-08,0.92428,1
 52.29700,   4.20000,      1.91497,     95.30779,50.00000,57.00000,1.870909e-08,0.92428,1
 52.65900,   4.24000,      1.94009,     95.34842,50.00000,57.00000,1.870909e-08,0.92428,1
 53.00700,   4.28000,      1.96382,     95.39368,50.00000,57.00000,1.870909e-08,0.92428,1
 53.35900,   4.32000,      1.98929,     95.42463,50.00000,57.00000,1.870909e-08,0.92428,1
 53.70900,   4.36000,      2.01164,     95.48653,50.00000,57.00000,1.870624e-08,0.92430,1
 54.07600,   4.40000,      2.03641,     95.52947,50.00000,57.00000,1.870624e-08,0.92430,1
 54.42800,   4.44000,      2.06015,     95.56758,50.00000,57.00000,1.870624e-08,0.92430,1
 54.78500,   4.48000,      2.08354,     95.62463,50.00000,57.00000,1.870624e-08,0.92430,1
 55.16000,   4.52000,      2.10832,     95.64126,50.00000,57.00000,1.870992e-08,0.92432,1
 55.52900,   4.56000,      2.13137,     95.68905,50.00000,57.00000,1.870992e-08,0.92432,1
 55.90200,   4.60000,      2.15442,     95.73179,50.00000,57.00000,1.870992e-08,0.92432,1
 56.26100,   4.64000,      2.17816,     95.76526,50.00000,57.00000,1.870992e-08,0.92432,1
 56.64400,   4.68000,      2.20312,     95.83432,50.00000,57.00000,1.867574e-08,0.92433,1
 57.03000,   4.72000,      2.22670,     95.86758,50.00000,57.00000,1.867574e-08,0.92433,1
 57.41000,   4.76000,      2.25079,     95.92484,50.00000,57.00000,1.867574e-08,0.92433,1
 57.79000,   4.80000,      2.27402,     95.96295,50.00000,57.00000,1.867574e-08,0.92433,1
 58.19300,   4.84000,      2.29622,     95.97705,50.00000,57.00000,1.871304e-08,0.92435,1
 58.57100,   4.88000,      2.32066,     96.02232,50.00000,57.00000,1.871304e-08,0.92435,1
 58.95500,   4.92000,      2.34373,     96.05579,50.00000,57.00000,1.871304e-08,0.92435,1
 59.34800,   4.96000,      2.36575,     96.09621,50.00000,57.00000,1.871304e-08,0.92435,1
 59.75600,   5.00000,      2.38830,     96.12947,50.00000,57.00000,1.871304e-08,0.92435,1
 60.15700,   5.04000,      2.41103,     96.16526,50.00000,57.00000,1.869530e-08,0.92437,1
 60.56600,   5.08000,      2.43324,     96.18905,50.00000,57.00000,1.869530e-08,0.92437,1
 60.97000,   5.12000,      2.45597,     96.22716,50.00000,57.00000,1.869530e-08,0.92437,1
 61.37200,   5.16000,      2.47784,     96.28211,50.00000,57.00000,1.869530e-08,0.92437,1
 61.78200,   5.20000,      2.50005,     96.31305,50.00000,57.00000,1.866775e-08,0.92438,1
 62.19000,   5.24000,      2.52141,     96.34147,50.00000,57.00000,1.866775e-08,0.92438,1
 62.61200,   5.28000,      2.54380,     96.37495,50.00000,57.00000,1.866775e-08,0.92438,1
 63.02300,   5.32000,      2.56603,     96.41537,50.00000,57.00000,1.866775e-08,0.92438,1
 63.45600,   5.36000,      2.58774,     96.46295,50.00000,57.00000,1.869815e-08,0.92440,1
 63.86800,   5.40000,      2.60651,     96.47011,50.00000,57.00000,1.869815e-08,0.92440,1
 64.29300,   5.44000,      2.63048,     96.51305,50.00000,57.00000,1.869815e-08,0.92440,1
 64.72600,   5.48000,      2.65117,     96.56063,50.00000,57.00000,1.869815e-08,0.92440,1
 65.13800,   5.52000,      2.67254,     96.59158,50.00000,57.00000,1.872053e-08,0.92442,1
 65.57100,   5.56000,      2.69219,     96.62253,50.00000,57.00000,1.872053e-08,0.92442,1
 66.00600,   5.60000,      2.71410,     96.62253,50.00000,57.00000,1.872053e-08,0.92442,1
 66.42400,   5.64000,      2.73549,     96.65116,50.00000,57.00000,1.872053e-08,0.92442,1
 66.84900,   5.68000,      2.75568,     96.68211,50.00000,57.00000,1.871010e-08,0.92444,1
 67.30200,   5.72000,      2.77639,     96.71558,50.00000,57.00000,1.871010e-08,0.92444,1
 67.73200,   5.76000,      2.79675,     96.74400,50.00000,57.00000,1.871010e-08,0.92444,1
 68.16500,   5.80000,      2.81695,     96.76547,50.00000,57.00000,1.871010e-08,0.92444,1
 68.61900,   5.84000,      2.83716,     96.80842,50.00000,57.00000,1.871010e-08,0.92444,1
 69.04600,   5.88000,      2.85753,     96.83705,50.00000,57.00000,1.871374e-08,0.92446,1
 69.49800,   5.92000,      2.87532,     96.84421,50.00000,57.00000,1.871374e-08,0.92446,1
 69.94300,   5.96000,      2.89745,     96.89411,50.00000,57.00000,1.871374e-08,0.92446,1
 70.38600,   6.00000,      2.91576,     96.93937,50.00000,57.00000,1.871374e-08,0.92446,1
 70.82100,   6.04000,      2.93634,     96.96800,50.00000,57.00000,1.869133e-08,0.92448,1
 71.28400,   6.08000,      2.95744,     96.96800,50.00000,57.00000,1.869133e-08,0.92448,1
 71.73400,   6.12000,      2.97577,     96.99895,50.00000,57.00000,1.869133e-08,0.92448,1
 72.18800,   6.16000,      2.99689,     97.03221,50.00000,57.00000,1.869133e-08,0.92448,1
 72.63800,   6.20000,      3.01575,     97.06084,50.00000,57.00000,1.871735e-08,0.92450,1
 73.10800,   6.24000,      3.03550,     97.08947,50.00000,57.00000,1.871735e-08,0.92450,1
 73.55200,   6.28000,      3.05524,     97.11811,50.00000,57.00000,1.871735e-08,0.92450,1
 74.00600,   6.32000,      3.07325,     97.11811,50.00000,57.00000,1.871735e-08,0.92450,1
 74.46600,   6.36000,      3.09336,     97.15137,50.00000,57.00000,1.871509e-08,0.92452,1
 74.92000,   6.40000,      3.11312,     97.18000,50.00000,57.00000,1.871509e-08,0.92452,1
 75.37700,   6.44000,      3.13168,     97.21095,50.00000,57.00000,1.871509e-08,0.92452,1
 75.84700,   6.48000,      3.15163,     97.21095,50.00000,57.00000,1.871509e-08,0.92452,1
 76.32200,   6.52000,      3.17003,     97.23958,50.00000,57.00000,1.871509e-08,0.92452,1
 76.78600,   6.56000,      3.19017,     97.27053,50.00000,57.00000,1.871062e-08,0.92455,1
 77.26400,   6.60000,      3.20702,     97.29895,50.00000,57.00000,1.871062e-08,0.92455,1
 77.73200,   6.64000,      3.22752,     97.30611,50.00000,57.00000,1.871062e-08,0.92455,1
 78.19500,   6.68000,      3.24612,     97.33474,50.00000,57.00000,1.871062e-08,0.92455,1
 78.68400,   6.72000,      3.26456,     97.37284,50.00000,57.00000,1.873028e-08,0.92457,1
 79.14500,   6.76000,      3.28473,     97.38716,50.00000,57.00000,1.873028e-08,0.92457,1
 79.63600,   6.80000,      3.30284,     97.41579,50.00000,57.00000,1.873028e-08,0.92457,1
 80.09100,   6.84000,      3.32215,     97.43011,50.00000,57.00000,1.873028e-08,0.92457,1
 80.56600,   6.88000,      3.34062,     97.46821,50.00000,57.00000,1.875152e-08,0.92459,1
 81.06000,   6.92000,      3.35684,     97.49663,50.00000,57.00000,1.875152e-08,0.92459,1
 81.54800,   6.96000,      3.37862,     97.50379,50.00000,57.00000,1.875152e-08,0.92459,1
 82.00200,   7.00000,      3.39432,     97.50379,50.00000,57.00000,1.875152e-08,0.92459,1
 82.24400,   7.02000,      3.40452,     97.53242,50.00000,57.00000,1.875152e-08,0.92459,2
 82.50300,   7.04000,      3.41335,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 82.74100,   7.06000,      3.42407,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 82.97500,   7.08000,      3.43081,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 83.23300,   7.10000,      3.43981,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 83.46100,   7.12000,      3.44741,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 83.70100,   7.14000,      3.45397,     97.56105,50.00000,57.00000,1.873103e-08,0.92461,2
 83.92400,   7.16000,      3.46210,     97.58968,50.00000,57.00000,1.873103e-08,0.92461,2
 84.17500,   7.18000,      3.46676,     97.58968,50.00000,57.00000,1.873103e-08,0.92461,2
 84.41900,   7.20000,      3.47194,     97.58968,50.00000,57.00000,1.867946e-08,0.92464,2
 84.66000,   7.22000,      3.47782,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 84.88700,   7.24000,      3.47952,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 85.12600,   7.26000,      3.48453,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 85.35900,   7.28000,      3.48728,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 85.59200,   7.30000,      3.48812,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 85.84200,   7.32000,      3.49088,     97.61811,50.00000,57.00000,1.867946e-08,0.92464,2
 86.06000,   7.34000,      3.49084,     97.60379,50.00000,57.00000,1.867946e-08,0.92464,2
 86.29000,   7.36000,      3.49116,     97.58968,50.00000,57.00000,1.867946e-08,0.92464,2
 86.51500,   7.38000,      3.49131,     97.58968,50.00000,57.00000,1.867795e-08,0.92466,2
 86.76000,   7.40000,      3.48938,     97.58968,50.00000,57.00000,1.867795e-08,0.92466,2
 86.98700,   7.42000,      3.48744,     97.58968,50.00000,57.00000,1.867795e-08,0.92466,2
 87.20100,   7.44000,      3.48288,     97.58968,50.00000,57.00000,1.867795e-08,0.92466,2
 87.43100,   7.46000,      3.48112,     97.56105,50.00000,57.00000,1.867795e-08,0.92466,2
 87.65800,   7.48000,      3.47709,     97.56105,50.00000,57.00000,1.867795e-08,0.92466,2
 87.87500,   7.50000,      3.47185,     97.56105,50.00000,57.00000,1.867795e-08,0.92466,2
 88.10000,   7.52000,      3.46626,     97.52758,50.00000,57.00000,1.867795e-08,0.92466,2
 88.31500,   7.54000,      3.46032,     97.52758,50.00000,57.00000,1.867795e-08,0.92466,2
 88.52700,   7.56000,      3.45211,     97.49916,50.00000,57.00000,1.873378e-08,0.92468,2
 88.74400,   7.58000,      3.44304,     97.49200,50.00000,57.00000,1.873378e-08,0.92468,2
 88.96700,   7.60000,      3.43571,     97.47053,50.00000,57.00000,1.873378e-08,0.92468,2
 89.17600,   7.62000,      3.42629,     97.47053,50.00000,57.00000,1.873378e-08,0.92468,2
 89.38300,   7.64000,      3.41756,     97.46337,50.00000,57.00000,1.873378e-08,0.92468,2
 89.60400,   7.66000,      3.40727,     97.43958,50.00000,57.00000,1.873378e-08,0.92468,2
 89.80900,   7.68000,      3.39680,     97.40611,50.00000,57.00000,1.873378e-08,0.92468,2
 90.01300,   7.70000,      3.38390,     97.38947,50.00000,57.00000,1.873378e-08,0.92468,2
 90.21800,   7.72000,      3.37308,     97.37053,50.00000,57.00000,1.870543e-08,0.92471,2
 90.42300,   7.74000,      3.35930,     97.33705,50.00000,57.00000,1.870543e-08,0.92471,2
 90.61700,   7.76000,      3.34656,     97.32042,50.00000,57.00000,1.870543e-08,0.92471,2
