#EXPORTTYPE:                 ,DATA ALL                                  
#FILE:                       ,2025_07_17_SL_PS_Tosoh_F10_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                  
#FTYPE:                      ,ASCII                                     
#IDENTITY:                   ,PS-Tosoh-F10                              
#DECIMAL:                    ,POINT                                     
#SEPARATOR:                  ,COMMA                                     
#MTYPE:                      ,TIC                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                         
#PROJECT:                    ,                                          
#DATE/TIME:                  ,7/17/2025 6:46:12 PM (UTC-4)              
#CORR. FILE:                 ,                                          
#TEMPCAL:                    ,05-05-2025 14:38                          
#SENSITIVITY:                ,28-06-2023 13:53                          
#LABORATORY:                 ,Tran/AAG                                  
#OPERATOR:                   ,Stan                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic              
#SAMPLE:                     ,PS-Tosoh-F10                              
#SAMPLE MASS /mg:            ,4.92                                      
#MATERIAL:                   ,Polystyrene                               
#REFERENCE:                  ,                                          
#REFERENCE MASS /mg:         ,0                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                         
#DSC RANGE /‘V:              ,5000                                      
#TG RANGE /mg:               ,35000                                     
                             ,                                          

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 33.81200,  0.01007,1.349403e-10,2.284718e-09,2.278328e-10,8.620262e-10,1.263142e-11,3.317553e-11,7.071495e-12,8.320808e-12,9.402275e-12,1.039410e-11,1.382732e-11,2.454662e-11,1.774513e-10,7.674128e-09,1.643181e-10,1.181602e-10,2.114296e-10,5.416971e-09,1.774693e-11,2.183437e-11,2.003670e-12,2.680778e-12,2.083778e-12,3.165245e-12,7.111549e-12,2.672455e-10,2.650261e-12,9.060860e-12,2.085686e-12,4.425913e-11,2.087593e-12,1.610756e-12,1.431465e-12,2.799034e-12,1.336098e-12,1.313210e-12,1.330376e-12,1.339912e-12,1.273155e-12,1.332283e-12,1.294136e-12,1.276970e-12,1.214027e-12,1.242638e-12,1.269340e-12,1.248360e-12,1.173973e-12,1.217842e-12,1.236916e-12,1.191139e-12,1.166344e-12,1.198769e-12,1.223564e-12,1.196861e-12,1.193047e-12,1.244545e-12,1.196861e-12,1.235008e-12,1.217842e-12,1.191139e-12,1.156807e-12,1.160622e-12,1.168251e-12,1.149178e-12,1.143455e-12,1.143455e-12,1.130104e-12,1.187325e-12,1.183510e-12,1.175880e-12,1.198769e-12,1.173973e-12,1.145363e-12,1.103401e-12,1.078606e-12,1.120567e-12,1.152992e-12,1.133919e-12,1.206398e-12,1.114845e-12,1.120567e-12,1.156807e-12,1.112938e-12,1.116753e-12,1.090050e-12,1.103401e-12,1.132011e-12,1.065254e-12,1.139641e-12,1.097679e-12,1.061439e-12,1.112938e-12,1.070976e-12,1.099586e-12,1.084328e-12,1.112938e-12,1.057625e-12,1.120567e-12,1.122475e-12,1.090050e-12,1.055717e-12,1.120567e-12,1.055717e-12,1.057625e-12,1.130104e-12,1.023293e-12,1.059532e-12,1.055717e-12,1.036644e-12,1.042366e-12,1.027107e-12,1.070976e-12,1.070976e-12,1.023293e-12,1.030922e-12,1.019478e-12,1.038551e-12,1.072884e-12,1.030922e-12,1.081077e-12,1.004211e-12,1.014453e-12,1.048957e-12,1.028434e-12,1.064540e-12,9.917366e-13,1.051379e-12,1.005832e-12,1.021949e-12,1.041919e-12,9.760011e-13,9.874642e-13,9.936631e-13,9.953033e-13,1.032115e-12,9.970772e-13
 33.97400,  0.17671,1.349231e-10,2.283192e-09,2.295494e-10,8.664131e-10,1.278210e-11,3.320986e-11,7.197380e-12,8.215904e-12,9.303093e-12,1.041317e-11,1.367092e-11,2.457714e-11,1.807377e-10,7.669168e-09,1.646996e-10,1.185417e-10,2.102852e-10,5.439669e-09,1.794147e-11,2.165699e-11,1.978874e-12,2.608299e-12,2.144813e-12,3.026008e-12,6.999016e-12,2.673371e-10,2.633095e-12,9.089470e-12,2.057075e-12,4.496294e-11,2.057075e-12,1.572609e-12,1.395226e-12,2.795219e-12,1.334190e-12,1.353264e-12,1.366615e-12,1.318932e-12,1.313210e-12,1.317024e-12,1.297951e-12,1.242638e-12,1.248360e-12,1.299858e-12,1.208305e-12,1.187325e-12,1.229286e-12,1.198769e-12,1.229286e-12,1.244545e-12,1.227379e-12,1.267433e-12,1.204491e-12,1.177788e-12,1.194954e-12,1.189232e-12,1.187325e-12,1.177788e-12,1.179695e-12,1.173973e-12,1.137733e-12,1.219749e-12,1.248360e-12,1.172066e-12,1.172066e-12,1.141548e-12,1.128197e-12,1.179695e-12,1.173973e-12,1.179695e-12,1.164436e-12,1.196861e-12,1.114845e-12,1.164436e-12,1.139641e-12,1.162529e-12,1.162529e-12,1.189232e-12,1.162529e-12,1.120567e-12,1.124382e-12,1.141548e-12,1.118660e-12,1.074791e-12,1.133919e-12,1.147270e-12,1.126289e-12,1.128197e-12,1.053810e-12,1.105309e-12,1.105309e-12,1.133919e-12,1.093864e-12,1.080513e-12,1.036644e-12,1.097679e-12,1.046181e-12,1.095772e-12,1.032829e-12,1.078606e-12,1.046181e-12,1.084328e-12,1.053810e-12,1.074791e-12,1.042366e-12,1.088142e-12,1.055717e-12,1.034737e-12,1.074791e-12,1.021385e-12,1.065254e-12,1.055717e-12,1.021385e-12,1.023293e-12,1.049995e-12,1.074791e-12,1.030922e-12,1.067162e-12,1.000404e-12,1.032829e-12,1.022502e-12,1.050731e-12,1.053993e-12,1.008598e-12,9.880364e-13,9.836495e-13,1.001941e-12,1.036082e-12,9.592545e-13,1.086360e-12,9.898866e-13,9.992134e-13,9.452165e-13,9.649957e-13,9.591782e-13,9.935677e-13
 34.21900,  0.34187,1.356002e-10,2.296352e-09,2.280235e-10,8.667946e-10,1.280308e-11,3.344446e-11,7.109642e-12,8.255958e-12,9.371757e-12,1.030064e-11,1.382732e-11,2.487469e-11,1.756145e-10,7.679469e-09,1.646996e-10,1.185417e-10,2.133369e-10,5.445391e-09,1.775074e-11,2.184963e-11,2.007484e-12,2.638817e-12,2.129555e-12,3.043175e-12,7.031441e-12,2.675888e-10,2.627373e-12,9.318352e-12,2.085686e-12,4.420954e-11,2.030373e-12,1.616478e-12,1.387596e-12,2.858162e-12,1.332283e-12,1.353264e-12,1.328468e-12,1.339912e-12,1.276970e-12,1.353264e-12,1.273155e-12,1.259804e-12,1.250267e-12,1.265526e-12,1.290321e-12,1.273155e-12,1.185417e-12,1.273155e-12,1.246452e-12,1.212120e-12,1.202583e-12,1.177788e-12,1.217842e-12,1.189232e-12,1.189232e-12,1.191139e-12,1.103401e-12,1.166344e-12,1.217842e-12,1.166344e-12,1.212120e-12,1.196861e-12,1.200676e-12,1.168251e-12,1.147270e-12,1.059532e-12,1.149178e-12,1.193047e-12,1.175880e-12,1.214027e-12,1.132011e-12,1.128197e-12,1.156807e-12,1.185417e-12,1.152992e-12,1.137733e-12,1.145363e-12,1.236916e-12,1.118660e-12,1.111031e-12,1.147270e-12,1.112938e-12,1.130104e-12,1.191139e-12,1.114845e-12,1.088142e-12,1.076698e-12,1.093864e-12,1.097679e-12,1.099586e-12,1.128197e-12,1.145363e-12,1.095772e-12,1.133919e-12,1.078606e-12,1.101494e-12,1.082420e-12,1.048088e-12,1.099586e-12,1.099586e-12,1.051903e-12,1.061439e-12,1.049995e-12,1.093864e-12,1.114894e-12,1.098243e-12,1.116191e-12,1.104442e-12,1.052982e-12,1.086112e-12,1.022617e-12,1.049148e-12,1.057616e-12,1.083595e-12,1.040832e-12,1.032897e-12,1.016933e-12,1.035949e-12,1.040679e-12,1.010295e-12,1.002895e-12,1.078235e-12,1.060916e-12,1.010848e-12,9.994995e-13,1.020042e-12,1.024276e-12,9.752190e-13,1.039973e-12,9.976876e-13,9.988511e-13,1.025382e-12,1.011497e-12,9.640991e-13,9.881318e-13,9.897911e-13
 34.35700,  0.51384,1.350490e-10,2.303410e-09,2.274513e-10,8.677483e-10,1.272869e-11,3.341395e-11,7.195473e-12,8.189201e-12,9.411812e-12,1.037121e-11,1.381588e-11,2.455234e-11,1.762077e-10,7.668596e-09,1.645088e-10,1.187325e-10,2.104759e-10,5.441577e-09,1.780796e-11,2.186108e-11,1.999855e-12,2.684593e-12,2.047539e-12,3.087044e-12,7.021904e-12,2.676575e-10,2.669334e-12,9.209632e-12,2.034187e-12,4.382044e-11,2.068520e-12,1.536369e-12,1.357079e-12,2.858162e-12,1.267433e-12,1.339912e-12,1.349449e-12,1.284599e-12,1.334190e-12,1.364708e-12,1.242638e-12,1.265526e-12,1.276970e-12,1.263618e-12,1.235008e-12,1.250267e-12,1.196861e-12,1.246452e-12,1.236916e-12,1.261711e-12,1.227379e-12,1.196861e-12,1.191139e-12,1.212120e-12,1.196861e-12,1.196861e-12,1.278877e-12,1.168251e-12,1.202583e-12,1.236916e-12,1.191139e-12,1.189232e-12,1.172066e-12,1.116753e-12,1.151085e-12,1.160622e-12,1.111031e-12,1.145363e-12,1.166344e-12,1.250267e-12,1.139641e-12,1.221657e-12,1.135826e-12,1.133919e-12,1.143455e-12,1.130104e-12,1.149178e-12,1.145363e-12,1.120567e-12,1.086235e-12,1.122475e-12,1.084328e-12,1.109123e-12,1.084328e-12,1.141548e-12,1.101494e-12,1.105309e-12,1.090050e-12,1.149178e-12,1.141548e-12,1.137733e-12,1.111031e-12,1.105309e-12,1.135826e-12,1.034737e-12,1.093864e-12,1.070976e-12,1.120567e-12,1.063347e-12,1.097679e-12,1.061439e-12,1.099586e-12,1.097679e-12,1.072884e-12,1.042366e-12,1.067162e-12,1.109123e-12,1.105309e-12,1.091957e-12,1.008034e-12,1.088142e-12,1.019478e-12,1.048088e-12,1.027107e-12,1.046181e-12,1.040459e-12,1.023293e-12,1.000404e-12,1.004219e-12,1.057625e-12,1.030922e-12,1.048088e-12,1.004219e-12,1.028033e-12,9.996522e-13,9.999001e-13,1.012279e-12,1.009780e-12,1.010295e-12,9.842599e-13,9.512436e-13,1.046325e-12,1.068641e-12,9.852517e-13,1.015407e-12,9.709274e-13
 34.57300,  0.68217,1.360942e-10,2.291966e-09,2.278328e-10,8.704186e-10,1.284122e-11,3.357798e-11,7.214546e-12,8.210182e-12,9.333610e-12,1.042271e-11,1.389789e-11,2.452946e-11,1.782047e-10,7.676608e-09,1.645088e-10,1.177788e-10,2.133369e-10,5.418688e-09,1.766682e-11,2.175045e-11,1.967430e-12,2.621651e-12,2.120018e-12,3.123283e-12,7.073402e-12,2.670758e-10,2.646446e-12,9.129524e-12,1.975059e-12,4.328829e-11,2.036095e-12,1.574516e-12,1.387596e-12,2.781868e-12,1.357079e-12,1.322746e-12,1.353264e-12,1.332283e-12,1.322746e-12,1.370430e-12,1.242638e-12,1.303673e-12,1.259804e-12,1.257896e-12,1.261711e-12,1.292229e-12,1.242638e-12,1.246452e-12,1.263618e-12,1.236916e-12,1.196861e-12,1.221657e-12,1.210213e-12,1.236916e-12,1.149178e-12,1.179695e-12,1.202583e-12,1.194954e-12,1.191139e-12,1.217842e-12,1.191139e-12,1.179695e-12,1.204491e-12,1.173973e-12,1.173973e-12,1.168251e-12,1.196861e-12,1.183510e-12,1.183510e-12,1.168251e-12,1.172066e-12,1.236916e-12,1.147270e-12,1.116753e-12,1.141548e-12,1.099586e-12,1.132011e-12,1.158714e-12,1.105309e-12,1.128197e-12,1.122475e-12,1.152992e-12,1.101494e-12,1.078606e-12,1.133919e-12,1.137733e-12,1.133919e-12,1.118660e-12,1.090050e-12,1.143455e-12,1.114845e-12,1.091957e-12,1.084328e-12,1.095772e-12,1.097679e-12,1.103401e-12,1.063347e-12,1.103401e-12,1.101494e-12,1.114845e-12,1.053810e-12,1.030922e-12,1.118660e-12,1.091957e-12,1.011848e-12,1.067162e-12,1.063347e-12,1.036644e-12,1.049995e-12,1.053810e-12,1.063110e-12,1.041881e-12,1.076385e-12,1.036712e-12,1.084510e-12,1.075164e-12,1.036273e-12,1.039192e-12,1.009933e-12,1.021529e-12,1.003543e-12,9.940826e-13,1.049243e-12,9.739411e-13,1.046172e-12,1.012546e-12,1.027728e-12,9.870827e-13,9.615815e-13,1.025382e-12,1.012145e-12,9.740365e-13,9.480774e-13,9.901917e-13,9.934151e-13,1.000224e-12
 34.70500,  0.85275,1.350909e-10,2.282619e-09,2.291679e-10,8.687019e-10,1.268101e-11,3.321177e-11,7.212638e-12,8.234978e-12,9.282112e-12,1.044369e-11,1.378727e-11,2.475452e-11,1.759674e-10,7.668596e-09,1.646996e-10,1.187325e-10,2.144813e-10,5.450350e-09,1.790523e-11,2.203464e-11,2.032280e-12,2.690315e-12,2.106666e-12,3.090858e-12,7.121086e-12,2.667305e-10,2.692223e-12,9.202003e-12,2.043724e-12,4.316431e-11,2.057075e-12,1.626015e-12,1.351356e-12,2.774239e-12,1.341820e-12,1.374245e-12,1.317024e-12,1.357079e-12,1.299858e-12,1.339912e-12,1.238823e-12,1.255989e-12,1.223564e-12,1.254082e-12,1.269340e-12,1.206398e-12,1.231194e-12,1.236916e-12,1.255989e-12,1.210213e-12,1.187325e-12,1.242638e-12,1.202583e-12,1.217842e-12,1.151085e-12,1.143455e-12,1.179695e-12,1.212120e-12,1.206398e-12,1.208305e-12,1.215935e-12,1.133919e-12,1.147270e-12,1.196861e-12,1.202583e-12,1.204491e-12,1.217842e-12,1.139641e-12,1.200676e-12,1.208305e-12,1.130104e-12,1.158714e-12,1.105309e-12,1.145363e-12,1.154900e-12,1.143455e-12,1.181602e-12,1.141548e-12,1.126289e-12,1.122475e-12,1.126289e-12,1.126289e-12,1.126289e-12,1.137733e-12,1.105309e-12,1.120567e-12,1.122475e-12,1.111031e-12,1.105309e-12,1.082420e-12,1.130104e-12,1.132011e-12,1.137733e-12,1.086235e-12,1.095772e-12,1.124382e-12,1.109123e-12,1.116753e-12,1.053810e-12,1.105309e-12,1.109123e-12,1.082420e-12,1.070976e-12,1.084328e-12,1.070976e-12,1.030922e-12,1.147270e-12,1.088142e-12,1.036644e-12,1.089927e-12,1.078273e-12,1.100513e-12,1.035625e-12,1.069747e-12,1.102973e-12,1.048423e-12,1.069213e-12,1.081229e-12,1.083900e-12,1.023513e-12,1.043426e-12,9.951317e-13,9.787857e-13,1.017696e-12,1.017753e-12,1.028739e-12,9.860336e-13,1.040527e-12,9.877693e-13,9.968674e-13,1.037399e-12,9.949792e-13,1.011802e-12,9.969437e-13,9.463608e-13,1.005832e-12
 34.89400,  1.02431,1.352912e-10,2.291966e-09,2.297401e-10,8.660316e-10,1.287937e-11,3.341776e-11,7.205009e-12,8.320808e-12,9.274482e-12,1.043224e-11,1.380253e-11,2.485752e-11,1.779968e-10,7.666117e-09,1.646996e-10,1.185417e-10,2.137184e-10,5.443674e-09,1.785564e-11,2.181911e-11,2.020836e-12,2.650261e-12,2.104759e-12,3.111839e-12,7.065773e-12,2.664864e-10,2.612114e-12,9.270668e-12,2.026558e-12,4.427439e-11,2.064705e-12,1.505852e-12,1.418114e-12,2.820015e-12,1.330376e-12,1.320839e-12,1.280785e-12,1.307487e-12,1.288414e-12,1.343727e-12,1.246452e-12,1.278877e-12,1.276970e-12,1.282692e-12,1.212120e-12,1.282692e-12,1.271248e-12,1.210213e-12,1.215935e-12,1.238823e-12,1.215935e-12,1.187325e-12,1.202583e-12,1.246452e-12,1.223564e-12,1.183510e-12,1.177788e-12,1.255989e-12,1.214027e-12,1.189232e-12,1.154900e-12,1.210213e-12,1.179695e-12,1.177788e-12,1.175880e-12,1.154900e-12,1.124382e-12,1.196861e-12,1.158714e-12,1.223564e-12,1.164436e-12,1.139641e-12,1.130104e-12,1.168251e-12,1.181602e-12,1.103401e-12,1.137733e-12,1.120567e-12,1.084328e-12,1.132011e-12,1.151085e-12,1.133919e-12,1.116753e-12,1.091957e-12,1.168251e-12,1.154900e-12,1.114845e-12,1.137733e-12,1.132011e-12,1.143455e-12,1.111031e-12,1.103401e-12,1.132011e-12,1.122475e-12,1.084328e-12,1.111031e-12,1.088142e-12,1.114845e-12,1.065254e-12,1.030922e-12,1.082420e-12,1.069069e-12,1.027107e-12,1.088142e-12,1.070976e-12,1.070976e-12,1.048088e-12,1.009941e-12,1.046181e-12,1.042366e-12,1.053810e-12,1.062137e-12,1.061527e-12,1.040450e-12,1.070396e-12,1.045257e-12,1.039859e-12,1.008750e-12,1.050388e-12,9.889519e-13,1.014701e-12,1.033984e-12,1.058017e-12,1.030685e-12,1.087257e-12,9.729302e-13,1.008636e-12,9.301669e-13,1.011783e-12,9.856904e-13,1.039649e-12,9.635079e-13,9.522546e-13,9.742463e-13,9.632600e-13,9.807885e-13
 35.08500,  1.19313,1.360523e-10,2.274799e-09,2.287865e-10,8.717537e-10,1.285648e-11,3.320223e-11,7.262230e-12,8.234978e-12,9.354591e-12,1.039219e-11,1.368427e-11,2.462482e-11,1.804077e-10,7.667833e-09,1.646996e-10,1.187325e-10,2.129555e-10,5.463511e-09,1.785755e-11,2.178669e-11,1.997948e-12,2.631187e-12,2.045631e-12,3.115654e-12,7.029533e-12,2.658627e-10,2.661705e-12,9.308815e-12,2.057075e-12,4.384714e-11,2.055168e-12,1.641273e-12,1.399040e-12,2.835274e-12,1.360893e-12,1.343727e-12,1.292229e-12,1.305580e-12,1.322746e-12,1.355171e-12,1.257896e-12,1.301765e-12,1.278877e-12,1.265526e-12,1.198769e-12,1.238823e-12,1.229286e-12,1.235008e-12,1.233101e-12,1.219749e-12,1.208305e-12,1.175880e-12,1.238823e-12,1.189232e-12,1.168251e-12,1.214027e-12,1.185417e-12,1.212120e-12,1.198769e-12,1.147270e-12,1.189232e-12,1.154900e-12,1.206398e-12,1.099586e-12,1.175880e-12,1.212120e-12,1.204491e-12,1.170158e-12,1.194954e-12,1.194954e-12,1.179695e-12,1.191139e-12,1.149178e-12,1.156807e-12,1.149178e-12,1.151085e-12,1.158714e-12,1.109123e-12,1.099586e-12,1.181602e-12,1.183510e-12,1.093864e-12,1.172066e-12,1.107216e-12,1.143455e-12,1.122475e-12,1.126289e-12,1.086235e-12,1.116753e-12,1.097679e-12,1.141548e-12,1.051903e-12,1.112938e-12,1.112938e-12,1.067162e-12,1.067162e-12,1.095772e-12,1.091957e-12,1.112938e-12,1.038551e-12,1.090050e-12,1.027107e-12,1.042366e-12,1.015663e-12,1.078606e-12,1.055717e-12,1.067162e-12,1.061439e-12,1.044273e-12,1.091957e-12,1.053810e-12,1.065254e-12,1.023293e-12,1.030922e-12,1.006126e-12,1.038551e-12,1.008034e-12,1.057625e-12,1.008034e-12,1.002312e-12,1.011848e-12,1.002312e-12,1.028339e-12,1.013252e-12,1.035987e-12,9.747422e-13,1.039859e-12,1.055766e-12,9.872925e-13,1.033622e-12,1.014625e-12,9.716141e-13,9.820092e-13,9.940064e-13,1.010677e-12,1.046211e-12
 35.21300,  1.36493,1.351615e-10,2.289295e-09,2.289772e-10,8.637429e-10,1.278210e-11,3.366190e-11,7.163047e-12,8.307457e-12,9.259224e-12,1.040745e-11,1.387501e-11,2.478695e-11,1.777508e-10,7.684618e-09,1.646996e-10,1.181602e-10,2.156258e-10,5.428225e-09,1.765919e-11,2.187061e-11,2.013206e-12,2.659798e-12,2.060890e-12,3.058433e-12,7.077217e-12,2.683632e-10,2.665520e-12,9.299278e-12,2.066612e-12,4.370791e-11,2.053261e-12,1.564979e-12,1.378059e-12,2.804756e-12,1.334190e-12,1.343727e-12,1.311302e-12,1.275063e-12,1.294136e-12,1.326561e-12,1.303673e-12,1.317024e-12,1.261711e-12,1.236916e-12,1.217842e-12,1.261711e-12,1.235008e-12,1.227379e-12,1.236916e-12,1.215935e-12,1.238823e-12,1.227379e-12,1.244545e-12,1.191139e-12,1.212120e-12,1.255989e-12,1.187325e-12,1.204491e-12,1.204491e-12,1.162529e-12,1.219749e-12,1.204491e-12,1.160622e-12,1.177788e-12,1.175880e-12,1.172066e-12,1.185417e-12,1.191139e-12,1.202583e-12,1.173973e-12,1.173973e-12,1.204491e-12,1.147270e-12,1.120567e-12,1.143455e-12,1.151085e-12,1.122475e-12,1.160622e-12,1.158714e-12,1.107216e-12,1.130104e-12,1.111031e-12,1.187325e-12,1.128197e-12,1.103401e-12,1.082420e-12,1.158714e-12,1.143455e-12,1.067162e-12,1.091957e-12,1.078606e-12,1.132011e-12,1.105309e-12,1.097679e-12,1.088142e-12,1.059532e-12,1.116753e-12,1.078606e-12,1.053810e-12,1.069069e-12,1.111031e-12,1.069069e-12,1.105309e-12,1.067162e-12,1.126289e-12,1.053810e-12,1.082420e-12,1.057625e-12,1.065254e-12,1.091957e-12,1.065254e-12,1.038551e-12,1.051903e-12,1.040459e-12,1.053810e-12,1.046181e-12,1.044273e-12,1.088142e-12,1.059532e-12,1.091777e-12,1.017085e-12,9.920609e-13,1.025439e-12,1.028529e-12,1.038104e-12,1.023456e-12,9.685624e-13,1.009265e-12,9.965240e-13,9.739602e-13,1.064922e-12,1.005775e-12,1.004382e-12,9.865868e-13,9.974015e-13,9.894669e-13
 35.38300,  1.52974,1.336051e-10,2.287006e-09,2.291679e-10,8.660316e-10,1.275730e-11,3.347689e-11,7.180214e-12,8.294105e-12,9.379387e-12,1.038074e-11,1.393795e-11,2.466679e-11,1.777736e-10,7.651240e-09,1.652718e-10,1.181602e-10,2.142906e-10,5.440623e-09,1.785183e-11,2.184200e-11,1.984596e-12,2.608299e-12,2.144813e-12,3.125191e-12,7.027626e-12,2.679360e-10,2.655983e-12,9.200096e-12,1.961708e-12,4.332834e-11,1.969337e-12,1.547813e-12,1.378059e-12,2.739906e-12,1.324654e-12,1.334190e-12,1.338005e-12,1.313210e-12,1.301765e-12,1.332283e-12,1.280785e-12,1.299858e-12,1.252174e-12,1.210213e-12,1.255989e-12,1.208305e-12,1.212120e-12,1.259804e-12,1.215935e-12,1.231194e-12,1.212120e-12,1.246452e-12,1.183510e-12,1.248360e-12,1.214027e-12,1.242638e-12,1.204491e-12,1.208305e-12,1.145363e-12,1.191139e-12,1.172066e-12,1.208305e-12,1.132011e-12,1.179695e-12,1.187325e-12,1.158714e-12,1.193047e-12,1.151085e-12,1.208305e-12,1.200676e-12,1.111031e-12,1.158714e-12,1.166344e-12,1.152992e-12,1.185417e-12,1.137733e-12,1.122475e-12,1.151085e-12,1.143455e-12,1.107216e-12,1.147270e-12,1.114845e-12,1.114845e-12,1.107216e-12,1.151085e-12,1.116753e-12,1.143455e-12,1.133919e-12,1.067162e-12,1.122475e-12,1.055717e-12,1.088142e-12,1.135826e-12,1.093864e-12,1.072884e-12,1.086235e-12,1.036644e-12,1.099586e-12,1.093864e-12,1.078606e-12,1.118660e-12,1.082420e-12,1.093864e-12,1.051903e-12,1.025200e-12,1.105309e-12,1.053810e-12,1.034737e-12,1.088142e-12,1.126910e-12,1.061965e-12,1.023990e-12,1.082412e-12,1.035682e-12,1.060325e-12,1.056758e-12,1.046115e-12,1.062862e-12,1.074744e-12,1.016818e-12,1.061107e-12,9.663498e-13,1.030742e-12,9.927666e-13,1.023875e-12,1.069518e-12,9.989845e-13,9.440148e-13,1.038085e-12,1.002094e-12,9.819901e-13,1.028434e-12,9.797776e-13,1.017696e-12,9.658730e-13,9.875023e-13
