#EXPORTTYPE:                 ,DATA ALL                                  
#FILE:                       ,2025_07_17_SL_PS_Tosoh_F10_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                  
#FTYPE:                      ,ASCII                                     
#IDENTITY:                   ,PS-Tosoh-F10                              
#DECIMAL:                    ,POINT                                     
#SEPARATOR:                  ,COMMA                                     
#MTYPE:                      ,DSC                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                         
#PROJECT:                    ,                                          
#DATE/TIME:                  ,7/17/2025 6:46:12 PM (UTC-4)              
#CORR. FILE:                 ,                                          
#TEMPCAL:                    ,05-05-2025 14:38                          
#SENSITIVITY:                ,28-06-2023 13:53                          
#LABORATORY:                 ,Tran/AAG                                  
#OPERATOR:                   ,Stan                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic              
#SAMPLE:                     ,PS-Tosoh-F10                              
#SAMPLE MASS /mg:            ,4.92                                      
#MATERIAL:                   ,Polystyrene                               
#REFERENCE:                  ,                                          
#REFERENCE MASS /mg:         ,0                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                         
#DSC RANGE /‘V:              ,5000                                      
#TG RANGE /mg:               ,35000                                     
#TAU-R:                      ,---                                       
#CORR. CODE:                 ,000                                       
#EXO:                        ,-1                                        
#RANGE:                      ,20›C....800›C/0.0....20.0K/min            
#SEGMENT:                    ,S1-4/4                                    
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                     
#SEG. 2:                     ,100›C/00:05/100›C                         
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                    
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                   

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.89900,  0.00000,      0.87280,    100.00000,50.00000,33.00000,            ,0.92423,1
 33.97400,  0.06667,      0.79092,     99.96565,50.00000,32.00000,1.789602e-08,0.92423,1
 34.05500,  0.13333,      0.71406,     99.86890,50.00000,37.00000,1.792150e-08,0.92424,1
 34.12700,  0.20000,      0.64577,     99.82520,50.00000,36.00000,1.792150e-08,0.92424,1
 34.21900,  0.26667,      0.58637,     99.77703,50.00000,39.00000,1.794911e-08,0.92425,1
 34.28200,  0.33333,      0.53167,     99.74024,50.00000,39.00000,1.794911e-08,0.92425,1
 34.35700,  0.40000,      0.48351,     99.70793,50.00000,39.00000,1.794911e-08,0.92425,1
 34.41500,  0.46667,      0.43972,     99.70793,50.00000,41.00000,1.793812e-08,0.92426,1
 34.50600,  0.53333,      0.40180,     99.65285,50.00000,41.00000,1.793812e-08,0.92426,1
 34.57300,  0.60000,      0.36858,     99.65285,50.00000,40.00000,1.791886e-08,0.92428,1
 34.63300,  0.66667,      0.33804,     99.65285,50.00000,40.00000,1.791886e-08,0.92428,1
 34.70500,  0.73333,      0.31287,     99.62520,50.00000,40.00000,1.791886e-08,0.92428,1
 34.78100,  0.80000,      0.28737,     99.62520,50.00000,40.00000,1.793212e-08,0.92429,1
 34.83500,  0.86667,      0.26606,     99.62520,50.00000,40.00000,1.793212e-08,0.92429,1
 34.89400,  0.93333,      0.24878,     99.62520,50.00000,39.00000,1.793212e-08,0.92429,1
 34.96800,  1.00000,      0.23066,     99.59756,50.00000,39.00000,1.793197e-08,0.92430,1
 35.02400,  1.06667,      0.21321,     99.57012,50.00000,39.00000,1.793197e-08,0.92430,1
 35.08500,  1.13333,      0.19895,     99.57012,50.00000,39.00000,1.794219e-08,0.92431,1
 35.15900,  1.20000,      0.18704,     99.59756,50.00000,39.00000,1.794219e-08,0.92431,1
 35.21300,  1.26667,      0.17295,     99.59756,50.00000,39.00000,1.794219e-08,0.92431,1
 35.26000,  1.33333,      0.16204,     99.58394,50.00000,38.00000,1.793228e-08,0.92432,1
 35.33400,  1.40000,      0.15298,     99.54248,50.00000,38.00000,1.793228e-08,0.92432,1
 35.38300,  1.46667,      0.14057,     99.54248,50.00000,38.00000,1.790768e-08,0.92433,1
 35.43300,  1.53333,      0.13302,     98.81362,50.00000,38.00000,1.790768e-08,0.92433,1
 35.50800,  1.60000,      0.12446,     93.73394,50.00000,38.00000,1.790768e-08,0.92433,1
 35.56400,  1.66667,      0.11674,     92.82805,50.00000,38.00000,1.794709e-08,0.92434,1
 35.61100,  1.73333,      0.10987,     92.25772,50.00000,38.00000,1.794709e-08,0.92434,1
 35.66600,  1.80000,      0.10232,     92.04167,50.00000,38.00000,1.790917e-08,0.92435,1
 35.68100,  1.86667, 9.560764e-02,     91.89451,50.00000,38.00000,1.790917e-08,0.92435,1
 35.73500,  1.93333, 8.805891e-02,     91.83008,50.00000,38.00000,1.790917e-08,0.92435,1
 35.76800,  2.00000, 8.269108e-02,     91.78415,50.00000,38.00000,1.789034e-08,0.92437,1
 35.81600,  2.06667, 7.782630e-02,     91.74268,50.00000,38.00000,1.789034e-08,0.92437,1
 35.85900,  2.13333, 7.195529e-02,     91.77033,50.00000,38.00000,1.789816e-08,0.92437,1
 35.89100,  2.20000, 6.507811e-02,     91.79776,50.00000,38.00000,1.789816e-08,0.92437,1
 35.94400,  2.26667, 6.004580e-02,     91.82541,50.00000,38.00000,1.789816e-08,0.92437,1
 35.97900,  2.33333, 5.501372e-02,     91.85305,50.00000,38.00000,1.790086e-08,0.92438,1
 36.00900,  2.40000, 5.115581e-02,     91.85305,50.00000,38.00000,1.790086e-08,0.92438,1
 36.05500,  2.46667, 4.528514e-02,     91.85305,50.00000,38.00000,1.790086e-08,0.92438,1
 36.08000,  2.53333, 4.142735e-02,     91.91280,50.00000,38.00000,1.791424e-08,0.92439,1
 36.11200,  2.60000, 3.706639e-02,     91.91280,50.00000,38.00000,1.791424e-08,0.92439,1
 36.16400,  2.66667, 3.287309e-02,     91.97724,50.00000,38.00000,1.789140e-08,0.92440,1
 36.18100,  2.73333, 3.018950e-02,     91.97724,50.00000,38.00000,1.789140e-08,0.92440,1
 36.20800,  2.80000, 2.649956e-02,     92.00488,50.00000,38.00000,1.789140e-08,0.92440,1
 36.24000,  2.86667, 2.297735e-02,     92.02541,50.00000,38.00000,1.790036e-08,0.92441,1
 36.28100,  2.93333, 1.962287e-02,     92.03232,50.00000,38.00000,1.790036e-08,0.92441,1
 36.30100,  3.00000, 1.811336e-02,     92.05996,50.00000,38.00000,1.792383e-08,0.92442,1
 36.33400,  3.06667, 1.626840e-02,     92.05996,50.00000,38.00000,1.792383e-08,0.92442,1
 36.36400,  3.13333, 1.459117e-02,     92.05996,50.00000,38.00000,1.792383e-08,0.92442,1
 36.40300,  3.20000, 1.492651e-02,     92.05305,50.00000,38.00000,1.789634e-08,0.92443,1
 36.43400,  3.26667, 1.475873e-02,     92.03232,50.00000,38.00000,1.789634e-08,0.92443,1
 36.48700,  3.33333, 1.526174e-02,     92.03232,50.00000,38.00000,1.794231e-08,0.92444,1
 36.52500,  3.40000, 1.643562e-02,     92.03232,50.00000,38.00000,1.794231e-08,0.92444,1
 36.56300,  3.46667, 1.811262e-02,     92.03232,50.00000,38.00000,1.794231e-08,0.92444,1
 36.61400,  3.53333, 2.129894e-02,     92.03232,50.00000,38.00000,1.790481e-08,0.92445,1
 36.67700,  3.60000, 2.465286e-02,     92.03232,50.00000,38.00000,1.790481e-08,0.92445,1
 36.69700,  3.66667, 2.934855e-02,     92.03232,50.00000,38.00000,1.790786e-08,0.92446,1
 36.75900,  3.73333, 3.538563e-02,     92.03232,50.00000,38.00000,1.790786e-08,0.92446,1
 36.80900,  3.80000, 4.108727e-02,     92.05996,50.00000,38.00000,1.790786e-08,0.92446,1
 36.86000,  3.86667, 4.779503e-02,     92.05996,50.00000,38.00000,1.791650e-08,0.92446,1
 36.94200,  3.93333, 5.534093e-02,     92.05996,50.00000,38.00000,1.791650e-08,0.92446,1
 36.99400,  4.00000, 6.188073e-02,     92.03232,50.00000,38.00000,1.792477e-08,0.92448,1
 37.06800,  4.06667, 7.143874e-02,     92.05996,50.00000,38.00000,1.792477e-08,0.92448,1
 37.14500,  4.13333, 8.149960e-02,     92.08760,50.00000,38.00000,1.792477e-08,0.92448,1
 37.22200,  4.20000, 9.072176e-02,     92.11524,50.00000,38.00000,1.787966e-08,0.92448,1
 37.29900,  4.26667,      0.10380,     92.12907,50.00000,38.00000,1.787966e-08,0.92448,1
 37.37900,  4.33333,      0.11571,     92.14268,50.00000,38.00000,1.791511e-08,0.92449,1
 37.47100,  4.40000,      0.12694,     92.17033,50.00000,38.00000,1.791511e-08,0.92449,1
 37.57300,  4.46667,      0.14035,     92.19797,50.00000,38.00000,1.791511e-08,0.92449,1
 37.67500,  4.53333,      0.15209,     92.19797,50.00000,38.00000,1.791475e-08,0.92450,1
 37.77900,  4.60000,      0.16734,     92.19797,50.00000,38.00000,1.791475e-08,0.92450,1
 37.88000,  4.66667,      0.18176,     92.22561,50.00000,38.00000,1.793879e-08,0.92450,1
 38.00800,  4.73333,      0.19685,     92.25305,50.00000,38.00000,1.793879e-08,0.92450,1
 38.11900,  4.80000,      0.21059,     92.28069,50.00000,38.00000,1.793879e-08,0.92450,1
 38.25900,  4.86667,      0.22702,     92.28069,50.00000,38.00000,1.790107e-08,0.92451,1
 38.37000,  4.93333,      0.24211,     92.30833,50.00000,38.00000,1.790107e-08,0.92451,1
 38.49700,  5.00000,      0.25652,     92.36362,50.00000,38.00000,1.790107e-08,0.92451,1
 38.64700,  5.06667,      0.27513,     92.39106,50.00000,38.00000,1.790450e-08,0.92451,1
 38.77800,  5.13333,      0.29105,     92.41870,50.00000,38.00000,1.790450e-08,0.92451,1
 38.91300,  5.20000,      0.30680,     92.44634,50.00000,38.00000,1.791781e-08,0.92452,1
 39.07800,  5.26667,      0.32188,     92.47622,50.00000,38.00000,1.791781e-08,0.92452,1
 39.24800,  5.33333,      0.33898,     92.53130,50.00000,38.00000,1.791781e-08,0.92452,1
 39.39300,  5.40000,      0.35590,     92.53130,50.00000,38.00000,1.791938e-08,0.92453,1
 39.57400,  5.46667,      0.37417,     92.56585,50.00000,38.00000,1.791938e-08,0.92453,1
 39.72500,  5.53333,      0.38992,     92.60732,50.00000,38.00000,1.791616e-08,0.92453,1
 39.89700,  5.60000,      0.40734,     92.61423,50.00000,38.00000,1.791616e-08,0.92453,1
 40.07300,  5.66667,      0.42376,     92.67398,50.00000,38.00000,1.791616e-08,0.92453,1
 40.27300,  5.73333,      0.44101,     92.72683,50.00000,38.00000,1.792248e-08,0.92454,1
 40.44300,  5.80000,      0.45726,     92.73374,50.00000,38.00000,1.792248e-08,0.92454,1
 40.65200,  5.86667,      0.47401,     92.76138,50.00000,38.00000,1.791948e-08,0.92454,1
 40.83500,  5.93333,      0.49210,     92.78882,50.00000,38.00000,1.791948e-08,0.92454,1
 41.04700,  6.00000,      0.50801,     92.81646,50.00000,38.00000,1.791948e-08,0.92454,1
 41.25200,  6.06667,      0.52476,     92.87398,50.00000,38.00000,1.791022e-08,0.92455,1
 41.45400,  6.13333,      0.54184,     92.90163,50.00000,38.00000,1.791022e-08,0.92455,1
 41.67200,  6.20000,      0.55909,     92.93150,50.00000,38.00000,1.789434e-08,0.92456,1
 41.88900,  6.26667,      0.57667,     92.95915,50.00000,39.00000,1.789434e-08,0.92456,1
 42.11100,  6.33333,      0.59224,     92.98659,50.00000,39.00000,1.789434e-08,0.92456,1
 42.33500,  6.40000,      0.61016,     93.04878,50.00000,38.00000,1.789321e-08,0.92456,1
 42.56400,  6.46667,      0.62690,     93.09472,50.00000,39.00000,1.789321e-08,0.92456,1
 42.79600,  6.53333,      0.64180,     93.12927,50.00000,39.00000,1.790539e-08,0.92456,1
 43.02500,  6.60000,      0.65887,     93.13618,50.00000,39.00000,1.790539e-08,0.92456,1
 43.28300,  6.66667,      0.67477,     93.16382,50.00000,39.00000,1.790539e-08,0.92456,1
 43.51400,  6.73333,      0.69101,     93.22581,50.00000,39.00000,1.789651e-08,0.92457,1
 43.78300,  6.80000,      0.70708,     93.32012,50.00000,39.00000,1.789651e-08,0.92457,1
 44.02200,  6.86667,      0.72616,     93.47886,50.00000,38.00000,1.789651e-08,0.92457,1
 44.28600,  6.93333,      0.74089,     93.47886,50.00000,29.00000,1.791710e-08,0.92457,1
 44.54600,  7.00000,      0.75729,     93.56382,50.00000,30.00000,1.791710e-08,0.92457,1
 44.82500,  7.06667,      0.77234,     93.60061,50.00000,30.00000,1.793606e-08,0.92458,1
 45.08200,  7.13333,      0.79059,     93.62825,50.00000,30.00000,1.793606e-08,0.92458,1
 45.35400,  7.20000,      0.80598,     93.69715,50.00000,29.00000,1.793606e-08,0.92458,1
 45.63400,  7.26667,      0.82053,     93.81443,50.00000,29.00000,1.794170e-08,0.92458,1
 45.92500,  7.33333,      0.83710,     93.93638,50.00000,28.00000,1.794170e-08,0.92458,1
 46.19900,  7.40000,      0.85165,     94.07886,50.00000,28.00000,1.791698e-08,0.92459,1
 46.49800,  7.46667,      0.86838,     94.19167,50.00000,28.00000,1.791698e-08,0.92459,1
 46.78400,  7.53333,      0.88377,     94.30650,50.00000,28.00000,1.791698e-08,0.92459,1
 47.08300,  7.60000,      0.89849,     94.40996,50.00000,28.00000,1.790885e-08,0.92459,1
 47.39100,  7.66667,      0.91388,     94.43760,50.00000,28.00000,1.790885e-08,0.92459,1
 47.68100,  7.73333,      0.93044,     94.50671,50.00000,28.00000,1.791427e-08,0.92460,1
 47.98100,  7.80000,      0.94599,     94.62154,50.00000,28.00000,1.791427e-08,0.92460,1
 48.31000,  7.86667,      0.96104,     94.62154,50.00000,28.00000,1.791427e-08,0.92460,1
 48.61400,  7.93333,      0.97626,     94.70447,50.00000,28.00000,1.790667e-08,0.92460,1
 48.93100,  8.00000,      0.99081,     94.78943,50.00000,28.00000,1.790667e-08,0.92460,1
 49.25700,  8.06667,      1.00620,     94.81931,50.00000,28.00000,1.791564e-08,0.92461,1
 49.59200,  8.13333,      1.01874,     94.88150,50.00000,28.00000,1.791564e-08,0.92461,1
 49.90800,  8.20000,      1.03463,     94.98496,50.00000,28.00000,1.791564e-08,0.92461,1
 50.22100,  8.26667,      1.04935,     95.03780,50.00000,28.00000,1.791930e-08,0.92461,1
 50.56200,  8.33333,      1.06306,     95.06545,50.00000,28.00000,1.791930e-08,0.92461,1
 50.90400,  8.40000,      1.07660,     95.09309,50.00000,28.00000,1.791930e-08,0.92461,1
 51.24000,  8.46667,      1.09132,     95.12053,50.00000,28.00000,1.788832e-08,0.92462,1
 51.59300,  8.53333,      1.10503,     95.15285,50.00000,28.00000,1.788832e-08,0.92462,1
 51.93300,  8.60000,      1.11958,     95.18028,50.00000,28.00000,1.791176e-08,0.92462,1
 52.27000,  8.66667,      1.13380,     95.20793,50.00000,28.00000,1.791176e-08,0.92462,1
 52.63300,  8.73333,      1.14801,     95.26768,50.00000,28.00000,1.791176e-08,0.92462,1
 52.97400,  8.80000,      1.15988,     95.26768,50.00000,28.00000,1.785856e-08,0.92463,1
 53.33200,  8.86667,      1.17393,     95.28150,50.00000,28.00000,1.785856e-08,0.92463,1
 53.70600,  8.93333,      1.18731,     95.32520,50.00000,28.00000,1.790746e-08,0.92464,1
