#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_07_18_SL_PS_Tosoh_F10_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Tosoh-F10                                 
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,DSC                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,                                             
#DATE/TIME:                  ,7/18/2025 9:59:08 AM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stan                                         
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal             
#SAMPLE:                     ,PS-Tosoh-F10                                 
#SAMPLE MASS /mg:            ,4.76                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
#TAU-R:                      ,---                                          
#CORR. CODE:                 ,000                                          
#EXO:                        ,-1                                           
#RANGE:                      ,30›C....800›C/0.0....20.0K/min               
#SEGMENT:                    ,S4/5                                         
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:10/100›C                            
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                       
#SEG. 4:                     ,300›C/20:00/300›C                            
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                      

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
298.99399,  57.10000,      2.71595,97.02668,50.00000,31.00000,1.767713e-08,0.78814
299.47800,  57.20000,      2.70001,97.18361,50.00000,31.00000,1.767713e-08,0.78814
299.92599,  57.30000,      2.66153,97.40945,50.00000,31.00000,1.764296e-08,0.78769
300.36200,  57.40000,      2.59671,97.55903,50.00000,31.00000,1.767090e-08,0.78727
300.74799,  57.50000,      2.50252,97.69937,50.00000,31.00000,1.767090e-08,0.78727
301.08499,  57.60000,      2.38467,97.81113,50.00000,31.00000,1.770627e-08,0.78687
301.38000,  57.70000,      2.24275,97.95126,50.00000,31.00000,1.770627e-08,0.78687
301.62601,  57.80000,      2.08591,98.15084,50.00000,31.00000,1.766457e-08,0.78651
301.84000,  57.90000,      1.92238,98.15336,50.00000,31.00000,1.769377e-08,0.78619
302.01599,  58.00000,      1.75155,98.18424,50.00000,31.00000,1.769377e-08,0.78619
302.15601,  58.10000,      1.58303,98.18424,50.00000,31.00000,1.768575e-08,0.78592
302.26901,  58.20000,      1.42114,98.20567,50.00000,31.00000,1.768575e-08,0.78592
302.36700,  58.30000,      1.27184,98.14853,50.00000,31.00000,1.768079e-08,0.78569
302.44501,  58.40000,      1.13617,98.10567,50.00000,31.00000,1.764187e-08,0.78549
302.51199,  58.50000,      1.01659,98.06303,50.00000,31.00000,1.764187e-08,0.78549
302.57599,  58.60000,      0.91455,98.03214,50.00000,31.00000,1.766068e-08,0.78532
302.64099,  58.70000,      0.82925,98.00357,50.00000,31.00000,1.766068e-08,0.78532
302.69800,  58.80000,      0.76373,98.00126,50.00000,31.00000,1.766264e-08,0.78519
302.76199,  58.90000,      0.70864,97.97269,50.00000,31.00000,1.767153e-08,0.78509
302.83099,  59.00000,      0.67008,97.94412,50.00000,31.00000,1.767153e-08,0.78509
302.89301,  59.10000,      0.63908,97.94412,50.00000,31.00000,1.769890e-08,0.78500
302.97198,  59.20000,      0.61871,97.91555,50.00000,31.00000,1.769890e-08,0.78500
303.03900,  59.30000,      0.60220,97.91555,50.00000,31.00000,1.765044e-08,0.78492
303.10800,  59.40000,      0.59081,97.88235,50.00000,31.00000,1.765319e-08,0.78486
303.18201,  59.50000,      0.57901,97.85378,50.00000,31.00000,1.765319e-08,0.78486
303.25500,  59.60000,      0.56475,97.85378,50.00000,31.00000,1.766293e-08,0.78480
303.31900,  59.70000,      0.54926,97.82521,50.00000,31.00000,1.766293e-08,0.78480
303.36801,  59.80000,      0.53437,97.82521,50.00000,31.00000,1.763757e-08,0.78474
303.41699,  59.90000,      0.51293,97.82521,50.00000,31.00000,1.765884e-08,0.78469
303.47900,  60.00000,      0.48946,97.76597,50.00000,31.00000,1.765884e-08,0.78469
303.50800,  60.10000,      0.46208,97.76597,50.00000,31.00000,1.766053e-08,0.78463
303.54001,  60.20000,      0.42938,97.73739,50.00000,31.00000,1.766053e-08,0.78463
303.55899,  60.30000,      0.39647,97.73739,50.00000,31.00000,1.763390e-08,0.78456
303.55600,  60.40000,      0.36110,97.70882,50.00000,31.00000,1.768805e-08,0.78451
303.56601,  60.50000,      0.32613,97.68025,50.00000,31.00000,1.768805e-08,0.78451
303.57599,  60.60000,      0.28892,97.68025,50.00000,31.00000,1.764872e-08,0.78443
303.54999,  60.70000,      0.25395,97.65189,50.00000,31.00000,1.764872e-08,0.78443
303.54999,  60.80000,      0.21796,97.59475,50.00000,31.00000,1.769718e-08,0.78437
303.54099,  60.90000,      0.18566,97.59475,50.00000,31.00000,1.769718e-08,0.78437
303.51099,  61.00000,      0.15641,97.59475,50.00000,31.00000,1.768487e-08,0.78430
303.48199,  61.10000,      0.13065,97.55189,50.00000,31.00000,1.768152e-08,0.78423
303.46399,  61.20000,      0.10529,97.56618,50.00000,31.00000,1.768152e-08,0.78423
303.42099,  61.30000, 8.422832e-02,97.53782,50.00000,31.00000,1.767368e-08,0.78417
303.38400,  61.40000, 6.459945e-02,97.50924,50.00000,31.00000,1.767368e-08,0.78417
303.34799,  61.50000, 4.946961e-02,97.50924,50.00000,31.00000,1.766784e-08,0.78411
303.32501,  61.60000, 3.699898e-02,97.48067,50.00000,31.00000,1.765453e-08,0.78406
303.28201,  61.70000, 2.534607e-02,97.48067,50.00000,31.00000,1.765453e-08,0.78406
303.26001,  61.80000, 1.798706e-02,97.48067,50.00000,31.00000,1.762963e-08,0.78402
