#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_07_19_SL_PS_Tosoh_L3_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-005d-L3                                  
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,7/19/2025 1:16:54 PM (UTC-4)                
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal            
#SAMPLE:                     ,PS-005d-L3                                  
#SAMPLE MASS /mg:            ,4.79                                        
#MATERIAL:                   ,Polystyrene                                 
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/20:00/300›C                           
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.49100,   0.00000,      0.60661,    100.00000,50.00000,50.00000,            ,0.92346,1
 29.55900,   0.04000,      0.59194,    100.04969,50.00000,50.00000,1.780198e-08,0.92346,1
 29.64700,   0.08000,      0.57813,    100.04718,50.00000,50.00000,1.780198e-08,0.92346,1
 29.72800,   0.12000,      0.56312,     99.96221,50.00000,50.00000,1.780804e-08,0.92347,1
 29.81500,   0.16000,      0.55017,     99.98121,50.00000,50.00000,1.780804e-08,0.92347,1
 29.88700,   0.20000,      0.53878,     99.86075,50.00000,50.00000,1.780804e-08,0.92347,1
 29.97400,   0.24000,      0.52636,     99.90084,50.00000,50.00000,1.780804e-08,0.92347,1
 30.06200,   0.28000,      0.51876,     99.90084,50.00000,50.00000,1.784315e-08,0.92349,1
 30.14400,   0.32000,      0.50875,     99.90084,50.00000,50.00000,1.784315e-08,0.92349,1
 30.22700,   0.36000,      0.50098,     99.90084,50.00000,50.00000,1.784315e-08,0.92349,1
 30.33100,   0.40000,      0.49597,     99.90084,50.00000,50.00000,1.784315e-08,0.92349,1
 30.41600,   0.44000,      0.49147,     99.92923,50.00000,50.00000,1.779338e-08,0.92350,1
 30.51200,   0.48000,      0.48819,     99.95052,50.00000,50.00000,1.779338e-08,0.92350,1
 30.59000,   0.52000,      0.48611,     99.95762,50.00000,50.00000,1.779338e-08,0.92350,1
 30.71500,   0.56000,      0.48696,     99.98580,50.00000,50.00000,1.779338e-08,0.92350,1
 30.80200,   0.60000,      0.48816,    100.01649,50.00000,50.00000,1.779661e-08,0.92352,1
 30.90000,   0.64000,      0.49212,    100.04718,50.00000,50.00000,1.779661e-08,0.92352,1
 31.03000,   0.68000,      0.49745,    100.06848,50.00000,50.00000,1.779661e-08,0.92352,1
 31.13600,   0.72000,      0.50348,    100.10877,50.00000,50.00000,1.779661e-08,0.92352,1
 31.25300,   0.76000,      0.51105,    100.14175,50.00000,50.00000,1.779661e-08,0.92352,1
