#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_07_20_SL_PS_Tosoh_F4_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-Tosoh-F4                                 
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,7/20/2025 11:49:11 AM (UTC-4)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal            
#SAMPLE:                     ,PS-Tosoh-F4                                 
#SAMPLE MASS /mg:            ,5.13                                        
#MATERIAL:                   ,Polystyrene                                 
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/20:00/300›C                           
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.22900,   0.00000,      0.64953,    100.00000,50.00000,50.00000,            ,0.92412,1
 33.36400,   0.04000,      0.63149,     99.96901,50.00000,50.00000,1.801356e-08,0.92412,1
 33.49400,   0.08000,      0.61136,     99.92943,50.00000,50.00000,1.801356e-08,0.92412,1
 33.63400,   0.12000,      0.59493,     99.81910,50.00000,50.00000,1.809937e-08,0.92414,1
 33.75500,   0.16000,      0.57850,     99.78830,50.00000,50.00000,1.809937e-08,0.92414,1
 33.88800,   0.20000,      0.56014,     99.75517,50.00000,50.00000,1.809937e-08,0.92414,1
 34.02100,   0.24000,      0.54549,     99.72865,50.00000,50.00000,1.809937e-08,0.92414,1
 34.13400,   0.28000,      0.53196,     99.70214,50.00000,50.00000,1.810201e-08,0.92416,1
 34.25900,   0.32000,      0.51908,     99.67349,50.00000,50.00000,1.810201e-08,0.92416,1
 34.39200,   0.36000,      0.50829,     99.65380,50.00000,50.00000,1.810201e-08,0.92416,1
 34.54100,   0.40000,      0.49717,     99.64717,50.00000,50.00000,1.810201e-08,0.92416,1
 34.65100,   0.44000,      0.48831,     99.64717,50.00000,50.00000,1.806034e-08,0.92418,1
 34.77900,   0.48000,      0.48026,     99.64717,50.00000,50.00000,1.806034e-08,0.92418,1
 34.91800,   0.52000,      0.47333,     99.62066,50.00000,50.00000,1.806034e-08,0.92418,1
 35.03700,   0.56000,      0.46881,     99.62066,50.00000,50.00000,1.806034e-08,0.92418,1
 35.16100,   0.60000,      0.46350,     99.62066,50.00000,50.00000,1.806034e-08,0.92418,1
 35.30600,   0.64000,      0.46075,     99.62066,50.00000,50.00000,1.807966e-08,0.92420,1
 35.43200,   0.68000,      0.45817,     99.62066,50.00000,50.00000,1.807966e-08,0.92420,1
 35.56600,   0.72000,      0.45558,     99.64717,50.00000,50.00000,1.807966e-08,0.92420,1
 35.70700,   0.76000,      0.45589,     99.64717,50.00000,50.00000,1.807966e-08,0.92420,1
 35.84700,   0.80000,      0.45540,     99.66686,50.00000,50.00000,1.806762e-08,0.92422,1
 35.99000,   0.84000,      0.45748,     99.67349,50.00000,50.00000,1.806762e-08,0.92422,1
 36.13000,   0.88000,      0.45892,     99.70000,50.00000,50.00000,1.806762e-08,0.92422,1
 36.28800,   0.92000,      0.46261,     99.73080,50.00000,50.00000,1.806762e-08,0.92422,1
 36.44200,   0.96000,      0.46597,     99.76179,50.00000,50.00000,1.807284e-08,0.92425,1
 36.58000,   1.00000,      0.46982,     99.78830,50.00000,50.00000,1.807284e-08,0.92425,1
 36.72300,   1.04000,      0.47400,     99.54561,50.00000,50.00000,1.807284e-08,0.92425,1
 36.87600,   1.08000,      0.47801,     97.08226,50.00000,50.00000,1.807284e-08,0.92425,1
 37.04000,   1.12000,      0.48411,     93.34425,50.00000,50.00000,1.802307e-08,0.92426,1
 37.18200,   1.16000,      0.48924,     92.53275,50.00000,50.00000,1.802307e-08,0.92426,1
 37.34500,   1.20000,      0.49550,     92.05848,50.00000,50.00000,1.802307e-08,0.92426,1
 37.49600,   1.24000,      0.50128,     91.76296,50.00000,50.00000,1.802307e-08,0.92426,1
 37.65500,   1.28000,      0.50722,     91.61520,50.00000,50.00000,1.802307e-08,0.92426,1
 37.82900,   1.32000,      0.51396,     91.50721,50.00000,50.00000,1.804985e-08,0.92428,1
 37.98000,   1.36000,      0.52151,     91.37037,50.00000,50.00000,1.804985e-08,0.92428,1
 38.14500,   1.40000,      0.52712,     91.37037,50.00000,50.00000,1.804985e-08,0.92428,1
 38.30500,   1.44000,      0.53354,     91.37037,50.00000,50.00000,1.804985e-08,0.92428,1
 38.47400,   1.48000,      0.54077,     91.39688,50.00000,50.00000,1.808451e-08,0.92430,1
 38.65100,   1.52000,      0.54799,     91.42339,50.00000,50.00000,1.808451e-08,0.92430,1
 38.79800,   1.56000,      0.55457,     91.44990,50.00000,50.00000,1.808451e-08,0.92430,1
 38.98300,   1.60000,      0.56034,     91.48070,50.00000,50.00000,1.808451e-08,0.92430,1
 39.14500,   1.64000,      0.56741,     91.53138,50.00000,50.00000,1.802946e-08,0.92433,1
 39.32400,   1.68000,      0.57366,     91.55575,50.00000,50.00000,1.802946e-08,0.92433,1
 39.48600,   1.72000,      0.58137,     91.57563,50.00000,50.00000,1.802946e-08,0.92433,1
 39.68100,   1.76000,      0.58746,     91.60429,50.00000,50.00000,1.802946e-08,0.92433,1
 39.83000,   1.80000,      0.59324,     91.68363,50.00000,50.00000,1.805548e-08,0.92434,1
 40.01200,   1.84000,      0.60014,     91.75205,50.00000,50.00000,1.805548e-08,0.92434,1
 40.19200,   1.88000,      0.60720,     91.75205,50.00000,50.00000,1.805548e-08,0.92434,1
 40.37000,   1.92000,      0.61313,     91.77836,50.00000,50.00000,1.805548e-08,0.92434,1
 40.55000,   1.96000,      0.61923,     91.85127,50.00000,50.00000,1.805548e-08,0.92434,1
 40.73400,   2.00000,      0.62645,     91.88869,50.00000,50.00000,1.807340e-08,0.92436,1
 40.92100,   2.04000,      0.63334,     91.94386,50.00000,50.00000,1.807340e-08,0.92436,1
 41.09200,   2.08000,      0.63815,     91.97466,50.00000,50.00000,1.807340e-08,0.92436,1
 41.27300,   2.12000,      0.64393,     92.04094,50.00000,50.00000,1.807340e-08,0.92436,1
 41.46200,   2.16000,      0.65114,     92.11813,50.00000,50.00000,1.809377e-08,0.92439,1
 41.65700,   2.20000,      0.65756,     92.15107,50.00000,50.00000,1.809377e-08,0.92439,1
 41.83900,   2.24000,      0.66413,     92.15107,50.00000,50.00000,1.809377e-08,0.92439,1
 42.02900,   2.28000,      0.67151,     92.21735,50.00000,50.00000,1.809377e-08,0.92439,1
 42.22400,   2.32000,      0.67648,     92.27251,50.00000,50.00000,1.808171e-08,0.92440,1
 42.39800,   2.36000,      0.68402,     92.31209,50.00000,50.00000,1.808171e-08,0.92440,1
 42.60700,   2.40000,      0.69043,     92.33860,50.00000,50.00000,1.808171e-08,0.92440,1
 42.80300,   2.44000,      0.69652,     92.35400,50.00000,50.00000,1.808171e-08,0.92440,1
 42.99500,   2.48000,      0.70406,     92.40916,50.00000,50.00000,1.806266e-08,0.92442,1
 43.19400,   2.52000,      0.71192,     92.44659,50.00000,50.00000,1.806266e-08,0.92442,1
 43.40500,   2.56000,      0.71850,     92.50175,50.00000,50.00000,1.806266e-08,0.92442,1
 43.60600,   2.60000,      0.72539,     92.53041,50.00000,50.00000,1.806266e-08,0.92442,1
 43.80700,   2.64000,      0.73566,     92.53041,50.00000,50.00000,1.810268e-08,0.92444,1
 44.00900,   2.68000,      0.74175,     92.53704,50.00000,50.00000,1.810268e-08,0.92444,1
 44.22000,   2.72000,      0.75105,     92.57895,50.00000,50.00000,1.810268e-08,0.92444,1
 44.43100,   2.76000,      0.75907,     92.61871,50.00000,50.00000,1.810268e-08,0.92444,1
 44.63900,   2.80000,      0.76870,     92.64522,50.00000,50.00000,1.810268e-08,0.92444,1
 44.85800,   2.84000,      0.77704,     92.64522,50.00000,50.00000,1.804990e-08,0.92446,1
 45.07400,   2.88000,      0.78570,     92.67388,50.00000,50.00000,1.804990e-08,0.92446,1
 45.30600,   2.92000,      0.79500,     92.70019,50.00000,50.00000,1.804990e-08,0.92446,1
 45.52800,   2.96000,      0.80511,     92.72885,50.00000,50.00000,1.804990e-08,0.92446,1
 45.74700,   3.00000,      0.81666,     92.75536,50.00000,50.00000,1.806611e-08,0.92448,1
 45.96600,   3.04000,      0.82628,     92.79961,50.00000,50.00000,1.806611e-08,0.92448,1
 46.19900,   3.08000,      0.83687,     92.84795,50.00000,50.00000,1.806611e-08,0.92448,1
 46.42400,   3.12000,      0.84729,     92.87446,50.00000,50.00000,1.806611e-08,0.92448,1
 46.66100,   3.16000,      0.85917,     92.90546,50.00000,50.00000,1.805990e-08,0.92450,1
 46.89300,   3.20000,      0.87040,     92.94074,50.00000,50.00000,1.805990e-08,0.92450,1
 47.13000,   3.24000,      0.88114,     92.96940,50.00000,50.00000,1.805990e-08,0.92450,1
 47.37500,   3.28000,      0.89365,     92.99571,50.00000,50.00000,1.805990e-08,0.92450,1
 47.63400,   3.32000,      0.90504,     93.02437,50.00000,50.00000,1.807504e-08,0.92453,1
 47.87100,   3.36000,      0.91836,     93.05088,50.00000,50.00000,1.807504e-08,0.92453,1
 48.12900,   3.40000,      0.92991,     93.05750,50.00000,50.00000,1.807504e-08,0.92453,1
