Filename	F4
Instrument name	
Operator	Gwenael
rundate	2025-02-10
Sample name	F4
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0,02	26,46	2,685	100,023	6,99510e-4
0,04	26,59	2,687	100,100	6,28764e-4
0,13	26,71	2,688	100,157	5,58676e-4
0,21	26,82	2,688	100,153	4,97506e-4
0,29	26,92	2,688	100,157	4,20777e-4
0,38	27,02	2,688	100,164	3,56033e-4
0,46	27,12	2,688	100,165	2,99437e-4
0,54	27,21	2,689	100,193	2,48214e-4
0,63	27,30	2,689	100,195	2,07323e-4
0,71	27,40	2,689	100,193	1,69885e-4
0,79	27,49	2,690	100,220	1,27262e-4
0,88	27,59	2,690	100,207	1,02534e-4
0,96	27,69	2,689	100,201	6,02219e-5
1,04	27,79	2,689	100,194	2,05429e-5
1,13	27,91	2,689	100,203	-1,19548e-5
1,21	28,03	2,690	100,241	-4,78146e-5
1,29	28,15	2,690	100,218	-7,95743e-5
1,38	28,29	2,689	100,203	-9,67166e-5
1,46	28,43	2,689	100,180	-1,21498e-4
1,54	28,58	2,689	100,205	-1,57672e-4
1,63	28,74	2,690	100,208	-2,02488e-4
1,71	28,91	2,690	100,220	-2,46759e-4
1,79	29,10	2,690	100,208	-2,77824e-4
1,88	29,29	2,690	100,227	-3,02186e-4
1,96	29,49	2,691	100,264	-3,25084e-4
2,04	29,71	2,691	100,266	-3,52075e-4
2,13	29,93	2,690	100,233	-3,73072e-4
2,21	30,17	2,690	100,233	-3,94600e-4
2,29	30,41	2,691	100,245	-4,08694e-4
2,38	30,67	2,691	100,257	-4,29573e-4
2,46	30,94	2,690	100,239	-4,50991e-4
2,54	31,22	2,690	100,226	-4,70586e-4
2,63	31,51	2,690	100,215	-4,98220e-4
2,71	31,81	2,690	100,225	-5,29115e-4
2,79	32,12	2,691	100,268	-5,44009e-4
2,88	32,43	2,691	100,267	-5,71671e-4
2,96	32,76	2,690	100,239	-5,86132e-4
3,04	33,09	2,690	100,222	-6,01468e-4
3,13	33,43	2,691	100,259	-6,20232e-4
3,21	33,78	2,690	100,237	-6,36531e-4
3,29	34,14	2,691	100,243	-6,53087e-4
