Filename	L1
Instrument name	
Operator	Gwenael
rundate	2025-02-10
Sample name	L1
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0,01	26,79	3,760	100,026	4,33190e-4
0,04	26,91	3,762	100,088	3,51751e-4
0,13	27,02	3,763	100,119	3,08391e-4
0,21	27,12	3,763	100,113	2,57503e-4
0,29	27,22	3,764	100,129	1,92424e-4
0,38	27,31	3,764	100,127	1,36986e-4
0,46	27,40	3,764	100,142	8,25490e-5
0,54	27,48	3,764	100,139	2,76056e-5
0,63	27,57	3,765	100,148	-3,37961e-5
0,71	27,66	3,765	100,162	-8,29253e-5
0,79	27,75	3,764	100,138	-1,19255e-4
0,88	27,84	3,765	100,167	-1,67325e-4
0,96	27,94	3,765	100,161	-2,17925e-4
1,04	28,04	3,764	100,123	-2,62401e-4
1,13	28,15	3,765	100,153	-2,52931e-4
1,21	28,27	3,766	100,184	-2,82306e-4
1,29	28,39	3,766	100,178	-3,27715e-4
1,38	28,52	3,765	100,170	-3,83689e-4
1,46	28,66	3,763	100,096	-4,29640e-4
1,54	28,82	3,764	100,129	-4,82536e-4
1,63	28,98	3,765	100,147	-5,31366e-4
1,71	29,15	3,765	100,150	-5,86747e-4
1,79	29,34	3,765	100,149	-6,42784e-4
1,88	29,53	3,765	100,171	-6,85287e-4
1,96	29,74	3,766	100,182	-7,37630e-4
2,04	29,95	3,766	100,191	-7,82537e-4
2,13	30,18	3,766	100,182	-8,42152e-4
2,21	30,42	3,766	100,195	-8,81098e-4
2,29	30,66	3,766	100,175	-9,13304e-4
2,38	30,92	3,766	100,192	-9,54679e-4
2,46	31,19	3,766	100,178	-1,00030e-3
2,54	31,47	3,766	100,185	-1,04705e-3
2,63	31,76	3,766	100,184	-1,09047e-3
2,71	32,07	3,767	100,202	-1,13089e-3
2,79	32,38	3,766	100,177	-1,16693e-3
2,88	32,69	3,766	100,197	-1,21688e-3
2,96	33,02	3,767	100,201	-1,26036e-3
3,04	33,36	3,766	100,188	-1,31042e-3
3,13	33,70	3,766	100,195	-1,35373e-3
3,21	34,06	3,766	100,188	-1,40814e-3
3,29	34,42	3,766	100,191	-1,45606e-3
3,38	34,78	3,766	100,199	-1,50080e-3
3,46	35,15	3,766	100,195	-1,55078e-3
3,54	35,54	3,766	100,198	-1,59829e-3
3,63	35,92	3,766	100,190	-1,63894e-3
3,71	36,31	3,766	100,193	-1,68851e-3
3,79	36,71	3,767	100,201	-1,72779e-3
3,88	37,11	3,766	100,197	-1,77569e-3
3,96	37,51	3,766	100,187	-1,82712e-3
4,04	37,92	3,767	100,202	-1,87828e-3
4,13	38,33	3,767	100,205	-1,93422e-3
4,21	38,74	3,767	100,206	-1,99195e-3
4,29	39,16	3,766	100,199	-2,04309e-3
4,38	39,58	3,766	100,197	-2,10407e-3
4,46	40,00	3,766	100,199	-2,16147e-3
4,54	40,42	3,766	100,193	-2,21840e-3
4,63	40,84	3,766	100,197	-2,27984e-3
4,71	41,27	3,767	100,201	-2,33661e-3
4,79	41,69	3,766	100,197	-2,38383e-3
4,88	42,12	3,766	100,193	-2,43696e-3
4,96	42,54	3,766	100,193	-2,49448e-3
5,04	42,97	3,766	100,185	-2,54774e-3
5,13	43,40	3,767	100,209	-2,60569e-3
5,21	43,82	3,766	100,185	-2,66963e-3
5,29	44,25	3,766	100,181	-2,72656e-3
5,38	44,68	3,766	100,192	-2,79997e-3
5,46	45,10	3,766	100,182	-2,87130e-3
5,54	45,53	3,766	100,192	-2,93666e-3
5,63	45,95	3,766	100,178	-3,00035e-3
5,71	46,37	3,766	100,183	-3,06377e-3
5,79	46,79	3,766	100,187	-3,12639e-3
5,88	47,21	3,766	100,184	-3,19234e-3
5,96	47,63	3,766	100,182	-3,26269e-3
6,04	48,05	3,766	100,188	-3,33947e-3
6,13	48,46	3,766	100,182	-3,41696e-3
6,21	48,88	3,766	100,183	-3,49003e-3
6,29	49,29	3,766	100,176	-3,57185e-3
6,38	49,70	3,766	100,181	-3,64643e-3
6,46	50,11	3,766	100,176	-3,71858e-3
6,54	50,52	3,766	100,174	-3,79787e-3
6,63	50,93	3,766	100,181	-3,87121e-3
6,71	51,34	3,766	100,184	-3,94403e-3
6,79	51,74	3,766	100,176	-4,02404e-3
6,88	52,15	3,766	100,173	-4,10017e-3
6,96	52,55	3,766	100,184	-4,17571e-3
7,04	52,95	3,765	100,166	-4,25152e-3
7,13	53,35	3,765	100,164	-4,32887e-3
7,21	53,75	3,765	100,168	-4,40917e-3
7,29	54,15	3,765	100,168	-4,48816e-3
7,38	54,55	3,765	100,164	-4,56981e-3
7,46	54,95	3,765	100,162	-4,65414e-3
7,54	55,34	3,765	100,161	-4,74049e-3
7,63	55,74	3,765	100,160	-4,82541e-3
7,71	56,14	3,765	100,157	-4,91239e-3
7,79	56,53	3,765	100,154	-4,99996e-3
7,88	56,92	3,765	100,155	-5,08892e-3
7,96	57,31	3,764	100,137	-5,17836e-3
8,04	57,70	3,764	100,138	-5,26770e-3
8,13	58,09	3,765	100,148	-5,35726e-3
8,21	58,49	3,764	100,140	-5,44612e-3
8,29	58,88	3,764	100,142	-5,53746e-3
8,38	59,27	3,764	100,134	-5,70290e-3
8,46	59,66	3,765	100,153	-5,84986e-3
8,54	60,05	3,765	100,147	-5,98774e-3
8,63	60,44	3,764	100,136	-6,13001e-3
8,71	60,84	3,764	100,140	-6,26843e-3
8,79	61,23	3,764	100,138	-6,40922e-3
8,88	61,62	3,764	100,136	-6,54815e-3
8,96	62,01	3,764	100,129	-6,68842e-3
9,04	62,40	3,764	100,135	-6,82728e-3
9,13	62,79	3,764	100,142	-6,96421e-3
9,21	63,18	3,764	100,132	-7,11127e-3
9,29	63,58	3,764	100,128	-7,24923e-3
9,38	63,97	3,764	100,130	-7,39106e-3
9,46	64,36	3,765	100,169	-7,54717e-3
9,54	64,75	3,764	100,139	-7,69477e-3
9,63	65,15	3,764	100,125	-7,83217e-3
9,71	65,55	3,763	100,115	-7,97335e-3
9,79	65,94	3,764	100,120	-8,11922e-3
9,88	66,34	3,763	100,112	-8,29220e-3
9,96	66,74	3,763	100,113	-8,45483e-3
10,04	67,13	3,763	100,105	-8,61339e-3
10,13	67,53	3,763	100,102	-8,77193e-3
10,21	67,93	3,763	100,111	-8,93150e-3
10,29	68,33	3,763	100,100	-9,08663e-3
10,38	68,73	3,763	100,104	-9,23881e-3
10,46	69,13	3,762	100,087	-9,38857e-3
10,54	69,53	3,763	100,104	-9,54379e-3
10,63	69,93	3,763	100,108	-9,69528e-3
10,71	70,34	3,763	100,097	-9,85537e-3
10,79	70,74	3,762	100,091	-0,0100107
10,88	71,15	3,762	100,087	-0,0101725
10,96	71,55	3,762	100,087	-0,0103328
11,04	71,96	3,762	100,088	-0,0104943
11,13	72,37	3,762	100,090	-0,0106503
11,21	72,77	3,762	100,073	-0,0108180
11,29	73,18	3,762	100,077	-0,0109789
11,38	73,59	3,761	100,066	-0,0111381
11,46	74,00	3,762	100,071	-0,0113041
11,54	74,41	3,761	100,055	-0,0114701
11,63	74,82	3,761	100,059	-0,0116381
11,71	75,23	3,761	100,060	-0,0118085
11,79	75,65	3,761	100,051	-0,0119744
11,88	76,06	3,761	100,050	-0,0121446
11,96	76,47	3,761	100,056	-0,0123131
12,04	76,89	3,761	100,041	-0,0124830
12,13	77,30	3,761	100,051	-0,0126532
12,21	77,72	3,760	100,037	-0,0128244
12,29	78,13	3,760	100,029	-0,0129986
12,38	78,55	3,760	100,025	-0,0131775
12,46	78,97	3,760	100,015	-0,0133519
12,54	79,38	3,759	100,008	-0,0135260
12,63	79,80	3,760	100,014	-0,0137004
12,71	80,22	3,759	99,996	-0,0138793
12,79	80,64	3,759	99,996	-0,0140595
12,88	81,05	3,759	99,993	-0,0142403
12,96	81,47	3,758	99,981	-0,0144252
13,04	81,89	3,758	99,984	-0,0146085
13,13	82,31	3,759	99,994	-0,0147910
13,21	82,74	3,758	99,981	-0,0149744
13,29	83,15	3,758	99,970	-0,0151623
13,38	83,57	3,758	99,972	-0,0153505
13,46	84,00	3,757	99,960	-0,0155444
13,54	84,42	3,757	99,945	-0,0157274
13,63	84,84	3,757	99,952	-0,0159230
13,71	85,26	3,756	99,919	-0,0161214
13,79	85,68	3,756	99,917	-0,0163148
13,88	86,11	3,756	99,921	-0,0165137
13,96	86,53	3,756	99,919	-0,0167104
14,04	86,95	3,756	99,914	-0,0169151
14,13	87,37	3,756	99,909	-0,0171178
14,21	87,80	3,755	99,898	-0,0173196
14,29	88,22	3,755	99,884	-0,0175240
14,38	88,64	3,754	99,866	-0,0177306
14,46	89,06	3,754	99,858	-0,0179339
14,54	89,49	3,754	99,860	-0,0181420
14,63	89,91	3,753	99,836	-0,0183505
14,71	90,33	3,753	99,843	-0,0185665
14,79	90,76	3,753	99,841	-0,0187784
14,88	91,18	3,752	99,820	-0,0189920
14,96	91,61	3,752	99,825	-0,0192111
15,04	92,04	3,752	99,819	-0,0194284
15,13	92,46	3,751	99,797	-0,0196426
15,21	92,89	3,751	99,798	-0,0198649
15,29	93,32	3,751	99,792	-0,0200930
15,38	93,75	3,751	99,784	-0,0203134
15,46	94,17	3,750	99,773	-0,0205451
15,54	94,59	3,750	99,759	-0,0207820
15,63	95,01	3,750	99,754	-0,0210152
15,71	95,42	3,749	99,740	-0,0212493
15,79	95,82	3,749	99,726	-0,0214890
15,88	96,21	3,748	99,713	-0,0217313
15,96	96,60	3,748	99,708	-0,0219746
16,04	96,98	3,748	99,694	-0,0222257
16,13	97,35	3,747	99,684	-0,0224803
16,21	97,71	3,747	99,672	-0,0227401
16,29	98,05	3,746	99,662	-0,0229960
16,38	98,39	3,746	99,653	-0,0232662
16,46	98,71	3,746	99,643	-0,0235389
16,54	99,02	3,745	99,636	-0,0238069
16,63	99,31	3,745	99,620	-0,0240833
16,71	99,60	3,744	99,608	-0,0243596
16,79	99,87	3,744	99,598	-0,0246443
16,88	100,12	3,744	99,591	-0,0249150
16,96	100,37	3,743	99,579	-0,0251938
17,04	100,60	3,743	99,569	-0,0254825
17,13	100,82	3,742	99,559	-0,0257707
17,21	101,02	3,742	99,545	-0,0260615
17,29	101,22	3,742	99,539	-0,0263569
17,38	101,40	3,741	99,530	-0,0266604
17,46	101,57	3,741	99,518	-0,0269617
17,54	101,73	3,740	99,507	-0,0272588
17,63	101,88	3,740	99,500	-0,0275665
17,71	102,02	3,740	99,490	-0,0278811
17,79	102,14	3,740	99,481	-0,0281972
17,88	102,26	3,739	99,473	-0,0284744
17,96	102,37	3,739	99,468	-0,0287829
18,04	102,46	3,739	99,459	-0,0291075
18,13	102,55	3,738	99,449	-0,0294462
18,21	102,63	3,738	99,442	-0,0297817
18,29	102,71	3,738	99,436	-0,0301285
18,38	102,77	3,737	99,427	-0,0304769
18,46	102,83	3,737	99,421	-0,0308390
18,54	102,87	3,737	99,416	-0,0312080
18,63	102,92	3,737	99,403	-0,0315672
18,71	102,95	3,736	99,397	-0,0319420
18,79	102,98	3,736	99,391	-0,0323104
18,88	103,00	3,736	99,382	-0,0326982
18,96	103,02	3,736	99,376	-0,0330703
19,04	103,03	3,735	99,369	-0,0334303
19,13	103,04	3,735	99,362	-0,0338100
19,21	103,04	3,735	99,355	-0,0342060
19,29	103,04	3,735	99,351	-0,0345963
19,38	103,03	3,734	99,345	-0,0349868
19,46	103,02	3,734	99,338	-0,0353706
19,54	103,00	3,734	99,330	-0,0357533
19,63	102,98	3,734	99,325	-0,0361506
19,71	102,96	3,734	99,323	-0,0365267
19,79	102,94	3,733	99,315	-0,0369146
19,88	102,91	3,733	99,304	-0,0372718
19,96	102,88	3,733	99,305	-0,0376492
20,04	102,84	3,732	99,291	-0,0379990
20,13	102,81	3,732	99,294	-0,0383311
20,21	102,77	3,732	99,283	-0,0386645
20,29	102,73	3,732	99,282	-0,0389659
20,38	102,69	3,732	99,288	-0,0392242
20,46	102,65	3,732	99,280	-0,0394846
20,54	102,60	3,731	99,264	-0,0396871
20,63	102,55	3,731	99,258	-0,0398703
20,71	102,51	3,731	99,256	-0,0400401
20,79	102,46	3,731	99,247	-0,0401787
20,88	102,41	3,730	99,241	-0,0402839
20,96	102,36	3,730	99,236	-0,0403374
21,04	102,30	3,730	99,230	-0,0403364
21,13	102,25	3,730	99,225	-0,0403396
21,21	102,20	3,730	99,219	-0,0402793
21,29	102,14	3,729	99,213	-0,0401545
21,38	102,09	3,729	99,211	-0,0399738
21,46	102,03	3,729	99,206	-0,0397128
21,54	101,98	3,729	99,208	-0,0394008
21,63	101,92	3,729	99,196	-0,0390423
21,71	101,87	3,729	99,195	-0,0386717
21,79	101,81	3,728	99,186	-0,0382128
21,88	101,75	3,728	99,181	-0,0377322
21,96	101,70	3,728	99,178	-0,0372081
22,04	101,64	3,728	99,175	-0,0365929
22,13	101,59	3,728	99,173	-0,0359991
22,21	101,53	3,728	99,170	-0,0353644
22,29	101,48	3,727	99,159	-0,0346890
22,38	101,42	3,727	99,156	-0,0339676
22,46	101,37	3,727	99,152	-0,0332248
22,54	101,31	3,727	99,149	-0,0324898
22,63	101,25	3,727	99,144	-0,0317476
22,71	101,20	3,727	99,139	-0,0309999
22,79	101,15	3,727	99,140	-0,0302685
22,88	101,10	3,726	99,134	-0,0295523
22,96	101,04	3,726	99,132	-0,0288361
23,04	100,99	3,726	99,117	-0,0281508
