Filename	L2
Instrument name	
Operator	Galyna
-correctrundate	2025-02-24
Sample name	L2
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.02	27.06	1.563	100	-1.56652E-05
0.04	27.13	1.563	100	-1.64267E-05
0.13	27.19	1.564	100.0639795	-1.62381E-05
0.21	27.25	1.566	100.1919386	-1.63486E-05
0.29	27.31	1.565	100.1279591	-1.70445E-05
0.38	27.36	1.565	100.1279591	-1.73709E-05
0.46	27.41	1.565	100.1279591	-1.75434E-05
0.54	27.47	1.564	100.0639795	-1.76551E-05
0.63	27.53	1.563	100	-1.77204E-05
0.71	27.59	1.561	99.87204095	-1.77817E-05
0.79	27.66	1.561	99.87204095	-1.81792E-05
0.88	27.74	1.562	99.93602047	-1.85253E-05
0.96	27.82	1.563	100	-1.90957E-05
1.04	27.91	1.563	100	-1.90641E-05
1.13	28.01	1.567	100.2559181	-0.000019347
1.21	28.12	1.563	100	-1.97924E-05
1.29	28.24	1.565	100.1279591	-1.93073E-05
1.38	28.36	1.564	100.0639795	-2.02202E-05
1.46	28.5	1.566	100.1919386	-0.000020534
1.54	28.65	1.562	99.93602047	-1.99349E-05
1.63	28.82	1.562	99.93602047	-1.96226E-05
1.71	28.99	1.563	100	-0.000019646
1.79	29.18	1.565	100.1279591	-1.97496E-05
1.88	29.38	1.561	99.87204095	-1.97729E-05
1.96	29.59	1.561	99.87204095	-2.00472E-05
2.04	29.81	1.561	99.87204095	-2.02565E-05
2.13	30.04	1.562	99.93602047	-2.24881E-05
2.21	30.29	1.567	100.2559181	-2.28892E-05
2.29	30.55	1.558	99.68010237	-2.26937E-05
2.38	30.82	1.564	100.0639795	-2.22062E-05
2.46	31.1	1.559	99.74408189	-0.000022093
2.54	31.39	1.559	99.74408189	-2.13272E-05
2.63	31.7	1.565	100.1279591	-2.03931E-05
2.71	32.01	1.563	100	-1.99437E-05
2.79	32.33	1.554	99.42418426	-2.00902E-05
2.88	32.67	1.564	100.0639795	-1.99812E-05
2.96	33.01	1.566	100.1919386	-1.97035E-05
3.04	33.36	1.563	100	-2.01453E-05
3.13	33.72	1.565	100.1279591	-1.98398E-05
3.21	34.09	1.566	100.1919386	-1.94503E-05
3.29	34.46	1.562	99.93602047	-1.96807E-05
3.38	34.84	1.561	99.87204095	-1.99385E-05
3.46	35.23	1.563	100	-0.000019755
3.54	35.63	1.568	100.3198976	-1.98884E-05
3.63	36.03	1.567	100.2559181	-1.94827E-05
3.71	36.43	1.562	99.93602047	-2.01321E-05
3.79	36.84	1.572	100.5758157	-2.01382E-05
3.88	37.25	1.564	100.0639795	-2.01529E-05
3.96	37.67	1.561	99.87204095	-2.06136E-05
4.04	38.09	1.571	100.5118362	-2.04452E-05
4.13	38.51	1.562	99.93602047	-2.08825E-05
4.21	38.94	1.566	100.1919386	-2.08899E-05
4.29	39.37	1.562	99.93602047	-2.10933E-05
4.38	39.8	1.563	100	-2.11755E-05
4.46	40.23	1.558	99.68010237	-0.000020639
4.54	40.66	1.563	100	-2.02312E-05
4.63	41.1	1.564	100.0639795	-2.06233E-05
4.71	41.53	1.563	100	-2.05233E-05
4.79	41.96	1.561	99.87204095	-2.08255E-05
4.88	42.4	1.562	99.93602047	-0.000020746
4.96	42.83	1.563	100	-0.00002118
5.04	43.26	1.563	100	-2.15374E-05
5.13	43.7	1.564	100.0639795	-2.24399E-05
5.21	44.13	1.562	99.93602047	-0.000022517
5.29	44.56	1.564	100.0639795	-2.28264E-05
5.38	44.99	1.563	100	-2.26387E-05
5.46	45.42	1.564	100.0639795	-2.26481E-05
5.54	45.85	1.563	100	-2.29765E-05
5.63	46.27	1.561	99.87204095	-2.27411E-05
5.71	46.7	1.562	99.93602047	-2.31161E-05
5.79	47.12	1.564	100.0639795	-2.32483E-05
5.88	47.54	1.561	99.87204095	-2.34513E-05
5.96	47.96	1.562	99.93602047	-2.38194E-05
6.04	48.38	1.563	100	-2.41402E-05
6.13	48.79	1.563	100	-2.44156E-05
6.21	49.21	1.563	100	-2.47037E-05
6.29	49.62	1.563	100	-2.47859E-05
6.38	50.03	1.564	100.0639795	-2.46648E-05
6.46	50.44	1.563	100	-2.50699E-05
6.54	50.84	1.561	99.87204095	-2.52384E-05
6.63	51.25	1.563	100	-2.48115E-05
6.71	51.66	1.563	100	-2.48608E-05
6.79	52.06	1.563	100	-2.47451E-05
6.88	52.46	1.562	99.93602047	-2.46922E-05
6.96	52.86	1.561	99.87204095	-0.000025134
7.04	53.26	1.562	99.93602047	-0.000025288
7.13	53.65	1.561	99.87204095	-0.000025595
7.21	54.05	1.561	99.87204095	-2.59295E-05
7.29	54.44	1.561	99.87204095	-2.63893E-05
7.38	54.83	1.56	99.80806142	-2.67009E-05
7.46	55.22	1.561	99.87204095	-2.69062E-05
7.54	55.61	1.561	99.87204095	-2.68792E-05
7.63	56	1.561	99.87204095	-2.71299E-05
7.71	56.39	1.561	99.87204095	-0.000026951
7.79	56.78	1.561	99.87204095	-2.73091E-05
7.88	57.17	1.56	99.80806142	-0.000027571
7.96	57.55	1.561	99.87204095	-2.78885E-05
8.04	57.94	1.56	99.80806142	-2.80244E-05
8.13	58.32	1.561	99.87204095	-2.80216E-05
8.21	58.71	1.562	99.93602047	-2.81707E-05
8.29	59.09	1.561	99.87204095	-2.85789E-05
8.38	59.48	1.56	99.80806142	-2.91096E-05
8.46	59.86	1.562	99.93602047	-2.95564E-05
8.54	60.25	1.561	99.87204095	-2.99398E-05
8.63	60.63	1.559	99.74408189	-3.03487E-05
8.71	61.02	1.56	99.80806142	-0.000030841
8.79	61.4	1.561	99.87204095	-3.12621E-05
8.88	61.79	1.561	99.87204095	-3.15861E-05
8.96	62.17	1.561	99.87204095	-3.21079E-05
9.04	62.56	1.561	99.87204095	-3.28411E-05
9.13	62.95	1.56	99.80806142	-3.36325E-05
9.21	63.33	1.56	99.80806142	-3.44699E-05
9.29	63.72	1.559	99.74408189	-3.51417E-05
9.38	64.1	1.561	99.87204095	-3.57349E-05
9.46	64.49	1.56	99.80806142	-3.65491E-05
9.54	64.88	1.559	99.74408189	-3.69429E-05
9.63	65.27	1.562	99.93602047	-3.75726E-05
9.71	65.66	1.557	99.61612284	-3.80896E-05
9.79	66.06	1.559	99.74408189	-3.86282E-05
9.88	66.45	1.563	100	-3.91513E-05
