Filename	L2
Instrument name	
Operator	Galyna
-correctrundate	2025-02-24
Sample name	L2
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.02	27.06	433.173	100.000	-1.56652e-5
0.04	27.13	433.173	100.001	-1.64267e-5
0.13	27.19	433.174	100.001	-1.62381e-5
0.21	27.25	433.176	100.001	-1.63486e-5
0.29	27.31	433.175	100.001	-1.70445e-5
0.38	27.36	433.175	100.001	-1.73709e-5
0.46	27.41	433.175	100.001	-1.75434e-5
0.54	27.47	433.174	100.001	-1.76551e-5
0.63	27.53	433.173	100.001	-1.77204e-5
0.71	27.59	433.171	100.000	-1.77817e-5
0.79	27.66	433.171	100.000	-1.81792e-5
0.88	27.74	433.172	100.000	-1.85253e-5
0.96	27.82	433.173	100.000	-1.90957e-5
1.04	27.91	433.173	100.000	-1.90641e-5
1.13	28.01	433.177	100.001	-1.93470e-5
1.21	28.12	433.173	100.000	-1.97924e-5
1.29	28.24	433.175	100.001	-1.93073e-5
1.38	28.36	433.174	100.001	-2.02202e-5
1.46	28.50	433.176	100.001	-2.05340e-5
1.54	28.65	433.172	100.000	-1.99349e-5
1.63	28.82	433.172	100.000	-1.96226e-5
1.71	28.99	433.173	100.000	-1.96460e-5
1.79	29.18	433.175	100.001	-1.97496e-5
1.88	29.38	433.171	100.000	-1.97729e-5
1.96	29.59	433.171	100.000	-2.00472e-5
2.04	29.81	433.171	100.000	-2.02565e-5
2.13	30.04	433.172	100.000	-2.24881e-5
2.21	30.29	433.177	100.001	-2.28892e-5
2.29	30.55	433.168	99.999	-2.26937e-5
2.38	30.82	433.174	100.001	-2.22062e-5
2.46	31.10	433.169	100.000	-2.20930e-5
2.54	31.39	433.169	100.000	-2.13272e-5
2.63	31.70	433.175	100.001	-2.03931e-5
2.71	32.01	433.173	100.001	-1.99437e-5
2.79	32.33	433.164	99.998	-2.00902e-5
2.88	32.67	433.174	100.001	-1.99812e-5
2.96	33.01	433.176	100.001	-1.97035e-5
3.04	33.36	433.173	100.000	-2.01453e-5
3.13	33.72	433.175	100.001	-1.98398e-5
3.21	34.09	433.176	100.001	-1.94503e-5
3.29	34.46	433.172	100.000	-1.96807e-5
3.38	34.84	433.171	100.000	-1.99385e-5
3.46	35.23	433.173	100.000	-1.97550e-5
3.54	35.63	433.178	100.002	-1.98884e-5
3.63	36.03	433.177	100.001	-1.94827e-5
3.71	36.43	433.172	100.000	-2.01321e-5
3.79	36.84	433.182	100.003	-2.01382e-5
3.88	37.25	433.174	100.001	-2.01529e-5
3.96	37.67	433.171	100.000	-2.06136e-5
4.04	38.09	433.181	100.002	-2.04452e-5
4.13	38.51	433.172	100.000	-2.08825e-5
4.21	38.94	433.176	100.001	-2.08899e-5
4.29	39.37	433.172	100.000	-2.10933e-5
4.38	39.80	433.173	100.000	-2.11755e-5
4.46	40.23	433.168	99.999	-2.06390e-5
4.54	40.66	433.173	100.000	-2.02312e-5
4.63	41.10	433.174	100.001	-2.06233e-5
4.71	41.53	433.173	100.000	-2.05233e-5
4.79	41.96	433.171	100.000	-2.08255e-5
4.88	42.40	433.172	100.000	-2.07460e-5
4.96	42.83	433.173	100.001	-2.11800e-5
5.04	43.26	433.173	100.001	-2.15374e-5
5.13	43.70	433.174	100.001	-2.24399e-5
5.21	44.13	433.172	100.000	-2.25170e-5
5.29	44.56	433.174	100.001	-2.28264e-5
5.38	44.99	433.173	100.000	-2.26387e-5
5.46	45.42	433.174	100.001	-2.26481e-5
5.54	45.85	433.173	100.000	-2.29765e-5
