Filename	L3
Instrument name	
Operator	Galyna
rundate	2025-02-24
Sample name	L3
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	25.98	1.798	100	-2.13348E-05
0.04	26.14	1.796	99.88876529	-2.15312E-05
0.13	26.29	1.798	100	-2.14014E-05
0.21	26.42	1.798	100	-2.11879E-05
0.29	26.53	1.796	99.88876529	-2.09859E-05
0.38	26.64	1.797	99.94438265	-0.000020902
0.46	26.73	1.798	100	-2.11464E-05
0.54	26.82	1.797	99.94438265	-2.09533E-05
0.63	26.9	1.795	99.83314794	-0.000021101
0.71	26.98	1.792	99.66629588	-2.11399E-05
0.79	27.06	1.795	99.83314794	-2.08096E-05
0.88	27.14	1.798	100	-2.02245E-05
0.96	27.22	1.794	99.77753059	-1.98564E-05
1.04	27.31	1.795	99.83314794	-0.00001885
1.13	27.4	1.795	99.83314794	-1.89165E-05
1.21	27.49	1.797	99.94438265	-1.96195E-05
1.29	27.59	1.794	99.77753059	-0.000019569
1.38	27.7	1.797	99.94438265	-0.000019412
1.46	27.82	1.799	100.0556174	-1.97856E-05
1.54	27.95	1.795	99.83314794	-1.98253E-05
1.63	28.09	1.794	99.77753059	-1.99954E-05
1.71	28.23	1.791	99.61067853	-2.02713E-05
1.79	28.39	1.798	100	-2.03495E-05
1.88	28.57	1.796	99.88876529	-2.07203E-05
1.96	28.75	1.795	99.83314794	-2.05437E-05
2.04	28.94	1.796	99.88876529	-2.00439E-05
2.13	29.15	1.796	99.88876529	-2.01756E-05
2.21	29.37	1.795	99.83314794	-2.05496E-05
2.29	29.6	1.796	99.88876529	-2.05623E-05
2.38	29.84	1.796	99.88876529	-2.06805E-05
2.46	30.1	1.796	99.88876529	-2.06792E-05
2.54	30.36	1.796	99.88876529	-2.12221E-05
2.63	30.64	1.795	99.83314794	-2.10091E-05
2.71	30.93	1.795	99.83314794	-2.07417E-05
2.79	31.23	1.796	99.88876529	-2.07142E-05
2.88	31.55	1.796	99.88876529	-2.07597E-05
2.96	31.87	1.796	99.88876529	-2.09935E-05
3.04	32.2	1.796	99.88876529	-2.07486E-05
3.13	32.54	1.796	99.88876529	-2.04842E-05
3.21	32.89	1.796	99.88876529	-2.00241E-05
3.29	33.25	1.795	99.83314794	-1.99951E-05
3.38	33.62	1.796	99.88876529	-1.98661E-05
3.46	33.99	1.796	99.88876529	-1.98676E-05
3.54	34.37	1.795	99.83314794	-1.98409E-05
3.63	34.76	1.796	99.88876529	-1.97557E-05
3.71	35.16	1.796	99.88876529	-1.95525E-05
3.79	35.56	1.796	99.88876529	-1.95119E-05
3.88	35.97	1.797	99.94438265	-0.000019309
3.96	36.38	1.797	99.94438265	-1.91036E-05
4.04	36.8	1.797	99.94438265	-1.87523E-05
4.13	37.22	1.796	99.88876529	-1.86786E-05
4.21	37.64	1.795	99.83314794	-1.85108E-05
4.29	38.07	1.795	99.83314794	-1.84157E-05
4.38	38.5	1.795	99.83314794	-1.85066E-05
4.46	38.94	1.796	99.88876529	-1.85977E-05
4.54	39.37	1.795	99.83314794	-1.85749E-05
4.63	39.81	1.796	99.88876529	-1.86828E-05
4.71	40.24	1.797	99.94438265	-1.86836E-05
4.79	40.68	1.796	99.88876529	-1.84732E-05
4.88	41.12	1.796	99.88876529	-1.85385E-05
4.96	41.56	1.796	99.88876529	-1.84725E-05
5.04	42	1.796	99.88876529	-1.84084E-05
5.13	42.44	1.795	99.83314794	-1.85083E-05
5.21	42.88	1.795	99.83314794	-1.85504E-05
5.29	43.32	1.795	99.83314794	-1.84887E-05
5.38	43.75	1.794	99.77753059	-1.84728E-05
5.46	44.19	1.794	99.77753059	-1.85161E-05
5.54	44.62	1.795	99.83314794	-1.84167E-05
5.63	45.06	1.795	99.83314794	-0.000018432
5.71	45.49	1.794	99.77753059	-1.83815E-05
5.79	45.92	1.794	99.77753059	-1.82495E-05
5.88	46.35	1.795	99.83314794	-1.82517E-05
5.96	46.78	1.795	99.83314794	-1.80368E-05
6.04	47.2	1.794	99.77753059	-1.80358E-05
6.13	47.62	1.794	99.77753059	-1.81024E-05
6.21	48.04	1.794	99.77753059	-1.80635E-05
6.29	48.47	1.795	99.83314794	-1.82841E-05
6.38	48.88	1.794	99.77753059	-1.85828E-05
6.46	49.3	1.793	99.72191324	-1.87577E-05
6.54	49.71	1.793	99.72191324	-1.89157E-05
6.63	50.12	1.794	99.77753059	-1.91008E-05
6.71	50.53	1.794	99.77753059	-1.92722E-05
6.79	50.94	1.794	99.77753059	-1.95054E-05
6.88	51.34	1.794	99.77753059	-1.95012E-05
6.96	51.74	1.793	99.72191324	-1.96936E-05
7.04	52.15	1.795	99.83314794	-1.97214E-05
7.13	52.54	1.793	99.72191324	-1.97412E-05
7.21	52.94	1.794	99.77753059	-2.00425E-05
7.29	53.34	1.794	99.77753059	-2.03664E-05
7.38	53.73	1.794	99.77753059	-2.04169E-05
7.46	54.13	1.793	99.72191324	-2.05779E-05
7.54	54.52	1.794	99.77753059	-2.06004E-05
7.63	54.91	1.793	99.72191324	-2.06883E-05
7.71	55.3	1.793	99.72191324	-0.000021215
7.79	55.68	1.792	99.66629588	-2.11982E-05
7.88	56.07	1.794	99.77753059	-2.06565E-05
7.96	56.46	1.794	99.77753059	-2.03431E-05
8.04	56.84	1.793	99.72191324	-0.000020889
8.13	57.23	1.794	99.77753059	-2.11026E-05
8.21	57.61	1.792	99.66629588	-2.12395E-05
8.29	57.99	1.793	99.72191324	-2.21634E-05
8.38	58.37	1.793	99.72191324	-2.16514E-05
8.46	58.75	1.794	99.77753059	-2.10559E-05
8.54	59.14	1.794	99.77753059	-2.02588E-05
8.63	59.52	1.794	99.77753059	-2.04528E-05
8.71	59.9	1.793	99.72191324	-2.13331E-05
8.79	60.28	1.793	99.72191324	-2.15825E-05
8.88	60.66	1.794	99.77753059	-2.20025E-05
8.96	61.04	1.793	99.72191324	-2.22951E-05
9.04	61.42	1.793	99.72191324	-2.29109E-05
9.13	61.81	1.794	99.77753059	-2.37902E-05
9.21	62.19	1.795	99.83314794	-2.44086E-05
9.29	62.57	1.794	99.77753059	-2.45559E-05
9.38	62.95	1.796	99.88876529	-2.52278E-05
9.46	63.33	1.793	99.72191324	-2.56944E-05
9.54	63.72	1.791	99.61067853	-2.60772E-05
9.63	64.1	1.793	99.72191324	-0.000026364
9.71	64.49	1.794	99.77753059	-2.70415E-05
9.79	64.87	1.792	99.66629588	-2.75676E-05
9.88	65.26	1.793	99.72191324	-2.79621E-05
9.96	65.65	1.792	99.66629588	-2.85452E-05
10.04	66.04	1.792	99.66629588	-2.91852E-05
10.13	66.42	1.792	99.66629588	-3.01446E-05
10.21	66.81	1.791	99.61067853	-3.05462E-05
10.29	67.21	1.793	99.72191324	-3.13299E-05
10.38	67.6	1.795	99.83314794	-0.00003209
10.46	67.99	1.792	99.66629588	-3.27539E-05
10.54	68.38	1.791	99.61067853	-3.34163E-05
10.63	68.78	1.792	99.66629588	-3.39186E-05
10.71	69.17	1.792	99.66629588	-3.45351E-05
10.79	69.57	1.792	99.66629588	-3.51209E-05
10.88	69.97	1.79	99.55506118	-3.55695E-05
10.96	70.37	1.793	99.72191324	-3.60322E-05
11.04	70.77	1.793	99.72191324	-3.69174E-05
11.13	71.17	1.792	99.66629588	-3.77593E-05
11.21	71.57	1.792	99.66629588	-3.85296E-05
11.29	71.98	1.791	99.61067853	-3.91438E-05
11.38	72.38	1.793	99.72191324	-3.96964E-05
11.46	72.79	1.793	99.72191324	-4.03186E-05
11.54	73.2	1.794	99.77753059	-4.09819E-05
11.63	73.61	1.792	99.66629588	-4.17621E-05
11.71	74.01	1.793	99.72191324	-4.25747E-05
11.79	74.42	1.792	99.66629588	-4.31818E-05
11.88	74.83	1.792	99.66629588	-4.37011E-05
11.96	75.25	1.792	99.66629588	-4.43745E-05
12.04	75.66	1.793	99.72191324	-0.000044906
12.13	76.07	1.792	99.66629588	-4.55354E-05
12.21	76.49	1.793	99.72191324	-4.61266E-05
12.29	76.9	1.793	99.72191324	-4.67137E-05
12.38	77.32	1.794	99.77753059	-4.73014E-05
12.46	77.73	1.792	99.66629588	-4.79525E-05
12.54	78.15	1.793	99.72191324	-4.87671E-05
12.63	78.57	1.793	99.72191324	-4.96471E-05
12.71	78.99	1.791	99.61067853	-5.03602E-05
12.79	79.4	1.791	99.61067853	-5.12421E-05
12.88	79.82	1.792	99.66629588	-5.20671E-05
12.96	80.24	1.791	99.61067853	-5.27858E-05
13.04	80.67	1.792	99.66629588	-5.34075E-05
13.13	81.09	1.793	99.72191324	-5.38829E-05
13.21	81.51	1.791	99.61067853	-5.44741E-05
13.29	81.93	1.792	99.66629588	-5.51688E-05
13.38	82.36	1.792	99.66629588	-5.58858E-05
13.46	82.78	1.791	99.61067853	-5.66324E-05
13.54	83.2	1.791	99.61067853	-5.74596E-05
13.63	83.63	1.792	99.66629588	-5.82144E-05
13.71	84.05	1.792	99.66629588	-5.90618E-05
13.79	84.48	1.791	99.61067853	-5.99434E-05
13.88	84.9	1.792	99.66629588	-6.08129E-05
13.96	85.33	1.791	99.61067853	-6.16434E-05
14.04	85.75	1.792	99.66629588	-6.24293E-05
14.13	86.18	1.792	99.66629588	-6.32876E-05
14.21	86.6	1.791	99.61067853	-6.42281E-05
14.29	87.03	1.793	99.72191324	-0.00006498
14.38	87.45	1.791	99.61067853	-6.58429E-05
14.46	87.88	1.791	99.61067853	-6.68146E-05
14.54	88.3	1.792	99.66629588	-0.000067821
14.63	88.73	1.789	99.49944383	-6.88178E-05
14.71	89.15	1.789	99.49944383	-0.0000698
14.79	89.58	1.79	99.55506118	-7.07133E-05
14.88	90.01	1.79	99.55506118	-7.18014E-05
14.96	90.43	1.789	99.49944383	-7.29946E-05
15.04	90.86	1.789	99.49944383	-7.39899E-05
15.13	91.29	1.789	99.49944383	-7.49802E-05
15.21	91.72	1.791	99.61067853	-7.59744E-05
15.29	92.15	1.789	99.49944383	-7.70057E-05
15.38	92.58	1.79	99.55506118	-7.81028E-05
15.46	93.01	1.79	99.55506118	-0.00007901
15.54	93.45	1.788	99.44382647	-8.00116E-05
15.63	93.87	1.787	99.38820912	-8.10134E-05
15.71	94.3	1.79	99.55506118	-8.20688E-05
15.79	94.72	1.789	99.49944383	-8.32181E-05
15.88	95.14	1.79	99.55506118	-8.44514E-05
15.96	95.55	1.789	99.49944383	-8.54939E-05
16.04	95.96	1.785	99.27697442	-8.67568E-05
16.13	96.35	1.79	99.55506118	-8.79721E-05
16.21	96.74	1.796	99.88876529	-8.93226E-05
16.29	97.12	1.793	99.72191324	-9.04177E-05
16.38	97.49	1.784	99.22135706	-9.15733E-05
16.46	97.84	1.788	99.44382647	-9.28418E-05
16.54	98.19	1.788	99.44382647	-9.40105E-05
16.63	98.52	1.78	98.99888765	-9.54688E-05
16.71	98.84	1.794	99.77753059	-9.68668E-05
16.79	99.15	1.796	99.88876529	-9.81706E-05
16.88	99.45	1.797	99.94438265	-9.94193E-05
16.96	99.73	1.786	99.33259177	-0.000100591
17.04	100	1.78	98.99888765	-0.000101868
17.13	100.25	1.786	99.33259177	-0.000103085
17.21	100.5	1.783	99.16573971	-0.000104629
17.29	100.73	1.785	99.27697442	-0.000105995
17.38	100.94	1.783	99.16573971	-0.000107589
17.46	101.14	1.783	99.16573971	-0.000109065
17.54	101.33	1.783	99.16573971	-0.000110246
17.63	101.51	1.786	99.33259177	-0.000111407
17.71	101.68	1.783	99.16573971	-0.000112629
17.79	101.83	1.784	99.22135706	-0.000113344
17.88	101.98	1.785	99.27697442	-0.00011476
17.96	102.11	1.785	99.27697442	-0.000116691
18.04	102.23	1.783	99.16573971	-0.000118081
18.13	102.34	1.781	99.05450501	-0.000119405
18.21	102.44	1.781	99.05450501	-0.000121228
18.29	102.53	1.782	99.11012236	-0.000122785
18.38	102.62	1.783	99.16573971	-0.000124537
18.46	102.69	1.781	99.05450501	-0.000126342
18.54	102.75	1.781	99.05450501	-0.000128067
18.63	102.81	1.779	98.9432703	-0.000130153
18.71	102.86	1.78	98.99888765	-0.000131706
18.79	102.9	1.78	98.99888765	-0.000132935
18.88	102.94	1.78	98.99888765	-0.000134828
18.96	102.96	1.782	99.11012236	-0.000137145
19.04	102.99	1.78	98.99888765	-0.000139086
19.13	103	1.781	99.05450501	-0.000141121
19.21	103.01	1.782	99.11012236	-0.000142984
19.29	103.02	1.782	99.11012236	-0.000145741
19.38	103.02	1.777	98.8320356	-0.000147453
19.46	103.01	1.777	98.8320356	-0.000149116
19.54	103	1.778	98.88765295	-0.00015101
19.63	102.99	1.78	98.99888765	-0.000153055
19.71	102.97	1.78	98.99888765	-0.000155474
19.79	102.95	1.78	98.99888765	-0.000157071
19.88	102.93	1.779	98.9432703	-0.000158659
19.96	102.9	1.777	98.8320356	-0.000159744
20.04	102.87	1.777	98.8320356	-0.000161627
20.13	102.84	1.78	98.99888765	-0.000163237
20.21	102.8	1.781	99.05450501	-0.000165055
20.29	102.77	1.779	98.9432703	-0.000166686
20.38	102.72	1.781	99.05450501	-0.00016821
20.46	102.68	1.779	98.9432703	-0.000169265
20.54	102.64	1.779	98.9432703	-0.000170505
20.63	102.6	1.777	98.8320356	-0.00017117
20.71	102.55	1.777	98.8320356	-0.000171861
20.79	102.5	1.777	98.8320356	-0.000171893
20.88	102.45	1.775	98.72080089	-0.00017252
20.96	102.4	1.776	98.77641824	-0.000172679
21.04	102.35	1.778	98.88765295	-0.000172871
21.13	102.3	1.775	98.72080089	-0.000173521
21.21	102.25	1.775	98.72080089	-0.000173898
21.29	102.2	1.777	98.8320356	-0.00017383
21.38	102.14	1.777	98.8320356	-0.000174211
21.46	102.09	1.777	98.8320356	-0.0001738
21.54	102.03	1.777	98.8320356	-0.000172572
21.63	101.97	1.776	98.77641824	-0.000172156
21.71	101.92	1.776	98.77641824	-0.000171187
21.79	101.86	1.776	98.77641824	-0.000169786
21.88	101.81	1.775	98.72080089	-0.000168864
21.96	101.75	1.776	98.77641824	-0.000167565
22.04	101.69	1.776	98.77641824	-0.000165434
22.13	101.64	1.776	98.77641824	-0.000163172
22.21	101.58	1.776	98.77641824	-0.000160749
22.29	101.53	1.775	98.72080089	-0.000157663
22.38	101.47	1.775	98.72080089	-0.000154825
22.46	101.42	1.776	98.77641824	-0.000151983
22.54	101.36	1.775	98.72080089	-0.000149034
