Filename	F1
Instrument name	
Operator	Gwenael
rundate	2025-02-10
Sample name	F1
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0	30.466	0.74533	100	50
0.04	30.614	0.7263	99.97369	50
0.08	30.75	0.70838	99.89052	50
0.12	30.872	0.69111	99.84894	50
0.16	31.01	0.67512	99.77679	50
0.2	31.143	0.66168	99.74836	50
0.24	31.27	0.64585	99.7176	50
0.28	31.389	0.63354	99.7176	50
0.32	31.515	0.61931	99.7176	50
0.36	31.64	0.60859	99.7176	50
0.4	31.776	0.59691	99.7176	50
0.44	31.903	0.58556	99.7176	50
0.48	32.024	0.57884	99.71103	50
0.52	32.178	0.57099	99.71103	50
0.56	32.288	0.56555	99.69149	50
0.6	32.423	0.55899	99.72205	50
0.64	32.564	0.55482	99.72205	50
0.68	32.713	0.55257	99.72205	50
0.72	32.84	0.54921	99.74836	50
0.76	32.982	0.54823	99.76809	50
0.8	33.116	0.55077	99.80522	50
0.84	33.276	0.55204	99.83153	50
0.88	33.413	0.55426	99.85764	50
0.92	33.558	0.55744	99.87969	50
0.96	33.697	0.56014	99.91896	50
1	33.857	0.56428	99.94971	50
1.04	34.005	0.56937	99.98685	50
1.08	34.163	0.57526	100.04584	50
1.12	34.34	0.58387	100.04584	50
1.16	34.504	0.59008	100.09632	50
1.2	34.661	0.59693	100.13791	50
1.24	34.821	0.60298	70.52379	50
1.28	34.996	0.61126	76.20251	50
1.32	35.156	0.61763	82.61857	50
1.36	35.338	0.62799	86.006	50
1.4	35.511	0.63499	87.37582	50
1.44	35.68	0.64519	88.2795	50
1.48	35.863	0.65315	89.31238	50
1.52	36.031	0.66271	90.22708	50
1.56	36.217	0.67259	90.95145	50
1.6	36.399	0.68007	91.54874	50
1.64	36.587	0.68995	91.98646	50
1.68	36.779	0.69902	92.37389	50
1.72	36.956	0.70587	92.64739	50
1.76	37.153	0.7151	93.247	50
1.8	37.346	0.72434	93.50735	50
1.84	37.523	0.73405	93.41103	50
1.88	37.718	0.74217	93.33675	50
1.92	37.917	0.75268	93.26654	50
1.96	38.125	0.76048	93.24043	50
2	38.315	0.77115	93.21412	50
2.04	38.499	0.78006	93.18356	50
2.08	38.715	0.78977	93.15725	50
2.12	38.924	0.79693	93.15725	50
2.16	39.116	0.80632	93.13095	50
2.2	39.335	0.81587	93.10464	50
2.24	39.534	0.8251	93.07408	50
2.28	39.749	0.83369	93.01934	50
2.32	39.958	0.8434	93.01277	50
2.36	40.175	0.85087	93.0325	50
2.4	40.382	0.86026	93.03907	50
2.44	40.6	0.87124	93.06538	50
2.48	40.824	0.88015	93.09149	50
2.52	41.043	0.89002	93.11779	50
2.56	41.262	0.89797	93.11779	50
2.6	41.494	0.90927	93.11779	50
2.64	41.71	0.91929	93.1441	50
2.68	41.944	0.92867	93.15725	50
2.72	42.163	0.9395	93.19226	50
2.76	42.408	0.94952	93.23153	50
2.8	42.63	0.96129	93.26015	50
2.84	42.879	0.97163	93.28627	50
2.88	43.108	0.98277	93.31257	50
2.92	43.359	0.99502	93.31915	50
2.96	43.588	1.00536	93.33888	50
3	43.841	1.01825	93.36731	50
3.04	44.1	1.02987	93.39787	50
3.08	44.334	1.04276	93.42631	50
3.12	44.591	1.05676	93.45261	50
3.16	44.857	1.06981	93.48104	50
3.2	45.13	1.08205	93.50735	50
3.24	45.39	1.09542	93.5205	50
3.28	45.657	1.11022	93.53366	50
3.32	45.932	1.1247	93.55977	50
3.36	46.194	1.13695	93.58839	50
3.4	46.486	1.15334	93.61683	50
3.44	46.759	1.16846	93.66925	50
3.48	47.034	1.18389	93.70638	50
3.52	47.333	1.19741	93.73269	50
3.56	47.624	1.21492	93.73269	50
3.6	47.91	1.23067	93.75899	50
3.64	48.202	1.24627	93.78743	50
3.68	48.504	1.2625	93.81586	50
3.72	48.794	1.27905	93.84662	50
3.76	49.109	1.29655	93.87505	50
3.8	49.409	1.31358	93.93617	50
3.84	49.722	1.33109	93.9646	50
3.88	50.034	1.34796	93.99323	50
3.92	50.348	1.36514	94.03907	50
3.96	50.661	1.38313	94.0588	50
4	50.99	1.40159	94.08511	50
4.04	51.315	1.41989	94.14197	50
4.08	51.657	1.43692	94.21199	50
4.12	51.98	1.45602	94.2383	50
4.16	52.315	1.47305	94.2383	50
4.2	52.658	1.49215	94.26673	50
4.24	53.001	1.50902	94.31915	50
4.28	53.353	1.52907	94.35861	50
4.32	53.693	1.54706	94.38491	50
4.36	54.034	1.56728	94.39149	50
4.4	54.399	1.58447	94.43733	50
4.44	54.747	1.60262	94.48337	50
4.48	55.125	1.62124	94.51393	50
4.52	55.471	1.64035	94.54236	50
4.56	55.84	1.65898	94.56867	50
4.6	56.199	1.67681	94.5971	50
4.64	56.594	1.69592	94.6234	50
4.68	56.949	1.71233	94.67157	50
4.72	57.324	1.73208	94.68897	50
4.76	57.687	1.75023	94.74159	50
4.8	58.093	1.76871	94.7766	50
4.84	58.482	1.7848	94.80271	50
4.88	58.863	1.80328	94.83133	50
4.92	59.247	1.8232	94.8619	50
4.96	59.657	1.84009	94.92089	50
5	60.047	1.85778	94.94294	50
5.04	60.441	1.87436	94.97795	50
5.08	60.835	1.89238	94.98665	50
5.12	61.244	1.91087	95.01296	50
5.16	61.637	1.92777	95.06538	50
5.2	62.04	1.94484	95.10251	50
5.24	62.459	1.96143	95.10251	50
5.28	62.871	1.97913	95.21199	50
5.32	63.271	1.99716	95.30832	50
5.36	63.7	2.01392	95.27756	50
5.4	64.12	2.03148	95.25145	50
5.44	64.537	2.04776	95.27756	50
5.48	64.96	2.06262	95.27756	50
5.52	65.377	2.08162	95.30387	50
5.56	65.797	2.09839	95.30387	50
5.6	66.227	2.11389	95.33017	50
5.64	66.654	2.13035	95.33017	50
5.68	67.086	2.1465	95.35648	50
5.72	67.52	2.16376	95.39362	50
5.76	67.943	2.1796	95.4265	50
5.8	68.383	2.19591	95.46364	50
5.84	68.813	2.21175	95.48337	50
5.88	69.262	2.22792	95.49652	50
5.92	69.697	2.24425	95.52282	50
5.96	70.144	2.25819	95.55338	50
6	70.586	2.27517	95.57969	50
6.04	71.016	2.29087	95.6058	50
6.08	71.478	2.30769	95.6058	50
6.12	71.931	2.32245	95.63443	50
6.16	72.359	2.33609	95.66054	50
6.2	72.823	2.35261	95.66054	50
6.24	73.279	2.3669	95.68685	50
6.28	73.758	2.3836	95.71528	50
6.32	74.196	2.39837	95.74603	50
6.36	74.649	2.41204	95.77215	50
6.4	75.112	2.42907	95.80058	50
6.44	75.579	2.44386	95.81373	50
6.48	76.042	2.45867	95.82689	50
6.52	76.502	2.47427	95.85319	50
6.56	76.973	2.48765	95.88162	50
6.6	77.456	2.50359	95.90793	50
6.64	77.904	2.5192	95.90793	50
6.68	78.387	2.53356	95.93424	50
6.72	78.868	2.54855	95.9472	50
6.76	79.321	2.56403	95.96035	50
6.8	79.807	2.5784	95.98008	50
6.84	80.271	2.59309	95.98665	50
6.88	80.76	2.60716	96.01296	50
6.92	81.236	2.62091	96.03926	50
6.96	81.72	2.63658	96.03926	50
6.98	81.974	2.64434	96.03926	50
7	82.209	2.65146	96.03926	50
7.02	82.449	2.65795	96.03926	50
7.04	82.68	2.66475	96.06538	50
7.06	82.917	2.66948	96.06538	50
7.08	83.168	2.67709	96.06538	50
7.1	83.414	2.68262	96.07195	50
7.12	83.65	2.6864	96.09168	50
7.14	83.888	2.69081	96.09168	50
7.16	84.124	2.69523	96.09168	50
7.18	84.364	2.69646	96.09168	50
7.2	84.594	2.69832	96.09168	50
7.22	84.826	2.70066	96.09168	50
7.24	85.055	2.70157	96.09168	50
7.26	85.294	2.70264	96.09168	50
7.28	85.514	2.70338	96.09168	50
7.3	85.751	2.70254	96.06538	50
7.32	85.98	2.70137	96.06538	50
7.34	86.198	2.69972	96.06538	50
7.36	86.44	2.69664	96.06538	50
7.38	86.658	2.6934	96.03926	50
7.4	86.876	2.69031	96.03926	50
7.42	87.109	2.68595	96.03926	50
7.44	87.322	2.68207	96.01296	50
7.46	87.54	2.6769	96.01296	50
7.48	87.76	2.67095	95.99323	50
7.5	87.981	2.66467	95.98453	50
7.52	88.199	2.65839	95.9648	50
7.54	88.416	2.65227	95.95822	50
7.56	88.623	2.64327	95.92766	50
7.58	88.838	2.63571	95.91451	50
7.6	89.052	2.62623	95.89903	50
7.62	89.251	2.6177	95.8706	50
7.64	89.456	2.60902	95.8706	50
7.66	89.657	2.59906	95.84004	50
7.68	89.853	2.58861	95.80948	50
7.7	90.06	2.57769	95.78762	50
7.72	90.257	2.56677	95.76132	50
7.74	90.451	2.55488	95.73714	50
7.76	90.658	2.54316	95.70658	50
7.78	90.846	2.52951	95.70658	50
7.8	91.043	2.51619	95.67602	50
7.82	91.226	2.5035	95.66286	50
7.84	91.411	2.49032	95.63656	50
7.86	91.588	2.47715	95.60812	50
7.88	91.794	2.46302	95.57969	50
7.9	91.967	2.44761	95.57969	50
7.92	92.155	2.43315	95.55996	50
7.94	92.328	2.41789	95.55126	50
7.96	92.506	2.40343	95.5205	50
7.98	92.674	2.38801	95.49652	50
8	92.854	2.37275	95.46364	50
8.02	93.025	2.35573	95.43075	50
8.04	93.185	2.33934	95.41335	50
8.06	93.364	2.3236	95.38917	50
8.08	93.516	2.30736	95.35861	50
8.1	93.681	2.29065	95.34545	50
8.12	93.838	2.27185	95.32147	50
8.14	94.005	2.2545	95.28646	50
8.16	94.161	2.23746	95.25358	50
8.18	94.323	2.21979	95.21644	50
8.2	94.48	2.20291	95.18143	50
8.22	94.63	2.18523	95.14642	50
8.24	94.782	2.16738	95.12456	50
8.26	94.933	2.14954	95.10039	50
8.28	95.085	2.13009	95.07408	50
8.3	95.239	2.11177	95.04565	50
8.32	95.37	2.09359	95.01509	50
8.34	95.519	2.07686	95.00851	50
8.36	95.663	2.05756	94.98433	50
8.38	95.797	2.04035	94.95377	50
8.4	95.949	2.02105	94.93191	50
8.42	96.071	2.00239	94.90793	50
8.44	96.211	1.98437	94.85745	50
8.46	96.352	1.96619	94.81161	50
8.48	96.481	1.94768	94.78085	50
8.5	96.611	1.92949	94.76344	50
8.52	96.755	1.91051	94.72843	50
8.54	96.871	1.89248	94.7087	50
8.56	96.996	1.87524	94.7	50
8.58	97.121	1.85673	94.66925	50
8.6	97.258	1.83918	94.63424	50
8.62	97.374	1.81986	94.59923	50
8.64	97.494	1.80471	94.58607	50
8.66	97.617	1.78763	94.56867	50
8.68	97.744	1.76879	94.54681	50
8.7	97.85	1.75202	94.52263	50
8.72	97.973	1.73558	94.49652	50
8.74	98.083	1.71898	94.46576	50
8.76	98.199	1.70173	94.4352	50
8.78	98.315	1.68545	94.40019	50
8.8	98.431	1.66964	94.36944	50
8.82	98.542	1.65335	94.36286	50
8.84	98.649	1.63674	94.33888	50
8.86	98.767	1.6211	94.306	50
8.88	98.885	1.60705	94.28201	50
8.9	98.985	1.59075	94.25571	50
8.92	99.091	1.5759	94.2383	50
8.94	99.196	1.56041	94.20329	50
8.96	99.302	1.54507	94.17698	50
8.98	99.411	1.53134	94.16596	50
9	99.5	1.5168	94.13985	50
9.02	99.606	1.50322	94.13985	50
9.04	99.712	1.49077	94.11779	50
9.06	99.823	1.47687	94.10909	50
9.08	99.917	1.46265	94.07408	50
9.1	100.006	1.45019	94.0412	50
9.12	100.115	1.43741	94.01277	50
9.14	100.203	1.42559	94.00619	50
9.16	100.31	1.41233	93.98221	50
9.18	100.404	1.39939	93.9472	50
9.2	100.52	1.38741	93.91431	50
9.22	100.589	1.3759	93.88801	50
9.24	100.694	1.36344	93.87718	50
9.26	100.796	1.3537	93.85087	50
9.28	100.876	1.34235	93.85087	50
9.3	100.975	1.33261	93.83772	50
9.32	101.085	1.32127	93.82244	50
9.34	101.171	1.31009	93.79188	50
9.36	101.25	1.3005	93.7853	50
9.38	101.362	1.28948	93.76344	50
9.4	101.447	1.28149	93.73269	50
9.42	101.531	1.27111	93.71954	50
9.44	101.624	1.262	93.70426	50
9.46	101.72	1.25194	93.66925	50
9.48	101.809	1.24283	93.63868	50
9.5	101.897	1.23436	93.6234	50
9.52	101.973	1.22589	93.6058	50
9.54	102.068	1.21759	93.57737	50
9.56	102.165	1.20897	93.57079	50
9.58	102.239	1.19937	93.54449	50
9.6	102.327	1.19074	93.51838	50
9.62	102.428	1.18436	93.51838	50
9.64	102.516	1.17654	93.51838	50
9.66	102.596	1.1671	93.5118	50
9.68	102.681	1.15992	93.49207	50
9.7	102.764	1.15257	93.47892	50
9.72	102.858	1.14554	93.46364	50
9.74	102.929	1.13723	93.43288	50
9.76	103.011	1.13036	93.43288	50
9.78	103.101	1.12317	93.40445	50
9.8	103.192	1.11663	93.39787	50
9.82	103.263	1.10847	93.36731	50
9.84	103.351	1.1008	93.33675	50
9.86	103.43	1.09441	93.33017	50
9.88	103.514	1.08802	93.31044	50
9.9	103.602	1.08244	93.29729	50
9.92	103.667	1.07412	93.28201	50
9.94	103.761	1.06805	93.28201	50
9.96	103.825	1.06085	93.25358	50
9.98	103.9	1.05494	93.24043	50
10	103.983	1.04823	93.22515	50
10.02	104.065	1.04184	93.20309	50
10.04	104.129	1.03496	93.19439	50
10.06	104.213	1.02937	93.16383	50
10.08	104.294	1.02186	93.15068	50
10.1	104.372	1.01595	93.13752	50
10.12	104.429	1.01035	93.13752	50
10.14	104.508	1.00396	93.10909	50
10.16	104.59	0.99628	93.10251	50
10.18	104.674	0.99005	93.08066	50
10.2	104.745	0.98493	93.08066	50
10.22	104.817	0.97661	93.0675	50
10.24	104.888	0.97118	93.05435	50
10.26	104.95	0.9651	93.04778	50
10.28	105.023	0.95806	93.02379	50
10.3	105.104	0.95134	92.99304	50
10.32	105.155	0.94622	92.96905	50
10.34	105.232	0.93967	92.95145	50
10.36	105.308	0.93166	92.92747	50
10.38	105.374	0.92687	92.92747	50
10.4	105.422	0.91838	92.90116	50
10.42	105.499	0.91358	92.90116	50
10.44	105.563	0.9067	92.8706	50
10.46	105.631	0.89854	92.8706	50
10.48	105.69	0.89277	92.84217	50
10.5	105.76	0.88782	92.82031	50
10.52	105.817	0.87869	92.81141	50
10.54	105.877	0.8726	92.78085	50
10.56	105.951	0.86572	92.77427	50
10.58	106.008	0.85883	92.74584	50
10.6	106.076	0.85211	92.71528	50
10.62	106.135	0.84587	92.69555	50
10.64	106.17	0.83978	92.68897	50
