Filename	L3
Instrument name	
Operator	Galyna
rundate	2025-02-24
Sample name	L3
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.01	25.98	432.628	99.999	-2.13348e-5
0.04	26.14	432.626	99.999	-2.15312e-5
0.13	26.29	432.628	99.999	-2.14014e-5
0.21	26.42	432.628	99.999	-2.11879e-5
0.29	26.53	432.626	99.999	-2.09859e-5
0.38	26.64	432.627	99.999	-2.09020e-5
0.46	26.73	432.628	99.999	-2.11464e-5
0.54	26.82	432.627	99.999	-2.09533e-5
0.63	26.90	432.625	99.998	-2.11010e-5
0.71	26.98	432.622	99.998	-2.11399e-5
0.79	27.06	432.625	99.998	-2.08096e-5
0.88	27.14	432.628	99.999	-2.02245e-5
0.96	27.22	432.624	99.998	-1.98564e-5
1.04	27.31	432.625	99.998	-1.88500e-5
1.13	27.40	432.625	99.998	-1.89165e-5
1.21	27.49	432.627	99.999	-1.96195e-5
1.29	27.59	432.624	99.998	-1.95690e-5
1.38	27.70	432.627	99.999	-1.94120e-5
1.46	27.82	432.629	99.999	-1.97856e-5
1.54	27.95	432.625	99.998	-1.98253e-5
1.63	28.09	432.624	99.998	-1.99954e-5
1.71	28.23	432.621	99.997	-2.02713e-5
1.79	28.39	432.628	99.999	-2.03495e-5
1.88	28.57	432.626	99.999	-2.07203e-5
1.96	28.75	432.625	99.998	-2.05437e-5
2.04	28.94	432.626	99.999	-2.00439e-5
2.13	29.15	432.626	99.999	-2.01756e-5
2.21	29.37	432.625	99.998	-2.05496e-5
2.29	29.60	432.626	99.999	-2.05623e-5
2.38	29.84	432.626	99.999	-2.06805e-5
2.46	30.10	432.626	99.999	-2.06792e-5
2.54	30.36	432.626	99.999	-2.12221e-5
2.63	30.64	432.625	99.998	-2.10091e-5
2.71	30.93	432.625	99.998	-2.07417e-5
2.79	31.23	432.626	99.999	-2.07142e-5
2.88	31.55	432.626	99.999	-2.07597e-5
2.96	31.87	432.626	99.999	-2.09935e-5
3.04	32.20	432.626	99.999	-2.07486e-5
3.13	32.54	432.626	99.998	-2.04842e-5
3.21	32.89	432.626	99.999	-2.00241e-5
3.29	33.25	432.625	99.998	-1.99951e-5
3.38	33.62	432.626	99.999	-1.98661e-5
3.46	33.99	432.626	99.999	-1.98676e-5
3.54	34.37	432.625	99.998	-1.98409e-5
3.63	34.76	432.626	99.998	-1.97557e-5
3.71	35.16	432.626	99.999	-1.95525e-5
3.79	35.56	432.626	99.999	-1.95119e-5
3.88	35.97	432.627	99.999	-1.93090e-5
3.96	36.38	432.627	99.999	-1.91036e-5
4.04	36.80	432.627	99.999	-1.87523e-5
4.13	37.22	432.626	99.999	-1.86786e-5
4.21	37.64	432.625	99.998	-1.85108e-5
4.29	38.07	432.625	99.998	-1.84157e-5
4.38	38.50	432.625	99.998	-1.85066e-5
4.46	38.94	432.626	99.999	-1.85977e-5
4.54	39.37	432.625	99.998	-1.85749e-5
4.63	39.81	432.626	99.999	-1.86828e-5
4.71	40.24	432.627	99.999	-1.86836e-5
4.79	40.68	432.626	99.999	-1.84732e-5
4.88	41.12	432.626	99.999	-1.85385e-5
4.96	41.56	432.626	99.999	-1.84725e-5
5.04	42.00	432.626	99.999	-1.84084e-5
5.13	42.44	432.625	99.998	-1.85083e-5
5.21	42.88	432.625	99.998	-1.85504e-5
5.29	43.32	432.625	99.998	-1.84887e-5
5.38	43.75	432.624	99.998	-1.84728e-5
5.46	44.19	432.624	99.998	-1.85161e-5
5.54	44.62	432.625	99.998	-1.84167e-5
5.63	45.06	432.625	99.998	-1.84320e-5
5.71	45.49	432.624	99.998	-1.83815e-5
5.79	45.92	432.624	99.998	-1.82495e-5
5.88	46.35	432.625	99.998	-1.82517e-5
5.96	46.78	432.625	99.998	-1.80368e-5
6.04	47.20	432.624	99.998	-1.80358e-5
6.13	47.62	432.624	99.998	-1.81024e-5
6.21	48.04	432.624	99.998	-1.80635e-5
6.29	48.47	432.625	99.998	-1.82841e-5
6.38	48.88	432.624	99.998	-1.85828e-5
6.46	49.30	432.623	99.998	-1.87577e-5
6.54	49.71	432.623	99.998	-1.89157e-5
6.63	50.12	432.624	99.998	-1.91008e-5
6.71	50.53	432.624	99.998	-1.92722e-5
6.79	50.94	432.624	99.998	-1.95054e-5
6.88	51.34	432.624	99.998	-1.95012e-5
6.96	51.74	432.623	99.998	-1.96936e-5
7.04	52.15	432.625	99.998	-1.97214e-5
7.13	52.54	432.623	99.998	-1.97412e-5
7.21	52.94	432.624	99.998	-2.00425e-5
7.29	53.34	432.624	99.998	-2.03664e-5
7.38	53.73	432.624	99.998	-2.04169e-5
7.46	54.13	432.623	99.998	-2.05779e-5
7.54	54.52	432.624	99.998	-2.06004e-5
7.63	54.91	432.623	99.998	-2.06883e-5
7.71	55.30	432.623	99.998	-2.12150e-5
7.79	55.68	432.622	99.998	-2.11982e-5
7.88	56.07	432.624	99.998	-2.06565e-5
7.96	56.46	432.624	99.998	-2.03431e-5
8.04	56.84	432.623	99.998	-2.08890e-5
8.13	57.23	432.624	99.998	-2.11026e-5
8.21	57.61	432.622	99.998	-2.12395e-5
8.29	57.99	432.623	99.998	-2.21634e-5
8.38	58.37	432.623	99.998	-2.16514e-5
8.46	58.75	432.624	99.998	-2.10559e-5
8.54	59.14	432.624	99.998	-2.02588e-5
8.63	59.52	432.624	99.998	-2.04528e-5
8.71	59.90	432.623	99.998	-2.13331e-5
8.79	60.28	432.623	99.998	-2.15825e-5
8.88	60.66	432.624	99.998	-2.20025e-5
8.96	61.04	432.623	99.998	-2.22951e-5
9.04	61.42	432.623	99.998	-2.29109e-5
9.13	61.81	432.624	99.998	-2.37902e-5
9.21	62.19	432.625	99.998	-2.44086e-5
9.29	62.57	432.624	99.998	-2.45559e-5
9.38	62.95	432.626	99.999	-2.52278e-5
