Filename	M2
Instrument name	
Operator	Gwenael
rundate	2025-02-10
Sample name	M2
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0,03	25,19	1,812	100,036	5,70909e-3
0,04	25,21	1,813	100,117	5,56808e-3
0,13	25,23	1,814	100,143	5,44095e-3
0,21	25,26	1,814	100,138	5,32347e-3
0,29	25,28	1,814	100,143	5,19211e-3
0,38	25,30	1,814	100,162	5,05220e-3
0,46	25,33	1,814	100,175	4,92971e-3
0,54	25,37	1,815	100,214	4,80754e-3
0,63	25,41	1,816	100,257	4,68483e-3
0,71	25,46	1,816	100,297	4,56855e-3
0,79	25,52	1,817	100,319	4,47081e-3
0,88	25,60	1,817	100,354	4,36282e-3
0,96	25,68	1,818	100,373	4,25952e-3
1,04	25,77	1,818	100,390	4,15774e-3
1,13	25,88	1,818	100,409	4,05626e-3
1,21	25,99	1,819	100,426	3,95575e-3
1,29	26,12	1,819	100,440	3,86017e-3
1,38	26,26	1,819	100,452	3,76746e-3
1,46	26,42	1,819	100,455	3,67609e-3
1,54	26,59	1,819	100,467	3,58651e-3
1,63	26,77	1,820	100,473	3,49771e-3
1,71	26,96	1,819	100,461	3,40268e-3
1,79	27,17	1,820	100,485	3,29762e-3
1,88	27,39	1,820	100,500	3,21233e-3
1,96	27,62	1,820	100,507	3,12144e-3
2,04	27,87	1,820	100,498	3,03746e-3
2,13	28,13	1,820	100,509	2,94847e-3
2,21	28,40	1,821	100,525	2,87055e-3
2,29	28,68	1,820	100,512	2,79699e-3
2,38	28,97	1,821	100,534	2,72790e-3
2,46	29,27	1,821	100,531	2,65426e-3
2,54	29,59	1,821	100,537	2,58138e-3
2,63	29,91	1,821	100,535	2,51153e-3
2,71	30,25	1,821	100,526	2,43702e-3
2,79	30,59	1,821	100,545	2,36092e-3
2,88	30,94	1,821	100,543	2,28742e-3
2,96	31,30	1,821	100,553	2,20962e-3
3,04	31,67	1,821	100,560	2,13075e-3
3,13	32,04	1,821	100,538	2,07308e-3
3,21	32,42	1,821	100,533	1,99844e-3
3,29	32,81	1,821	100,535	1,92449e-3
3,38	33,21	1,821	100,563	1,85424e-3
3,46	33,60	1,821	100,564	1,77880e-3
3,54	34,01	1,821	100,546	1,71511e-3
3,63	34,42	1,821	100,548	1,64832e-3
3,71	34,83	1,821	100,575	1,57627e-3
3,79	35,24	1,821	100,565	1,51666e-3
3,88	35,66	1,821	100,559	1,47099e-3
3,96	36,08	1,821	100,567	1,40914e-3
4,04	36,51	1,821	100,564	1,34306e-3
4,13	36,93	1,821	100,554	1,26291e-3
4,21	37,36	1,821	100,560	1,17821e-3
4,29	37,79	1,821	100,553	1,10802e-3
4,38	38,22	1,821	100,555	1,02983e-3
4,46	38,65	1,821	100,557	9,56120e-4
4,54	39,08	1,821	100,559	8,96191e-4
4,63	39,51	1,821	100,560	8,43391e-4
4,71	39,94	1,821	100,557	7,78365e-4
4,79	40,38	1,821	100,558	7,33656e-4
4,88	40,81	1,821	100,552	7,01800e-4
4,96	41,23	1,821	100,552	6,40634e-4
5,04	41,67	1,821	100,550	5,75187e-4
5,13	42,09	1,821	100,552	5,20963e-4
5,21	42,52	1,821	100,555	4,57575e-4
5,29	42,95	1,821	100,552	4,01970e-4
5,38	43,37	1,821	100,555	3,33782e-4
5,46	43,79	1,821	100,555	2,72058e-4
5,54	44,22	1,821	100,546	2,10144e-4
5,63	44,64	1,821	100,551	1,45296e-4
5,71	45,06	1,821	100,549	8,51248e-5
5,79	45,47	1,821	100,545	2,36074e-5
5,88	45,89	1,821	100,547	-3,79516e-5
5,96	46,30	1,821	100,545	-1,00146e-4
6,04	46,71	1,821	100,543	-1,60200e-4
6,13	47,12	1,821	100,535	-2,21751e-4
6,21	47,53	1,821	100,529	-2,83549e-4
6,29	47,94	1,821	100,530	-3,40780e-4
6,38	48,35	1,821	100,532	-3,98527e-4
6,46	48,75	1,821	100,532	-4,58367e-4
6,54	49,15	1,821	100,529	-5,14257e-4
6,63	49,55	1,821	100,528	-5,68245e-4
6,71	49,96	1,820	100,515	-6,23894e-4
6,79	50,35	1,820	100,512	-6,77525e-4
6,88	50,75	1,820	100,517	-7,32685e-4
6,96	51,15	1,820	100,521	-7,90505e-4
7,04	51,55	1,820	100,522	-8,47447e-4
7,13	51,94	1,821	100,527	-9,06656e-4
7,21	52,33	1,821	100,531	-9,67902e-4
7,29	52,73	1,821	100,536	-1,03036e-3
7,38	53,12	1,820	100,518	-1,09424e-3
7,46	53,51	1,820	100,523	-1,15677e-3
7,54	53,90	1,821	100,536	-1,21985e-3
7,63	54,29	1,821	100,533	-1,28513e-3
7,71	54,68	1,821	100,547	-1,34871e-3
7,79	55,07	1,821	100,526	-1,41311e-3
7,88	55,46	1,821	100,525	-1,48440e-3
7,96	55,85	1,821	100,529	-1,55610e-3
8,04	56,23	1,821	100,525	-1,62451e-3
8,13	56,62	1,820	100,517	-1,69118e-3
8,21	57,01	1,820	100,511	-1,75658e-3
8,29	57,40	1,820	100,511	-1,82693e-3
8,38	57,79	1,820	100,515	-2,05527e-3
8,46	58,17	1,820	100,520	-2,25711e-3
8,54	58,56	1,820	100,524	-2,45126e-3
8,63	58,95	1,820	100,512	-2,64131e-3
8,71	59,34	1,820	100,503	-2,84357e-3
8,79	59,73	1,820	100,511	-3,04418e-3
8,88	60,11	1,820	100,508	-3,23968e-3
8,96	60,50	1,820	100,505	-3,43109e-3
9,04	60,89	1,820	100,506	-3,60605e-3
9,13	61,28	1,820	100,516	-3,77223e-3
9,21	61,67	1,820	100,506	-3,93377e-3
9,29	62,07	1,820	100,507	-4,08232e-3
9,38	62,46	1,820	100,505	-4,22677e-3
9,46	62,85	1,820	100,503	-4,37309e-3
9,54	63,24	1,820	100,501	-4,51520e-3
9,63	63,64	1,820	100,502	-4,64947e-3
9,71	64,03	1,820	100,501	-4,78410e-3
9,79	64,43	1,820	100,500	-4,91880e-3
9,88	64,83	1,820	100,499	-5,05418e-3
9,96	65,22	1,820	100,497	-5,18477e-3
10,04	65,62	1,820	100,488	-5,31571e-3
10,13	66,02	1,820	100,476	-5,45727e-3
