Filename	L3
Instrument name	
Operator	Galyna
rundate	2025-02-24
Sample name	L3
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.04	27.78	4.32	99.95372513	-1.37031E-05
0.13	27.83	4.325	100.0694123	-1.51938E-05
0.21	27.87	4.323	100.0231374	-1.69089E-05
0.29	27.91	4.32	99.95372513	-1.78809E-05
0.38	27.95	4.325	100.0694123	-1.85287E-05
0.46	27.99	4.322	100	-1.99274E-05
0.54	28.03	4.322	100	-2.05148E-05
0.63	28.08	4.32	99.95372513	-2.10255E-05
0.71	28.13	4.322	100	-2.00001E-05
0.79	28.19	4.318	99.90745025	-2.23744E-05
0.88	28.25	4.322	100	-2.33136E-05
0.96	28.33	4.317	99.88431282	-2.37517E-05
1.04	28.41	4.317	99.88431282	-2.39486E-05
1.13	28.5	4.323	100.0231374	-2.45486E-05
1.21	28.6	4.323	100.0231374	-2.46934E-05
1.29	28.71	4.323	100.0231374	-0.000024768
1.38	28.83	4.324	100.0462749	-2.54014E-05
1.46	28.97	4.316	99.86117538	-2.56824E-05
1.54	29.11	4.325	100.0694123	-2.56836E-05
1.63	29.27	4.323	100.0231374	-2.56731E-05
1.71	29.44	4.318	99.90745025	-0.00002572
1.79	29.62	4.319	99.93058769	-2.56935E-05
1.88	29.82	4.316	99.86117538	-0.000025782
1.96	30.03	4.324	100.0462749	-2.63536E-05
2.04	30.25	4.32	99.95372513	-2.66013E-05
2.13	30.48	4.327	100.1156872	-2.67138E-05
2.21	30.73	4.324	100.0462749	-2.70226E-05
2.29	30.98	4.323	100.0231374	-2.71029E-05
2.38	31.25	4.321	99.97686256	-2.75136E-05
2.46	31.53	4.318	99.90745025	-2.80046E-05
2.54	31.82	4.319	99.93058769	-2.84614E-05
2.63	32.13	4.318	99.90745025	-2.87783E-05
2.71	32.44	4.322	100	-2.91005E-05
2.79	32.76	4.319	99.93058769	-2.92684E-05
2.88	33.1	4.322	100	-2.91769E-05
2.96	33.44	4.317	99.88431282	-2.91383E-05
3.04	33.79	4.319	99.93058769	-0.000029424
3.13	34.15	4.321	99.97686256	-0.00002937
3.21	34.52	4.319	99.93058769	-2.95406E-05
3.29	34.89	4.321	99.97686256	-2.95539E-05
3.38	35.28	4.315	99.83803795	-0.000029595
3.46	35.67	4.324	100.0462749	-2.95108E-05
3.54	36.06	4.326	100.0925497	-0.000029351
3.63	36.46	4.322	100	-2.90677E-05
3.71	36.86	4.316	99.86117538	-2.83723E-05
3.79	37.27	4.319	99.93058769	-0.000027902
3.88	37.69	4.32	99.95372513	-2.80273E-05
3.96	38.1	4.317	99.88431282	-2.83671E-05
4.04	38.52	4.303	99.56038871	-2.73714E-05
4.13	38.95	4.314	99.81490051	-2.67035E-05
4.21	39.38	4.321	99.97686256	-0.000026922
4.29	39.81	4.319	99.93058769	-2.72833E-05
4.38	40.24	4.317	99.88431282	-2.75896E-05
4.46	40.67	4.316	99.86117538	-2.84606E-05
4.54	41.1	4.319	99.93058769	-2.88195E-05
4.63	41.53	4.319	99.93058769	-0.000028582
4.71	41.97	4.321	99.97686256	-2.92066E-05
4.79	42.4	4.323	100.0231374	-3.00888E-05
4.88	42.84	4.32	99.95372513	-3.05948E-05
4.96	43.27	4.322	100	-3.07141E-05
5.04	43.71	4.323	100.0231374	-3.09832E-05
5.13	44.14	4.32	99.95372513	-3.10652E-05
5.21	44.57	4.323	100.0231374	-3.07586E-05
5.29	45	4.32	99.95372513	-3.08446E-05
5.38	45.43	4.321	99.97686256	-3.10423E-05
5.46	45.86	4.321	99.97686256	-3.08029E-05
5.54	46.29	4.317	99.88431282	-3.02178E-05
5.63	46.72	4.32	99.95372513	-2.96739E-05
5.71	47.14	4.318	99.90745025	-2.93424E-05
5.79	47.56	4.316	99.86117538	-0.000029659
5.88	47.98	4.32	99.95372513	-3.04599E-05
5.96	48.4	4.32	99.95372513	-3.12789E-05
6.04	48.82	4.319	99.93058769	-3.18606E-05
6.13	49.23	4.318	99.90745025	-3.25167E-05
6.21	49.65	4.317	99.88431282	-3.26634E-05
6.29	50.06	4.321	99.97686256	-3.21899E-05
6.38	50.47	4.319	99.93058769	-3.16443E-05
6.46	50.88	4.317	99.88431282	-3.17922E-05
6.54	51.28	4.318	99.90745025	-3.17615E-05
6.63	51.69	4.317	99.88431282	-3.12113E-05
6.71	52.09	4.319	99.93058769	-3.14062E-05
6.79	52.49	4.32	99.95372513	-3.08477E-05
6.88	52.9	4.323	100.0231374	-3.02034E-05
6.96	53.3	4.326	100.0925497	-3.02449E-05
7.04	53.7	4.313	99.79176307	-0.000030223
7.13	54.09	4.313	99.79176307	-2.99533E-05
7.21	54.48	4.311	99.7454882	-2.98481E-05
7.29	54.88	4.315	99.83803795	-0.000029966
7.38	55.27	4.316	99.86117538	-3.01636E-05
7.46	55.66	4.322	100	-2.97542E-05
7.54	56.05	4.323	100.0231374	-2.97417E-05
7.63	56.44	4.321	99.97686256	-2.99537E-05
7.71	56.83	4.317	99.88431282	-3.02755E-05
7.79	57.21	4.317	99.88431282	-3.04758E-05
7.88	57.6	4.309	99.69921333	-3.07284E-05
7.96	57.99	4.319	99.93058769	-3.05548E-05
8.04	58.38	4.326	100.0925497	-3.04771E-05
8.13	58.76	4.333	100.2545118	-3.04328E-05
8.21	59.15	4.339	100.3933364	-3.00384E-05
8.29	59.53	4.315	99.83803795	-3.00077E-05
8.38	59.91	4.315	99.83803795	-3.04444E-05
8.46	60.3	4.315	99.83803795	-3.08594E-05
8.54	60.68	4.314	99.81490051	-3.07581E-05
8.63	61.07	4.316	99.86117538	-0.00003084
8.71	61.45	4.316	99.86117538	-3.07898E-05
8.79	61.84	4.314	99.81490051	-3.06838E-05
8.88	62.22	4.316	99.86117538	-3.09162E-05
8.96	62.61	4.316	99.86117538	-3.08838E-05
9.04	62.99	4.321	99.97686256	-0.000030978
9.13	63.38	4.31	99.72235076	-3.08186E-05
9.21	63.76	4.314	99.81490051	-3.11362E-05
9.29	64.15	4.316	99.86117538	-3.13613E-05
9.38	64.54	4.317	99.88431282	-3.19905E-05
9.46	64.93	4.315	99.83803795	-3.24295E-05
9.54	65.32	4.317	99.88431282	-3.23404E-05
9.63	65.71	4.317	99.88431282	-3.25499E-05
9.71	66.1	4.315	99.83803795	-0.000032676
9.79	66.49	4.316	99.86117538	-3.29128E-05
9.88	66.88	4.317	99.88431282	-3.35933E-05
9.96	67.27	4.317	99.88431282	-3.33138E-05
10.04	67.67	4.316	99.86117538	-3.32514E-05
10.13	68.06	4.317	99.88431282	-3.31756E-05
10.21	68.46	4.316	99.86117538	-3.25225E-05
