Filename	styrofoam
Instrument name	
Operator	Galyna
rundate	2025-02-24
Sample name	styrofoam
[step]
Step 1
Time	Temperature	Weight	Weight	Deriv. Weight
min	°C	mg	%	% / °C
0.00	27.73	434.836	99.999	-1.21469e-5
0.04	27.78	434.834	99.999	-1.37031e-5
0.13	27.83	434.839	100.000	-1.51938e-5
0.21	27.87	434.837	100.000	-1.69089e-5
0.29	27.91	434.834	99.999	-1.78809e-5
0.38	27.95	434.839	100.000	-1.85287e-5
0.46	27.99	434.836	99.999	-1.99274e-5
0.54	28.03	434.836	99.999	-2.05148e-5
0.63	28.08	434.834	99.999	-2.10255e-5
0.71	28.13	434.836	99.999	-2.00001e-5
0.79	28.19	434.832	99.998	-2.23744e-5
0.88	28.25	434.836	99.999	-2.33136e-5
0.96	28.33	434.831	99.998	-2.37517e-5
1.04	28.41	434.831	99.998	-2.39486e-5
1.13	28.50	434.837	100.000	-2.45486e-5
1.21	28.60	434.837	100.000	-2.46934e-5
1.29	28.71	434.837	100.000	-2.47680e-5
1.38	28.83	434.838	100.000	-2.54014e-5
1.46	28.97	434.830	99.998	-2.56824e-5
1.54	29.11	434.839	100.000	-2.56836e-5
1.63	29.27	434.837	100.000	-2.56731e-5
1.71	29.44	434.832	99.998	-2.57200e-5
1.79	29.62	434.833	99.999	-2.56935e-5
1.88	29.82	434.830	99.998	-2.57820e-5
1.96	30.03	434.838	100.000	-2.63536e-5
2.04	30.25	434.834	99.999	-2.66013e-5
2.13	30.48	434.841	100.000	-2.67138e-5
2.21	30.73	434.838	100.000	-2.70226e-5
2.29	30.98	434.837	100.000	-2.71029e-5
2.38	31.25	434.835	99.999	-2.75136e-5
2.46	31.53	434.832	99.998	-2.80046e-5
2.54	31.82	434.833	99.999	-2.84614e-5
2.63	32.13	434.832	99.998	-2.87783e-5
2.71	32.44	434.836	99.999	-2.91005e-5
2.79	32.76	434.833	99.999	-2.92684e-5
2.88	33.10	434.836	99.999	-2.91769e-5
2.96	33.44	434.831	99.998	-2.91383e-5
3.04	33.79	434.833	99.999	-2.94240e-5
