#EXPORTTYPE:                 ,DATA ALL                                           
#FILE:                       ,2023_12_05_SL_007A_PS_280C_isotherm_1pt_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                           
#FTYPE:                      ,ASCII                                              
#IDENTITY:                   ,PS 001G (Mn~8K)                                    
#DECIMAL:                    ,POINT                                              
#SEPARATOR:                  ,COMMA                                              
#MTYPE:                      ,DSC                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                  
#PROJECT:                    ,2023_12_06_SL_007A                                 
#DATE/TIME:                  ,12/6/2023 4:51:16 PM (UTC-5)                       
#CORR. FILE:                 ,                                                   
#TEMPCAL:                    ,28-06-2023 13:26                                   
#SENSITIVITY:                ,28-06-2023 13:53                                   
#LABORATORY:                 ,Tran/AAG                                           
#OPERATOR:                   ,Stanley                                            
#REMARK:                     ,                                                   
#SAMPLE:                     ,007A_001G                                          
#SAMPLE MASS /mg:            ,28.63                                              
#MATERIAL:                   ,Polystyrene                                        
#REFERENCE:                  ,                                                   
#REFERENCE MASS /mg:         ,0                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                  
#DSC RANGE /‘V:              ,5000                                               
#TG RANGE /mg:               ,35000                                              
#TAU-R:                      ,---                                                
#CORR. CODE:                 ,000                                                
#EXO:                        ,-1                                                 
#RANGE:                      ,20›C....800›C/0.0....10.0K/min                     
#SEGMENT:                    ,S1-4/4                                             
#SEG. 1:                     ,20›C/00:20/20›C                                    
#SEG. 2:                     ,20›C/1.0(K/min)/280›C                              
#SEG. 3:                     ,280›C/24:00/280›C                                  
#SEG. 4:                     ,280›C/10.0(K/min)/800›C                            

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),IonCurrent(m:18)/A,IonCurrent(m:28)/A,IonCurrent(m:40)/A,IonCurrent(m:104)/A,IonCurrent(m:105)/A,Sensit./(uV/mW),Segment
 28.47100,   0.00000, 1.567268e-02,100.00000,50.00000,20.00000,6.342102e-10,2.670383e-07,2.611256e-07,7.164955e-12,3.722191e-12,0.92326,1
 31.06500,  10.00000,-8.337069e-03, 98.22106,50.00000,20.00000,1.156964e-09,2.412160e-07,2.568010e-07,6.554904e-12,4.316685e-12,0.92375,1
 31.06694,  20.00000,-8.193599e-03, 97.83585,50.00000,20.00000,8.001849e-10,1.025938e-07,3.697892e-07,7.494403e-12,4.444022e-12,0.92375,2
 31.01897,  30.00000,-8.366014e-03, 97.62347,50.00000,20.00000,6.471071e-10,4.871215e-08,4.104542e-07,7.760851e-12,4.355176e-12,0.92374,2
 31.10096,  40.00000,-7.471514e-03, 97.57299,50.00000,20.00000,5.787021e-10,2.532515e-08,4.300639e-07,7.731884e-12,4.381821e-12,0.92375,2
 43.18603,  50.00000, 4.946975e-02, 98.13804,50.00000,20.00000,5.449267e-10,1.424028e-08,4.403956e-07,7.970111e-12,4.544585e-12,0.92543,2
 60.40312,  60.00000, 2.270202e-02, 98.16733,50.00000,20.00000,5.286576e-10,9.353326e-09,4.434685e-07,8.010882e-12,4.716801e-12,0.92619,2
 69.88220,  70.00000, 2.095289e-02, 98.22420,50.00000,20.00000,5.142548e-10,6.915539e-09,4.484322e-07,8.291081e-12,4.686931e-12,0.92582,2
 79.79916,  80.00000, 2.429020e-02, 98.30049,50.00000,20.00000,5.052740e-10,5.692994e-09,4.508829e-07,8.457626e-12,4.782864e-12,0.92484,2
 89.86419,  90.00000, 2.678593e-02, 98.35975,50.00000,20.00000,4.977594e-10,5.112002e-09,4.521847e-07,8.389612e-12,4.875413e-12,0.92324,2
 99.88118, 100.00000, 3.318752e-02, 98.37005,50.00000,20.00000,4.915515e-10,4.814664e-09,4.535678e-07,8.515849e-12,4.983803e-12,0.92106,2
109.93714, 110.00000, 2.884550e-02, 98.32892,50.00000,20.00000,4.929002e-10,4.675898e-09,4.541546e-07,8.532202e-12,5.234793e-12,0.91830,2
