#EXPORTTYPE:                 ,DATA ALL                                                                    
#FILE:                       ,2024_02_16_SL_001H_280C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                    
#FTYPE:                      ,ANSI                                                                        
#IDENTITY:                   ,PS                                                                          
#DECIMAL:                    ,POINT                                                                       
#SEPARATOR:                  ,COMMA                                                                       
#MTYPE:                      ,DSC                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                           
#PROJECT:                    ,2024_02_16_SL_005                                                           
#DATE/TIME:                  ,2/16/2024 3:54:24 PM (UTC-5)                                                
#CORR. FILE:                 ,                                                                            
#TEMPCAL:                    ,28-06-2023 13:26                                                            
#SENSITIVITY:                ,28-06-2023 13:53                                                            
#LABORATORY:                 ,Tran/AAG                                                                    
#OPERATOR:                   ,Stanley                                                                     
#REMARK:                     ,                                                                            
#SAMPLE:                     ,001H_control                                                                
#SAMPLE MASS /mg:            ,5.58                                                                        
#MATERIAL:                   ,                                                                            
#REFERENCE:                  ,                                                                            
#REFERENCE MASS /mg:         ,0                                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                                           
#DSC RANGE /µV:              ,5000                                                                        
#TG RANGE /mg:               ,35000                                                                       
#TAU-R:                      ,---                                                                         
#CORR. CODE:                 ,000                                                                         
#EXO:                        ,-1                                                                          
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                              
#SEGMENT:                    ,S1-5/5                                                                      
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                      
#SEG. 2:                     ,100°C/00:10/100°C                                                           
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                     
#SEG. 4:                     ,350°C/04:00/350°C                                                           
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                     

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.63600,  0.00000, 7.404326e-02,    100.00000,50.00000,20.00000,1.111666e-07,0.92329,1
 28.78500,  0.10000, 6.426754e-02,     99.89462,50.00000,20.00000,1.121869e-07,0.92332,1
 28.91500,  0.20000, 5.493689e-02,     99.85806,50.00000,20.00000,1.132842e-07,0.92335,1
 29.05900,  0.30000, 4.930846e-02,     99.87025,50.00000,20.00000,1.142707e-07,0.92338,1
 29.22200,  0.40000, 4.678963e-02,     99.87025,50.00000,20.00000,1.153170e-07,0.92341,1
 29.37300,  0.50000, 4.782462e-02,     99.89875,50.00000,20.00000,1.164733e-07,0.92344,1
 29.57000,  0.60000, 5.300472e-02,     99.97975,50.00000,20.00000,1.175762e-07,0.92347,1
 29.77100,  0.70000, 6.292203e-02,    100.06290,50.00000,20.00000,1.186337e-07,0.92351,1
 30.01700,  0.80000, 7.565074e-02,    100.20072,50.00000,20.00000,1.198268e-07,0.92356,1
 30.28900,  0.90000, 9.400316e-02,    100.29409,50.00000,20.00000,1.213766e-07,0.92361,1
 30.56900,  1.00000,      0.11354,    100.41971,50.00000,20.00000,1.234033e-07,0.92366,1
 30.89800,  1.10000,      0.13707,    100.53728,50.00000,20.00000,1.254758e-07,0.92372,1
 31.24600,  1.20000,      0.16074,     99.80341,50.00000,20.00000,1.271466e-07,0.92378,1
 31.64100,  1.30000,      0.18692,     96.52294,50.00000,20.00000,1.282804e-07,0.92385,1
 32.04100,  1.40000,      0.21399,     96.31219,50.00000,20.00000,1.289909e-07,0.92392,1
 32.47300,  1.50000,      0.24149,     96.36290,50.00000,20.00000,1.296288e-07,0.92399,1
 32.93700,  1.60000,      0.27003,     96.49050,50.00000,20.00000,1.302636e-07,0.92407,1
 33.40400,  1.70000,      0.29753,     96.62634,50.00000,20.00000,1.307543e-07,0.92415,1
 33.91000,  1.80000,      0.32176,     96.72975,50.00000,20.00000,1.310127e-07,0.92423,1
 34.42700,  1.90000,      0.34969,     96.79677,50.00000,20.00000,1.311007e-07,0.92431,1
 34.99300,  2.00000,      0.37540,     96.91434,50.00000,20.00000,1.315263e-07,0.92440,1
 35.54500,  2.10000,      0.39947,     96.99534,50.00000,20.00000,1.323867e-07,0.92448,1
 36.12300,  2.20000,      0.42191,     97.09265,50.00000,20.00000,1.328346e-07,0.92457,1
 36.73200,  2.30000,      0.44523,     97.16774,50.00000,20.00000,1.327078e-07,0.92465,1
 37.34900,  2.40000,      0.46693,     97.26703,50.00000,20.00000,1.327247e-07,0.92474,1
 37.96000,  2.50000,      0.48640,     97.37043,50.00000,20.00000,1.329483e-07,0.92482,1
 38.62800,  2.60000,      0.50690,     97.44355,50.00000,20.00000,1.330230e-07,0.92491,1
 39.28800,  2.70000,      0.52726,     97.52867,50.00000,20.00000,1.330157e-07,0.92499,1
 39.98000,  2.80000,      0.54716,     97.59140,50.00000,20.00000,1.330709e-07,0.92508,1
 40.66900,  2.90000,      0.56721,     97.68674,50.00000,20.00000,1.331358e-07,0.92516,1
 41.40000,  3.00000,      0.58770,     97.75968,50.00000,20.00000,1.331246e-07,0.92524,1
 42.13500,  3.10000,      0.60893,     97.83065,50.00000,20.00000,1.329600e-07,0.92532,1
 42.87100,  3.20000,      0.63015,     97.93405,50.00000,20.00000,1.327755e-07,0.92540,1
 43.65100,  3.30000,      0.65019,     98.02133,50.00000,20.00000,1.328779e-07,0.92547,1
 44.45900,  3.40000,      0.67156,     98.09839,50.00000,20.00000,1.330434e-07,0.92555,1
 45.26000,  3.50000,      0.69308,     98.16720,50.00000,20.00000,1.328566e-07,0.92562,1
 46.08900,  3.60000,      0.71562,     98.25645,50.00000,20.00000,1.326131e-07,0.92569,1
 46.94900,  3.70000,      0.73891,     98.35573,50.00000,20.00000,1.326123e-07,0.92576,1
 47.82000,  3.80000,      0.76130,     98.38620,50.00000,20.00000,1.325974e-07,0.92582,1
 48.70600,  3.90000,      0.78592,     98.49982,50.00000,20.00000,1.324304e-07,0.92588,1
 49.62200,  4.00000,      0.80920,     98.56057,50.00000,20.00000,1.322571e-07,0.92594,1
 50.54000,  4.10000,      0.83367,     98.67419,50.00000,20.00000,1.321812e-07,0.92599,1
 51.49600,  4.20000,      0.85784,     98.73907,50.00000,20.00000,1.322196e-07,0.92603,1
 52.46200,  4.30000,      0.88231,     98.84032,50.00000,20.00000,1.320931e-07,0.92608,1
 53.44900,  4.40000,      0.90531,     98.90125,50.00000,20.00000,1.314747e-07,0.92611,1
 54.45700,  4.50000,      0.92904,     98.99857,50.00000,20.00000,1.308649e-07,0.92614,1
 55.48100,  4.60000,      0.95234,     99.05125,50.00000,20.00000,1.307603e-07,0.92617,1
 56.51700,  4.70000,      0.97550,     99.12222,50.00000,20.00000,1.308161e-07,0.92618,1
 57.57200,  4.80000,      0.99793,     99.21344,50.00000,20.00000,1.307450e-07,0.92620,1
 58.64100,  4.90000,      1.02036,     99.24982,50.00000,20.00000,1.305320e-07,0.92620,1
 59.71900,  5.00000,      1.04148,     99.33513,50.00000,20.00000,1.303073e-07,0.92620,1
 60.81100,  5.10000,      1.06334,     99.38172,50.00000,20.00000,1.302448e-07,0.92619,1
 61.94000,  5.20000,      1.08343,     99.44659,50.00000,20.00000,1.301848e-07,0.92617,1
 63.04800,  5.30000,      1.10295,     99.50735,50.00000,20.00000,1.299481e-07,0.92614,1
 64.17100,  5.40000,      1.12218,     99.53369,50.00000,20.00000,1.297454e-07,0.92611,1
 65.30900,  5.50000,      1.14084,     99.58244,50.00000,20.00000,1.296889e-07,0.92607,1
 66.47200,  5.60000,      1.15951,     99.64731,50.00000,20.00000,1.296257e-07,0.92602,1
 67.63200,  5.70000,      1.17627,     99.71416,50.00000,20.00000,1.294795e-07,0.92596,1
 68.81300,  5.80000,      1.19511,     99.75681,50.00000,20.00000,1.292675e-07,0.92589,1
 69.98100,  5.90000,      1.21145,     99.78710,50.00000,20.00000,1.290972e-07,0.92581,1
 71.17100,  6.00000,      1.22722,     99.83584,50.00000,20.00000,1.290502e-07,0.92572,1
 72.36400,  6.10000,      1.24419,     99.87222,50.00000,20.00000,1.289080e-07,0.92563,1
 73.55800,  6.20000,      1.25925,     99.92294,50.00000,20.00000,1.285766e-07,0.92552,1
 74.75000,  6.30000,      1.27507,     99.95950,50.00000,20.00000,1.284099e-07,0.92541,1
 75.96700,  6.40000,      1.28972,     99.98387,50.00000,20.00000,1.284530e-07,0.92529,1
 77.19300,  6.50000,      1.30469,    100.06093,50.00000,20.00000,1.282913e-07,0.92515,1
 78.42400,  6.60000,      1.31804,    100.08513,50.00000,20.00000,1.279903e-07,0.92501,1
 79.66800,  6.70000,      1.33394,    100.10950,50.00000,20.00000,1.279248e-07,0.92485,1
 80.89400,  6.80000,      1.34674,    100.13996,50.00000,20.00000,1.279140e-07,0.92469,1
 82.13700,  6.90000,      1.36104,    100.15824,50.00000,20.00000,1.276878e-07,0.92452,1
 83.38000,  7.00000,      1.37388,    100.20681,50.00000,20.00000,1.274173e-07,0.92433,2
 84.62900,  7.10000,      1.38615,    100.23315,50.00000,20.00000,1.272712e-07,0.92414,2
 85.87200,  7.20000,      1.38897,    100.25753,50.00000,20.00000,1.272532e-07,0.92394,2
 87.05600,  7.30000,      1.38142,    100.23925,50.00000,20.00000,1.272260e-07,0.92374,2
 88.20200,  7.40000,      1.36647,    100.23315,50.00000,20.00000,1.269710e-07,0.92354,2
 89.32600,  7.50000,      1.34516,    100.18459,50.00000,20.00000,1.266412e-07,0.92334,2
 90.38700,  7.60000,      1.31657,    100.13584,50.00000,20.00000,1.265039e-07,0.92314,2
 91.41400,  7.70000,      1.28293,    100.08513,50.00000,20.00000,1.264836e-07,0.92294,2
 92.38500,  7.80000,      1.24527,     99.98584,50.00000,20.00000,1.264308e-07,0.92274,2
 93.33300,  7.90000,      1.20581,     99.88656,50.00000,20.00000,1.262453e-07,0.92255,2
 94.21000,  8.00000,      1.16128,     99.80341,50.00000,20.00000,1.259567e-07,0.92236,2
 95.06200,  8.10000,      1.11659,     99.67168,50.00000,20.00000,1.257275e-07,0.92218,2
 95.85900,  8.20000,      1.06935,     99.62294,50.00000,20.00000,1.256161e-07,0.92200,2
 96.61700,  8.30000,      1.02120,     99.49516,50.00000,20.00000,1.255840e-07,0.92183,2
 97.33100,  8.40000,      0.97376,     99.37348,50.00000,20.00000,1.254747e-07,0.92167,2
 98.00500,  8.50000,      0.92511,     99.28226,50.00000,20.00000,1.251898e-07,0.92151,2
 98.63700,  8.60000,      0.87881,     99.22957,50.00000,20.00000,1.249562e-07,0.92136,2
 99.24400,  8.70000,      0.83546,     99.06541,50.00000,20.00000,1.248865e-07,0.92121,2
 99.83200,  8.80000,      0.79225,     98.98029,50.00000,20.00000,1.248049e-07,0.92107,2
100.36300,  8.90000,      0.75272,     98.89910,50.00000,20.00000,1.246270e-07,0.92094,2
100.90100,  9.00000,      0.71556,     98.82814,50.00000,20.00000,1.243856e-07,0.92080,2
101.41300,  9.10000,      0.68195,     98.72688,50.00000,20.00000,1.241529e-07,0.92067,2
101.89900,  9.20000,      0.65026,     98.64373,50.00000,20.00000,1.239871e-07,0.92055,2
102.37000,  9.30000,      0.62375,     98.59910,50.00000,20.00000,1.237955e-07,0.92043,2
102.83600,  9.40000,      0.59798,     98.51183,50.00000,20.00000,1.235109e-07,0.92031,2
103.28200,  9.50000,      0.57369,     98.48763,50.00000,20.00000,1.232373e-07,0.92019,2
103.70100,  9.60000,      0.55221,     98.40645,50.00000,20.00000,1.230072e-07,0.92008,2
104.12700,  9.70000,      0.53163,     98.35789,50.00000,20.00000,1.226989e-07,0.91996,2
104.53900,  9.80000,      0.51281,     98.30305,50.00000,20.00000,1.223040e-07,0.91985,2
104.93000,  9.90000,      0.49533,     98.22599,50.00000,20.00000,1.219229e-07,0.91974,2
105.31100, 10.00000,      0.47829,     98.17330,50.00000,20.00000,1.215828e-07,0.91964,2
105.67600, 10.10000,      0.46005,     98.10842,50.00000,20.00000,1.212789e-07,0.91954,2
106.05000, 10.20000,      0.44181,     98.09624,50.00000,20.00000,1.210973e-07,0.91943,2
106.37300, 10.30000,      0.42416,     98.01918,50.00000,20.00000,1.210605e-07,0.91934,2
106.70600, 10.40000,      0.40665,     97.99498,50.00000,20.00000,1.209277e-07,0.91925,2
107.01700, 10.50000,      0.38780,     97.90986,50.00000,20.00000,1.206043e-07,0.91916,2
107.31800, 10.60000,      0.36909,     97.86111,50.00000,20.00000,1.202866e-07,0.91907,2
107.58600, 10.70000,      0.35142,     97.81039,50.00000,20.00000,1.200310e-07,0.91899,2
107.86200, 10.80000,      0.33091,     97.72939,50.00000,20.00000,1.197670e-07,0.91891,2
