#EXPORTTYPE:                 ,DATA ALL                                                                              
#FILE:                       ,2024_02_16_SL_005J2-FLASH_PS_280C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                              
#FTYPE:                      ,ANSI                                                                                  
#IDENTITY:                   ,PS                                                                                    
#DECIMAL:                    ,POINT                                                                                 
#SEPARATOR:                  ,COMMA                                                                                 
#MTYPE:                      ,TIC                                                                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                     
#PROJECT:                    ,2024_02_16_SL_005                                                                     
#DATE/TIME:                  ,2/16/2024 8:45:27 AM (UTC-5)                                                          
#CORR. FILE:                 ,                                                                                      
#TEMPCAL:                    ,28-06-2023 13:26                                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                                      
#LABORATORY:                 ,DS                                                                                    
#OPERATOR:                   ,Stanley                                                                               
#REMARK:                     ,                                                                                      
#SAMPLE:                     ,005J2-FLASH                                                                           
#SAMPLE MASS /mg:            ,5.49                                                                                  
#MATERIAL:                   ,                                                                                      
#REFERENCE:                  ,                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                     
#DSC RANGE /µV:              ,5000                                                                                  
#TG RANGE /mg:               ,35000                                                                                 
                             ,                                                                                      

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.91200,  0.01422,6.785447e-12,6.367603e-10,3.486925e-11,1.509010e-10,5.782127e-12,4.919154e-09,2.065372e-13,4.206759e-13,4.641533e-14,2.082729e-13,4.620081e-13,2.258790e-12,5.292964e-12,2.679760e-08,2.043724e-10,3.203392e-12,1.139641e-12,6.715685e-09,5.896568e-12,2.516651e-11,1.967907e-13,1.970741e-10,3.976732e-13,3.796297e-11,1.392651e-11,6.059224e-08,2.787590e-12,5.215746e-13,9.509766e-13,5.632883e-11,1.093864e-12,4.168230e-13,1.394177e-13,8.605868e-13,4.024035e-13,1.058608e-12,7.088381e-13,4.319102e-13,1.816082e-13,2.582073e-13,1.683331e-13,1.542950e-13,1.607609e-13,1.494694e-13,8.673668e-14,2.319813e-13,1.482487e-13,1.813984e-13,2.711391e-13,1.092063e-12,2.354527e-13,1.939678e-13,1.090908e-13,1.048374e-13,9.207725e-14,9.058952e-14,7.878304e-14,3.659248e-14,8.397102e-14,2.079487e-13,1.528645e-13,2.836895e-13,4.990679e-13,3.722864e-13,1.478100e-13,5.600929e-14,5.841255e-14,7.653236e-14,7.336617e-14,1.034832e-13,5.417824e-14,6.695747e-14,6.003380e-14,6.283760e-14,8.627892e-14,7.302284e-14,5.676371e-13,1.376629e-13,3.897667e-14,7.229805e-14,4.857063e-14,5.303383e-14,6.165505e-14,5.633354e-14,3.781319e-14,5.129814e-14,5.938530e-14,1.119137e-13,1.364040e-13,1.568890e-13,2.852154e-13,1.368999e-13,4.458427e-14,3.224373e-14,6.674767e-14,4.651070e-14,5.040169e-14,4.059792e-14,5.856514e-14,2.398491e-14,9.604454e-14,4.193306e-14,9.552955e-14,7.609367e-14,4.683495e-14,4.450798e-14,2.112389e-14,7.517814e-14,3.825188e-14,4.998207e-14,3.279686e-14,2.009392e-14,8.975029e-14,1.677418e-13,2.659130e-13,7.111549e-14,7.418632e-14,1.263618e-14,3.411293e-14,2.411842e-14,4.765511e-14,2.108574e-14,3.052711e-14,3.380775e-14,2.161980e-14,3.916740e-14,4.555702e-14,5.169868e-14,8.481026e-14,4.202843e-14,3.874779e-14,3.724098e-14,3.817558e-14,3.876686e-14,1.528740e-14,5.330086e-14
 31.89700,  0.19192,6.741979e-12,6.391598e-10,3.507524e-11,1.504699e-10,5.480766e-12,4.951388e-09,1.843548e-13,3.835589e-13,2.715111e-14,1.215076e-13,4.096323e-13,1.971085e-12,5.320220e-12,2.657044e-08,2.036095e-10,2.821922e-12,1.147270e-12,6.688219e-09,5.982399e-12,2.495670e-11,1.636028e-13,1.983597e-10,3.551012e-13,3.776461e-11,1.372051e-11,6.050984e-08,2.635002e-12,4.951769e-13,8.544069e-13,5.581957e-11,9.872163e-13,3.720385e-13,1.120853e-13,7.720858e-13,3.538996e-13,1.020175e-12,6.831652e-13,4.000765e-13,1.873112e-13,1.872349e-13,1.775074e-13,1.405430e-13,1.515865e-13,1.184750e-13,7.241249e-14,2.607632e-13,1.136875e-13,1.515102e-13,2.311039e-13,1.040126e-12,2.540684e-13,1.754475e-13,9.383201e-14,7.176399e-14,1.099300e-13,8.936882e-14,5.026817e-14,4.622459e-14,9.074211e-14,2.099323e-13,1.491070e-13,2.835560e-13,4.609019e-13,3.431040e-13,1.772594e-13,6.087303e-14,6.831169e-14,6.415367e-14,7.790565e-14,7.191658e-14,7.079125e-14,4.858971e-14,6.342888e-14,6.880760e-14,1.024532e-13,5.812645e-14,5.684000e-13,9.810447e-14,3.401756e-14,5.208015e-14,5.785942e-14,3.703117e-14,4.969597e-14,4.899025e-14,3.829002e-14,4.128456e-14,6.831169e-14,8.587837e-14,1.107121e-13,1.138973e-13,2.974796e-13,1.105213e-13,3.066063e-14,4.410744e-14,4.029274e-14,3.939629e-14,4.794121e-14,3.678322e-14,3.703117e-14,4.279137e-14,1.274586e-13,1.959801e-14,9.007454e-14,4.292488e-14,3.949165e-14,6.834984e-14,4.927635e-14,6.773949e-14,8.726120e-15,2.655983e-14,3.300667e-14,6.222725e-14,8.122444e-14,1.394367e-13,2.543163e-13,5.574226e-14,5.715370e-14,3.962517e-14,4.305839e-14,1.389504e-14,3.724098e-14,4.408836e-14,7.867813e-15,2.499580e-14,4.467964e-14,1.109123e-14,4.708290e-14,2.799034e-14,2.829552e-14,4.540444e-14,2.381325e-14,4.740715e-14,2.945900e-14,9.756088e-15,3.741264e-14,4.014015e-14
 31.91800,  0.36852,6.967026e-12,6.305252e-10,3.492266e-11,1.505328e-10,5.787849e-12,4.978281e-09,1.854992e-13,3.662783e-13,2.001762e-14,1.193523e-13,4.488283e-13,1.793453e-12,5.353408e-12,2.647221e-08,2.020836e-10,3.043175e-12,1.152992e-12,6.616884e-09,5.679130e-12,2.509975e-11,1.887989e-13,1.993667e-10,3.462893e-13,3.806978e-11,1.372051e-11,6.067692e-08,2.545357e-12,5.307108e-13,8.355814e-13,5.480105e-11,9.033304e-13,4.207712e-13,1.464939e-13,7.949168e-13,2.959156e-13,8.394915e-13,7.322985e-13,3.630358e-13,1.620960e-13,1.833630e-13,1.951313e-13,1.081562e-13,1.620388e-13,1.047993e-13,3.468514e-14,1.957798e-13,1.206303e-13,1.499271e-13,2.214527e-13,1.024295e-12,2.469540e-13,1.485920e-13,7.683754e-14,3.710747e-14,9.251595e-14,5.816459e-14,1.196575e-13,8.316993e-14,1.033497e-13,1.767826e-13,1.633740e-13,2.837276e-13,5.437952e-13,3.325182e-13,1.596355e-13,4.906654e-14,6.121635e-14,8.234978e-14,7.445336e-14,9.886741e-14,4.384041e-14,6.522179e-14,4.511833e-14,4.487038e-14,3.754616e-14,4.586220e-14,6.148630e-13,1.362705e-13,3.821373e-14,8.507728e-14,3.769875e-14,1.915932e-14,6.270409e-14,3.054619e-14,4.569054e-14,5.776406e-14,4.361153e-14,1.206684e-13,1.173115e-13,1.258182e-13,2.520466e-13,1.157856e-13,4.027367e-14,3.884316e-14,4.958153e-14,2.364159e-14,4.231453e-14,5.492210e-14,6.402016e-14,2.068520e-14,1.170063e-13,5.913735e-14,1.044559e-13,4.176140e-14,2.242088e-14,4.824638e-14,5.858421e-14,6.649971e-14,4.818916e-14,2.776146e-14,1.959801e-14,6.933212e-15,1.026440e-13,1.101398e-13,2.563953e-13,5.810737e-14,3.891945e-14,2.970695e-14,2.091408e-14,4.968643e-15,3.272056e-14,3.455162e-14,1.852989e-14,3.357887e-14,3.458977e-14,1.477242e-14,7.081031e-14,5.160332e-14,6.676674e-14,2.554893e-14,3.521919e-14,3.653526e-14,4.311562e-14,7.562637e-15,5.566597e-14,4.038811e-14
 31.99800,  0.54877,6.915147e-12,6.289383e-10,3.413492e-11,1.508266e-10,5.766868e-12,4.994494e-09,1.859760e-13,3.690821e-13,3.266335e-14,1.275349e-13,3.739840e-13,1.758720e-12,5.519309e-12,2.618077e-08,1.992226e-10,2.963066e-12,1.185417e-12,6.598383e-09,5.654335e-12,2.459812e-11,1.901340e-13,1.984436e-10,3.493601e-13,3.769022e-11,1.412296e-11,6.068398e-08,2.402306e-12,4.962450e-13,8.204943e-13,5.463129e-11,9.267718e-13,3.502375e-13,1.192570e-13,7.863909e-13,3.622347e-13,8.853060e-13,6.645686e-13,3.408343e-13,1.405430e-13,1.909923e-13,1.653385e-13,1.337910e-13,1.535320e-13,1.148892e-13,5.932808e-14,2.301693e-13,1.018429e-13,1.438046e-13,2.096844e-13,9.484398e-13,2.646160e-13,1.342678e-13,7.664681e-14,9.902000e-14,9.030342e-14,6.712914e-14,1.037884e-13,4.631996e-14,6.896019e-14,1.649952e-13,1.493931e-13,2.143383e-13,4.664522e-13,3.415781e-13,1.277447e-13,9.043694e-14,7.527351e-14,5.690575e-14,5.209923e-14,1.191425e-13,7.540703e-14,3.312111e-14,2.953529e-14,4.448891e-14,7.180214e-14,5.993843e-14,5.793864e-13,9.306907e-14,4.103660e-14,4.527092e-14,3.796578e-14,3.094673e-14,2.717018e-14,2.844811e-14,5.648613e-14,6.787300e-14,6.640434e-14,5.961418e-14,1.280689e-13,1.823521e-13,3.367907e-13,8.284569e-14,4.927635e-14,2.013206e-14,1.780510e-14,5.984306e-14,1.772881e-14,3.123283e-14,3.437996e-14,5.610466e-14,1.068783e-13,7.866859e-14,8.255958e-14,4.157066e-14,3.100395e-14,5.692482e-14,4.057884e-14,6.403923e-14,3.260612e-14,1.418114e-14,5.011559e-14,1.013756e-14,7.485389e-14,1.106358e-13,2.481556e-13,7.660865e-14,4.704476e-14,3.111839e-14,2.942085e-14,4.202843e-14,2.814293e-14,3.375053e-14,2.676964e-14,4.963875e-14,4.813194e-14,3.415108e-14,2.964973e-14,4.046440e-14,3.699303e-14,3.893852e-14,4.752159e-14,3.039360e-14,2.722740e-14,1.965523e-14,3.762245e-14,2.137184e-14
 32.12600,  0.72999,6.776559e-12,6.214329e-10,3.427034e-11,1.497089e-10,5.995750e-12,5.009562e-09,1.871967e-13,3.509623e-13,6.666184e-15,1.667881e-13,3.556162e-13,1.686775e-12,5.430198e-12,2.597077e-08,1.982689e-10,2.881050e-12,1.097679e-12,6.560427e-09,5.551338e-12,2.434635e-11,1.621151e-13,1.977550e-10,3.243357e-13,3.821856e-11,1.378155e-11,6.103951e-08,2.434730e-12,5.117899e-13,9.107691e-13,5.449396e-11,9.405053e-13,3.516871e-13,1.101971e-13,7.755571e-13,2.999973e-13,7.714373e-13,6.349665e-13,3.621394e-13,1.773739e-13,1.625729e-13,1.886463e-13,1.359463e-13,1.676464e-13,1.401806e-13,6.955147e-14,2.059078e-13,1.284122e-13,1.418209e-13,2.040768e-13,1.003467e-12,2.018833e-13,1.836109e-13,7.599830e-14,1.081371e-13,1.021290e-13,7.660865e-14,6.035805e-14,5.373955e-14,9.785652e-14,1.788998e-13,1.284885e-13,2.076435e-13,5.221659e-13,3.217035e-13,8.978843e-14,6.716728e-14,8.196831e-14,8.431434e-14,5.789757e-14,7.327080e-14,3.767967e-14,5.021095e-14,3.748894e-14,4.685402e-14,7.382393e-14,1.990318e-14,6.069857e-13,1.237202e-13,3.825188e-14,4.990578e-14,6.234169e-14,4.342079e-14,3.823280e-14,4.876137e-14,5.595207e-14,3.300667e-14,7.944107e-15,9.741783e-14,1.109791e-13,1.133442e-13,2.539349e-13,8.963585e-14,4.981041e-14,3.886223e-14,3.142357e-14,9.069443e-15,3.321647e-14,1.967430e-14,4.668236e-14,3.520012e-14,8.769035e-14,6.127358e-14,8.389473e-14,3.073692e-14,1.397133e-14,3.796578e-14,3.085136e-14,8.439064e-14,4.805565e-14,2.127647e-14,1.410484e-14,2.251625e-14,6.560326e-14,9.953499e-14,2.084637e-13,8.975029e-14,4.487038e-14,4.096031e-14,1.961708e-14,3.920555e-14,2.793312e-14,1.515389e-14,3.373146e-14,4.641533e-14,4.231453e-14,1.000000e-17,4.872322e-14,5.286217e-14,4.506111e-14,1.000000e-17,3.672600e-14,3.119469e-14,2.881050e-14,2.079964e-14,2.314568e-14,4.555702e-14
 32.35800,  0.90617,6.513840e-12,6.170612e-10,3.421503e-11,1.480991e-10,5.936622e-12,4.989153e-09,1.710224e-13,3.601366e-13,2.121925e-14,9.840965e-14,3.665263e-13,1.606228e-12,5.028472e-12,2.586510e-08,1.954079e-10,2.831459e-12,1.130104e-12,6.516367e-09,5.560875e-12,2.465343e-11,1.581669e-13,2.007019e-10,3.369814e-13,3.792292e-11,1.387882e-11,6.094166e-08,2.257347e-12,5.084330e-13,8.297449e-13,5.443865e-11,8.601290e-13,3.675944e-13,1.223850e-13,6.611162e-13,2.270794e-13,6.937319e-13,5.912882e-13,3.275210e-13,1.485538e-13,2.087116e-13,1.552868e-13,1.189327e-13,1.362133e-13,1.264477e-13,6.379128e-14,2.240467e-13,1.164532e-13,1.283360e-13,2.020740e-13,9.623444e-13,2.099514e-13,1.212406e-13,6.846428e-14,8.059502e-14,6.196022e-14,5.791664e-14,9.938240e-14,3.127098e-14,6.823540e-14,1.445484e-13,1.298237e-13,2.288532e-13,4.977519e-13,3.205210e-13,1.205730e-13,4.975319e-14,6.094933e-14,6.737709e-14,5.360603e-14,7.065773e-14,7.153511e-14,6.093025e-14,4.073143e-14,4.731178e-14,6.573677e-14,4.328728e-14,5.941111e-13,1.216221e-13,3.691673e-14,5.745888e-14,3.670692e-14,2.829552e-14,3.790855e-14,4.122734e-14,3.775597e-14,5.400658e-14,5.455971e-14,9.839058e-14,1.275158e-13,1.064777e-13,2.873707e-13,9.732247e-14,4.439354e-14,2.984047e-14,4.897118e-14,4.216194e-14,4.023552e-14,2.902031e-14,3.926277e-14,3.191948e-14,7.864952e-14,6.001472e-14,9.579659e-14,3.481865e-14,2.867699e-14,3.661156e-14,2.709389e-14,1.054287e-13,3.825188e-14,4.557610e-14,9.622574e-15,6.093025e-14,7.300377e-14,1.286983e-13,2.079296e-13,6.283760e-14,2.163887e-14,4.899025e-14,2.324104e-14,3.590584e-14,1.469612e-14,2.009392e-14,5.166054e-14,3.851890e-14,1.315117e-14,1.000000e-17,3.407478e-14,3.319740e-14,1.561165e-14,9.775162e-15,3.394127e-14,3.718376e-14,3.863335e-14,2.528191e-14,2.909660e-14,2.247810e-14
 32.68700,  1.08185,6.598011e-12,6.144558e-10,3.451639e-11,1.477519e-10,5.835533e-12,5.025774e-09,2.116489e-13,3.184229e-13,1.020431e-15,6.077766e-14,2.994442e-13,1.619655e-12,5.181937e-12,2.551472e-08,1.948357e-10,2.818108e-12,1.099586e-12,6.444079e-09,5.427360e-12,2.431202e-11,1.564884e-13,1.995212e-10,3.053188e-13,3.824144e-11,1.386547e-11,6.101013e-08,2.211571e-12,5.199725e-13,8.070094e-13,5.356508e-11,9.277255e-13,3.479296e-13,1.064396e-13,6.829745e-13,2.381611e-13,8.207804e-13,5.375391e-13,3.114986e-13,2.119350e-13,1.829624e-13,1.488018e-13,1.218128e-13,1.454258e-13,1.252460e-13,6.350517e-14,1.962948e-13,7.903099e-14,1.404476e-13,2.116489e-13,9.277827e-13,2.006817e-13,1.394939e-13,7.170677e-14,9.470940e-14,9.167671e-14,5.415916e-14,8.122444e-14,4.714012e-14,7.252693e-14,1.610661e-13,1.384830e-13,2.336788e-13,4.706484e-13,3.086376e-13,1.389408e-13,5.530357e-14,4.492760e-14,5.942345e-14,7.964134e-14,7.716179e-14,5.835533e-14,3.294945e-14,3.870964e-14,8.742333e-14,7.151604e-14,4.912376e-14,5.078799e-13,7.514000e-14,5.534172e-14,7.807732e-14,4.940986e-14,4.258156e-14,3.756523e-14,3.628731e-14,5.969047e-14,3.521919e-14,4.246712e-14,9.490013e-14,1.067829e-13,9.570122e-14,2.292728e-13,8.582115e-14,1.246452e-14,4.534721e-14,4.811287e-14,5.366325e-14,4.618645e-14,4.010201e-14,4.944801e-14,3.045082e-14,6.979942e-14,5.719185e-14,9.463310e-14,3.365517e-14,2.621651e-14,2.284050e-14,3.581047e-14,7.542610e-14,1.078606e-14,3.077507e-14,3.706932e-14,4.758835e-15,1.047802e-13,1.358128e-13,2.433872e-13,5.238533e-14,3.478050e-14,3.409386e-14,1.620293e-14,3.911018e-14,2.364159e-14,3.493309e-14,3.046989e-14,3.266335e-14,4.052162e-14,9.508133e-15,4.380226e-14,3.924370e-14,5.087852e-14,5.047798e-14,2.226829e-14,1.866341e-14,2.402306e-14,1.595497e-14,3.535271e-14,3.449440e-14
 33.08300,  1.25813,6.449047e-12,6.117550e-10,3.401095e-11,1.470119e-10,6.123543e-12,5.018526e-09,1.884556e-13,3.584772e-13,1.528740e-14,9.495735e-14,3.221232e-13,1.480991e-12,5.186553e-12,2.539780e-08,1.946449e-10,2.835274e-12,1.099586e-12,6.403452e-09,5.337715e-12,2.400684e-11,1.772213e-13,1.999275e-10,2.936459e-13,3.782564e-11,1.308727e-11,6.124341e-08,2.287865e-12,4.967219e-13,8.217531e-13,5.317980e-11,1.002312e-12,3.390032e-13,1.285267e-13,6.781679e-13,2.550602e-13,6.266695e-13,5.803019e-13,3.188044e-13,1.621151e-13,1.871777e-13,1.074505e-13,1.199818e-13,1.683712e-13,1.266193e-13,5.272865e-14,1.956272e-13,8.328438e-14,1.079083e-13,1.965618e-13,9.467232e-13,2.243710e-13,1.643085e-13,7.737159e-14,8.166313e-14,7.241249e-14,5.553246e-14,8.111000e-14,4.389763e-14,5.129814e-14,1.424694e-13,1.417446e-13,2.422428e-13,5.044657e-13,3.139979e-13,1.000118e-13,6.108284e-14,4.858971e-14,6.077766e-14,4.590035e-14,9.652138e-14,4.872322e-14,3.481865e-14,2.923012e-14,5.286217e-14,6.606102e-14,5.129814e-14,5.779177e-13,1.023197e-13,1.931191e-14,6.237984e-14,4.027367e-14,1.658440e-14,2.970695e-14,4.824638e-14,2.129555e-14,3.462791e-14,7.073402e-14,7.515907e-14,9.287834e-14,1.414585e-13,2.546024e-13,1.216984e-13,3.077507e-14,3.655434e-14,3.880501e-14,2.453804e-14,1.877785e-14,1.765251e-14,4.538536e-14,4.906654e-14,1.047611e-13,3.779411e-14,4.986763e-14,4.824638e-14,2.715111e-14,3.170967e-14,3.735542e-14,7.084846e-14,4.706383e-14,2.242088e-14,3.571510e-14,3.293037e-14,8.988380e-14,1.213932e-13,2.256489e-13,6.152153e-14,3.144264e-14,2.606392e-14,3.642082e-14,1.805306e-14,2.383232e-14,1.524925e-14,3.851890e-14,4.139900e-14,3.708839e-14,3.687858e-14,2.171516e-14,2.802849e-14,5.026817e-14,4.319191e-14,3.436088e-14,1.040459e-14,3.596306e-14,3.773689e-14,1.452446e-14,2.787590e-14
 33.57200,  1.43937,6.433655e-12,6.063133e-10,3.339106e-11,1.460372e-10,5.888939e-12,5.031687e-09,1.722431e-13,3.153712e-13,2.018928e-14,9.272575e-14,2.510929e-13,1.429568e-12,5.131927e-12,2.517693e-08,1.925469e-10,2.680778e-12,1.076575e-12,6.350237e-09,5.480766e-12,2.406597e-11,1.756191e-13,2.009937e-10,3.503901e-13,3.845697e-11,1.390362e-11,6.117359e-08,2.175331e-12,4.535204e-13,8.011156e-13,5.276209e-11,9.443772e-13,3.147227e-13,1.298428e-13,6.604868e-13,2.331066e-13,7.074648e-13,5.272967e-13,3.507906e-13,1.236820e-13,1.971722e-13,1.678753e-13,1.166439e-13,1.635265e-13,1.336956e-13,7.517814e-14,2.038479e-13,1.262188e-13,1.024723e-13,1.679707e-13,8.810526e-13,2.446270e-13,1.251507e-13,7.269859e-14,7.056236e-14,8.637428e-14,8.563042e-14,6.152153e-14,5.652428e-14,6.939888e-14,1.352024e-13,1.038075e-13,2.223873e-13,4.959589e-13,2.956677e-13,1.517963e-13,6.564140e-14,6.039619e-14,6.388664e-14,5.410194e-14,7.981300e-14,5.637169e-14,5.995750e-14,5.927086e-14,4.082680e-14,6.974220e-14,2.737999e-14,6.000239e-13,1.033306e-13,1.725197e-14,3.472328e-14,4.658699e-14,5.667687e-14,4.900932e-14,4.443169e-14,3.758431e-14,2.375603e-14,4.803658e-14,9.121895e-14,1.071453e-13,1.407146e-13,2.451229e-13,9.856224e-14,2.800941e-14,2.776146e-14,4.681587e-14,4.118919e-14,4.656792e-14,5.871773e-14,1.803398e-14,3.754616e-14,1.060009e-13,5.133629e-14,9.417534e-14,4.887581e-14,1.000000e-17,4.477501e-14,3.281593e-14,6.686210e-14,3.670692e-14,3.571510e-14,1.973152e-14,5.774498e-14,1.289463e-13,1.121426e-13,2.682590e-13,3.720284e-14,4.843712e-14,4.446983e-14,7.323265e-14,3.519058e-15,2.848625e-14,2.734184e-14,2.137184e-14,3.672600e-14,2.840996e-14,4.431724e-14,3.661156e-14,5.618095e-14,6.649971e-14,3.251076e-14,4.050255e-14,1.189232e-14,1.776695e-14,3.220558e-14,2.371788e-14,2.676964e-14
 34.14700,  1.61723,6.371838e-12,6.032387e-10,3.333193e-11,1.457359e-10,5.976677e-12,5.040651e-09,1.957226e-13,3.389460e-13,5.540848e-15,8.099556e-14,2.653980e-13,1.382610e-12,5.004954e-12,2.504361e-08,1.891136e-10,2.652168e-12,9.768021e-13,6.320101e-09,5.322456e-12,2.322102e-11,1.471996e-13,2.005951e-10,3.140932e-13,3.869921e-11,1.383305e-11,6.152970e-08,2.240181e-12,5.006892e-13,7.898813e-13,5.371004e-11,8.695132e-13,3.489786e-13,9.573936e-14,7.081324e-13,2.176380e-13,6.567866e-13,5.246263e-13,2.906132e-13,1.329517e-13,1.986790e-13,1.819897e-13,1.243305e-13,1.369572e-13,1.107883e-13,4.452705e-14,1.711559e-13,8.616447e-14,9.610176e-14,1.708507e-13,8.831507e-13,2.405071e-13,1.356983e-13,7.082939e-14,7.548332e-14,7.449150e-14,6.960869e-14,9.486198e-14,5.272865e-14,7.409095e-14,1.362514e-13,1.056194e-13,2.114391e-13,4.534251e-13,2.369022e-13,1.307011e-13,6.875038e-14,5.311012e-14,8.524895e-14,3.630638e-14,1.014423e-13,7.681847e-14,8.130074e-14,4.263878e-14,1.305580e-14,8.461952e-14,2.673149e-14,5.676180e-13,1.295757e-13,3.458977e-14,3.294945e-14,6.764412e-14,4.851341e-14,4.298210e-14,4.792214e-14,3.127098e-14,3.441811e-14,6.936073e-14,6.524086e-14,1.582432e-13,1.158619e-13,2.911282e-13,8.008003e-14,4.199028e-14,5.712509e-15,2.671242e-14,6.131172e-14,6.434440e-14,3.874779e-14,4.240990e-14,3.314018e-14,1.165867e-13,5.768776e-14,9.926796e-14,3.861427e-14,2.903938e-14,4.567146e-14,3.830910e-14,5.770683e-14,4.023552e-14,2.318382e-14,3.014565e-14,4.397392e-14,8.551598e-14,1.409626e-13,2.499485e-13,5.932808e-14,3.769875e-14,5.330086e-14,2.903938e-14,3.956795e-14,8.764267e-15,3.252029e-15,3.748894e-14,4.405022e-14,1.170158e-14,1.358986e-14,3.390312e-14,5.063057e-14,4.014015e-14,2.318382e-14,2.158165e-14,3.027916e-14,3.342629e-14,1.704216e-14,1.183510e-14,5.059242e-14
